,R33_S00,R33_S01,R33_S02,R33_S10,R33_S11,R33_S12,R33_S20,R33_S21,R33_S22
raDeg,"[0.3712777777777779, 0.39972222222222226, 0.4281666666666667, 0.45661111111111113, 0.4850555555555555, 0.5135, 0.5419444444444446, 0.5703888888888891, 0.570388888888889, 0.5419444444444445, 0.5135, 0.4850555555555555, 0.45661111111111113, 0.4281666666666667, 0.39972222222222226, 0.3712777777777778]","[0.6060000000000001, 0.6344444444444444, 0.6628888888888889, 0.6913333333333332, 0.7197777777777778, 0.7482222222222222, 0.7766666666666668, 0.8051111111111112, 0.8051111111111112, 0.7766666666666667, 0.7482222222222222, 0.7197777777777777, 0.6913333333333334, 0.6628888888888889, 0.6344444444444444, 0.606]","[0.8407222222222224, 0.8691666666666668, 0.897611111111111, 0.9260555555555555, 0.9544999999999999, 0.9829444444444445, 1.011388888888889, 1.0398333333333334, 1.0398333333333334, 1.011388888888889, 0.9829444444444443, 0.9544999999999999, 0.9260555555555555, 0.8976111111111111, 0.8691666666666668, 0.8407222222222224]","[0.3712777777777778, 0.39972222222222226, 0.42816666666666664, 0.456611111111111, 0.4850555555555555, 0.5135, 0.5419444444444445, 0.570388888888889, 0.570388888888889, 0.5419444444444445, 0.5135000000000001, 0.48505555555555563, 0.456611111111111, 0.4281666666666667, 0.3997222222222222, 0.3712777777777779]","[0.606, 0.6344444444444445, 0.662888888888889, 0.6913333333333332, 0.7197777777777777, 0.7482222222222222, 0.7766666666666667, 0.8051111111111112, 0.8051111111111112, 0.7766666666666667, 0.7482222222222222, 0.7197777777777777, 0.6913333333333334, 0.6628888888888889, 0.6344444444444444, 0.606]","[0.8407222222222224, 0.8691666666666668, 0.8976111111111111, 0.9260555555555555, 0.9544999999999999, 0.9829444444444445, 1.011388888888889, 1.0398333333333334, 1.0398333333333334, 1.011388888888889, 0.9829444444444445, 0.9544999999999999, 0.9260555555555555, 0.897611111111111, 0.8691666666666668, 0.8407222222222224]","[0.3712777777777779, 0.39972222222222226, 0.4281666666666667, 0.45661111111111113, 0.4850555555555555, 0.5135, 0.5419444444444445, 0.5703888888888891, 0.5703888888888888, 0.5419444444444445, 0.5135, 0.4850555555555555, 0.456611111111111, 0.4281666666666667, 0.39972222222222226, 0.3712777777777778]","[0.6060000000000001, 0.6344444444444445, 0.6628888888888889, 0.6913333333333332, 0.7197777777777778, 0.7482222222222222, 0.7766666666666667, 0.8051111111111112, 0.8051111111111111, 0.7766666666666668, 0.7482222222222223, 0.7197777777777777, 0.6913333333333334, 0.6628888888888887, 0.6344444444444445, 0.606]","[0.8407222222222224, 0.8691666666666668, 0.897611111111111, 0.9260555555555555, 0.9544999999999999, 0.9829444444444443, 1.011388888888889, 1.0398333333333334, 1.0398333333333334, 1.011388888888889, 0.9829444444444445, 0.9544999999999999, 0.9260555555555555, 0.897611111111111, 0.8691666666666668, 0.8407222222222224]"
decDeg,"[0.5264444444444444, 0.5264444444444445, 0.5264444444444444, 0.5264444444444445, 0.5264444444444444, 0.5264444444444444, 0.5264444444444444, 0.5264444444444445, 0.4152222222222222, 0.41522222222222216, 0.41522222222222216, 0.41522222222222216, 0.4152222222222222, 0.41522222222222216, 0.41522222222222216, 0.4152222222222222]","[0.5264444444444445, 0.5264444444444444, 0.5264444444444444, 0.5264444444444444, 0.5264444444444444, 0.5264444444444445, 0.5264444444444445, 0.5264444444444444, 0.41522222222222216, 0.41522222222222216, 0.41522222222222216, 0.41522222222222216, 0.41522222222222216, 0.41522222222222216, 0.41522222222222216, 0.41522222222222216]","[0.5264444444444445, 0.5264444444444444, 0.5264444444444444, 0.5264444444444444, 0.5264444444444444, 0.5264444444444445, 0.5264444444444444, 0.5264444444444444, 0.41522222222222216, 0.41522222222222216, 0.41522222222222216, 0.41522222222222216, 0.4152222222222222, 0.41522222222222216, 0.4152222222222222, 0.41522222222222216]","[0.7611666666666665, 0.7611666666666667, 0.7611666666666667, 0.7611666666666667, 0.7611666666666665, 0.7611666666666665, 0.7611666666666667, 0.7611666666666667, 0.6499444444444443, 0.6499444444444444, 0.6499444444444443, 0.6499444444444443, 0.6499444444444444, 0.6499444444444444, 0.6499444444444443, 0.6499444444444444]","[0.7611666666666667, 0.7611666666666668, 0.7611666666666665, 0.7611666666666667, 0.7611666666666665, 0.7611666666666665, 0.7611666666666667, 0.7611666666666667, 0.6499444444444444, 0.6499444444444443, 0.6499444444444444, 0.6499444444444443, 0.6499444444444444, 0.6499444444444443, 0.6499444444444443, 0.6499444444444443]","[0.7611666666666667, 0.7611666666666665, 0.7611666666666665, 0.7611666666666667, 0.7611666666666667, 0.7611666666666668, 0.7611666666666665, 0.7611666666666667, 0.6499444444444443, 0.6499444444444444, 0.6499444444444444, 0.6499444444444444, 0.6499444444444445, 0.6499444444444444, 0.6499444444444443, 0.6499444444444443]","[0.9958888888888889, 0.9958888888888892, 0.9958888888888889, 0.9958888888888889, 0.9958888888888889, 0.9958888888888892, 0.9958888888888889, 0.9958888888888889, 0.8846666666666666, 0.8846666666666667, 0.8846666666666666, 0.8846666666666666, 0.8846666666666667, 0.8846666666666667, 0.8846666666666666, 0.8846666666666666]","[0.9958888888888892, 0.9958888888888889, 0.9958888888888889, 0.9958888888888889, 0.9958888888888889, 0.9958888888888889, 0.9958888888888889, 0.9958888888888889, 0.8846666666666666, 0.8846666666666668, 0.8846666666666667, 0.8846666666666666, 0.8846666666666666, 0.8846666666666666, 0.8846666666666666, 0.8846666666666666]","[0.9958888888888889, 0.9958888888888892, 0.9958888888888889, 0.9958888888888889, 0.9958888888888892, 0.9958888888888889, 0.9958888888888889, 0.9958888888888889, 0.8846666666666666, 0.8846666666666666, 0.8846666666666667, 0.8846666666666667, 0.8846666666666667, 0.8846666666666666, 0.8846666666666667, 0.8846666666666667]"
radDeg,"[0.6441948945591771, 0.6609970587574763, 0.678575926847851, 0.6968727233936879, 0.7158323993953062, 0.7354036869223516, 0.7555390583913049, 0.7761946161056313, 0.7055120713163119, 0.6827211238659218, 0.6603689330083727, 0.6385015794050506, 0.617170600914551, 0.5964335494203528, 0.5763545363971975, 0.5570047296816368]","[0.8027262413709657, 0.8244102005269879, 0.8464945753993067, 0.868948836772261, 0.891745043706425, 0.9148576350020556, 0.9382632301051642, 0.9619404414578884, 0.905870877781744, 0.8806872570726766, 0.8557080032560221, 0.8309515469700132, 0.806438407131436, 0.7821914599962313, 0.7582362429975474, 0.7346012964927403]","[0.9919363473641539, 1.0161560844642243, 1.0405896338438814, 1.0652222826391209, 1.0900405332353669, 1.1150319923923617, 1.1401852706108346, 1.165489890935994, 1.1196624159531148, 1.0932973386152012, 1.067039062104024, 1.0408956691217532, 1.0148760379696793, 0.9889899369568187, 0.9632481315149581, 0.9376625058307624]","[0.8468847460882726, 0.8597343482942463, 0.8733215924031484, 0.8876126044162739, 0.9025739553742118, 0.9181728769468678, 0.9343774379989197, 0.9511566847586748, 0.8647296168613704, 0.8462381247158234, 0.8283107632984781, 0.8109849449269257, 0.79430003438805, 0.7782972515617153, 0.7630195163803669, 0.7485112266328973]","[0.972928101056826, 0.9908939232533097, 1.0093416280390493, 1.0282452794358758, 1.0475801949773678, 1.0673229374336646, 1.0874512946662467, 1.1079442501345125, 1.0346998976101383, 1.012725539290005, 0.9910803505123225, 0.9697863722691646, 0.9488672498999329, 0.928348324419768, 0.9082567194358111, 0.888621420389417]","[1.1340841974902989, 1.1553272026218373, 1.1768742502377127, 1.198708944765313, 1.2208158523220327, 1.2431804510742448, 1.265789082042069, 1.288628900859878, 1.2262278590901758, 1.2022027235957542, 1.1783743540383371, 1.1547549312785004, 1.131357541978552, 1.1081962496304216, 1.0852861701053764, 1.0626435516076724]","[1.0628395856993085, 1.0731059793837059, 1.0840216376632046, 1.0955671539106453, 1.1077228337477425, 1.1204688188237353, 1.1337852007226457, 1.1476521244130706, 1.052593340597395, 1.037456288903231, 1.0228863115417515, 1.0089079767423426, 0.9955462063459561, 0.9828261477221706, 0.9707730262859856, 0.959411978622501]","[1.1657588494756785, 1.180793756252665, 1.1963160553751035, 1.2123070253690007, 1.2287483684778078, 1.2456222509978567, 1.2629113354430261, 1.2805988052721942, 1.1961552989971687, 1.177199339464056, 1.1586315698206688, 1.14047095034077, 1.122737238535125, 1.105450980031514, 1.0886334901835657, 1.0723068249731076]","[1.3032794600983428, 1.321805315602785, 1.3406786503330574, 1.3598849967635145, 1.37941044480809, 1.399241636004036, 1.4193657549998198, 1.4397705188193692, 1.365211538122885, 1.3436745529287173, 1.3223986194717687, 1.3013965412596953, 1.2806817913340638, 1.260268538025711, 1.240171669347442, 1.2204068154509327]"
effarea,"[34.0792620122123, 34.067155276662, 34.048725218288894, 34.02949616031595, 34.042851350630734, 34.02567126919883, 34.01923769639872, 34.02488247378174, 34.032002974908984, 34.044371837481044, 34.067813817027755, 34.08272426122993, 34.08624976233802, 34.06320856536718, 34.04275744351525, 34.05420336753585]","[33.998214380785654, 33.98741756648599, 33.94925146296097, 33.92419964778739, 33.885042562505035, 33.82209497320777, 33.789526071468785, 33.791938873013095, 33.85667485174557, 33.89278149087158, 33.94925146296097, 33.97140339606836, 33.998214380785654, 34.02314143354344, 34.01923769639872, 34.02679439487713]","[33.74780175836535, 33.73934765381123, 33.73893499129282, 33.72169552820508, 33.707853443335665, 33.66754021608409, 33.62697049350368, 33.568808876433835, 33.65619155520233, 33.70671825487371, 33.72042403268773, 33.73872080872885, 33.73934765381123, 33.75089083756653, 33.78964907095741, 33.78994649576178]","[33.94925146296097, 33.94925146296097, 33.911958339933406, 33.88793470111332, 33.86936098241608, 33.80933835132908, 33.792245591003166, 33.792229953440646, 33.936011140171736, 33.94925146296097, 33.97786841976347, 33.998214380785654, 34.006192763263755, 34.02561536605839, 34.020290175670866, 34.01923769639872]","[33.77269917213697, 33.74889465792598, 33.73934765381123, 33.73934765381123, 33.734042560859336, 33.72022535903686, 33.70875594545234, 33.68491149589172, 33.73934765381123, 33.73934765381123, 33.74869920363118, 33.778200427573964, 33.791425667084745, 33.796465140506896, 33.84749444188409, 33.887228668811396]","[33.6356888299185, 33.589859276952325, 33.54890578826129, 33.49763886509251, 33.432320713891635, 33.441357043895735, 33.35617300119306, 33.26438169125176, 33.43800963021096, 33.48753793602312, 33.54628318145308, 33.59126185132217, 33.63949791343681, 33.68429387273394, 33.709510618861884, 33.723500284924484]","[33.72336308804749, 33.716178025797895, 33.7099513828839, 33.70592709057813, 33.68545416319939, 33.654709243113714, 33.63610652245604, 33.60867005283265, 33.730534049063124, 33.73934765381123, 33.73934765381123, 33.73934765381123, 33.744017105598665, 33.757353085011026, 33.77647276865069, 33.79513006662503]","[33.56833866064142, 33.54149786024043, 33.50349700742132, 33.45570177908286, 33.44065910342906, 33.43281242492263, 33.36926022406318, 33.28966049821423, 33.503890562487456, 33.54833744011236, 33.58176063494337, 33.62627032378199, 33.65154030589446, 33.69102222777495, 33.70834388069731, 33.716737323869225]","[33.21940469522471, 33.170703659682985, 33.149014745192225, 33.07505849726243, 32.979576462653476, 32.916116999997094, 32.83240948889286, 32.7813450693593, 33.049098452776285, 33.137478677364825, 33.17008162731536, 33.22467583112015, 33.28939925740885, 33.38127896081105, 33.4518857089105, 33.43189074832971]"
readnoise,"[5.481, 5.206, 5.253, 5.455, 5.259, 5.226, 5.315, 5.22, 5.35, 5.268, 5.269, 7.39, 5.346, 5.256, 5.232, 5.411]","[5.138, 5.126, 5.14, 5.149, 5.142, 5.121, 5.102, 5.295, 5.324, 5.3, 5.281, 5.301, 5.295, 5.372, 5.291, 5.211]","[5.099, 5.072, 5.025, 5.077, 5.206, 5.126, 5.202, 5.12, 5.385, 5.273, 5.168, 5.18, 5.327, 5.295, 5.198, 5.256]","[5.603, 5.835, 6.472, 6.203, 5.499, 5.967, 5.533, 5.523, 5.336, 5.344, 5.455, 5.523, 5.481, 5.453, 5.409, 5.638]","[5.137, 5.34, 5.133, 5.165, 5.166, 5.202, 5.216, 5.392, 5.24, 5.164, 5.219, 5.279, 5.22, 5.204, 5.413, 5.221]","[5.283, 5.471, 5.533, 5.34, 5.182, 5.379, 5.208, 5.395, 6.188, 5.436, 5.891, 5.89, 5.614, 5.483, 5.356, 5.401]","[5.183, 5.078, 5.055, 5.036, 5.114, 5.081, 5.117, 5.124, 5.284, 5.39, 5.353, 5.588, 5.484, 5.366, 5.369, 5.215]","[5.174, 5.431, 5.304, 5.464, 5.399, 5.267, 5.195, 5.445, 5.109, 5.212, 5.224, 6.16, 5.342, 5.274, 5.579, 5.723]","[5.057, 5.119, 5.349, 5.166, 5.656, 5.415, 5.38, 5.346, 5.263, 5.143, 5.428, 5.34, 5.237, 5.347, 5.219, 5.079]"
gain,"[1.17995, 1.17845, 1.18921, 1.1777, 1.18308, 1.18343, 1.18557, 1.1809, 1.16035, 1.16636, 1.15457, 1.1614, 1.16691, 1.15994, 1.17629, 1.18683]","[1.16416, 1.16314, 1.16472, 1.16345, 1.16328, 1.15728, 1.15155, 1.14309, 1.1803, 1.18609, 1.17448, 1.18547, 1.19268, 1.19059, 1.19402, 1.16131]","[1.10962, 1.11752, 1.11124, 1.10681, 1.11725, 1.11877, 1.12648, 1.12168, 1.12073, 1.12799, 1.12015, 1.12554, 1.13013, 1.13853, 1.13504, 1.12856]","[1.20096, 1.20561, 1.20514, 1.21338, 1.21113, 1.20906, 1.21144, 1.21044, 1.1677, 1.15773, 1.15845, 1.15665, 1.15513, 1.15699, 1.15007, 1.14684]","[1.15605, 1.15194, 1.15042, 1.14961, 1.15477, 1.15638, 1.16049, 1.17129, 1.14056, 1.13183, 1.14413, 1.14637, 1.14606, 1.15325, 1.16376, 1.15308]","[1.17648, 1.15748, 1.17104, 1.15598, 1.13982, 1.14739, 1.13784, 1.15397, 1.13592, 1.13954, 1.1447, 1.14823, 1.14549, 1.1539, 1.15937, 1.14455]","[1.15487, 1.14316, 1.12931, 1.1382, 1.15159, 1.145, 1.1524, 1.16261, 1.14908, 1.17257, 1.17075, 1.17928, 1.17086, 1.17126, 1.17936, 1.16158]","[1.18143, 1.17984, 1.19023, 1.18884, 1.17606, 1.19487, 1.18718, 1.19593, 1.12472, 1.15469, 1.15527, 1.17508, 1.17, 1.17326, 1.17907, 1.17996]","[1.15373, 1.15799, 1.16196, 1.15815, 1.15847, 1.16633, 1.16825, 1.17124, 1.13691, 1.13191, 1.14399, 1.14058, 1.14513, 1.14612, 1.14308, 1.13381]"
saturation,"[124334.0, 124249.0, 109404.0, 108931.0, 107808.0, 106827.0, 105713.0, 116501.0, 121100.0, 122533.0, 124802.0, 125290.0, 126196.0, 114260.0, 127637.0, 114446.0]","[105109.0, 104703.0, 103319.0, 102237.0, 101078.0, 112250.0, 111740.0, 110027.0, 121977.0, 110581.0, 113179.0, 113284.0, 114093.0, 115539.0, 116290.0, 107864.0]","[110274.0, 121406.0, 120437.0, 119304.0, 116777.0, 115302.0, 113398.0, 111131.0, 112986.0, 114804.0, 117032.0, 118050.0, 119130.0, 107237.0, 121376.0, 109859.0]","[82308.0, 91519.0, 101436.0, 99915.0, 99317.0, 110347.0, 109486.0, 107881.0, 129085.0, 117876.0, 118896.0, 119872.0, 121349.0, 122312.0, 124113.0, 124553.0]","[109890.0, 122548.0, 121551.0, 120332.0, 118651.0, 117384.0, 115933.0, 112763.0, 119311.0, 122188.0, 122286.0, 110461.0, 111430.0, 112253.0, 112465.0, 113844.0]","[112004.0, 113028.0, 110589.0, 110314.0, 110512.0, 121135.0, 120820.0, 117089.0, 122536.0, 124541.0, 125462.0, 113525.0, 115029.0, 115762.0, 117119.0, 118964.0]","[103729.0, 105553.0, 106050.0, 104431.0, 114995.0, 102511.0, 90412.0, 87646.0, 82101.0, 103382.0, 93195.0, 104146.0, 94611.0, 76166.0, 95562.0, 96142.0]","[84751.0, 106575.0, 105065.0, 103707.0, 103886.0, 80716.0, 90289.0, 87404.0, 107931.0, 108016.0, 97303.0, 96659.0, 98148.0, 98932.0, 99541.0, 98798.0]","[97937.0, 97794.0, 96600.0, 95902.0, 94696.0, 92974.0, 102699.0, 89295.0, 94799.0, 98038.0, 98101.0, 99552.0, 100396.0, 90639.0, 92085.0, 82365.0]"
