,R33_S00,R33_S01,R33_S02,R33_S10,R33_S11,R33_S12,R33_S20,R33_S21,R33_S22
u,"[0.04039868370314497, 0.040593154685175166, 0.04080070033548907, 0.040963285888630956, 0.041044932765361225, 0.041263141040485216, 0.04135937784636667, 0.041517513522501714, 0.04188682022855986, 0.04191105084994571, 0.04171534384536369, 0.041604460904798024, 0.041404378799467866, 0.04135111429288261, 0.04105466164138347, 0.04152374510007879]","[0.03483434429166525, 0.035243768658033206, 0.035716906291409965, 0.03602903838694711, 0.03627575179895332, 0.036656173552485405, 0.03673528145150352, 0.03704378214572435, 0.03788636239773887, 0.037745532537457646, 0.03754157240206353, 0.037287553594013374, 0.0369469399918773, 0.03666350323062276, 0.03646773582593269, 0.03611735640803545]","[0.03597068995076781, 0.03655881134641458, 0.03698141654527096, 0.0373163223331129, 0.03753661097557456, 0.03795254586056016, 0.03813234174283121, 0.03836954797054158, 0.03913122786559406, 0.03895898744011012, 0.03881428812775498, 0.038542674601141136, 0.03831321959327258, 0.038120008578458105, 0.03780841006918113, 0.03749469182672044]","[0.03934620924051771, 0.03952512173694136, 0.039579412529906044, 0.039694681749636994, 0.03972287212780841, 0.03984129474877508, 0.03979493443976406, 0.03969420880691272, 0.040244592755697584, 0.04024736767683648, 0.040254086698050306, 0.040212330526738733, 0.04003809528253383, 0.03999805849651451, 0.0399251113465618, 0.03986316934469807]","[0.034454639129499885, 0.03520357772571364, 0.03557550011335546, 0.03596186694145941, 0.036363921198554514, 0.036727155549109276, 0.036940883663115376, 0.03729893658373408, 0.03816650933594001, 0.03801604536736172, 0.037797612756179585, 0.03748504950351859, 0.037221034253988844, 0.0370825513805896, 0.03671469049873057, 0.03619297092010423]","[0.041365140601547085, 0.041376298399015424, 0.041241620899638114, 0.04107292709136003, 0.041112713603008916, 0.041033210800033595, 0.040882072576033573, 0.040857698435103514, 0.04122700108752134, 0.041351802620137906, 0.0413732695629186, 0.04140946666163935, 0.04147298900069605, 0.04154186512651509, 0.0416935307524517, 0.041667815557559613]","[0.03968071869920047, 0.0399142016296805, 0.04003651332608906, 0.04022169989754184, 0.04049233643856623, 0.040698874292991835, 0.04091480105525925, 0.041034771417455616, 0.04142787333086875, 0.04140301038788156, 0.04119267010939872, 0.041024276309107925, 0.04085776728625028, 0.040778473500431206, 0.040692134098080146, 0.040520826766958236]","[0.036592341398641134, 0.03696346723045103, 0.037462771052998105, 0.037806379796530856, 0.03802047168297712, 0.03830397426239869, 0.038409580691006626, 0.038721203484054875, 0.039510778821752544, 0.03943132565080032, 0.039174808752291845, 0.0390219630786576, 0.03877801692086909, 0.03849451832212622, 0.03820971798178131, 0.03773916313231828]","[0.03401128650192402, 0.03482111433830339, 0.03535181516225484, 0.03586362091274782, 0.03633095840971384, 0.03665510038180054, 0.036990325744044254, 0.037294743418048025, 0.03824210686431506, 0.03810371292946036, 0.037825981602548193, 0.0375054961133813, 0.037343960104689156, 0.036934883422593455, 0.0366533691468528, 0.03615556023208909]"
g,"[0.13393656700400455, 0.13399431556195862, 0.13416120037499227, 0.1344233597619666, 0.13434366653258625, 0.13466788777384878, 0.13479433621477055, 0.13511889601441196, 0.1347007475385594, 0.13494301469624015, 0.13447151655214168, 0.13446018550924996, 0.13411391027844552, 0.1341977387627312, 0.13365988409533536, 0.13559858847521014]","[0.13166212857513607, 0.1318548225817826, 0.1321471485617383, 0.13240269624465326, 0.13239891002285403, 0.13281226641059157, 0.13248656889834198, 0.13278004854245432, 0.1328136312761996, 0.13295318107489246, 0.13284824539398796, 0.13273789426781019, 0.1323477069215896, 0.13208719221675624, 0.13226196052114145, 0.13196103792405142]","[0.13069051065370796, 0.13131667163992344, 0.1313124970884739, 0.13143403000635617, 0.13140211281841227, 0.13190211056986573, 0.1319329245265627, 0.13223424090073502, 0.13224882642126676, 0.13213750396905338, 0.1320872407556528, 0.1319945587218455, 0.1319036756119111, 0.13189282378037387, 0.13170634277973112, 0.13147121984629798]","[0.13388100869441655, 0.13409896934310103, 0.1340401440480302, 0.13437336157166868, 0.13419411638032064, 0.13441546938920595, 0.13436844964468153, 0.13421946787720745, 0.13447872338551078, 0.13433951413158185, 0.13425264937648815, 0.13424329096853455, 0.13390330618072324, 0.1338811843442727, 0.1338368933860786, 0.13395116304427565]","[0.13107292102178023, 0.13191941194760598, 0.1318931777261817, 0.13230751969039425, 0.13244057061989584, 0.1328729735346338, 0.1330109788963688, 0.1332325884888406, 0.1332125645157386, 0.13340783545577745, 0.13316134934304777, 0.1328716929614383, 0.13283478610205451, 0.13297100676933232, 0.13264323144161935, 0.13212138327935383]","[0.13567734732973, 0.13571830732976592, 0.13550478270581653, 0.13516114481229102, 0.13533092281474055, 0.1352216233101079, 0.1349230950798481, 0.13483684618124472, 0.1350744487345413, 0.13546574647756066, 0.13531940767456105, 0.1353237409708371, 0.13551978767647924, 0.1355851069617066, 0.13584541349209706, 0.13573752098881744]","[0.1330560513792668, 0.13318749193155346, 0.13298621668093263, 0.13326028231315698, 0.13365473883827822, 0.13373068446127945, 0.13419076054099405, 0.1341442574306738, 0.13448707928696976, 0.1345983131860798, 0.1341441077120345, 0.13402229348083036, 0.133753335540087, 0.13373900090615606, 0.1339470025633691, 0.13382383758407457]","[0.13274808684138154, 0.1327074853114846, 0.13326071669167888, 0.13359824816837737, 0.13356102702057582, 0.13385278651224233, 0.133606070296344, 0.1341057412625752, 0.13431318462436287, 0.13441851486630024, 0.1341114178682777, 0.13427887560263124, 0.13424161460947595, 0.13406125170119446, 0.13393140096750566, 0.13326744111777908]","[0.13418803868384993, 0.13478321500706703, 0.1345511787712108, 0.13500060343679238, 0.1353878279685574, 0.1352972866062349, 0.1356414075550574, 0.1359590587699615, 0.1366565665049192, 0.1367447493887972, 0.13636286174364542, 0.13609284346877284, 0.13633692499595843, 0.13578029006334663, 0.13607888100372317, 0.13575827191670808]"
r,"[0.11277342989398036, 0.1127514788762083, 0.11281586916605109, 0.11299199353209735, 0.11287022667575276, 0.11307540400653053, 0.11316849188049716, 0.11343256974990644, 0.11284490241442832, 0.11305259221891865, 0.11267394460783588, 0.11271511805568708, 0.11247848898362157, 0.11259848854883095, 0.11221881610087936, 0.11390119550082965]","[0.1128673786154355, 0.11284520792508454, 0.11289391118720186, 0.11297398232151867, 0.1128426408863704, 0.11305597820688479, 0.11268916169697248, 0.1128256576962347, 0.1124062123796075, 0.11261872144121073, 0.11261706037342215, 0.11263127737621986, 0.11241512756968622, 0.11232396457294609, 0.11261799194980304, 0.11250030110848401]","[0.1121065634797758, 0.11241144961163292, 0.11220005169222425, 0.11215761805939212, 0.11204004757750502, 0.11231914528653844, 0.11223581205640037, 0.11241269797276306, 0.11206872504217018, 0.11204157629811783, 0.11207258864110274, 0.11211029647151183, 0.11213030509992133, 0.1122113023439685, 0.11216637994736854, 0.11210432129442931]","[0.11343364282289894, 0.11356160518779519, 0.1134902253409535, 0.11374798318181073, 0.11356395247305413, 0.11372995237442317, 0.11368352165470279, 0.11361318017979, 0.11365403083598817, 0.1134890442772507, 0.1134229102229284, 0.11341175876943471, 0.11316859448043556, 0.11316114954441796, 0.11316005950952229, 0.11328726316587741]","[0.11294563818107765, 0.11341518821479667, 0.11319551362541862, 0.11340725183998467, 0.11335021409774787, 0.11360118561765374, 0.11362259712539144, 0.11370226164439141, 0.11331175476066731, 0.11356705891584833, 0.11342282318049496, 0.11327638418480371, 0.11336072961848728, 0.11355975822334967, 0.11341868819060247, 0.11315364154159259]","[0.11362168771479703, 0.11364659747024158, 0.11350031657634159, 0.1132472172733573, 0.11339293782663276, 0.11332279996810408, 0.11310324783992835, 0.11302028120954802, 0.1131147570348494, 0.11342430088673473, 0.1132794599384848, 0.11326699272961667, 0.11342232423612007, 0.11344827891170706, 0.11362873761215303, 0.11353777213006983]","[0.11274909827956116, 0.1127618830343344, 0.11249365325600409, 0.11267864874821791, 0.11290808373027308, 0.11289263903401163, 0.11323628959456546, 0.11316720084698151, 0.11333218231458272, 0.11342971646336573, 0.11308580356307067, 0.113037739201618, 0.11286030943058889, 0.11289357374939195, 0.11313800563889266, 0.1130827805969045]","[0.11352985863948929, 0.11333123913769803, 0.11364705642085304, 0.1138043882162865, 0.11365392352057624, 0.11381611045811377, 0.11352247464301804, 0.11387170510493756, 0.11368020543904132, 0.11381880378397925, 0.11363494406316148, 0.11386584762248038, 0.113941307474154, 0.11390374033818983, 0.11389817135723344, 0.11346751770966668]","[0.1135676342815285, 0.11380982309172517, 0.11336038205284513, 0.11357248832783692, 0.11373672531125749, 0.11350479343397737, 0.11367685651847954, 0.11384618433822774, 0.11399693409484304, 0.11414805998911355, 0.11392540483111388, 0.11383660576612313, 0.11417447637181495, 0.11382297087810753, 0.11420931917758209, 0.11407365436651395]"
i,"[0.08141445509201088, 0.08152527536267937, 0.08159156013975728, 0.08168968144881378, 0.08154072918748256, 0.08161335088279648, 0.08162038817337747, 0.08174723636079305, 0.08185973967673321, 0.08205682180532434, 0.08182535157673183, 0.08190265023898889, 0.08176528603846614, 0.08186629579142396, 0.08155212230784252, 0.082640168095094]","[0.08195893185554891, 0.0819163939144942, 0.08192399046535621, 0.08197001728692971, 0.08187863168503687, 0.0820498145279823, 0.08180677681075145, 0.08194024924056842, 0.08224841065743901, 0.08236379512658137, 0.0823380354283356, 0.0823341113980113, 0.08217136232123913, 0.0821078364097334, 0.08232601484088624, 0.08224577817040596]","[0.08120175355034774, 0.08148394436336835, 0.0814022402853755, 0.08143950798968598, 0.08144541177601253, 0.08168220816422568, 0.08160229427394543, 0.0816242958309474, 0.0818146331180212, 0.08190817899275706, 0.08196246635854905, 0.08196739936592255, 0.08191848280845797, 0.08191856740940481, 0.0818248015281111, 0.08171258259096059]","[0.0816892678766594, 0.081900728947883, 0.08188524979705261, 0.08202491092708634, 0.081833215615243, 0.08189892637737446, 0.08177628342331765, 0.08169594888351578, 0.08173533127863633, 0.08166191415496447, 0.08170242922798511, 0.08174493980306705, 0.08165021021085515, 0.08168168623284924, 0.0816625136508121, 0.08160975985403986]","[0.08098803587231368, 0.08128674886132777, 0.08110048780971858, 0.08123541528782223, 0.08119017640990783, 0.08138230142785613, 0.08142673301829984, 0.08153936489387033, 0.08128397836579072, 0.08142761696940753, 0.08128829657676871, 0.08116382615786215, 0.0812182997643132, 0.08136408218588893, 0.08128764141070871, 0.08113282197846285]","[0.0821316514572279, 0.08223403859664107, 0.0822294279994474, 0.08215950515231853, 0.08235473272882941, 0.08237996839803649, 0.08222976437979676, 0.08206634874152166, 0.08213166391628565, 0.0824340830512056, 0.0823186420488391, 0.08224397769940604, 0.08226555481645668, 0.08218179507657306, 0.08222251266329725, 0.08207927580573997]","[0.08217669416740184, 0.08233792444026965, 0.08221525723826854, 0.08237797246650316, 0.08251437579653795, 0.08247528268865159, 0.08269964531365931, 0.08263142320062149, 0.0822150373716421, 0.08232659541895027, 0.0821269913709857, 0.0821479611028349, 0.08206645881752835, 0.08210949984938566, 0.0822417729667093, 0.08204399868109684]","[0.0823075523535154, 0.08215878760633527, 0.08237802304664689, 0.08247637779603846, 0.08236771588830949, 0.08251103449255254, 0.08232640611572403, 0.08261978774340192, 0.08192272247624673, 0.08196634275043525, 0.08179745359549537, 0.08194010800326999, 0.08198126913972223, 0.08195862381013391, 0.08196314498288512, 0.08168139417214319]","[0.08069147112506554, 0.08093701773856646, 0.08067353395744134, 0.0808879876146159, 0.08105402382908598, 0.08091472509774891, 0.08101883902055972, 0.08105387916483711, 0.08072227274269066, 0.08092763413587162, 0.08078057147475144, 0.08068298782779974, 0.08085857036546172, 0.08052436166418576, 0.0807122489499417, 0.08051137819269764]"
z,"[0.054571292466686315, 0.054691116095867985, 0.05474378852178115, 0.0548100447183328, 0.05471252016385961, 0.05474984977277619, 0.054758063653262176, 0.054840394667642976, 0.055028311061430114, 0.05514992253227336, 0.05498624390923579, 0.05503583021674167, 0.05494409969782185, 0.05498466877223845, 0.054727112467220396, 0.05539333656048147]","[0.05490128959542833, 0.054801217921390095, 0.0547836453207597, 0.05478018660306868, 0.05470517217503256, 0.054817021007244934, 0.054643922234759536, 0.05474749591350678, 0.0550859337898106, 0.055161861356153516, 0.05517939791156691, 0.055193751528889924, 0.05509120114104318, 0.05505273352715877, 0.055222736153403465, 0.05521396231118281]","[0.05455794324537865, 0.054757828997612806, 0.05473231771519903, 0.054775482218870686, 0.05479498456677916, 0.05496581961637267, 0.05490530643466848, 0.05488612510654165, 0.0550632478673032, 0.05517752962148999, 0.05524413577937444, 0.05524678881057883, 0.055198271831727444, 0.05517449135861001, 0.05510553952320715, 0.05499565731599257]","[0.05461278936705248, 0.05479096638885508, 0.054793266910034756, 0.054877202481476615, 0.05473868278630695, 0.054791576342164715, 0.054694541737238256, 0.054659547717853044, 0.05459100746310826, 0.05453569500670622, 0.054573210026121706, 0.05459998131906162, 0.05455807694553397, 0.05457289660051253, 0.05451968932319122, 0.05442191086680737]","[0.054069977982674426, 0.05424729234760386, 0.054105483742809636, 0.05418068301976278, 0.054134169460139464, 0.054248887628278876, 0.05429897719905358, 0.05440191399073251, 0.054149944426133315, 0.05426060312531894, 0.05418419901428068, 0.05410871845433263, 0.054135558838084595, 0.0542414250033754, 0.05419039599193265, 0.05411526260117066]","[0.055059502709026695, 0.05513814912143993, 0.05514598479340343, 0.055121505227455826, 0.055277375017443224, 0.05532165740477557, 0.055183788328405994, 0.054997662101761276, 0.05514341888863842, 0.05537936847362487, 0.055301029913209905, 0.05524637818640243, 0.055251529648320204, 0.0551750070117894, 0.05520704189143642, 0.05510562569334569]","[0.055352581517810605, 0.0554828031542627, 0.055407295899771364, 0.05552341454149775, 0.05559785064205352, 0.05554251461514163, 0.055645129328359764, 0.05554320723340138, 0.05513502056863016, 0.05524213464535765, 0.05513027644903079, 0.055174382647677676, 0.05514360545089864, 0.05522035322026426, 0.05531227085016793, 0.055160183495274843]","[0.05546463959612704, 0.05532174449561389, 0.055435562296932445, 0.05548446542967938, 0.055419980248900116, 0.0554923804880367, 0.05536760547525666, 0.0555768345414061, 0.05475280388149115, 0.054806491905172484, 0.054725202668325174, 0.054845501342969276, 0.054877982365535545, 0.05487790375600921, 0.05490643705479308, 0.054741878141792814]","[0.053786788914723875, 0.05396503094181007, 0.053796480618344696, 0.0539599282881254, 0.054099199518069074, 0.05400927566663593, 0.054086186312972226, 0.0540820078395628, 0.05365345338142042, 0.05384030793758159, 0.05376194743476402, 0.05369174029011798, 0.053768983911871106, 0.05351226640674069, 0.0535844532249269, 0.053420833745733566]"
y,"[0.02426425647442466, 0.024295725663103906, 0.02430862908197378, 0.02434034094765276, 0.02430916744622539, 0.024359666549787832, 0.024389806221672198, 0.02445972604024001, 0.024519697892705587, 0.024497660105162963, 0.0244073850606668, 0.024453861102800786, 0.02442719254425076, 0.024426015349104095, 0.02428858290080707, 0.024592245568582832]","[0.024245286637950756, 0.024205832142145747, 0.024199961193936446, 0.02418488231456399, 0.02415110274051775, 0.024194381220857854, 0.024103158581421973, 0.024132076568668108, 0.024163168622071393, 0.024253808140651922, 0.024317103328516596, 0.02432682314012263, 0.02428479622811575, 0.024267330277984164, 0.024362293633126992, 0.024394767549798402]","[0.024536563951012447, 0.024599192127857127, 0.024540105923191457, 0.024551320574512644, 0.024583221241711996, 0.02465177230870502, 0.024625771467998357, 0.024643400954516028, 0.0246391931150996, 0.02466250561323045, 0.02468964442487562, 0.024707729547000182, 0.024679206705819724, 0.024677245692543204, 0.024681784389874444, 0.024705052388973612]","[0.024376798139659227, 0.024446392021281526, 0.024434184416492064, 0.024450598517120926, 0.024432242069198633, 0.024440152200008804, 0.024465623311886557, 0.024490732766184253, 0.02439732871817503, 0.0243327880311864, 0.024328042651514083, 0.02434222732380487, 0.024309391816865908, 0.024308210951522122, 0.024260350738162444, 0.024208380863885163]","[0.024332369338510577, 0.02437542521511921, 0.02428596201832559, 0.024307633714127867, 0.02427976816048814, 0.024347491032020083, 0.02433821975936829, 0.02440539023299895, 0.024272560645635103, 0.024328585936360638, 0.024326865999007085, 0.02430172620429714, 0.024301830663809962, 0.024334389261660604, 0.024335246107206984, 0.024401558299519455]","[0.024703314472318116, 0.024685611275813625, 0.0246479280711291, 0.024628902331470026, 0.024666499364802755, 0.024634141455868196, 0.024541450595284807, 0.024446462406274204, 0.02472456091159775, 0.024767083893559576, 0.024742119092375572, 0.02473115660650721, 0.024776442738000993, 0.024794887729017133, 0.02479949617822437, 0.024755047605918006]","[0.024643755464476665, 0.02466701990833328, 0.024618243243725912, 0.024679406392454188, 0.024708877091771365, 0.02463909335414421, 0.0246356307175592, 0.02455665555362327, 0.024635090376337872, 0.02468072113437989, 0.02463051425832244, 0.024639905944015675, 0.024620101576924916, 0.02462444342354867, 0.02468286396526907, 0.024656992072194784]","[0.02483647497269664, 0.024778145648732753, 0.024825813391529495, 0.02484095400130178, 0.024817421236035562, 0.02481195278592832, 0.024742369269575317, 0.024843236218397142, 0.0244193337258022, 0.02447865349113535, 0.024497461935465977, 0.024569685175143425, 0.024585157945945076, 0.024598712813428233, 0.024627637107587336, 0.0246645607472595]","[0.024101526752465786, 0.024196053958227378, 0.024126826727733662, 0.02418930901025553, 0.024216016251731077, 0.02417493651244586, 0.024212507469329205, 0.024215450349322643, 0.0240145487753654, 0.024093869616647782, 0.024079763536343845, 0.024047566177947947, 0.024062162376123252, 0.023970759346380936, 0.02406056821043268, 0.024054557543818265]"
