,R33_S00,R33_S01,R33_S02,R33_S10,R33_S11,R33_S12,R33_S20,R33_S21,R33_S22
u,"[24.251292148874718, 24.274361886763838, 24.274446727075635, 24.262653533011832, 24.278367701232327, 24.284296100220544, 24.279637099285452, 24.289304328454605, 24.287019957338842, 24.293572048847395, 24.290517277885854, 24.134843254294218, 24.279952279648242, 24.284869730844306, 24.280685611412764, 24.277020130116007]","[24.162832454464322, 24.172618416169428, 24.1809977784417, 24.18650397276722, 24.19144310701223, 24.19967514949689, 24.202007135098086, 24.19390069340522, 24.21081447195913, 24.210549913222778, 24.20904757954405, 24.202774276240937, 24.196682952879847, 24.185368250543082, 24.187259297269907, 24.18598035389214]","[24.18209419953827, 24.196464050806483, 24.208796681298736, 24.21141649190708, 24.206025623548854, 24.21950654390539, 24.21655584520882, 24.226044256562794, 24.22374735832576, 24.229724361187976, 24.234877268145016, 24.22904254030466, 24.213553047283668, 24.212255607360113, 24.213962216573666, 24.20311705012258]","[24.2185414817572, 24.204935748193627, 24.157526739080687, 24.179467316879922, 24.231718845805847, 24.19818686496214, 24.228842561844576, 24.227692365802927, 24.25514076784108, 24.254899027422205, 24.247758623861632, 24.2424508056898, 24.242379085234344, 24.24412166310048, 24.24582614505662, 24.227855694583447]","[24.145120365878093, 24.14558468343085, 24.169512421371948, 24.17545173523573, 24.18383536901927, 24.188495178510966, 24.191684955003858, 24.185380922455533, 24.215910227803576, 24.218504851319302, 24.210167703853465, 24.199936707221745, 24.19918638113217, 24.19758786770976, 24.175213690076024, 24.179576331149065]","[24.276005637749265, 24.261707589104056, 24.253808803447647, 24.263464634187777, 24.274058977859557, 24.258693624434144, 24.266250249204994, 24.250128542156535, 24.202836601855743, 24.26142582241041, 24.230087026011894, 24.231893193550047, 24.254298645466527, 24.2660242029636, 24.278475608316892, 24.275144202200693]","[24.252060743423385, 24.26398685609535, 24.267874410227293, 24.27269769847197, 24.271777257969458, 24.277304900985445, 24.278390071146852, 24.27954924821779, 24.278017370073304, 24.270173709692006, 24.268855860559178, 24.248775345207946, 24.25322048528725, 24.260502336110655, 24.25906355560717, 24.26723484048296]","[24.185308672266068, 24.172989724814457, 24.192202529718994, 24.18608797435883, 24.19504146380555, 24.210535355096255, 24.216541748256763, 24.20237089123732, 24.247591801362898, 24.23955223802759, 24.234395629697712, 24.162554173264848, 24.21943775882362, 24.219676298241733, 24.19155271390919, 24.171063506814953]","[24.125147033618262, 24.13749255481249, 24.130868139087184, 24.154516718398558, 24.12450167551676, 24.148607541135274, 24.15642336532379, 24.164203522633827, 24.19618860861992, 24.204382679223702, 24.178245733957503, 24.179567035903567, 24.185509897548755, 24.170806529907942, 24.176194663055334, 24.17566582093347]"
g,"[24.981352939945214, 24.987449493603503, 24.986911638276165, 24.98337834304247, 24.987560476787497, 24.989470778159344, 24.988025147053143, 24.991648125820742, 24.9872089672516, 24.990317845916262, 24.988563667006954, 24.936546323032463, 24.98554663149938, 24.987447386254864, 24.985094601100073, 24.990251929658314]","[24.975862525716412, 24.97694384829457, 24.977436841579564, 24.978061923454984, 24.9775687094084, 24.978880025614384, 24.977243659502555, 24.9745301972498, 24.97552101226824, 24.977291864494905, 24.978188799539545, 24.977571382987236, 24.976300684774404, 24.973759551809238, 24.976200094342303, 24.97658540188092]","[24.967406477273123, 24.97090703888851, 24.972019397521176, 24.97124917884219, 24.96811713999609, 24.971544629149694, 24.969351684939344, 24.97151868443006, 24.96758921802773, 24.970443740537434, 24.972714916201017, 24.972283614962443, 24.968569477119562, 24.969377742989224, 24.971261297547162, 24.96879913502695]","[24.97558985874153, 24.971291947105396, 24.954848358718213, 24.962661318474034, 24.978000098139866, 24.967130434277056, 24.976636212248994, 24.97615976066336, 24.98423035312689, 24.983678133155866, 24.98137208734833, 24.980170663644575, 24.979671690241794, 24.980543444826196, 24.981202941195505, 24.976541689000758]","[24.968215561239074, 24.96745675265431, 24.97181036181623, 24.97313422482631, 24.973740403763436, 24.97478710646237, 24.974973614623007, 24.971778695560083, 24.976284970557312, 24.9787697122136, 24.976567492737562, 24.974389027438697, 24.97566983761788, 24.97668000526454, 24.971409402012746, 24.973818571633608]","[24.986216311856126, 24.981438803919605, 24.978307039999947, 24.980078839490595, 24.983085974989418, 24.978454593055073, 24.979256764339382, 24.973044409560682, 24.95881502745249, 24.97919528136754, 24.96917566403829, 24.970066212571226, 24.978262727297388, 24.98234530514141, 24.986814220086096, 24.98559829682384]","[24.977302096474464, 24.9801005981714, 24.979620848123542, 24.981251306591385, 24.981088974796965, 24.98163502877382, 24.98266603815094, 24.981841566714824, 24.982229394713155, 24.98056007787449, 24.97925921113043, 24.973392392167302, 24.974554006763572, 24.977334465829433, 24.978526127470435, 24.98161435049356]","[24.972178958556977, 24.965926289516418, 24.970728196063284, 24.96790853561542, 24.968989999515575, 24.973179545817093, 24.972503141213195, 24.967846304776106, 24.98033621834774, 24.9793786050304, 24.978270059184197, 24.95818053015252, 24.977435060610784, 24.97874271072539, 24.971600104730886, 24.96525989855084]","[24.97406824691836, 24.974753507090682, 24.968444718020162, 24.973248555306938, 24.962361455826688, 24.966347936136216, 24.96720196357306, 24.968504658948532, 24.97873390847887, 24.98330585264787, 24.975937172173243, 24.977599233802504, 24.9820673824073, 24.97877922044772, 24.9841059713772, 24.985142931696213]"
r,"[24.49695709957996, 24.499768682348105, 24.499267717044958, 24.497548121764847, 24.499388342170505, 24.500526595839023, 24.49989657865187, 24.50242148872938, 24.498062424295547, 24.500265724410017, 24.498705966307153, 24.47119685313139, 24.497120522355036, 24.498361076195973, 24.496309589947753, 24.503151563662424]","[24.499771151406147, 24.499614251712888, 24.499059966986884, 24.498947139986086, 24.497682120351868, 24.497933124788645, 24.495698639345605, 24.49428885050291, 24.4929087667528, 24.49490322897097, 24.49608013112435, 24.496301704147065, 24.495707429098683, 24.494779356068197, 24.497159822141608, 24.497577408602993]","[24.49205317067245, 24.493794311102473, 24.493215544120325, 24.492130761744527, 24.489837853303484, 24.49149596814555, 24.489511145353518, 24.49034408265699, 24.487053449972038, 24.489085367072747, 24.49066863597647, 24.49104369817706, 24.48948015932819, 24.490469147424974, 24.49201203144117, 24.49102946174279]","[24.496665997176088, 24.4945316574586, 24.485311535980564, 24.4897940028215, 24.49719361755536, 24.491330667802316, 24.496079531984194, 24.495821199911916, 24.50068122735358, 24.499974693669024, 24.49884829779139, 24.49835179839408, 24.497721165142053, 24.498341682704147, 24.498745718079416, 24.496709921934453]","[24.496476570558542, 24.496201286127175, 24.49724274904554, 24.49798080057581, 24.49759179015618, 24.498242461492854, 24.49800126591054, 24.495997275594434, 24.496667474058196, 24.498826914554023, 24.4976329395465, 24.49671114698245, 24.498033791923163, 24.499320610497175, 24.49710208807778, 24.49859670536935]","[24.495881901818137, 24.493044559541957, 24.490841206449, 24.490895679772006, 24.49230767507187, 24.48984793619188, 24.48917909539221, 24.484994814513616, 24.478691526633476, 24.490520180346852, 24.485287027477465, 24.48602460748204, 24.491063152971506, 24.493532279492477, 24.49637315993086, 24.495629271700565]","[24.49396377199787, 24.495070684397216, 24.493832159984116, 24.494925483138747, 24.494903103710964, 24.4946547689768, 24.495701947506472, 24.494793192728174, 24.495972016358206, 24.495414197490526, 24.49406264868425, 24.49106538130711, 24.491453182801497, 24.493230910061488, 24.494791949561183, 24.496586257835396]","[24.495504100306043, 24.49108214863144, 24.493518379373015, 24.491645784681687, 24.491370863255323, 24.493582095405593, 24.491786016509668, 24.489304590949274, 24.49591318646798, 24.49624295502648, 24.495752454385432, 24.486387192967584, 24.497193989168657, 24.498454044723154, 24.495196394604868, 24.49138689283654]","[24.49143088655918, 24.491124761193653, 24.48581962039562, 24.48771010789037, 24.481086434940856, 24.481672236435415, 24.481486127766534, 24.481845945054403, 24.488354715967986, 24.49204188413956, 24.488200611369308, 24.48972563694689, 24.493761430203474, 24.492310515148315, 24.496975043469277, 24.49749713011373]"
i,"[24.026066397110146, 24.02882110120025, 24.028550839180944, 24.02722721341795, 24.028135850291214, 24.02871211876913, 24.027978620631206, 24.029828930558974, 24.028965829752977, 24.03120682610402, 24.029934618659837, 24.00981551686431, 24.029107075463067, 24.030192224617075, 24.027910822913828, 24.034373252311273]","[24.031346540527394, 24.030998201651332, 24.030318924234535, 24.03015253160941, 24.02890512466832, 24.029182707006765, 24.027051010508654, 24.026365481096477, 24.028628435214923, 24.030291407300034, 24.0312523914496, 24.031452552559017, 24.030830931820343, 24.030160667044214, 24.032291618908687, 24.03251644144509]","[24.022075855582145, 24.024050114627453, 24.023753299325183, 24.023198554742955, 24.021832361239262, 24.023420342431876, 24.021552331813524, 24.021532839409176, 24.021600352793623, 24.02393033058763, 24.02537630101483, 24.025648337380716, 24.024149197026397, 24.024687548484945, 24.02557514808806, 24.024377667904027]","[24.025032226699274, 24.024273132047224, 24.017326663565793, 24.02061636026742, 24.025528601451782, 24.020784529951985, 24.023680228567592, 24.023260611108697, 24.027594336554092, 24.02716994301305, 24.026892682665572, 24.026868336702755, 24.026624380894628, 24.027378009168828, 24.027570344586223, 24.0253355992401]","[24.02141814039519, 24.02144477739647, 24.02174647432246, 24.022441755252032, 24.02202142446864, 24.02281720135158, 24.02277279033786, 24.02159127653592, 24.02200642160806, 24.0237127915931, 24.022468293727158, 24.021605258295416, 24.0227253726256, 24.023967918417952, 24.02248419758432, 24.023662392653794]","[24.025440820052538, 24.0236544918058, 24.02226185082676, 24.022451091918455, 24.023923879676527, 24.022507776096557, 24.021454192264788, 24.01725829017261, 24.013349368075367, 24.023178164348646, 24.01927875877701, 24.019609115297833, 24.023218128065622, 24.024670702811235, 24.026591344439172, 24.02553885349962]","[24.02737916230923, 24.029061995126774, 24.028209361159206, 24.029399070022812, 24.029393660167685, 24.0289061829653, 24.029892624344924, 24.02893083326359, 24.027410551994308, 24.027375219024407, 24.026229318939986, 24.024257280970044, 24.02462177736409, 24.02614487559077, 24.027416032138774, 24.02781984638639]","[24.025840946806422, 24.022169607047978, 24.024150004323932, 24.022641761019532, 24.022184545414827, 24.024148359757202, 24.02234575284593, 24.02083039431837, 24.023199156213057, 24.02346466221598, 24.022791293005607, 24.016071808494978, 24.024306304209745, 24.025395803255723, 24.023058220945636, 24.019882235868824]","[24.00999589921295, 24.01029613039084, 24.005988897083338, 24.00774406086669, 24.002823291363633, 24.002882679297375, 24.002492775603827, 24.002261714796226, 24.0058188622705, 24.009718027905993, 24.006745638386246, 24.0078363244875, 24.01119710103819, 24.00955359512167, 24.013322435424072, 24.01284145803238]"
z,"[23.423207451532463, 23.425953462841868, 23.42594019813695, 23.425115374787524, 23.42543731837162, 23.425696710513094, 23.425081886831197, 23.42653214153942, 23.428216009151, 23.430168681075322, 23.42886665661836, 23.415059616312828, 23.428325704484884, 23.42892330764346, 23.426085610378617, 23.4320031705058]","[23.427400732739542, 23.42633549890932, 23.425460070542215, 23.425020195568436, 23.42367502079941, 23.423931961549307, 23.42178111633565, 23.421792011743655, 23.426648119960248, 23.42811167381838, 23.42923321228112, 23.429574008617056, 23.428973473731574, 23.428545944419028, 23.43067233565847, 23.431107016347788]","[23.419702063978, 23.421832861047797, 23.42182186615765, 23.4217018012611, 23.420996816308836, 23.4226161543166, 23.42087615107703, 23.420082975571916, 23.422193667062494, 23.424921729391407, 23.426428378037482, 23.42667829058704, 23.42530867639555, 23.42543674790698, 23.425916237399953, 23.424486163593457]","[23.42066740109456, 23.42111591079514, 23.41623541473166, 23.418564450765167, 23.421322038317292, 23.41779112004064, 23.419230450474394, 23.418822411512515, 23.42183065805283, 23.42148578448822, 23.421742285787033, 23.422016149787655, 23.422013322491054, 23.422693514100512, 23.422349756091414, 23.41987232151055]","[23.414704259016588, 23.414958442308304, 23.414535442164272, 23.41514466928311, 23.414589975491886, 23.41542226830636, 23.415639687319256, 23.415280636466207, 23.4146237867496, 23.416160326393374, 23.415142704538216, 23.4144657011408, 23.415344497717346, 23.4166175389451, 23.41572996558805, 23.41674668487283]","[23.421871272749883, 23.420838720381866, 23.4199073403536, 23.4200036452921, 23.421465377124875, 23.42095599401771, 23.419162515535053, 23.414598199020258, 23.413793201403415, 23.421962995776443, 23.419282454296226, 23.41943524955467, 23.421963539214623, 23.422686164843416, 23.424164055683605, 23.42299123194656]","[23.426940310097905, 23.42886351310289, 23.428204386266223, 23.42945785598586, 23.42944814423768, 23.428572861360514, 23.42913604590478, 23.427665723515, 23.424248131208653, 23.424856342802812, 23.423960870166283, 23.422962710107075, 23.423347162057844, 23.42503544839863, 23.426259220123143, 23.425827322455888]","[23.425641548447715, 23.422292033355177, 23.423615387339517, 23.42236605838633, 23.42185868195064, 23.423234303312594, 23.421327578260133, 23.42064432706215, 23.41765919771111, 23.41827112469464, 23.417840168772976, 23.413860209554787, 23.419861202351775, 23.420935934489677, 23.419694726029984, 23.41726068154068]","[23.403587464566534, 23.40428660898534, 23.400814012294486, 23.402419503216244, 23.3991754481184, 23.39869260138861, 23.39825922344864, 23.39744904457331, 23.397910139062958, 23.402135992898646, 23.40012576138221, 23.400820588410497, 23.403371490484695, 23.401541014370224, 23.404316174918883, 23.402991473869267]"
y,"[22.473354912533317, 22.475321680921404, 22.47511856481479, 22.474510161720687, 22.474934087819335, 22.47598535536833, 22.47614672793169, 22.478209056369053, 22.4789919738515, 22.479269636070747, 22.477594549441996, 22.466703369659918, 22.477921619401524, 22.47798435271527, 22.474513492873516, 22.480744518190345]","[22.47338428752738, 22.47245935178451, 22.471575495991953, 22.470758040962156, 22.469310695969806, 22.469404082953005, 22.46684983606913, 22.466606410751112, 22.46840808884633, 22.471130600940434, 22.473620571284506, 22.474108353796062, 22.473602269364363, 22.473231519195444, 22.475771611492963, 22.47703873073447]","[22.47595712159447, 22.477405442665155, 22.47635060027144, 22.476112668006458, 22.475999280111363, 22.47723858143834, 22.47558646408322, 22.475349584428848, 22.475338393100778, 22.47734643266022, 22.478704945887365, 22.479376566499084, 22.47802711555751, 22.478334707666487, 22.479551005811572, 22.479756036564954]","[22.473353168304804, 22.473810188351578, 22.469342706255127, 22.470855656884652, 22.473841550238635, 22.47054944010592, 22.473055010961794, 22.473537802472542, 22.47490343175774, 22.47372783016568, 22.473603993220266, 22.47395638544761, 22.473571819884803, 22.474034094969205, 22.473058639055537, 22.470592376857425]","[22.471038999034324, 22.47073037160036, 22.469514343917623, 22.46991850822005, 22.46922068975659, 22.47028475751987, 22.469923827210998, 22.470039086156596, 22.468512629139973, 22.470291046376722, 22.47017563381184, 22.46981701399654, 22.470385559335284, 22.471309886598345, 22.471097138664845, 22.474112754962608]","[22.476988791653973, 22.474902231293363, 22.473120560158655, 22.472883381921015, 22.47349324158645, 22.47196795755284, 22.469219887553614, 22.464494984141982, 22.469504679625402, 22.4754854393373, 22.47350441137437, 22.473994302120147, 22.477119809899268, 22.478756067401314, 22.480111469117713, 22.479070105321497]","[22.478204288170936, 22.479254783867145, 22.478180448486135, 22.479523240066868, 22.479416971779777, 22.477402640206225, 22.476850161638875, 22.4745171818628, 22.477614825852548, 22.47839252955336, 22.477458217779493, 22.476547717212668, 22.476689715852757, 22.4774847081968, 22.47905117905496, 22.479372066672425]","[22.479236616198186, 22.476375452377482, 22.47748716395961, 22.476238793119546, 22.475877607341474, 22.47611378930521, 22.473809755998435, 22.473501553839387, 22.46924402266774, 22.47083847723289, 22.471740489220206, 22.469210776343843, 22.47433031025977, 22.475676594589817, 22.475072846442472, 22.475196300271676]","[22.456952613116655, 22.458024822767204, 22.4548811706861, 22.45597823500596, 22.452481354936197, 22.451725180035588, 22.45126754669695, 22.450572315368692, 22.450854960007465, 22.454846784168467, 22.45371305633268, 22.4543968277139, 22.456426651496358, 22.455259138386232, 22.459170288074592, 22.459305844979717]"
fS,"[1.2414256645177373, 1.2527472712364611, 1.2522638570891464, 1.2468710791452893, 1.2528551857686683, 1.2561293773447635, 1.2540384577192336, 1.260786179448276, 1.2591311877345515, 1.2640453317843767, 1.260158972875357, 1.1865712189683442, 1.256123402599264, 1.2588390770641207, 1.252031162752925, 1.263925104582794]","[1.2259618226558255, 1.226817819306631, 1.2271737298146743, 1.2275617414146764, 1.2260008049752997, 1.228375439252376, 1.2242822210260882, 1.2212011240364726, 1.229108976643502, 1.2332232137535808, 1.2360717803859689, 1.2352379799721027, 1.2326240039007343, 1.2287576194328267, 1.233953237817052, 1.2350686963495674]","[1.2207018740759044, 1.2276837810718222, 1.2295179567376193, 1.2292011144177608, 1.225855674815345, 1.2321950136451867, 1.2278430983579542, 1.2300579061941956, 1.2289177972164347, 1.2349928740818032, 1.2392869835797726, 1.2386852996623539, 1.231881385083176, 1.232515295798222, 1.2351195705430882, 1.2310183789480287]","[1.2311687104070639, 1.2270085311805112, 1.2034093158045343, 1.2139610361042292, 1.2355878790988222, 1.2186409258380548, 1.2320882583582564, 1.2316516192632405, 1.2450517835330615, 1.2435206375522716, 1.2410003607343416, 1.2397602832784194, 1.2390980899129787, 1.240794661069811, 1.2406608783897293, 1.2312753093903825]","[1.208559868292992, 1.2083506331764249, 1.2132780147365452, 1.215793206566463, 1.2166246313366913, 1.2194370315168535, 1.219903758993134, 1.2168661399384317, 1.2232838329707152, 1.2275728396904189, 1.2239276575678137, 1.220125199755152, 1.2218259163801108, 1.2237693973613952, 1.2163130540622613, 1.221155627955973]","[1.2497371722971065, 1.241854906696304, 1.2365034420351182, 1.239119373183914, 1.2443700975960634, 1.2371846593824072, 1.2357834999273325, 1.2225179439762468, 1.2091005990963304, 1.2414064278499926, 1.2265450472123427, 1.2278738433503653, 1.2408596286934377, 1.247228777960286, 1.2543681440416734, 1.2513806277151887]","[1.2457816545319487, 1.2518167059212366, 1.2508996819065845, 1.254732857710274, 1.2543865351902201, 1.2537351976545623, 1.2547693810864682, 1.2519110221438279, 1.2519401786399469, 1.2503546904890306, 1.2478553283579585, 1.2391905826682361, 1.2409905163987658, 1.2457093172986597, 1.2482295793511344, 1.2514762688669752]","[1.2297920993014921, 1.219777432500913, 1.2275592211707347, 1.2231508843306564, 1.2244891525652668, 1.2308368970101085, 1.2282848422385706, 1.2224919641758483, 1.233447732648608, 1.2329942335596997, 1.2316228206063373, 1.203598149631762, 1.2318595890825343, 1.2344049609559844, 1.224089636454776, 1.2152882046215647]","[1.184726461593241, 1.1882939165809085, 1.1790014997356808, 1.1871493511918414, 1.1717978069881125, 1.176592740641389, 1.1775833961283864, 1.1785581367586944, 1.1906775148759907, 1.2004604580589398, 1.189634875194613, 1.1918446978994544, 1.198903130785706, 1.1925714091990491, 1.2014072321451912, 1.2009430592345658]"
u1,"[24.746895792086956, 24.762059379944958, 24.763102010670558, 24.75660137923743, 24.76675576550935, 24.77142388199789, 24.76904628663104, 24.775818083602495, 24.776415760282223, 24.780689408411554, 24.77795785310507, 24.67736767583773, 24.770026084387535, 24.772638787506033, 24.768366044712145, 24.76876715935463]","[24.660549022716435, 24.669140825262467, 24.677019945177705, 24.682204243850602, 24.68652419553416, 24.693518385826746, 24.695206348756663, 24.692038673746353, 24.70798513426521, 24.707235828268402, 24.70546736907631, 24.700222307123177, 24.694581414037774, 24.685992867073775, 24.685965022161852, 24.683068862290696]","[24.67614837200543, 24.6885706227377, 24.69871178666961, 24.70221218315795, 24.7001252306678, 24.710596400966857, 24.709548583235446, 24.7163777481413, 24.71994656260595, 24.7229935688471, 24.725429466991827, 24.72040724426241, 24.709502968146253, 24.707644290467755, 24.70710405094971, 24.698503348633082]","[24.719697503631643, 24.71210088426875, 24.68168119762738, 24.696342217572553, 24.729445962231253, 24.708632431145357, 24.727538419689726, 24.726325111833056, 24.747246251662936, 24.747187762962234, 24.74305594864698, 24.73964090177707, 24.73873675822751, 24.739749745521966, 24.740397050333208, 24.728839300161177]","[24.643132101945035, 24.64796891651448, 24.665096384824736, 24.671171195081456, 24.678767282456107, 24.68376337422427, 24.686955651846432, 24.685015585111287, 24.70941705799879, 24.710147478100904, 24.70376574360704, 24.69578721555591, 24.693847663224716, 24.692047501259026, 24.67627750746629, 24.676123314222785]","[24.765941570438883, 24.756903087344003, 24.751052143586747, 24.755820930793533, 24.762106552524735, 24.752342658957755, 24.755608313424297, 24.744928727889445, 24.718062660089565, 24.755931825310597, 24.736816294780645, 24.73841810011649, 24.753110924718786, 24.76102567225907, 24.769672609544937, 24.767596408912354]","[24.741729555657077, 24.750318153137464, 24.75337064277013, 24.757359280912397, 24.758190947072627, 24.76250726940942, 24.764269857635757, 24.76548570344025, 24.767392352091097, 24.762475993493865, 24.760502825046146, 24.74716942952051, 24.749052068846012, 24.753192151184777, 24.751943626665728, 24.756101649416536]","[24.680620545095127, 24.674988812679988, 24.68964488145279, 24.68748675941686, 24.694204714529036, 24.705426559406046, 24.70932485977314, 24.701811661989822, 24.7356094215137, 24.730507848283658, 24.726082207504398, 24.680256863347118, 24.71503091423054, 24.713804299239534, 24.69477560661958, 24.67924341752797]","[24.62218309687202, 24.634733523503037, 24.633741018362297, 24.65115090563961, 24.63445990605624, 24.651143729582564, 24.657454798220034, 24.663757791577034, 24.69088217008171, 24.69574029711803, 24.678173763027154, 24.677528364921006, 24.68072086550079, 24.669776859136356, 24.67191405658196, 24.668370111277962]"
u2,"[25.195713565628992, 25.20539493848118, 25.207090912600147, 25.204252004746976, 25.210557319047133, 25.21435942066901, 25.21354468643671, 25.218330317348173, 25.220896188360385, 25.22360705619258, 25.221099182499476, 25.161763302433656, 25.214980686784646, 25.216011207228508, 25.211683090239603, 25.21487786340378]","[25.110958388441883, 25.118701152317502, 25.12622044710979, 25.131173504185373, 25.135055728593624, 25.141179172755265, 25.142417587838562, 25.142708924225303, 25.157956676735115, 25.156867618425235, 25.154914342151546, 25.150397652165417, 25.145080261090126, 25.13843091928736, 25.13704306456169, 25.133010446847024]","[25.123964170917862, 25.13502064470368, 25.14363924719976, 25.147741165941927, 25.147944863754535, 25.156318265231608, 25.15658781426115, 25.161571749596135, 25.169210735149075, 25.170209554217323, 25.170763736983606, 25.16630754794252, 25.158604050115642, 25.156354586947234, 25.154249429397822, 25.14722181336399]","[25.172464957140136, 25.169200114943983, 25.15150622097484, 25.160625916605856, 25.179772845189667, 25.16813169215071, 25.17855104971026, 25.1772948028798, 25.19362705572781, 25.193695439387433, 25.191662360392066, 25.189578562126403, 25.18809078529882, 25.188591492208587, 25.188499472947566, 25.18147437259018]","[25.093752864000834, 25.101687523772938, 25.113987261974255, 25.12014986519742, 25.127186688169953, 25.132411897547545, 25.135602323248346, 25.13673576471822, 25.15680911550262, 25.15624698513221, 25.15122759052494, 25.144829631358835, 25.142061212662508, 25.140122391547255, 25.12902263058805, 25.12567619877063]","[25.21081553017979, 25.205433459911948, 25.201025500128054, 25.202377113716164, 25.205691317099994, 25.199800425854715, 25.200098172256567, 25.193196954891327, 25.181101183720155, 25.20398181776535, 25.1935833730586, 25.195035214725326, 25.20418860900422, 25.209415600417234, 25.215410782233615, 25.214205184734208]","[25.186442644812928, 25.192741684153717, 25.195224160577336, 25.198643442028448, 25.200661744120463, 25.204151290641494, 25.206371175451245, 25.207624263594006, 25.211874647335133, 25.20898196147054, 25.206557367384104, 25.197953182813578, 25.1980311157578, 25.199976678941912, 25.19886142827768, 25.200247470939612]","[25.129307377357, 25.12840612669262, 25.13981541787505, 25.140461777109284, 25.145584426824275, 25.153791014230034, 25.156218208208593, 25.15337970363306, 25.17919265965438, 25.176113089830324, 25.17219696626231, 25.1451774891253, 25.16387471421341, 25.1616266032417, 25.149046561298523, 25.137114489693538]","[25.072128313748845, 25.08480817132874, 25.08781204981382, 25.100780262415437, 25.093662274259568, 25.10495426628716, 25.11018452824138, 25.11543141983765, 25.139107581123604, 25.14164536645176, 25.130096329136148, 25.12806097424496, 25.129319747128765, 25.121030778513347, 25.120878599349787, 25.115238777202887]"
