,R30_S00,R30_S01,R30_S02,R30_S10,R30_S11,R30_S12,R30_S20,R30_S21,R30_S22
raDeg,"[-1.7454999999999998, -1.7170555555555553, -1.6886111111111108, -1.6601666666666663, -1.631722222222222, -1.603277777777778, -1.5748333333333335, -1.546388888888889, -1.5463888888888888, -1.5748333333333333, -1.603277777777778, -1.631722222222222, -1.6601666666666666, -1.6886111111111108, -1.7170555555555556, -1.7454999999999998]","[-1.5106111111111113, -1.4821666666666669, -1.4537222222222224, -1.4252777777777776, -1.3968333333333334, -1.368388888888889, -1.3399444444444446, -1.3115, -1.3114999999999999, -1.3399444444444444, -1.368388888888889, -1.3968333333333334, -1.4252777777777779, -1.4537222222222221, -1.4821666666666669, -1.5106111111111113]","[-1.2757777777777775, -1.2473333333333332, -1.2188888888888891, -1.1904444444444444, -1.162, -1.1335555555555556, -1.105111111111111, -1.0766666666666667, -1.0766666666666667, -1.105111111111111, -1.1335555555555554, -1.162, -1.1904444444444446, -1.218888888888889, -1.2473333333333334, -1.2757777777777777]","[-1.7452222222222222, -1.7167777777777777, -1.6883333333333332, -1.659888888888889, -1.6314444444444445, -1.6030000000000004, -1.574555555555556, -1.5461111111111114, -1.5461111111111114, -1.574555555555556, -1.6030000000000004, -1.6314444444444445, -1.659888888888889, -1.6883333333333332, -1.7167777777777782, -1.7452222222222225]","[-1.510111111111111, -1.4816666666666665, -1.4532222222222222, -1.4247777777777775, -1.3963333333333334, -1.367888888888889, -1.3394444444444444, -1.3109999999999997, -1.311, -1.3394444444444444, -1.367888888888889, -1.3963333333333334, -1.4247777777777777, -1.4532222222222222, -1.4816666666666667, -1.5101111111111112]","[-1.275222222222222, -1.2467777777777778, -1.2183333333333333, -1.189888888888889, -1.1614444444444445, -1.133, -1.1045555555555555, -1.076111111111111, -1.076111111111111, -1.1045555555555555, -1.133, -1.1614444444444445, -1.189888888888889, -1.218333333333333, -1.2467777777777778, -1.2752222222222223]","[-1.7444999999999997, -1.7160555555555552, -1.687611111111111, -1.6591666666666665, -1.6307222222222222, -1.6022777777777775, -1.5738333333333332, -1.545388888888889, -1.5453888888888891, -1.5738333333333334, -1.602277777777778, -1.6307222222222222, -1.6591666666666665, -1.6876111111111107, -1.7160555555555554, -1.7445000000000002]","[-1.5095555555555558, -1.481111111111111, -1.4526666666666668, -1.424222222222222, -1.395777777777778, -1.3673333333333333, -1.3388888888888892, -1.3104444444444445, -1.3104444444444445, -1.338888888888889, -1.3673333333333335, -1.395777777777778, -1.4242222222222223, -1.4526666666666668, -1.481111111111111, -1.509555555555556]","[-1.2747777777777778, -1.246333333333333, -1.217888888888889, -1.1894444444444443, -1.1609999999999998, -1.1325555555555553, -1.104111111111111, -1.0756666666666665, -1.0756666666666665, -1.104111111111111, -1.1325555555555555, -1.161, -1.1894444444444443, -1.217888888888889, -1.246333333333333, -1.2747777777777778]"
decDeg,"[0.5301111111111111, 0.530111111111111, 0.5301111111111111, 0.5301111111111112, 0.5301111111111112, 0.5301111111111111, 0.5301111111111112, 0.5301111111111112, 0.4188888888888888, 0.4188888888888888, 0.41888888888888887, 0.4188888888888888, 0.4188888888888888, 0.4188888888888888, 0.4188888888888888, 0.4188888888888888]","[0.5293888888888889, 0.5293888888888889, 0.5293888888888889, 0.5293888888888889, 0.5293888888888889, 0.5293888888888889, 0.5293888888888889, 0.5293888888888889, 0.41816666666666663, 0.41816666666666663, 0.4181666666666666, 0.41816666666666663, 0.41816666666666663, 0.4181666666666667, 0.41816666666666663, 0.41816666666666663]","[0.5291111111111111, 0.5291111111111111, 0.5291111111111112, 0.5291111111111111, 0.5291111111111111, 0.5291111111111111, 0.5291111111111111, 0.5291111111111111, 0.41788888888888887, 0.4178888888888889, 0.41788888888888887, 0.41788888888888887, 0.4178888888888889, 0.41788888888888887, 0.4178888888888889, 0.41788888888888887]","[0.7649444444444443, 0.7649444444444442, 0.7649444444444443, 0.7649444444444443, 0.7649444444444443, 0.7649444444444444, 0.7649444444444443, 0.7649444444444443, 0.6537222222222222, 0.6537222222222222, 0.6537222222222222, 0.6537222222222222, 0.6537222222222222, 0.6537222222222222, 0.6537222222222222, 0.6537222222222223]","[0.7644999999999998, 0.7645, 0.7644999999999998, 0.7644999999999998, 0.7644999999999998, 0.7645, 0.7645, 0.7644999999999998, 0.6532777777777777, 0.6532777777777776, 0.6532777777777777, 0.6532777777777777, 0.6532777777777777, 0.6532777777777776, 0.6532777777777776, 0.6532777777777777]","[0.7639444444444444, 0.7639444444444444, 0.7639444444444444, 0.7639444444444443, 0.7639444444444444, 0.7639444444444444, 0.7639444444444444, 0.7639444444444444, 0.6527222222222221, 0.6527222222222222, 0.6527222222222223, 0.6527222222222222, 0.6527222222222222, 0.6527222222222222, 0.6527222222222222, 0.6527222222222222]","[0.9998333333333332, 0.9998333333333334, 0.9998333333333334, 0.9998333333333334, 0.9998333333333334, 0.9998333333333332, 0.9998333333333332, 0.9998333333333332, 0.8886111111111111, 0.8886111111111111, 0.8886111111111111, 0.888611111111111, 0.888611111111111, 0.8886111111111109, 0.888611111111111, 0.8886111111111111]","[0.9993888888888888, 0.9993888888888888, 0.999388888888889, 0.999388888888889, 0.999388888888889, 0.999388888888889, 0.999388888888889, 0.999388888888889, 0.8881666666666667, 0.8881666666666667, 0.8881666666666668, 0.8881666666666667, 0.8881666666666667, 0.8881666666666668, 0.8881666666666665, 0.8881666666666667]","[0.9989444444444445, 0.9989444444444445, 0.9989444444444445, 0.9989444444444445, 0.9989444444444445, 0.9989444444444445, 0.9989444444444445, 0.9989444444444445, 0.8877222222222223, 0.8877222222222223, 0.8877222222222224, 0.8877222222222223, 0.8877222222222222, 0.8877222222222224, 0.8877222222222223, 0.8877222222222223]"
radDeg,"[1.8241987547351064, 1.7970012349346327, 1.7698429044933035, 1.7427255955725647, 1.7156512533124277, 1.6886219444186086, 1.6616398665183136, 1.6347073583628862, 1.6021060791671984, 1.6295777793756259, 1.657082295230092, 1.6846180194022842, 1.7121834461949483, 1.739777163763252, 1.7673978470278917, 1.7950442512104914]","[1.6006666064089317, 1.5738513609370899, 1.5470942940084744, 1.52039847723, 1.4937671944962385, 1.4672039598922875, 1.4407125373491692, 1.4142969622423753, 1.3765409801185489, 1.4036675514327186, 1.4308452970346595, 1.458071355335088, 1.4853430696483363, 1.5126579705792214, 1.5400137601534376, 1.567408297498548]","[1.3811304198896208, 1.354900285336899, 1.3287612488700382, 1.3027187941466236, 1.2767788311132457, 1.2509477356657457, 1.2252323934618476, 1.199640248342077, 1.1549119788981614, 1.1814736710158944, 1.208121076609023, 1.2348486467303423, 1.2616512866311298, 1.2885243117323748, 1.3154634084358774, 1.3424645991916415]","[1.9054552289721105, 1.8794389627137005, 1.85349401838157, 1.8276234334369932, 1.8018304108274876, 1.7761183296676906, 1.7504907566866734, 1.7249514584983603, 1.6786031623074344, 1.7048373394298175, 1.7311413096336234, 1.7575119392269793, 1.783946272097183, 1.8104415178434765, 1.8369950408018059, 1.8636043498891373]","[1.6925603316368223, 1.6672330581646349, 1.6420078382957561, 1.6168894484764968, 1.5918829457431045, 1.5669936866768104, 1.5422273477043724, 1.517589946828685, 1.464724674659494, 1.4902367345747658, 1.5158531526164893, 1.5415687264016387, 1.5673785754698981, 1.593278118271916, 1.6192630509540504, 1.6453293277955336]","[1.4865081428719802, 1.4621811862227192, 1.4380053062457572, 1.413988252132014, 1.3901382558845226, 1.3664640649174344, 1.3429749766392372, 1.3196808750526954, 1.2585751169714419, 1.2829795374091526, 1.3075472322586503, 1.3322691689704056, 1.3571369184483795, 1.3821426102490608, 1.4072788911726373, 1.43253888702435]","[2.010631246653017, 1.9860046381411725, 1.9614812881960257, 1.9370651185992895, 1.9127602337912013, 1.88857093030198, 1.8645017066557148, 1.8405572737613833, 1.7826006362380953, 1.8073136022628824, 1.8321348008780056, 1.8570598922238868, 1.8820847486438794, 1.9072054430240888, 1.9324182377977959, 1.9577195745802936]","[1.810332845294283, 1.7866856990026423, 1.7631802437570057, 1.739822222417084, 1.7166176533946405, 1.6935728443046139, 1.6706944061310511, 1.6479892678905281, 1.5830246722816468, 1.6066486520828165, 1.6304265431546217, 1.654351709039524, 1.6784178517207462, 1.702618993180957, 1.7269494578874192, 1.751403856180783]","[1.6195010707515631, 1.5972098735025786, 1.5751168371605793, 1.5532304176279594, 1.5315594727693174, 1.5101132791490168, 1.4889015487749104, 1.4679344457015424, 1.3946386386532215, 1.4166914055946649, 1.4389684458952938, 1.4614595037882827, 1.4841548495615573, 1.5070452538239352, 1.5301219624593623, 1.5533766723682025]"
effarea,"[26.260597360765562, 28.360343811926974, 30.03897938608448, 30.952672965454838, 31.228962912187992, 31.43999535396148, 31.577384100251695, 31.718453855124647, 31.91792834011959, 31.739979771443103, 31.600601617770423, 31.468017317047448, 31.258077245602536, 31.01946354928, 30.16386369772861, 28.49385214287858]","[31.929010100533198, 32.087499843492644, 32.23727193420079, 32.32497955495634, 32.505605970410464, 32.63604360707758, 32.77679384152965, 32.853694231683065, 32.99362619903296, 32.89832897725688, 32.803195314399886, 32.67960357850839, 32.54981236776865, 32.379898313455975, 32.276915125820196, 32.12355621947934]","[32.9731312573011, 33.09425270244143, 33.16341091162345, 33.22097425115182, 33.30619455784124, 33.41417689426582, 33.43696323080665, 33.49535889806756, 33.59087694481105, 33.53983332970644, 33.46889066879114, 33.44707150718058, 33.37499058949355, 33.26471093868545, 33.18529634912296, 33.14213774351709]","[20.74914185908972, 22.21510740371344, 23.89907706567142, 25.964662606586803, 28.01552286964324, 29.718454341473475, 30.767941100667006, 31.1491426129682, 31.50619882626556, 31.319752244935927, 31.09500056135929, 30.60090835986142, 29.25097273109589, 27.355764942962878, 25.15483939010878, 23.19562972406461]","[31.412432065239265, 31.55391266611826, 31.685001974726713, 31.804118783217124, 31.982417796155755, 32.12587644553629, 32.26452147341422, 32.34366218518788, 32.647318734085275, 32.524132395049655, 32.356422728764144, 32.268209027353436, 32.12372254853233, 31.974120066747417, 31.78584563853806, 31.66640529156732]","[32.54369853507912, 32.658885840115644, 32.78566656726854, 32.85499055915396, 32.94477451549419, 33.042965716124804, 33.14017247640141, 33.17348976499653, 33.38748630983687, 33.28216593386411, 33.2074572832779, 33.159733133743465, 33.08564028916858, 32.9699448737237, 32.88316433329323, 32.79904915902519]","[9.940373888470013, 13.156576281203105, 15.645474658005849, 18.164289601382528, 20.35046728156763, 21.694607890750984, 23.140062950901548, 24.854036979461217, 29.34277400435086, 27.59541671995882, 25.57482445507479, 23.63585268604422, 22.062213055387716, 20.65362298332907, 18.652001345466388, 16.0274872617355]","[27.364091117008773, 29.064084966317846, 30.37928296239768, 31.019069425429866, 31.220849400319477, 31.405345870446595, 31.539387363581906, 31.651512556493824, 32.0351020016503, 31.882957407586744, 31.736417994126445, 31.61588989317482, 31.506976469068583, 31.338376600365816, 31.131666298324586, 30.746218618698503]","[31.78401324653579, 31.950736119364468, 32.0804180435148, 32.20291639979791, 32.29765580958468, 32.39859462511758, 32.53113890968246, 32.63272155273397, 32.930607273519925, 32.84363954739865, 32.78330866089284, 32.66216785906201, 32.55604766582673, 32.42113596627296, 32.301175044543605, 32.20209753432654]"
readnoise,"[190.839, 4.88042, 4.9657, 4.85721, 4.85988, 4.88761, 4.96639, 4.92676, 5.00579, 4.99884, 4.9821, 4.96676, 4.98824, 4.99035, 4.98571, 4.98144]","[4.77568, 4.72945, 4.77169, 4.81156, 4.84422, 4.83166, 4.85046, 4.93367, 4.89667, 4.98782, 5.01573, 4.95049, 5.0758, 4.94749, 4.91946, 4.93319]","[4.8144, 4.82478, 4.85863, 4.85427, 4.99898, 4.87227, 4.95309, 4.96614, 4.93059, 4.95877, 4.97002, 4.99355, 5.06204, 5.08543, 5.03258, 5.14584]","[4.78948, 4.68746, 4.77975, 5.08454, 4.86799, 4.85591, 4.72959, 4.87302, 4.95339, 4.74356, 4.82198, 4.76674, 4.79161, 4.7534, 4.73527, 4.86333]","[4.82368, 4.86618, 4.81932, 4.81477, 4.93418, 4.8688, 4.84556, 5.00097, 4.93884, 4.90794, 4.93028, 4.8564, 4.86151, 4.98472, 5.00042, 4.93205]","[5.03364, 5.14437, 5.17038, 5.2416, 5.24627, 5.14419, 5.16305, 5.04672, 5.1716, 5.10153, 5.10975, 5.09136, 5.05678, 5.04613, 5.12807, 5.0494]","[4.80675, 4.78531, 4.77967, 4.83558, 4.814, 4.78639, 4.8494, 4.87071, 4.95899, 4.89798, 4.90622, 4.93094, 4.93945, 5.01789, 4.98543, 4.97677]","[4.84613, 4.99574, 4.88679, 4.79734, 4.83482, 4.82594, 4.92944, 5.00514, 4.96805, 4.95306, 4.94083, 4.95938, 4.89428, 4.87911, 4.95271, 4.96815]","[5.14104, 5.00893, 4.92058, 5.13594, 5.22033, 4.98114, 5.46575, 4.99783, 5.33428, 5.08188, 5.68663, 5.21813, 5.13307, 5.05819, 5.1139, 5.22382]"
gain,"[55.8557, 0.773209, 0.767844, 0.762802, 0.762878, 0.76524, 0.766995, 0.771419, 0.783606, 0.778564, 0.787388, 0.781836, 0.783005, 0.784215, 0.777559, 0.766732]","[0.747689, 0.745674, 0.743374, 0.749392, 0.753253, 0.746036, 0.743228, 0.741194, 0.789877, 0.790661, 0.791045, 0.790421, 0.789855, 0.788399, 0.787609, 0.788425]","[0.786233, 0.784979, 0.788977, 0.791223, 0.792726, 0.786992, 0.80064, 0.796218, 0.780137, 0.78522, 0.790616, 0.788538, 0.793553, 0.795127, 0.793689, 0.78863]","[0.719295, 0.724405, 0.726687, 0.725835, 0.720696, 0.720872, 0.721104, 0.726258, 0.750748, 0.743217, 0.752215, 0.748372, 0.746452, 0.750264, 0.748377, 0.760161]","[0.756738, 0.762915, 0.766955, 0.763714, 0.771264, 0.765571, 0.76105, 0.766399, 0.793941, 0.785011, 0.782061, 0.776448, 0.770945, 0.770902, 0.773465, 0.77038]","[0.805771, 0.806143, 0.809563, 0.806923, 0.810288, 0.793419, 0.794639, 0.789937, 0.820148, 0.814318, 0.812893, 0.816146, 0.815003, 0.808019, 0.81558, 0.807118]","[0.765164, 0.772919, 0.776382, 0.769116, 0.777983, 0.776988, 0.777796, 0.772843, 0.794147, 0.787279, 0.794023, 0.796219, 0.802801, 0.8063, 0.809786, 0.795955]","[0.745813, 0.747989, 0.75061, 0.745198, 0.74879, 0.74534, 0.746725, 0.747443, 0.761051, 0.770273, 0.778524, 0.768657, 0.777482, 0.777363, 0.782696, 0.771466]","[0.751423, 0.757567, 0.761949, 0.768608, 0.767376, 0.770394, 0.76757, 0.770501, 0.801086, 0.801855, 0.799632, 0.795818, 0.798076, 0.792215, 0.80457, 0.787254]"
saturation,"[142857.0, 142857.0, 142857.0, 142857.0, 142857.0, 142857.0, 142857.0, 142857.0, 142857.0, 142857.0, 142857.0, 142857.0, 142857.0, 142857.0, 142857.0, 142857.0]","[142857.0, 142857.0, 142857.0, 142857.0, 142857.0, 142857.0, 142857.0, 142857.0, 142857.0, 142857.0, 142857.0, 142857.0, 142857.0, 142857.0, 142857.0, 142857.0]","[142857.0, 142857.0, 142857.0, 142857.0, 142857.0, 142857.0, 142857.0, 142857.0, 142857.0, 142857.0, 142857.0, 142857.0, 142857.0, 142857.0, 142857.0, 142857.0]","[142857.0, 142857.0, 142857.0, 142857.0, 142857.0, 142857.0, 142857.0, 142857.0, 142857.0, 142857.0, 142857.0, 142857.0, 142857.0, 142857.0, 142857.0, 142857.0]","[142857.0, 142857.0, 142857.0, 142857.0, 142857.0, 142857.0, 142857.0, 142857.0, 142857.0, 142857.0, 142857.0, 142857.0, 142857.0, 142857.0, 142857.0, 142857.0]","[142857.0, 142857.0, 142857.0, 142857.0, 142857.0, 142857.0, 142857.0, 142857.0, 142857.0, 142857.0, 142857.0, 142857.0, 142857.0, 142857.0, 142857.0, 142857.0]","[142857.0, 142857.0, 142857.0, 142857.0, 142857.0, 142857.0, 142857.0, 142857.0, 142857.0, 142857.0, 142857.0, 142857.0, 142857.0, 142857.0, 142857.0, 142857.0]","[142857.0, 142857.0, 142857.0, 142857.0, 142857.0, 142857.0, 142857.0, 142857.0, 142857.0, 142857.0, 142857.0, 142857.0, 142857.0, 142857.0, 142857.0, 142857.0]","[142857.0, 142857.0, 142857.0, 142857.0, 142857.0, 142857.0, 142857.0, 142857.0, 142857.0, 142857.0, 142857.0, 142857.0, 142857.0, 142857.0, 142857.0, 142857.0]"
