,R30_S00,R30_S01,R30_S02,R30_S10,R30_S11,R30_S12,R30_S20,R30_S21,R30_S22
u,"[-1.0, 24.09534443718557, 24.156331810308245, 24.168535047284493, 24.196619003599668, 24.21113964833653, 24.21106817157698, 24.22393202397633, 24.232067638178854, 24.20350359925459, 24.21931625786734, 24.210626513002595, 24.194225798919895, 24.191235746233275, 24.166328079307675, 24.109017943590622]","[24.178296695229143, 24.17185653299753, 24.19567213433501, 24.191818424183523, 24.193237901350685, 24.2008970494552, 24.20634071893873, 24.20341467354266, 24.203203761026955, 24.200348489948876, 24.197262532426294, 24.186094387507637, 24.18360056695525, 24.181391748022126, 24.18545327361592, 24.17572766348423]","[24.26896433532944, 24.273582246312515, 24.263373767221466, 24.27605377173866, 24.28003818058981, 24.28321251489031, 24.280101220002315, 24.28661269309462, 24.275206426883447, 24.282673613850033, 24.268177482977404, 24.277454003395874, 24.276814745852334, 24.26223113833786, 24.270725933727853, 24.26454158576685]","[23.90062495006211, 23.953234064128743, 24.016859075870364, 24.069376732216647, 24.132833406899742, 24.191413113493205, 24.208654483369386, 24.233865559136746, 24.25343788413214, 24.24277473343109, 24.238048002087815, 24.209648090338913, 24.189521687436432, 24.136809376511856, 24.066600465406466, 23.97614757448525]","[24.187453514779605, 24.200087405674623, 24.186596704611425, 24.20730462185846, 24.210513407160853, 24.215997911081665, 24.22617015529287, 24.214279843249624, 24.238027968228245, 24.240688520752535, 24.236190759463277, 24.235252379940015, 24.229891783434308, 24.20404927739664, 24.20757203501156, 24.213802659608987]","[24.1826242337402, 24.162522424023074, 24.172266602455558, 24.17228716304019, 24.184430681983443, 24.192708217863967, 24.170701639970893, 24.226448638487508, 24.240833510696504, 24.239226908848135, 24.218928603832616, 24.216577933584887, 24.231193393810024, 24.231164960064756, 24.228391064296794, 24.218417077595205]","[23.11067158949737, 23.380495572503392, 23.50698016220727, 23.679223643928758, 23.774666956162406, 23.82916763573099, 23.892480503363473, 23.95845031071905, 24.095493643448183, 24.02259880387237, 23.981921955132353, 23.90350615005717, 23.842465310460955, 23.779047745421146, 23.68673749021949, 23.549389259115312]","[23.957477889908276, 23.985218873924918, 24.039256052051176, 24.09746706797767, 24.0689974919267, 24.11084329352818, 24.108432125734794, 24.107046844017994, 24.15742256977279, 24.164055188185436, 24.1495872423366, 24.129221866946335, 24.12508217635973, 24.11056749904301, 24.10015565368269, 24.082730623231562]","[24.208369795172498, 24.212092808583066, 24.21892551688076, 24.20913684612918, 24.186349738888815, 24.22415050374205, 24.141808608346132, 24.24158360932227, 24.173535715969543, 24.217517664833437, 24.15002922934682, 24.194012786677227, 24.219220349892677, 24.227012517963033, 24.223004257082266, 24.21638507924706]"
g,"[-1.0, 24.86892218219821, 24.908148162488768, 24.9210701755414, 24.93211449250111, 24.938307186119484, 24.939604344892384, 24.944657170122973, 24.946318921482984, 24.935044416714117, 24.939063138394758, 24.934939743594626, 24.927668655948757, 24.924730705357508, 24.907696128300856, 24.869128902115623]","[24.938843664859128, 24.937969547865432, 24.947591920634338, 24.94690969942867, 24.949711808238565, 24.953431280656158, 24.956677465239487, 24.956344918967876, 24.95489178818193, 24.953723341514866, 24.951548834358245, 24.947976396424387, 24.944386260130447, 24.941616819747694, 24.94340520713985, 24.93773133125606]","[24.972078375262345, 24.973916375621723, 24.97070865655983, 24.974942073453715, 24.97671573993931, 24.97813986150799, 24.9774874467813, 24.98032628625112, 24.97462694684387, 24.975502202054294, 24.971413630160896, 24.974144956259224, 24.97417929963741, 24.968512791287537, 24.970827276157056, 24.969149064024297]","[24.68297680781062, 24.724808182343413, 24.77249227349902, 24.82010791846301, 24.868354234494582, 24.90928209526025, 24.92651353102863, 24.93951180792645, 24.946296427468663, 24.93982593154005, 24.935909295245054, 24.921744166674152, 24.89844509342082, 24.857529623421435, 24.80334725058103, 24.74433510068693]","[24.93220293684576, 24.937193898973085, 24.934224008010524, 24.941104581307656, 24.944198974144477, 24.94731703087102, 24.951628511708847, 24.949163664680025, 24.955789868572086, 24.9558211143013, 24.952070348815685, 24.951701821123343, 24.948212367239478, 24.939251827482742, 24.938515916632984, 24.940409527892758]","[24.951554772489512, 24.945469829194284, 24.948916639672536, 24.94951608358436, 24.953296865708904, 24.95610471465466, 24.949914503290348, 24.96838364142473, 24.972563024307416, 24.97042079403262, 24.96337643414482, 24.962491736757688, 24.966761431641647, 24.966556200463028, 24.966093535297794, 24.962177382881176]","[24.16412817677401, 24.36162922018302, 24.465942650400912, 24.58082978567405, 24.6521457616442, 24.693117792973904, 24.737341261638655, 24.785161563457002, 24.887696624499206, 24.841789718055928, 24.80168524266205, 24.746993775940275, 24.70086085801336, 24.656890365620136, 24.58997658258495, 24.488103641574398]","[24.837369573699917, 24.867099843999004, 24.897544700400125, 24.922434204677053, 24.913524824020854, 24.927572551790977, 24.92868389572434, 24.9279073729537, 24.944592451835376, 24.952007294546295, 24.946819784466516, 24.93415076205105, 24.93476758887369, 24.928469324064825, 24.921632314213237, 24.911918847440774]","[24.94152170508002, 24.944820942660115, 24.94727989985155, 24.94517864056218, 24.937715227237938, 24.950542151207518, 24.923467135090625, 24.95884706656175, 24.940438195089083, 24.95398238075606, 24.931304322864225, 24.944780630660514, 24.952960669766348, 24.95445514693664, 24.951924205831872, 24.94900182801461]"
r,"[-1.0, 24.390705024700395, 24.425916769227445, 24.43949100608256, 24.44733836456438, 24.452034262141634, 24.453832314457888, 24.457517178044043, 24.458354528183065, 24.450674432539934, 24.45191247359839, 24.44852543487316, 24.443039335471667, 24.439897336649846, 24.424273576056322, 24.389409439144544]","[24.460201872984257, 24.46053894496433, 24.46737497010317, 24.467379267881974, 24.470573199029822, 24.473499189681064, 24.47630925382759, 24.476517658053886, 24.475297419467058, 24.474390987116294, 24.472272660384437, 24.47013835325445, 24.46617582368672, 24.463233728775965, 24.464436316955698, 24.45957188889207]","[24.481642191020015, 24.483014254396807, 24.48143897191104, 24.48392488566718, 24.485360784545318, 24.486519483528767, 24.486483266342255, 24.488586036545918, 24.48476237696606, 24.484081219604175, 24.482095941096333, 24.483176559160945, 24.483288988897634, 24.479458608368365, 24.480278749522316, 24.479497007287755]","[24.211799177128512, 24.25131207137958, 24.295541821244726, 24.342089796991793, 24.38698648698698, 24.42422344181334, 24.441470879753147, 24.45198658993732, 24.457012331304004, 24.45133480667247, 24.44748739433126, 24.436262935553778, 24.412147791316734, 24.37384016336863, 24.323074339140305, 24.271408636922267]","[24.45308191751115, 24.456724016364475, 24.456187368012827, 24.460306686016075, 24.463512377962818, 24.46616021831487, 24.46936515643239, 24.4688926879652, 24.473076945352076, 24.472462163707863, 24.468724789661398, 24.468328083152375, 24.46501592194615, 24.459601945388613, 24.45781949298822, 24.458550900616956]","[24.471982043211426, 24.469245515961518, 24.471606938666163, 24.472562384430443, 24.474708348593914, 24.476468193816643, 24.47400109064314, 24.484336656342435, 24.487237363076915, 24.48487338003732, 24.480570289693915, 24.479827938356124, 24.48163280751563, 24.481186885187952, 24.481004237787978, 24.478198129616473]","[23.75400076093882, 23.92990776848698, 24.028930461943524, 24.128987959597893, 24.194742897490652, 24.232993184231113, 24.27301750932976, 24.317044801045537, 24.41315733164684, 24.372922186860134, 24.332778177340643, 24.283155765975653, 24.240301278426692, 24.200831322224303, 24.139839566804945, 24.046943258846984]","[24.372846752791624, 24.40367961651095, 24.42984093603078, 24.44840545133991, 24.443803805542935, 24.4525848356173, 24.454556321025418, 24.45425985480912, 24.46500836379509, 24.472341727542275, 24.46894747129827, 24.45759744390652, 24.458902916518873, 24.454115658491478, 24.44773264630036, 24.43924743114453]","[24.458855035301774, 24.462194851190105, 24.46391193681452, 24.463665205591248, 24.459840704800584, 24.467133241549995, 24.453354443130753, 24.47355017208271, 24.466408781395643, 24.472676219713758, 24.460726427716846, 24.466607624568816, 24.47080153095174, 24.470796697255214, 24.468466580960573, 24.466338727997407]"
i,"[-1.0, 23.924334919431107, 23.95885652907621, 23.97269143645368, 23.97961498783834, 23.98378341451423, 23.985603461788962, 23.988664723744897, 23.99297425300663, 23.98655478404089, 23.987040024061223, 23.983747885958383, 23.9787493653842, 23.97505427945228, 23.9592721108202, 23.924454586263597]","[23.992133614433847, 23.99270319088173, 23.998709369537885, 23.998876646555644, 24.00224366319003, 24.005052925805032, 24.007970686978577, 24.00860975024434, 24.011227627841762, 24.01020223858452, 24.00796565954567, 24.00616726611778, 24.002056267742788, 23.99905873697907, 24.000196339346815, 23.99548252411486]","[24.012403556038137, 24.014198124244356, 24.013586306374872, 24.016063989335528, 24.017886944358445, 24.0192960973337, 24.019406504579383, 24.02078276304259, 24.020181281517445, 24.019696547684134, 24.01852108291217, 24.019007304563523, 24.01883974362639, 24.015208196526466, 24.01519873452638, 24.014242910059455]","[23.74591283600865, 23.785531456571288, 23.828909745638455, 23.874900384664823, 23.91840203130591, 23.954094061192148, 23.97084884081778, 23.980233424438225, 23.985750457056014, 23.98083505802943, 23.97757963559299, 23.967841575520335, 23.943990624578344, 23.90668452212651, 23.856831368709933, 23.806578812811686]","[23.983181636785588, 23.986457649895392, 23.986554835278753, 23.989895987134084, 23.993144443612984, 23.995782901843256, 23.998933106326525, 23.999251265559707, 24.00334517325608, 24.002282537021763, 23.99841482603486, 23.99790993936849, 23.99461209894011, 23.99027343055665, 23.988242163392915, 23.988684219722384]","[24.00099899098985, 23.9998123644407, 24.00239688142328, 24.003974598471935, 24.00614874919731, 24.007943660793266, 24.006589359968267, 24.014110887974738, 24.01711112864699, 24.01527691460378, 24.01174872446427, 24.010718252916806, 24.011421420269365, 24.01039298564497, 24.00978442885409, 24.006712561847976]","[23.303700996962935, 23.474032905276882, 23.572099390951017, 23.667954212523547, 23.732166116801373, 23.769697620979734, 23.8084819597756, 23.85130585109645, 23.94340519681571, 23.904899700854276, 23.864951358719424, 23.816916769964347, 23.77507544325464, 23.736821643386477, 23.677139394210876, 23.58583254399924]","[23.909269922495604, 23.940746359533016, 23.966022777985742, 23.983086344550923, 23.979970049152502, 23.987596366802165, 23.99015550934733, 23.990394520339557, 23.997281142844685, 24.004162344934656, 24.000879537208725, 23.98955681262279, 23.990762132547296, 23.98612319659049, 23.97968235858542, 23.97139084852589]","[23.989086829790992, 23.992989742767413, 23.99490975408964, 23.995544945726714, 23.993079595821058, 23.999014782812388, 23.98911644748005, 24.004292498287544, 23.998058556850278, 24.002747254603896, 23.993850883112756, 23.997154252063943, 23.999744413577282, 23.998814615495615, 23.996032124583614, 23.993562528879647]"
z,"[-1.0, 23.32504867875722, 23.358823538880237, 23.37250900060205, 23.378491702176447, 23.382095688744172, 23.383892860686675, 23.38640689758785, 23.393287641961273, 23.38810463555174, 23.38813559827099, 23.384982486274694, 23.380298000299742, 23.376231209837723, 23.36060599935259, 23.32618933719083]","[23.39023477642621, 23.391005186948018, 23.39636758313235, 23.396862443072717, 23.40057886252489, 23.403568778952593, 23.40680780674229, 23.408025487235008, 23.413511237923547, 23.41210186075985, 23.409537840223553, 23.407863395053575, 23.40344801928469, 23.40013740336637, 23.400833292119284, 23.3960510812879]","[23.410425656146938, 23.41279845652172, 23.4130921239097, 23.415795076588257, 23.417987323368827, 23.41980881292824, 23.420272957340032, 23.421210018044437, 23.42263020535929, 23.422069670845797, 23.421517161008346, 23.421525381976608, 23.421170715726458, 23.417574599812568, 23.41666857663108, 23.415292466798938]","[23.14734247640333, 23.187005191000605, 23.229678408760837, 23.275237578459894, 23.317638022083443, 23.352364392863063, 23.368763255043863, 23.377329371445896, 23.382512127025958, 23.378016382379148, 23.375018707583315, 23.366381551776268, 23.342627262562395, 23.30611402073915, 23.25699253261358, 23.208042415194242]","[23.378609779813495, 23.3816238356765, 23.382267907453574, 23.38513533872556, 23.38874835130933, 23.391733800863623, 23.39522363693709, 23.396575215341276, 23.39959117412006, 23.39778790187695, 23.393417671434996, 23.39272749458306, 23.389246055518427, 23.38564224101533, 23.383100254681025, 23.38296979366188]","[23.396486330171726, 23.39691250930882, 23.399807059802693, 23.402065897550383, 23.404517006259432, 23.40668881272665, 23.406709625995937, 23.412186477491673, 23.414042692917008, 23.412317272067536, 23.409224111256105, 23.407807917903227, 23.40745775132021, 23.405612652547823, 23.404227315958842, 23.40068526600741]","[22.719880555727812, 22.8843757647031, 22.981143846143198, 23.072923212149966, 23.135559371065376, 23.172233335993727, 23.209800650002034, 23.251476159956997, 23.338364973258216, 23.30187741971072, 23.262573886527587, 23.216220748192356, 23.175427241593482, 23.1383653610459, 23.08015612784635, 22.99095697569426]","[23.31059690237072, 23.342594807988952, 23.36702504911552, 23.382626937239444, 23.380756735386974, 23.3873100445783, 23.390346843728835, 23.39112086682904, 23.393188325065392, 23.400048031823818, 23.397233334403598, 23.386183387027366, 23.387337470442546, 23.382855415435422, 23.37642934252864, 23.368521773944206]","[23.38699129750369, 23.391849675019646, 23.39455714575026, 23.396381006698256, 23.39544364058235, 23.40043684358575, 23.394301385732398, 23.405469628230236, 23.400861903992148, 23.40370283713999, 23.397107893948302, 23.39767760805352, 23.398545825399232, 23.39652009613962, 23.393095020768538, 23.390076091083195]"
y,"[-1.0, 22.369959731866466, 22.40318824032757, 22.41715088421577, 22.422722882298253, 22.426320124713, 22.428034656864952, 22.430388479069666, 22.434897967713876, 22.4304445277838, 22.430684777308997, 22.428160042552356, 22.423316722847275, 22.419335973754563, 22.40370867841145, 22.371103436465766]","[22.432948952841848, 22.43513552880691, 22.44061620348629, 22.441269294597028, 22.444880989512036, 22.447787843564374, 22.451266343035325, 22.452965659775394, 22.45728511383389, 22.454780936454796, 22.4523581359991, 22.450686564388857, 22.445886487155413, 22.441992835037638, 22.441500418588603, 22.435931461896647]","[22.456008250633943, 22.458278731378236, 22.45872287260561, 22.46059800784159, 22.463101031376652, 22.464683926381618, 22.465223972092275, 22.46665005787026, 22.466196071678603, 22.46506473204294, 22.46445020779583, 22.46484322741192, 22.46477532471623, 22.46122449226841, 22.45982345137422, 22.458319577218116]","[22.191284307296975, 22.229703129012996, 22.271527847526134, 22.31701648584746, 22.359314842172736, 22.393684447988793, 22.41103203548691, 22.420087219759225, 22.424355801362612, 22.41953526745326, 22.41611348312388, 22.4082643879658, 22.384743286005033, 22.348890661386932, 22.30029356765481, 22.25369835663573]","[22.42012436419739, 22.423568410978554, 22.424895933463468, 22.427893405347355, 22.431662369753525, 22.43503660967986, 22.438727910887398, 22.44066745056414, 22.443655903582354, 22.441172383899332, 22.436009563737493, 22.43479604022403, 22.431280235990926, 22.426622722890794, 22.42200648275484, 22.42087913943839]","[22.437429906304715, 22.43784600878582, 22.441489230886532, 22.444126063086685, 22.44699996085873, 22.449373274667604, 22.450679744539286, 22.456790323666446, 22.45751457014376, 22.453761204744687, 22.449906155452677, 22.447503176307485, 22.446029279420173, 22.442765983938884, 22.440142047488376, 22.435818271664118]","[21.76908309700464, 21.930136702087083, 22.025605522451162, 22.115064975221696, 22.175861039349883, 22.211355596023143, 22.24898045315562, 22.28932365424356, 22.371108814086753, 22.336296146940175, 22.299135130802167, 22.253939194484097, 22.21412965975354, 22.17884937443254, 22.12297336540778, 22.036377839848868]","[22.34997315379524, 22.382331664983283, 22.406974732979837, 22.421682567206446, 22.420164164264136, 22.42614584228994, 22.429671679091875, 22.430401499914147, 22.430807422698866, 22.438547018663172, 22.437237380252157, 22.426827046349555, 22.428338568579242, 22.423067239358414, 22.416644186185177, 22.40951424855745]","[22.429598003064342, 22.4352627495716, 22.43974715631115, 22.44253324746068, 22.441892293727673, 22.446079640373668, 22.441402094451444, 22.452021837261803, 22.451190880226743, 22.451390783227502, 22.44510826755743, 22.445652251524248, 22.44710332273391, 22.445247562580757, 22.441716687509533, 22.43868027001847]"
fS,"[-1.0, 1.0168353527191565, 1.0885538175645237, 1.1161296409511665, 1.1345623995011227, 1.145436804797157, 1.1486947063367787, 1.1571893618006626, 1.1671661224052974, 1.149204487579052, 1.1540457063734821, 1.1462685542329414, 1.133031714757299, 1.1254181592078136, 1.091299247094649, 1.020191471310815]","[1.1517123048051974, 1.1523274516970032, 1.1691088383096921, 1.1688883777569843, 1.1759181926985072, 1.1833966484691079, 1.1908764715158529, 1.1921964951171722, 1.1980535279306053, 1.1942154228856903, 1.1888927420677422, 1.1827179724266457, 1.1736618093348246, 1.166679147386147, 1.168580637492954, 1.1566395171702735]","[1.2162187101489987, 1.2214218801214671, 1.2181020027573073, 1.226186036356948, 1.2313772758761803, 1.2352632009457583, 1.2349869096156245, 1.239718803281212, 1.2348589030698647, 1.2354472294755916, 1.2294008828258542, 1.2329570656512843, 1.232556075808683, 1.2213124664799595, 1.2226379666645018, 1.2185599970008445]","[0.7291789791287357, 0.7858431809397839, 0.853984700063168, 0.930506494375284, 1.0117890135153156, 1.0853221864359173, 1.1198802789763689, 1.1433400335161827, 1.1574736302978175, 1.1454670840960364, 1.1380159372064422, 1.1141491280972158, 1.067305254203181, 0.9937804257816674, 0.9032161564757277, 0.818222373363791]","[1.1338888985693618, 1.1431399835056562, 1.1407977033415404, 1.1519578185175097, 1.1593229227161794, 1.166321955810288, 1.1754127166697683, 1.1742028904881991, 1.1868272770941326, 1.1844062505803703, 1.1748305396421634, 1.173140510056967, 1.1653044578604221, 1.1502932301030133, 1.145598087097198, 1.146870836239429]","[1.1670761507727185, 1.1611615573048115, 1.1690960520335687, 1.1728555225830906, 1.1805001144295284, 1.1865078936095732, 1.180527531274567, 1.2082668097825107, 1.215696489549575, 1.2101786684762073, 1.1976669735600272, 1.19410189180653, 1.1977797157846286, 1.1941800746868312, 1.1907980181216207, 1.1814124551424525]","[0.3099584126768567, 0.4271596542291607, 0.5128724156603144, 0.6166758655892813, 0.6962118265942412, 0.7472181287052966, 0.8054294713522019, 0.8739042994739508, 1.0375505194967776, 0.9623074566739074, 0.8955201519540446, 0.8165533490632424, 0.7543513028280522, 0.7012410636630939, 0.6263542202618783, 0.5272135014456291]","[0.9643991330444306, 1.0217541647511987, 1.0752262952440805, 1.1161526182300077, 1.1056039347665465, 1.127141662293505, 1.132004542368432, 1.1324542484214708, 1.1515681374838551, 1.166979960306701, 1.1588757963942564, 1.133702891016208, 1.135316876467126, 1.1231734666868896, 1.109176022325147, 1.0913731216592248]","[1.15344501210355, 1.1630514835131265, 1.1703533480771153, 1.1706668733114116, 1.1616828239358068, 1.1813833065318746, 1.1462449700971054, 1.1969046617007373, 1.1718285845177792, 1.188498681003094, 1.1566375257130013, 1.171402667922941, 1.1818293423229542, 1.1813373987552085, 1.174406272298413, 1.1675488725898202]"
u1,"[-1.0, 24.601989509950165, 24.656324666432347, 24.672333622997783, 24.694204831002185, 24.7065579011758, 24.708933229668816, 24.719098652535845, 24.728537654366374, 24.708355530123857, 24.71661328581647, 24.708604405892697, 24.69531990759115, 24.69051407480235, 24.667461862652544, 24.616746592829355]","[24.674731423537562, 24.671981289662142, 24.688874737366568, 24.687256948277813, 24.690203124378407, 24.69589908755455, 24.700355991576416, 24.698918602446888, 24.701087672618318, 24.69895966193547, 24.69598709399256, 24.68842501108152, 24.68443385024623, 24.681426218067184, 24.68381120388866, 24.67582151467168]","[24.758009329619693, 24.762436454554386, 24.75716506726653, 24.765635156092493, 24.769396844114215, 24.772181853911565, 24.770731343926855, 24.77559203281615, 24.77099839326258, 24.774464946314794, 24.765443938632266, 24.77040543408443, 24.769235781606753, 24.75905557324638, 24.76325733537881, 24.758565592066073]","[24.418324541065402, 24.467509555060452, 24.525318893483764, 24.577501694498437, 24.634527581579455, 24.685274202828396, 24.703431601512385, 24.72271496943919, 24.741770380154236, 24.73294875742747, 24.728122372412138, 24.706652257135826, 24.683437892077706, 24.63574489570601, 24.57166844110365, 24.49623224525812]","[24.68460513842511, 24.694935265462853, 24.688340915554534, 24.702210244340193, 24.706740987033513, 24.711676126303352, 24.71994117506305, 24.713005244968265, 24.73375156701887, 24.735113382927018, 24.730136860668914, 24.72869037014013, 24.72309592423926, 24.705760487407304, 24.70604040667461, 24.708392593576626]","[24.689646426191135, 24.678643475282833, 24.68655431680144, 24.687964486197647, 24.696641698428955, 24.703008054475013, 24.690178394786123, 24.726605255391178, 24.740867665326608, 24.738464095641916, 24.72468884094257, 24.722189385372737, 24.730104519505545, 24.72912807066491, 24.726410194793583, 24.71843981852439]","[23.706657328376146, 23.95248235530564, 24.075257745762524, 24.22455828684813, 24.311867798829546, 24.362881347115845, 24.418883058882454, 24.477949630141524, 24.605438760258806, 24.54478776307782, 24.502046199890852, 24.43264330862347, 24.376643890188806, 24.32052239660521, 24.23701341183954, 24.112156254790982]","[24.477019226224638, 24.51147566564091, 24.558178087174554, 24.602205683589023, 24.586650922314163, 24.61661664915578, 24.617934918858523, 24.61904386372177, 24.659381919205074, 24.66494297030048, 24.654071494708894, 24.635650766093587, 24.631861287995125, 24.619847151207658, 24.608775479793742, 24.592210455582354]","[24.708476363505277, 24.712905528174403, 24.71821793522854, 24.71341793559758, 24.69961425997851, 24.72457273226555, 24.672578253492723, 24.737891131135672, 24.69729046021597, 24.72438235700116, 24.680594446288122, 24.707762247676293, 24.723262694298803, 24.726914320713615, 24.723057257209877, 24.71775351607538]"
u2,"[-1.0, 25.058838857060334, 25.108345131285592, 25.127052802193788, 25.144481901502978, 25.155300326507284, 25.159390816166265, 25.167651109330524, 25.17799244800607, 25.163794693132548, 25.1666624790935, 25.15914173516228, 25.14807996042978, 25.141989640032186, 25.120280059808437, 25.07436533487986]","[25.124220002745545, 25.12407613272405, 25.136091876627763, 25.136033428640687, 25.140046208684144, 25.14436062222712, 25.148124599691975, 25.147727500343905, 25.151565144446987, 25.149952759888684, 25.147063708351425, 25.14207333140139, 25.13701881056289, 25.133447080079957, 25.13464324871755, 25.127890849655934]","[25.202280514295015, 25.206571704231127, 25.20471509547336, 25.21026517461061, 25.213869523326277, 25.216384281987896, 25.216076656556336, 25.219797402457047, 25.21992939212684, 25.2206074813019, 25.21541670736768, 25.217356635408237, 25.215820697269947, 25.208724998601166, 25.209925715411934, 25.206276484000046]","[24.883521523927804, 24.930098040990387, 24.983568198987918, 25.035448897062935, 25.08777866777014, 25.132950822875188, 25.151725416639373, 25.16688894388488, 25.1855691641909, 25.17802094526166, 25.17313206540982, 25.156503996559337, 25.131156965708296, 25.087038119006177, 25.027410487280246, 24.963143347018704]","[25.13458326980645, 25.14328801824905, 25.1415677178484, 25.15059488028613, 25.156045086767524, 25.16058980242744, 25.167514698202087, 25.164060651084963, 25.182672185884822, 25.18312505092202, 25.177820765387484, 25.17602266773278, 25.17027236611348, 25.15894514873036, 25.156922615266605, 25.156550467560656]","[25.1466729350207, 25.142386953788066, 25.1489223692403, 25.151366703277862, 25.15746019049347, 25.162412663656745, 25.156434456555743, 25.17866104975097, 25.192821242696738, 25.189855368770306, 25.180763596643533, 25.178159360164983, 25.181274806212397, 25.17963008129985, 25.1769548898329, 25.17041096694619]","[24.239741139653898, 24.462774269071787, 24.58212581037453, 24.711655911913606, 24.79228218246322, 24.84047048327018, 24.890700825543057, 24.944434824571015, 25.06468426200451, 25.01324480414399, 24.968978443398, 24.906568735565894, 24.85458734912539, 24.804373950349884, 24.728198728550012, 24.614131682086878]","[24.943545942053685, 24.983095728570078, 25.024152719093053, 25.057682881491754, 25.051641688594486, 25.07282402776392, 25.076851793054953, 25.079791309557358, 25.112803557033423, 25.117594806186165, 25.109308446803798, 25.09231143977999, 25.088779758223733, 25.078598414729854, 25.06705683598176, 25.05113763579712]","[25.160507875279965, 25.16543438379581, 25.169661516202265, 25.168428289403238, 25.161200605467965, 25.176810389089848, 25.147550370336432, 25.187208044733165, 25.166791793263428, 25.181248181567508, 25.15539878297646, 25.169699907790218, 25.178090346345357, 25.17877982226552, 25.175034326331538, 25.170672239460348]"
