,R12_S00,R12_S01,R12_S02,R12_S10,R12_S11,R12_S12,R12_S20,R12_S21,R12_S22
u,"[24.191738889316685, 24.194905220529282, 24.20274376491669, 24.203121140700567, 24.208459519262327, 24.21498572465453, 24.212690828635253, 24.215075870774413, 24.221442370097133, 24.231675181339142, 24.219125476744864, 24.221615374307127, 24.219853773930996, 24.217055092354656, 24.21384061889441, 24.20773861751102]","[24.217161832531243, 24.211946534682568, 24.205158212379757, 24.185018562887535, 24.190498692928273, 24.208498330732965, 24.22905443653784, 24.224085749100333, 24.20889153095959, 24.21652065086353, 24.155197062536736, 24.22698333264743, 24.216246555009356, 24.221735488462606, 24.227016489163994, 24.221915964860443]","[24.201095144422766, 24.196886248684343, 24.205680200374857, 24.222160221324195, 24.198352995447777, 24.238566578319336, 24.19161712348891, 24.240387886772588, 24.221284574777663, 24.087886406151505, 24.154153328983817, 24.145062118256586, 24.209206501462493, 24.224122388171338, 24.20513258259888, 24.22307596046006]","[24.19917674465348, 24.219137509934775, 24.21180487460495, 24.23052713755585, 24.180660893743017, 24.215158717477447, 24.203298296744826, 24.257194942180718, 24.26306211529264, 24.26561645540132, 24.258669924816374, 24.257000375242647, 24.25322397127675, 24.24711785684506, 24.253842592460888, 24.241779472284385]","[24.24511469422029, 24.253925642261578, 24.243977147600525, 24.25748575193446, 24.240083996746428, 24.23170400236851, 24.250373596749416, 24.255128444009063, 24.234663167390515, 24.234966132498478, 24.215009184616644, 24.2345606336443, 24.242794290120038, 24.23225212345021, 24.245011354468048, 24.252653372915013]","[24.22606900151647, 24.233431824763386, 24.237025627583115, 24.23322631451271, 24.238282713415856, 24.240562143286375, 24.242345183922772, 24.24736016917137, 24.258747962673667, 24.26297934605763, 24.251699818539215, 24.251910078662682, 24.23320180673156, 24.250244327187247, 24.253926634434006, 24.24652874083447]","[24.302099252107848, 24.306662531221622, 24.303479931010422, 24.29789869109368, 24.305083152771175, 24.307625788431743, 24.3104761916997, 24.316145368597844, 24.307312205782722, 24.316268910695246, 24.304002691469428, 24.314950571813885, 24.301306261016535, 24.308377506025977, 24.30104914949439, 24.30584317092805]","[24.259478638325362, 24.267307865535965, 24.272216067475743, 24.272559330094353, 24.28106615832746, 24.28093412215574, 24.28537212180659, 24.27817821570484, 24.286828001332466, 24.28630424526377, 24.28236742318667, 24.27786693161538, 24.272512945173446, 24.27389035692663, 24.27379696468834, 24.272706402892233]","[24.279799927533674, 24.255463168057524, 24.28658263927074, 24.28008455762335, 24.286620408186856, 24.28706731901435, 24.289149725108704, 24.280770111226367, 24.291261726231962, 24.291595607182614, 24.29288204524365, 24.282198642449913, 24.282877244994275, 24.266036001002192, 24.288671456350606, 24.279672495681886]"
g,"[24.99006472085105, 24.990581704245077, 24.992485538623598, 24.991971299519168, 24.994496114037755, 24.996099620721292, 24.99676576021673, 24.99717230455838, 24.992883746225694, 24.995796467429642, 24.992448524434693, 24.992653000148263, 24.992356158520302, 24.99067363041958, 24.990882360291153, 24.988914242601176]","[24.982793949464636, 24.980122791721808, 24.977611580589123, 24.97134139973573, 24.972556044257196, 24.976834671461464, 24.983716926871843, 24.97989707501274, 24.970412389329287, 24.972840576550677, 24.954656883907695, 24.97690433851073, 24.97492008853227, 24.977028160079012, 24.97907217849841, 24.977427442554134]","[24.972949898551143, 24.970887065939987, 24.9716752260527, 24.975157408165117, 24.966226558856963, 24.97827259207195, 24.96302598855912, 24.97856121665495, 24.96934840717132, 24.923901278063408, 24.94686892564742, 24.94577529540386, 24.9681403130353, 24.9741043129075, 24.96788827333236, 24.97409121246033]","[24.96938646932655, 24.975806780770153, 24.97230230746584, 24.977483292085914, 24.961584156720285, 24.97303558083377, 24.968821214532795, 24.98584379642867, 24.984642525407693, 24.985103679961867, 24.98259855687093, 24.98286989561449, 24.9810783717371, 24.979474470735198, 24.981429533629306, 24.978744049634845]","[24.98941446554612, 24.991748252017924, 24.988991494269438, 24.99311035052835, 24.987152526209783, 24.983781003280523, 24.98895608166883, 24.989968122277137, 24.980729299116014, 24.980743894065764, 24.975354688580158, 24.981896015505523, 24.985519395935956, 24.981838529616713, 24.986826593064258, 24.988391750855566]","[24.982781651334662, 24.984353473232577, 24.983929360182334, 24.98207487641447, 24.983031621325615, 24.982795272235307, 24.98343765347837, 24.98451504659285, 24.9841245501179, 24.986375792230646, 24.98255559026766, 24.983562060141082, 24.978036658023473, 24.985113638704227, 24.98579384265188, 24.98409885254042]","[24.99741064436689, 24.997844735587343, 24.997214954697753, 24.99479118841523, 24.99738433611725, 24.99764423075297, 24.999188341414765, 25.002690273017542, 24.99764632241565, 25.000393201912082, 24.99577506445026, 24.99921320984426, 24.995481288226642, 24.99558744164525, 24.994946143136186, 24.996836124198428]","[24.989247906551302, 24.99202792802266, 24.993009138844265, 24.99325954622228, 24.995811090660077, 24.99530793393897, 24.995543170619126, 24.99458759824833, 24.994373811168078, 24.993950078059886, 24.99302815606124, 24.99174052318047, 24.990207586666063, 24.992038663304267, 24.991481400354097, 24.992375403101082]","[24.996706087188453, 24.98757864973783, 24.995448101760203, 24.992425358771595, 24.993840018545978, 24.994512231926826, 24.995046799215604, 24.99083477399858, 24.993848880224935, 24.99417254918531, 24.99491890640355, 24.992060870697326, 24.99226908752708, 24.987643946821944, 24.996231925749175, 24.993805294503336]"
r,"[24.500441876920128, 24.5006428004092, 24.50148245569506, 24.500834590784578, 24.502893105221172, 24.50351715297677, 24.504543446601232, 24.504164347240543, 24.499530903835154, 24.501278594195522, 24.49979685697879, 24.499458329185, 24.49925050550405, 24.49775055806048, 24.498440810781506, 24.49707022697809]","[24.500276437561872, 24.498376525873855, 24.49694255494931, 24.493703814642124, 24.494327095598337, 24.496001431054278, 24.500262023248048, 24.49674465520663, 24.489405841793193, 24.490578317077638, 24.48172750408545, 24.492995290878063, 24.492563585235615, 24.493702840125714, 24.494839295540288, 24.49367254076789]","[24.49486683260033, 24.493382418408657, 24.492666824450524, 24.493594199822336, 24.488150564185673, 24.49440806604085, 24.486290435441607, 24.49471106498205, 24.48817933790153, 24.46405846091555, 24.475718037529813, 24.476229565841397, 24.488616199806977, 24.492474056441576, 24.488898919456773, 24.49249709026683]","[24.492549609325835, 24.496255106126632, 24.493902413632618, 24.496292976687464, 24.488313872139855, 24.494701808756123, 24.49242867571606, 24.501484118729866, 24.49972860323276, 24.49956842351336, 24.4978800850993, 24.498404377124263, 24.496836925464713, 24.49600262027559, 24.49671937361268, 24.49589377994267]","[24.507263901517575, 24.50846265628554, 24.507284885152348, 24.509587370090077, 24.5061131319894, 24.503875087310576, 24.506370071885325, 24.506760570694592, 24.500591320111152, 24.50051332404684, 24.49818264331411, 24.501720445401162, 24.50420376042113, 24.50182508620356, 24.505090465809015, 24.5052883432166]","[24.50397499239522, 24.504536104773656, 24.50346643491261, 24.502127262841444, 24.502384242499694, 24.501776187158733, 24.502245597369118, 24.502591178645766, 24.500808534639173, 24.50257456274384, 24.500224819429178, 24.501289414175588, 24.498376487493104, 24.50321893199535, 24.503187264498603, 24.50256755062251]","[24.50560613738307, 24.505349320757546, 24.505347060565196, 24.503579231775973, 24.505245845467808, 24.505078646586437, 24.506343169860674, 24.509451156940486, 24.50586566283985, 24.507116327171758, 24.504125614120746, 24.505912569503447, 24.504211051025525, 24.50278057269065, 24.50346384033202, 24.504639927535592]","[24.50515931061259, 24.50706344394702, 24.507336267186574, 24.507666879436925, 24.509123905293112, 24.508592786250684, 24.508081835418555, 24.508400278712738, 24.507038364139945, 24.506541998108865, 24.506177576388144, 24.505480136297393, 24.504630005693954, 24.50648781329958, 24.5057814522704, 24.50700829432723]","[24.507390996265904, 24.501528516260898, 24.50483375877841, 24.502694765647313, 24.503252811201833, 24.50407076072279, 24.50442321277429, 24.50114143347644, 24.50314945147718, 24.503408184793216, 24.503900833065437, 24.502442168459726, 24.502343819935984, 24.50009539760343, 24.505584173331773, 24.504311102355956]"
i,"[24.01557350942935, 24.01647181090047, 24.01723306728685, 24.01642217073986, 24.018092391288572, 24.018113210241285, 24.018845176199775, 24.01772767020715, 24.01670393829432, 24.01853088213593, 24.017790283996767, 24.017446116383198, 24.017325999257974, 24.01579104174043, 24.016234082089476, 24.01421344815231]","[24.031548099960755, 24.02980472940444, 24.028648589592866, 24.026251979464277, 24.026816507345593, 24.027919317599476, 24.031611926857334, 24.02846420041231, 24.025672824543314, 24.026265666394853, 24.019999970458322, 24.027960806537404, 24.02790495156802, 24.02873551568493, 24.029557031284394, 24.02840805263994]","[24.026182350660832, 24.025531586896427, 24.025061338933305, 24.025952047817466, 24.022137836607634, 24.0272048290656, 24.02127173826195, 24.02715013038373, 24.02373256703447, 24.006582721035638, 24.01482474891466, 24.01551751797304, 24.02450921363681, 24.027229350811247, 24.02391867642966, 24.02623863033964]","[24.026423444768177, 24.03013425746353, 24.028253445837876, 24.029643303887873, 24.023589521169555, 24.02809315452152, 24.025947140139372, 24.032432954955702, 24.031061340451412, 24.03104362940531, 24.030045274344527, 24.0311217139788, 24.03001627300242, 24.02963372601051, 24.029849456105715, 24.028810080665636]","[24.033063431290486, 24.03391521310705, 24.033183806910124, 24.035049757969777, 24.03241713761189, 24.03073405392471, 24.032831669327624, 24.033441084306077, 24.028712937774664, 24.028199905956576, 24.02635168615765, 24.028781282776308, 24.03073286315006, 24.028573551586078, 24.031320631671996, 24.031191832510522]","[24.031346941371204, 24.03216866097525, 24.03147769460357, 24.0308054785349, 24.031392022420256, 24.031061220526688, 24.03154322027241, 24.031208809112247, 24.029426324813294, 24.03161465038348, 24.02968923815584, 24.030422859614283, 24.027742280364592, 24.031444982413674, 24.030686051329994, 24.029856047061752]","[24.03554611561966, 24.035912419583827, 24.036424907919248, 24.034919646894572, 24.03620756453517, 24.035733351146796, 24.03673554525361, 24.039555624160055, 24.0338627015067, 24.035014067810785, 24.03284792289392, 24.034552577450047, 24.033763457560042, 24.032075458256397, 24.03293932341589, 24.033171483255327]","[24.03571788960525, 24.0373870107262, 24.037455242009656, 24.037822869629842, 24.03899892533436, 24.038535632717572, 24.03794643704075, 24.038752328115955, 24.034423003745825, 24.03376727592992, 24.033448501377805, 24.032870857034414, 24.03219752341743, 24.034073140428944, 24.033369737346455, 24.034793414597463]","[24.041599860517803, 24.03704286540838, 24.039400060697236, 24.037880827813062, 24.038506012404653, 24.03954837506144, 24.039739269307162, 24.036171890395174, 24.036024624511583, 24.03684879516524, 24.037301131991967, 24.036007025221107, 24.035363547006376, 24.033345457053073, 24.037486406996646, 24.036147909778602]"
z,"[23.404648336243696, 23.4062736185918, 23.40700928472724, 23.406175526981507, 23.40753271114098, 23.407378207527103, 23.408050373623322, 23.406762398086226, 23.408060568390034, 23.40957234253687, 23.40928972664562, 23.40879989697084, 23.408667053385198, 23.4069639160323, 23.406923610055266, 23.404047289836182]","[23.4255115399736, 23.424120780774658, 23.423426700588394, 23.421975080157267, 23.42294876012788, 23.423921206071128, 23.42779818102985, 23.42559604803073, 23.42622691004049, 23.425597996515044, 23.421079636312026, 23.42592313648049, 23.42596654013849, 23.42618418997224, 23.426252597842282, 23.424718277541515]","[23.4225647687064, 23.422527477568337, 23.422075332225788, 23.423055182844152, 23.42083654757312, 23.424768881605203, 23.420574234658766, 23.424097636819273, 23.424206872358567, 23.413042253026575, 23.418205876315394, 23.4191480067309, 23.425469377917782, 23.42720289844456, 23.424303678248727, 23.425697716278695]","[23.4236799252077, 23.42731378974815, 23.425930109956806, 23.42652113863947, 23.422307011294357, 23.4254184952748, 23.423579120731244, 23.427844996132006, 23.426240954554203, 23.426187992337752, 23.4256628903154, 23.427169049749974, 23.426381452894606, 23.42620398632205, 23.425727835088452, 23.424333439422366]","[23.425852411517504, 23.42605120437213, 23.425476027036215, 23.426741074357125, 23.424798671046226, 23.423509531654695, 23.425156133726244, 23.425955688962816, 23.42171342597248, 23.42118046589661, 23.420117047181733, 23.42174481287541, 23.423370314345192, 23.42142461012004, 23.42379578509742, 23.423572782122147]","[23.423929633136538, 23.42528807016783, 23.42515159284094, 23.425354635214127, 23.426475292100008, 23.426793142471837, 23.427788357201557, 23.42729167981576, 23.42481859687435, 23.426877043496503, 23.424752063118223, 23.424889709364287, 23.42216474760845, 23.42439317618222, 23.422466559263583, 23.420993431088526]","[23.432524581493798, 23.433556459731914, 23.434548306103682, 23.433371920699862, 23.434537380959014, 23.43401012105251, 23.43507029007799, 23.43788133414179, 23.429114188856936, 23.429931670435657, 23.428255561210563, 23.429762810401122, 23.429621127757226, 23.42749012621939, 23.428231153117256, 23.42746751104235]","[23.432726562538186, 23.434355028390137, 23.43435006141853, 23.434906448506517, 23.436004296183057, 23.435811322808004, 23.435428875607656, 23.436832495556907, 23.428919952721497, 23.427900953676264, 23.427372880319513, 23.426736068875353, 23.426004307470656, 23.42758059771085, 23.426459488749305, 23.427754635819067]","[23.44311703992256, 23.439885566518832, 23.44150634684356, 23.440731662037113, 23.441635655384246, 23.443098329703684, 23.44358456338633, 23.439815100705438, 23.43710596183611, 23.43796147006983, 23.438066891748278, 23.436744812538148, 23.435516522010424, 23.433407076989305, 23.435963960308776, 23.434145150167602]"
y,"[22.44608410690939, 22.447347164668038, 22.447825345528123, 22.447016497241247, 22.44706393249708, 22.447756563375226, 22.44783134509602, 22.44788291749058, 22.448180830682613, 22.448701203294704, 22.448444848973672, 22.447881708414002, 22.44761734263981, 22.44515394115935, 22.444018541200727, 22.441159731529645]","[22.461774839619416, 22.4609198044265, 22.460716702596038, 22.459284193726468, 22.460306965348956, 22.461133420257823, 22.465209511239454, 22.464169500128587, 22.463570082258578, 22.462248171637818, 22.459021265322516, 22.463240125765026, 22.463258399634302, 22.462457191422907, 22.461066805405338, 22.45856325210879]","[22.462623080329237, 22.461953535550535, 22.461210741469106, 22.46168680789676, 22.459758167258155, 22.462680902627064, 22.458101664096873, 22.4608308743776, 22.464299474784546, 22.45446637268997, 22.458760508806655, 22.459938468166264, 22.465760590008326, 22.468331884772525, 22.466041267764382, 22.46790029126698]","[22.464360064665897, 22.46765540641614, 22.46574356116991, 22.466655646394923, 22.46370520349567, 22.465505576071997, 22.465039809471293, 22.47119002377489, 22.46921188114558, 22.466598466798587, 22.465167977596856, 22.466313277775484, 22.465231000473167, 22.464786479260273, 22.46318845474697, 22.461782568404665]","[22.468728254070204, 22.46834811392983, 22.46844069650729, 22.468760136343498, 22.466141350825765, 22.46409345279241, 22.464255151642814, 22.464171046428653, 22.457400534644833, 22.45814697960954, 22.45875172661834, 22.460810915628546, 22.463028488477136, 22.462366236695914, 22.4652400949272, 22.46587980518614]","[22.46136127643303, 22.462940181919386, 22.462671214119013, 22.462583418043216, 22.464414311983152, 22.464951606109253, 22.466483029097276, 22.46683607657611, 22.465199767849928, 22.46615929433313, 22.463475668312338, 22.46356453017776, 22.46106288997192, 22.462428750759774, 22.459191622784246, 22.456804639668924]","[22.473899193932148, 22.47420848397241, 22.475234321941315, 22.474262578791762, 22.47607546185921, 22.47573507034247, 22.47799791174517, 22.482328746956597, 22.47050940392082, 22.470913438420382, 22.46886006126911, 22.469851967820617, 22.469906089770845, 22.466991021200105, 22.467422129964195, 22.466587079023974]","[22.47421616479764, 22.475465389950816, 22.47559860604248, 22.47588618854903, 22.477251737757648, 22.47663343768194, 22.475759010832576, 22.478095709248066, 22.472658485060187, 22.47001916505768, 22.4695012903114, 22.468909469691763, 22.468503681437713, 22.469856308615597, 22.467748898102833, 22.468567120735884]","[22.50013584214364, 22.497520836631285, 22.498724423257904, 22.49837208320261, 22.498547360793054, 22.501388613596152, 22.501291292687252, 22.49906220112066, 22.496994395564414, 22.496700630832226, 22.496307227658157, 22.495132128822117, 22.49381806624525, 22.49138664916442, 22.492680105292788, 22.49029442655717]"
fS,"[1.1988480465844964, 1.2016187366530553, 1.204862712339067, 1.2034142048319265, 1.206954223670686, 1.2092792761631865, 1.2098351670817742, 1.2093291515046176, 1.2090121195631858, 1.214153864074557, 1.209665476251385, 1.209424744270104, 1.208626646769634, 1.2042130667392401, 1.2031299839998086, 1.1970156255829425]","[1.2299694106486279, 1.225822397010658, 1.2225289202179597, 1.2135207276096578, 1.2164580921256014, 1.223061354255532, 1.2362856579293782, 1.2304002242397858, 1.2219687839113922, 1.223457056902825, 1.197993900034212, 1.228769447158186, 1.2258861601177684, 1.227702619545863, 1.2289944262351187, 1.2242950186628483]","[1.2201308574147933, 1.2176844601637495, 1.2186124028009278, 1.224299177645353, 1.2120099331142953, 1.2308409050196285, 1.2078689731250902, 1.2297879069313657, 1.2229838792792824, 1.1632443898617648, 1.1912084065266675, 1.1908971304934775, 1.2221251674200628, 1.2313260855627024, 1.2206815888215372, 1.229680731701683]","[1.2202753909421258, 1.232386417522771, 1.226699028187542, 1.2340033725513742, 1.2115327660889448, 1.2273297853441696, 1.221269775007901, 1.2482272745718468, 1.2462214918923396, 1.2450092540355755, 1.2407253128698743, 1.2424689356206997, 1.2392093021961552, 1.2366819923855585, 1.2375888284200274, 1.2319667793966333]","[1.245256202401086, 1.248306720082801, 1.2445995853080434, 1.250829897506783, 1.240767176118895, 1.2348410952079523, 1.2426097301883023, 1.2446077397496285, 1.2277227268302264, 1.2278285727234923, 1.220838201185921, 1.2306299130274776, 1.2370144810521193, 1.230965282615891, 1.2400140085289033, 1.2424558854563457]","[1.23195287615508, 1.2361486790678973, 1.2360520774886423, 1.2342031671447622, 1.2376574648629854, 1.2383517184857542, 1.2407503236708244, 1.2420988668738993, 1.2412142602167564, 1.2456936747706309, 1.2379560615697085, 1.2389272279176273, 1.2286114051782824, 1.2387788592546225, 1.2363237477710471, 1.2314147945310354]","[1.2681765350736534, 1.2702360935182067, 1.270694277640621, 1.266402137816091, 1.2716184178836525, 1.271596255080658, 1.2755403727610004, 1.2842424215763895, 1.264971316378729, 1.2693779130182001, 1.2612654736839999, 1.2674351501947594, 1.2622877717474679, 1.2600039317537606, 1.2591682819450716, 1.2602714091683518]","[1.2562367099488796, 1.261558253625441, 1.263147194637571, 1.2639947558445637, 1.2690001775573787, 1.2679877691977575, 1.2679460637063638, 1.2687236724683832, 1.261080222777966, 1.2581086773071533, 1.256095931576199, 1.2535751413536294, 1.2508128245782908, 1.2544992818151985, 1.2518730273324465, 1.2538979373910544]","[1.2895313910584303, 1.27477757190798, 1.2875146633930128, 1.2834259232323522, 1.2863192039363343, 1.2900505085054499, 1.2910171855085086, 1.2822126170160297, 1.2831372550418176, 1.2838930560848303, 1.2844537751249836, 1.278750394848511, 1.277111577785277, 1.2678122941929835, 1.2805174603630314, 1.274257092643122]"
u1,"[24.685993142114107, 24.689923100010166, 24.695640345224735, 24.696417838454938, 24.701702094989862, 24.706317215275945, 24.705925583043772, 24.706839679093324, 24.71449802032373, 24.721258689481935, 24.713248341054776, 24.71351384968488, 24.711148450442142, 24.708195520802448, 24.70567656579898, 24.700041120737975]","[24.71044216108034, 24.708490266762823, 24.705363491423697, 24.693807697559183, 24.698846405870675, 24.710754278169617, 24.724928971725838, 24.721117558208682, 24.71475226282437, 24.71890652250137, 24.679778564469093, 24.724362421401143, 24.71708119759066, 24.719373759450473, 24.72150032327854, 24.71669521227962]","[24.708859860973547, 24.707343315790997, 24.71327521708102, 24.72401613064714, 24.709544008018895, 24.736026132204604, 24.70722937645701, 24.738943145471247, 24.72746289830332, 24.63947756549541, 24.683061621254176, 24.67706380891693, 24.718403550249512, 24.727774939204735, 24.71464761116891, 24.7252006116006]","[24.710422879056203, 24.72465915868922, 24.72094985706928, 24.73337125739418, 24.70312323959783, 24.726383197950483, 24.71954312452091, 24.753943713056948, 24.761516807755605, 24.76241525048451, 24.757197252210958, 24.75585908084004, 24.75205429004583, 24.747379000793323, 24.750090350635492, 24.74195145995298]","[24.73374447365022, 24.740363593522325, 24.735271823484844, 24.744187686929852, 24.73385186370315, 24.728824509458946, 24.740464164335243, 24.74372997331475, 24.733873825002, 24.733691205646757, 24.72136019374819, 24.732993618407534, 24.737904185639405, 24.730373098825872, 24.738221773265295, 24.741282895245565]","[24.72114793907908, 24.727180997778795, 24.729912434102822, 24.728015265383835, 24.731823862920585, 24.733870571217388, 24.735661673846103, 24.73912371758513, 24.75072439753273, 24.753511978549724, 24.745586780217064, 24.745485604646984, 24.732885017578777, 24.743722817519696, 24.744730134105875, 24.73907849490974]","[24.787888348361605, 24.791281195668148, 24.790142063950164, 24.78692029528067, 24.792324143333765, 24.79397867871706, 24.79632536644248, 24.800788058443516, 24.7978177601656, 24.80303625023442, 24.794845458674132, 24.801196921775563, 24.792587123349843, 24.795257674944853, 24.791054866053955, 24.79339369717482]","[24.74764911767705, 24.75435032724803, 24.758237323242778, 24.759652820889254, 24.766016070322376, 24.766465934313548, 24.769395730761204, 24.76505854659065, 24.773574366342032, 24.773429578977993, 24.770599404960166, 24.767173598078195, 24.762869057001957, 24.763800390326494, 24.76253739624282, 24.761358979936965]","[24.76608530556925, 24.751544216985266, 24.770789520357212, 24.76707985273504, 24.771885678981974, 24.77307462239857, 24.775073920007678, 24.76910278034174, 24.77993591616383, 24.780168087822258, 24.78054547916985, 24.773388254279716, 24.772681159345062, 24.761998998972494, 24.776100379393256, 24.769406380287947]"
u2,"[25.133917768251965, 25.13837559381183, 25.14260974029175, 25.143663917029148, 25.148904370330847, 25.15219083617758, 25.15311726663885, 25.153010723940557, 25.161555119596812, 25.165911478096728, 25.161049535284192, 25.159771016557922, 25.15699133110531, 25.153935448127168, 25.15189982194503, 25.14659385178884]","[25.15769226836186, 25.158020491282056, 25.157481881165698, 25.15211979684102, 25.15683090801307, 25.164327310092848, 25.173970519313258, 25.17097525758145, 25.17091323303805, 25.17256354894775, 25.149943093598544, 25.1744614859785, 25.16963415922326, 25.16966139177331, 25.169575175074772, 25.164981588048608]","[25.166403737757612, 25.166857532972145, 25.17069127566763, 25.17728396291881, 25.16959605274406, 25.186163665435767, 25.17056294823554, 25.189850602882323, 25.183835244656027, 25.131438242277405, 25.156572284037065, 25.153007993903685, 25.17698221318465, 25.182324417279233, 25.17346252713848, 25.178657768370176]","[25.17051999071264, 25.180565487431746, 25.179493993451377, 25.187341117867817, 25.171640770868667, 25.186447241034465, 25.183341507083775, 25.20356587222763, 25.212332755289463, 25.212063424048058, 25.208069497342866, 25.206967381762013, 25.20314693913709, 25.19949138919987, 25.199366601822163, 25.19400676761664]","[25.177747579798634, 25.182864078251495, 25.18110495840578, 25.18686339725745, 25.18140090566819, 25.17872465817673, 25.185462419547456, 25.18770314108636, 25.185244453124167, 25.184718123491965, 25.177858873405267, 25.183814367363482, 25.186384525044677, 25.18097593246066, 25.185377832174183, 25.18527684613157]","[25.169625018765558, 25.174724006577268, 25.17685304246955, 25.176281611634277, 25.179216496587575, 25.181098969704113, 25.18289353754925, 25.1852752461681, 25.19700983262748, 25.19879775770006, 25.19320440197402, 25.19288685750608, 25.184589859059894, 25.19105896331924, 25.19021352470961, 25.18577550718916]","[25.229899166307703, 25.232495085519098, 25.232743171544687, 25.23113654896127, 25.235316659893414, 25.236364518813144, 25.238366204929996, 25.242006398175185, 25.243041553110654, 25.245693965247185, 25.240305256866815, 25.24350267052484, 25.238352250322464, 25.23800186042649, 25.235943238862887, 25.236597519907967]","[25.191322904523165, 25.197246522479876, 25.200434411926544, 25.202577274677367, 25.207477468020326, 25.208320653422618, 25.21022676962018, 25.20783076374016, 25.216245657125175, 25.216359336934378, 25.214288193839256, 25.211602765637355, 25.208024669001404, 25.20864826566268, 25.206584273631577, 25.20534726965252]","[25.208465049237912, 25.200700901121646, 25.211755541404468, 25.209940502714705, 25.21356550637713, 25.215255996677502, 25.217196357997516, 25.212872958505404, 25.22392763827348, 25.22409006091784, 25.223845892599154, 25.219117580767968, 25.21745718412032, 25.211061694540664, 25.21924712687152, 25.214139030271273]"
