,R12_S00,R12_S01,R12_S02,R12_S10,R12_S11,R12_S12,R12_S20,R12_S21,R12_S22
u,"[0.05921556419485138, 0.059765118465794444, 0.06000065323640843, 0.060142406737215166, 0.060647633886417356, 0.06077826821263233, 0.06102973749337359, 0.06089426867225237, 0.06221399439813937, 0.06232669998433294, 0.06223134023212305, 0.06186610329975706, 0.061498189318600745, 0.06115285434559721, 0.0609979233158542, 0.060480488017059325]","[0.05973476796449176, 0.06009338110223989, 0.06040495527271802, 0.060735983441594095, 0.06120507142423835, 0.06138216531052739, 0.06178471015736297, 0.061593391530753556, 0.06278007256246679, 0.06257456466722561, 0.06260068902884716, 0.06222719338454749, 0.06203810020065132, 0.06170056885411874, 0.061371490656813396, 0.060913769023730094]","[0.06255746473235292, 0.06290236873404599, 0.06303887769241902, 0.06318645736126431, 0.06340583280741827, 0.06376301527877629, 0.06403399916367136, 0.06428969199378431, 0.0646352314650644, 0.06464694657069206, 0.06429381815487059, 0.06429887278127583, 0.06420927875114188, 0.0642034165598684, 0.06386976767185933, 0.06363991389687727]","[0.06272403468159911, 0.06318172581834615, 0.06350481887197774, 0.06370920613397721, 0.064216897006601, 0.06453916927720302, 0.0647775762782942, 0.06486921538014517, 0.06613633380177633, 0.06591758375449125, 0.06563984799494636, 0.06554754792356503, 0.06510656768612288, 0.06482499032953905, 0.06436883105737963, 0.06421944272499532]","[0.06190228325884273, 0.06224216215602841, 0.06251038041642741, 0.06268519271392563, 0.06277007272709065, 0.06280912667163359, 0.06283462912000037, 0.06292822586100245, 0.06379390872288691, 0.06370653230900818, 0.06378194615407037, 0.06360822893577155, 0.06356188928122664, 0.06329074515630251, 0.0632877858946847, 0.06282667669106912]","[0.06166787243772346, 0.062111372167130065, 0.06228408112961968, 0.06243687991242033, 0.06266007197430343, 0.06284990597764338, 0.06303215866858312, 0.06317066694702096, 0.06463697839583256, 0.06462609377779949, 0.06432313856045684, 0.06424065417121655, 0.06391571449210576, 0.06395938930172058, 0.06357557688621676, 0.06324916067329735]","[0.06713504667326112, 0.06731233393242753, 0.06754179288739169, 0.06763287141962758, 0.06799423778503606, 0.0680508105277445, 0.06815040702350168, 0.06840336317474614, 0.06926979429622337, 0.06918159007056282, 0.06895911756660457, 0.06885385681839153, 0.06876004415240167, 0.068202678583208, 0.06823567106609532, 0.06801612146302831]","[0.06319676351936032, 0.06375290094176025, 0.06403083571392622, 0.06439609730358149, 0.06475484929304999, 0.06491477791470043, 0.06498784606553651, 0.06499716368570872, 0.0660619728434221, 0.06609384265317703, 0.06593951695329334, 0.06571658894281622, 0.06539498060873261, 0.06540911659923063, 0.0650545609532755, 0.06489623730084854]","[0.06418760185841053, 0.06437940675306464, 0.06453316017377285, 0.0646053630158662, 0.06482383204537333, 0.0650827545620023, 0.06532790835572769, 0.06511200910299067, 0.06634889767324062, 0.06636742011696416, 0.06625950824949542, 0.06608582504094934, 0.06572645827340476, 0.0656024039242401, 0.06563649309771617, 0.0652562346553895]"
g,"[0.16526770075899025, 0.16568406854091988, 0.16579399494324676, 0.16572727393345615, 0.16639106038124615, 0.16635529196129295, 0.16689067195008758, 0.16665840282102995, 0.16668790531595884, 0.16678503048823654, 0.16679150352349587, 0.16630137720828692, 0.16601500911357664, 0.16545023180634508, 0.16562180098681328, 0.16509577939128384]","[0.1624474090046508, 0.16246593767469167, 0.16262192723111057, 0.16288929130054172, 0.16323408673887724, 0.16308769746450347, 0.1636760901936802, 0.1628627577861074, 0.16317112648471632, 0.16298746148490914, 0.1633804528608827, 0.16289368490236616, 0.16305440914848304, 0.16285915757280042, 0.16268192303166065, 0.1622124519594545]","[0.16368873953030366, 0.16385369411341616, 0.16353043378802312, 0.16331565786353314, 0.1632382785562163, 0.16347676608734632, 0.16366832269144566, 0.1639378367673994, 0.1635539882392404, 0.16376591375484664, 0.16312118931599612, 0.16365352546981551, 0.1637962568033494, 0.16411275911670187, 0.16372292509525, 0.16364004800895224]","[0.16283413577313932, 0.163287132050511, 0.1633201784879592, 0.16333554455062607, 0.16387043029361198, 0.16420239825452615, 0.164324571410737, 0.16435758090900837, 0.16487032356458484, 0.16456697367840353, 0.1642403966143984, 0.16440641177537435, 0.16386218149303083, 0.16368206149962222, 0.16322280605418335, 0.1634447626037718]","[0.16315461015323807, 0.16339923113351273, 0.16368700990660542, 0.16389350845649073, 0.1637529051364151, 0.1635674606394419, 0.16349384521617458, 0.1634893733663968, 0.16364124740476332, 0.16352947600857612, 0.16381935721452745, 0.16376419844693804, 0.1640129798136738, 0.16361540516408257, 0.16390644987945635, 0.16327961000611574]","[0.16268210711829614, 0.16295249538547446, 0.16273325906942143, 0.16270811494634993, 0.16279681247908798, 0.16271493852242566, 0.16287484864890833, 0.1629278168176815, 0.1634484106327704, 0.1636228544105763, 0.16324061903814469, 0.16342296702325304, 0.163148998045257, 0.163660842396192, 0.16317019053162776, 0.16301918541413774]","[0.16569848621854114, 0.16555150189280093, 0.1658137579800974, 0.16572860818344085, 0.1662147535589928, 0.16613956413820596, 0.16626454972657664, 0.16689880101760265, 0.16724769467872563, 0.16715457265298267, 0.16674263444796467, 0.1666812784047215, 0.16675869480343325, 0.1656272534143213, 0.16606429299060183, 0.16595064290543823]","[0.16304962327775913, 0.1636807934172149, 0.16382120523118993, 0.16420412833091846, 0.164528807730717, 0.1645240946555671, 0.1642667506519776, 0.16460087021587602, 0.16498895902731267, 0.1649405967790136, 0.16487898475033055, 0.16470353351703282, 0.16444244573121752, 0.16484911538338784, 0.16438782592486867, 0.16459223942196458]","[0.16467913361449818, 0.16442721419878725, 0.16431256325144838, 0.1640483708150089, 0.16403294958916503, 0.16437389408604997, 0.16459945535939635, 0.16397294722722142, 0.1649758369192923, 0.16508950537086772, 0.1651458843415542, 0.1651593723557441, 0.1648270638744917, 0.164842248030357, 0.1653429765859452, 0.16508492946577916]"
r,"[0.1276587707037153, 0.12782437935392732, 0.12782620021700938, 0.12770148408607307, 0.12810094828277072, 0.1279960907925581, 0.12833909144543323, 0.12810090018627976, 0.12784871480804114, 0.1279376752471158, 0.12800444398598662, 0.12769583025852324, 0.1275594363592868, 0.12718270219870947, 0.12738291045803085, 0.12709137544719454]","[0.12725248507665374, 0.12714733885163473, 0.12718698315833588, 0.12731386961461447, 0.1274635850220405, 0.12727821596503494, 0.1276802558430718, 0.1270020585198055, 0.12688049027718748, 0.12677476091249912, 0.12711446025003217, 0.12679004647746514, 0.12699054946804497, 0.12691387261536763, 0.12685346353477137, 0.126583854882422]","[0.12772456896156492, 0.1277222640574752, 0.12737313870703876, 0.12712758882772882, 0.12698668136888772, 0.1270869145153712, 0.12717184484517094, 0.12733541506301566, 0.12690172314846476, 0.1270799243711587, 0.12660212592891057, 0.12707157696704477, 0.12722167405642432, 0.12750905799861834, 0.12727432301353628, 0.12730475487874082]","[0.1270519418078868, 0.1273003644642844, 0.12722707866258373, 0.1271661454420825, 0.1274835664287805, 0.1276794608264885, 0.12771346484425566, 0.1277294084861261, 0.12778599202051355, 0.12756233536979344, 0.12735160778568907, 0.12752361793484648, 0.1271686772359881, 0.12709255625831217, 0.12682662007939421, 0.12709202395342434]","[0.12797316675891945, 0.12807470421874068, 0.1282530237809109, 0.12837874278427114, 0.12823618224232167, 0.12805524987953032, 0.12798305163923396, 0.12795945110925172, 0.12782186182426958, 0.12775483542649063, 0.12798822066688118, 0.127985517896977, 0.12821840709996896, 0.12794394327681272, 0.12821059355339645, 0.12780111084917029]","[0.12781341011475728, 0.127888051827778, 0.1276226787410658, 0.12754539709066692, 0.12755024689702857, 0.1274062248278054, 0.12748490339333762, 0.12748463489478534, 0.12748075607523482, 0.12763925650721164, 0.12739580621508667, 0.12758970228076896, 0.12744742365733233, 0.12790086535142955, 0.1275916643204254, 0.1275853856698118]","[0.12787468478283204, 0.12768680243344804, 0.12785417759024412, 0.1277290807170334, 0.12803608611939005, 0.1279495375302089, 0.12802403725868802, 0.1285290078181016, 0.128587934220561, 0.12850444513888976, 0.12820743796426307, 0.12818604692309, 0.12828464543667137, 0.12744417503200903, 0.12782629399862072, 0.12779979242440082]","[0.12743057511760528, 0.12780317836583124, 0.12782384243198444, 0.12804059819201516, 0.12820909581391457, 0.1281402999182785, 0.12788077804858733, 0.1282006364494761, 0.12820350775253367, 0.12811869323891456, 0.12811498000208282, 0.12803295125460917, 0.12790885671464605, 0.1282827053309124, 0.12799595603154504, 0.12825405356408737]","[0.12782538827018466, 0.12752413799868972, 0.1273784734541113, 0.12713082707184967, 0.12705156301078904, 0.12728189822010533, 0.12741279273147008, 0.12692890261286563, 0.12741260929782963, 0.12749937644831355, 0.1275722736870962, 0.12761760596712618, 0.12742302599382246, 0.1274573284512316, 0.12788630098682208, 0.12777431096023284]"
i,"[0.08757693003054612, 0.08780148200400409, 0.08782303340936623, 0.0876991578595414, 0.08790059546185598, 0.08774949412369838, 0.08790112769106329, 0.08763649361129654, 0.08807163574207347, 0.0882014019236297, 0.08830161135895255, 0.08812861006027486, 0.08806541799220924, 0.08780225967076064, 0.08788532221774767, 0.08755970929554145]","[0.08985464621042348, 0.08974136053753591, 0.08974553847305558, 0.08981500634024542, 0.0899128165224833, 0.08979641097869764, 0.09010014613931759, 0.08966654491611695, 0.09022284964101135, 0.09011408790137693, 0.09033455239959313, 0.0900964597136106, 0.09024234174759913, 0.09019929897365152, 0.0901646423285212, 0.08997703169914385]","[0.08991646429284676, 0.09000276856744321, 0.0898550141730641, 0.08978776422195535, 0.08978238348562274, 0.08991683337841148, 0.08998018288391436, 0.08998842330606503, 0.09009831877060565, 0.09033334820251877, 0.09000835967551918, 0.09030618166807432, 0.09034637786560193, 0.09046707799591913, 0.09022579344318753, 0.09017650177794741]","[0.08974168808046327, 0.09003699715410356, 0.08999034849842026, 0.0898922634083237, 0.09002893572923439, 0.09007387759942498, 0.09000595777197302, 0.0899555825632522, 0.0900025194268718, 0.08990893501633489, 0.08985396793309146, 0.09007355109410782, 0.08991253325009327, 0.08991468172477543, 0.08971848124220494, 0.08978796380197727]","[0.08946635999753927, 0.0895053433748857, 0.08961981985891625, 0.08970669568552844, 0.08962903936231253, 0.08953678661237337, 0.08954251260774394, 0.08959044454193332, 0.08953190199766511, 0.08941693446334614, 0.08952032099267497, 0.08947818901242456, 0.08961426264736494, 0.08940991212010684, 0.08960058636693104, 0.08934355642664024]","[0.08952232360342424, 0.08964520040646864, 0.08954373530182899, 0.08957839903296487, 0.08966530890591572, 0.08961825920380961, 0.08967380623706109, 0.08957227885927296, 0.08953592292205352, 0.08975730589673513, 0.0895994063799655, 0.08968288598172565, 0.08950492608915055, 0.08973440326617999, 0.08943271920203422, 0.08935670188408673]","[0.09014517590079157, 0.09015199215716849, 0.09032669609865913, 0.09023904170650801, 0.09042153852592412, 0.09032027866878524, 0.09033391241238754, 0.09066191313034133, 0.09015683794451441, 0.09015548163266751, 0.09001877440758638, 0.09008218869435065, 0.09022122991964618, 0.08966866250905786, 0.08991030103704428, 0.08976279900205579]","[0.08995989571479797, 0.09019716372718824, 0.09018985385937087, 0.09032826876014646, 0.09043450643231447, 0.09038707668173078, 0.0902173845944278, 0.0904859454497825, 0.08989700044949094, 0.08979606177702223, 0.08977942318415533, 0.08972250780214172, 0.08964909218430125, 0.08992491727196568, 0.08974776633224311, 0.08997129635787698]","[0.09090250171872598, 0.09073394875796824, 0.09068729656357787, 0.09057217539618154, 0.09056095705263517, 0.09075204691626775, 0.09081370038079747, 0.0903633068960694, 0.09026947683134175, 0.09044034050558905, 0.09050510069378877, 0.09049620243207333, 0.09028544102253637, 0.09022590557191791, 0.0904485177829581, 0.09031169919500578]"
z,"[0.05654015656764781, 0.05672423629792491, 0.056746134846872534, 0.05666670305205661, 0.05676928967849347, 0.05669331539422423, 0.0567732568254513, 0.056607309180162116, 0.05698703814673002, 0.057062712918423374, 0.05712604735884662, 0.05701351897999572, 0.05697582847214903, 0.05679229811869194, 0.05680351541436319, 0.056529738021640574]","[0.05846443812251259, 0.0583983254245371, 0.058418733389339055, 0.05847692040947898, 0.05858911599600197, 0.05855994571976354, 0.05884214291416915, 0.05864610565865134, 0.059136172724504686, 0.05897687145265904, 0.059065429913891604, 0.05887980165498865, 0.058954288346099094, 0.05888879856931446, 0.058810269224002704, 0.05863958703387443]","[0.05857639339552697, 0.05864351106205943, 0.058553074919539226, 0.05855796852458574, 0.05860775663001851, 0.05870836812087688, 0.05873893955772412, 0.05869826189591122, 0.058978331332761404, 0.05915268374614591, 0.058926567169990375, 0.05911879127208965, 0.05915681712283361, 0.05920971397086558, 0.05904637901104538, 0.0590133062423073]","[0.05855253718178852, 0.05876483809310677, 0.058737524678295114, 0.058657914560044724, 0.05872642804795598, 0.058754313969440176, 0.058693057239709655, 0.058655490634417884, 0.05862077998365155, 0.058555808719447225, 0.05854481612321152, 0.05871986040182959, 0.058638165184709164, 0.058641014323836296, 0.058484308651770185, 0.058477306011986814]","[0.058221284454517665, 0.05819218239351076, 0.05823306624751994, 0.05826088291458903, 0.05820984436279191, 0.05814713230176448, 0.05816397415716044, 0.05821853462409968, 0.058112494509038784, 0.05805403992030186, 0.05813561250111364, 0.05811566188577924, 0.058205296684310806, 0.05806341493195978, 0.05819728974828988, 0.05807469879528409]","[0.05812831908112364, 0.05826011003696171, 0.05824191983352251, 0.05831941961190987, 0.05842668217528962, 0.058456406966189735, 0.05855483839474628, 0.05851110737971284, 0.05838956847866996, 0.05850804466768578, 0.05834627126921777, 0.05835354100588025, 0.05819129178710509, 0.05826139946394418, 0.05798358055031748, 0.05786508006271009]","[0.058927932365070775, 0.0589847811383263, 0.059116428212541434, 0.05906537494173429, 0.05919324390469616, 0.059135331100096944, 0.059165232762074735, 0.05940185513687564, 0.05876171498366141, 0.05875043541434369, 0.05865719760678792, 0.05871378324181349, 0.05881188301318527, 0.05844104153139818, 0.05855866335309001, 0.05840787664364257]","[0.058843426152410394, 0.059003720070117664, 0.05899947069388822, 0.05909710091408769, 0.0591740159495634, 0.059163736722656964, 0.05908369890498729, 0.059286687889738815, 0.058617235985388365, 0.05850942452088518, 0.05847502684947283, 0.05842999061443725, 0.05836972625080386, 0.05852034300923088, 0.05836208720526829, 0.05848595442611312]","[0.05993868251575869, 0.05985648724703811, 0.05985151287689063, 0.05981625097784234, 0.05984550214549582, 0.06000509891297427, 0.0600895127855636, 0.059763661002135496, 0.059481754888866666, 0.05957358352811877, 0.0595827922186957, 0.05954910913093777, 0.05937924739717622, 0.05928240115291459, 0.059362036712163786, 0.05921598169482399]"
y,"[0.027360663101261295, 0.027431798217375118, 0.02743214155764708, 0.02739268134370832, 0.027381039338263472, 0.027383687054265374, 0.02739353270595914, 0.0273690706126485, 0.027515198690940174, 0.027512439432812983, 0.027539541807636014, 0.02748906883155309, 0.027466279287521066, 0.027341645003693283, 0.027294488760152436, 0.027163772133802316]","[0.028043531342176544, 0.02803387004977484, 0.028062398063070055, 0.028079198148182057, 0.028134654367476936, 0.02812053608260847, 0.028268727514937236, 0.028225661199720992, 0.02840594649464345, 0.028304871184736794, 0.028371777180129915, 0.028296604644358885, 0.028326142038020224, 0.028249994654328033, 0.02814920790067944, 0.0280235577663006]","[0.028255251918335823, 0.02825374629186672, 0.02820736259468976, 0.028194290149482108, 0.02821392780688016, 0.028234265152821566, 0.028197413387275605, 0.028169292251886083, 0.028465423836672422, 0.02852189662613403, 0.02842694275002743, 0.028529170213660325, 0.028551134932397807, 0.028627677150359736, 0.028568466995818866, 0.028582262010866475]","[0.028262694656973994, 0.02835844925003597, 0.028315707329194483, 0.02830203441799479, 0.028360509768034746, 0.028324836658505277, 0.028354698324533956, 0.02846251267571483, 0.0284198398241246, 0.02826758163626574, 0.028214345191379518, 0.02828167881592453, 0.028230779363408738, 0.028218256538947745, 0.028096696673446764, 0.02808825134895984]","[0.028231645832787318, 0.028191309576083515, 0.028240005367882223, 0.02821808556046469, 0.02814183846672606, 0.0280703367329908, 0.02801522401337346, 0.028002638011422436, 0.027815815666724676, 0.027844826552594168, 0.027949110606311348, 0.027972378046235827, 0.028047524041713345, 0.02804048908784644, 0.02814125066125805, 0.02813268129180824]","[0.027910025847411892, 0.02798801132491351, 0.027976710402619998, 0.02800118546897341, 0.028093044059088582, 0.028117205742925075, 0.028186350226429, 0.02820401125108899, 0.028182799973282786, 0.028193592255428588, 0.028086129813257407, 0.02808695120008278, 0.028007962687539068, 0.028011635664422847, 0.02781873567970155, 0.027716869122196282]","[0.028532012695008834, 0.0285226256216518, 0.028587696009946262, 0.02856921498185371, 0.028665064960562935, 0.028646182026337993, 0.028720530022515876, 0.028911015122392615, 0.02843002995193973, 0.02841308042105617, 0.028346534003152003, 0.028357405967677843, 0.02840924002723915, 0.02819956505215402, 0.028235870782618442, 0.028163291609322558]","[0.028473972375965714, 0.028530925999861005, 0.028532189204390355, 0.0285646914953534, 0.028615984759505993, 0.028590294127898413, 0.028526696557874147, 0.028672994809398847, 0.028456134953557675, 0.028321498279184044, 0.028303712490796846, 0.028284904119588915, 0.02827498946869104, 0.028342779496266762, 0.028226724865901782, 0.028269282573570254]","[0.029832097862351758, 0.029805170382401224, 0.029805842848359958, 0.029804695280833376, 0.02978373116731488, 0.029935064626559704, 0.029938193957138294, 0.029855472570987505, 0.029735098094705887, 0.029727469401552725, 0.029710458169690125, 0.029693406677498226, 0.029603119950175047, 0.02952420378428197, 0.029514381395446886, 0.029411443735252934]"
