,R42_S00,R42_S01,R42_S02,R42_S10,R42_S11,R42_S12,R42_S20,R42_S21,R42_S22
u,"[0.0608977183939041, 0.06139069187606279, 0.06149926881717937, 0.06149552263553724, 0.061448747614028784, 0.06140622240470042, 0.06135661255197606, 0.060875971588051345, 0.06009401729271776, 0.06077307578071885, 0.06088506261176394, 0.060996881180407005, 0.0610096979620791, 0.06092629389006344, 0.06085509715612684, 0.06066280125702498]","[0.053496426305683124, 0.053356794526723546, 0.05304022945447531, 0.05286975793747295, 0.052521263870611276, 0.05226340250674062, 0.05200876777644819, 0.051754179257322105, 0.05106072249394747, 0.05115820007938562, 0.051418177929024554, 0.05203326629322102, 0.05239811620290837, 0.05252234427543607, 0.05286024824483359, 0.05305719178481926]","[0.0604212547645155, 0.06016150697120214, 0.05983651706885328, 0.059597676198205926, 0.059417883890993485, 0.05904516087982828, 0.05872808896847626, 0.058426466834363575, 0.05810798786227598, 0.05843750876121766, 0.05869696423857719, 0.059128791596844386, 0.05957265013027831, 0.05962482369987509, 0.06007870322239462, 0.06028604125839297]","[0.05795759909724937, 0.05827457638612164, 0.05832228801492951, 0.05833389073002335, 0.05818345573925383, 0.05800425185797429, 0.0578681981777762, 0.05770139646729937, 0.05762622074248327, 0.05779451060323802, 0.058010020580982556, 0.05821741391858799, 0.05840741401282589, 0.05836817187869984, 0.05829008710986322, 0.05799066005634644]","[0.05560891295273444, 0.05540631183069271, 0.05517982230552953, 0.05487828909189402, 0.05464845089382819, 0.05450453016872156, 0.054187408143997924, 0.053919844744475955, 0.053804558065151095, 0.053892750511163476, 0.054206617316327255, 0.05442754075070608, 0.05474354115717072, 0.05492814703941038, 0.05520865415210638, 0.05547243773849899]","[0.04932256737237117, 0.049140819365104886, 0.04886294714402938, 0.04854245103670669, 0.04821833689243432, 0.047868565822523725, 0.04755438865495609, 0.04679984465026187, 0.04685722342608444, 0.04750469816713332, 0.047880427729876655, 0.048062619331846065, 0.048297313603249535, 0.04867425487457156, 0.04905416726366529, 0.04922670219295921]","[0.05762775441065213, 0.057664211061676705, 0.05763084529154472, 0.05762597097194144, 0.0574424701004201, 0.05742681691375127, 0.05726347086195734, 0.05701200069002071, 0.05679588232155247, 0.05733280041688924, 0.057418285264220555, 0.05764316157625409, 0.05785636289901684, 0.057953840784806795, 0.05790397743485587, 0.05770313065923825]","[0.051521670814910846, 0.05127545965391699, 0.050821843846189714, 0.0504592504532055, 0.05012061421618152, 0.049998137106768134, 0.049765053118699804, 0.049424939865883234, 0.050680554414577625, 0.04995211391187647, 0.05023532413931044, 0.05052305721648012, 0.050824684942376804, 0.05114236910028903, 0.05165960714246063, 0.05190274686339121]","[0.052585721442427805, 0.05265186480219145, 0.05237081665939942, 0.05217306958935351, 0.05192445581250089, 0.051678320983290796, 0.05125633672126112, 0.05072787859728534, 0.050749270228504235, 0.05157612771475613, 0.05202197407075442, 0.05225237589058031, 0.05253329298819058, 0.0527066263137499, 0.05289870014560722, 0.05298554248259545]"
g,"[0.1530326172482002, 0.15370646068013621, 0.15442959145383417, 0.1544165610458089, 0.15442804117120448, 0.15460956124870617, 0.15495616463288375, 0.15494382923356886, 0.15373071455162532, 0.15428789861870906, 0.1542095525897536, 0.15411847058929293, 0.15386473796020683, 0.15341692813971414, 0.15318921922128612, 0.15260670415239072]","[0.15459622108172572, 0.15507993312985652, 0.1551060101320199, 0.1554761429648845, 0.15527852165766937, 0.15524794857500493, 0.15513986822669146, 0.15496249564740228, 0.15359260149582424, 0.15343412217517435, 0.15354478342917816, 0.15435457316130433, 0.15467314354350395, 0.15427756201583476, 0.15417689052164021, 0.15391154384237535]","[0.15617825871048097, 0.15582887924652447, 0.15561127092207838, 0.15576568043908406, 0.15597235102005635, 0.15567560929699079, 0.15560228805915977, 0.15592624577072778, 0.15470621760377856, 0.15466768121927296, 0.1546694046668376, 0.15514965281782317, 0.15564695187483232, 0.15499086535574957, 0.1554191606758113, 0.1554049220309538]","[0.15445985374539908, 0.15448041319628011, 0.15457470368625756, 0.15495509541547797, 0.15508364222525353, 0.155136276689106, 0.15521963803364122, 0.15534578802766225, 0.15547023378983785, 0.1550270726855272, 0.1549711408078933, 0.15490621876206292, 0.1547960155801683, 0.1542982403721313, 0.15418305083047712, 0.15450984541453483]","[0.15601708652577367, 0.15604110548634398, 0.156266798980502, 0.15627584419375004, 0.15639207925190263, 0.15654410766496957, 0.15625535536370988, 0.1564968407874916, 0.1562793341552849, 0.15601308009921314, 0.1562913434591451, 0.15627227988127418, 0.15640994191181473, 0.15606526716560318, 0.15588353866247723, 0.1558224596500896]","[0.15500830323396206, 0.1554985025439286, 0.15577620560651895, 0.15575859611847676, 0.155577250299421, 0.15509407037917117, 0.15480827775916203, 0.15357278837742033, 0.15360657094185232, 0.154695666470078, 0.15547648377482834, 0.15544599222183678, 0.15546435298064346, 0.15573995706072558, 0.15579836074860587, 0.15516790990213702]","[0.15400508083412776, 0.1536160791668779, 0.15362357052578793, 0.15398659607817902, 0.15397604154957353, 0.1543678392402197, 0.15429395120900152, 0.15414083403769305, 0.1533268344971242, 0.15400651230486637, 0.1537397427961876, 0.15368285085790745, 0.1536453264764633, 0.15354808688082677, 0.15354814428363403, 0.15385092620890475]","[0.15768583379348164, 0.15819570384011133, 0.1579102413261451, 0.15772461701397353, 0.15756823855859012, 0.15797360124512747, 0.15794677544044838, 0.15734425925904957, 0.16091729753267012, 0.15793813775651933, 0.1581370068203893, 0.15815129844944334, 0.1581498915084008, 0.15812645743918574, 0.15852428241364896, 0.15821043833796816]","[0.14944805892750826, 0.1499284762398475, 0.14975423284235453, 0.14976698172834305, 0.14967721492082314, 0.1496331160129519, 0.14923602913601947, 0.14940776474023715, 0.14852303881726467, 0.14912624169737504, 0.1496110701114695, 0.14969629206413967, 0.149861590923974, 0.14984348438618122, 0.14976786421692725, 0.14957526404473073]"
r,"[0.11854841309007713, 0.11910001851898615, 0.11931893972702365, 0.11915172735903172, 0.11904163087748024, 0.11903711679083709, 0.11913307423555786, 0.11908431937288429, 0.11837861711024011, 0.11869580257791765, 0.11872958195284268, 0.11875950038578076, 0.11872587373946558, 0.1185736718893057, 0.11857324337232562, 0.11808091480879138]","[0.11693184881560742, 0.11716162621415498, 0.1170528114930782, 0.1171694715789633, 0.11687264817721488, 0.11671860510627624, 0.11654361917659242, 0.11634354549855393, 0.11568652940176972, 0.11563697651673133, 0.11575693184199945, 0.11633146160466826, 0.11668353854072751, 0.11652451966261644, 0.11656719190595748, 0.11651947183388589]","[0.11970143146817315, 0.1194482824474491, 0.11920174721663034, 0.1191574937064214, 0.11917902302440019, 0.1188209587493105, 0.11861987769671153, 0.1186611193020846, 0.11795557223782857, 0.11811575086426765, 0.11824035925675502, 0.11873425423416985, 0.11923869712007265, 0.1188799931477907, 0.11929617106559073, 0.11925707935380717]","[0.11934806425232254, 0.11970226718618039, 0.11972667038556462, 0.11989197973518366, 0.1198449414827991, 0.11976894267797436, 0.11965183461335878, 0.11963148795332657, 0.11983163213539412, 0.11959626407307446, 0.11966186469575, 0.119746943057917, 0.11981844118702172, 0.11959328205568703, 0.11954575156133465, 0.11943231259746882]","[0.11976567072415777, 0.1195837465742343, 0.11959784094704183, 0.11946033163068698, 0.11942745915588424, 0.11937884845242494, 0.11900079946326013, 0.11910223219616135, 0.11905722002434893, 0.11881527486469154, 0.11912258669428488, 0.11925259181823288, 0.11953727400281218, 0.11941163389021052, 0.11939582651779454, 0.11955617102293653]","[0.11572170630566572, 0.11585670171446495, 0.1159023054703497, 0.11577653984084849, 0.1156050909787347, 0.11530452588534439, 0.11530974696608488, 0.11502585136613645, 0.11506930534839428, 0.11517476338182756, 0.11552721752560446, 0.11543306668575884, 0.11543425222888055, 0.11572230990177763, 0.11593547319132531, 0.11572240378480177]","[0.11905973369105696, 0.11929013517291237, 0.11928599289435392, 0.11942197328594577, 0.11925117136778454, 0.11946763830200005, 0.11933531273324216, 0.11915651641592173, 0.11899055508637077, 0.11953683783375854, 0.1194865892446839, 0.11952270084319928, 0.1194997726777705, 0.11948920230398528, 0.11950179724802891, 0.11917133750956298]","[0.11761271256797008, 0.11774964546868906, 0.11747584115080259, 0.11739499918740236, 0.11721992562289203, 0.11726502387983595, 0.11719216015027929, 0.11690744764791076, 0.11972872501731416, 0.11737865893167684, 0.11752700787955718, 0.11759088496354844, 0.11759996972381188, 0.11766339339586047, 0.1180081938877014, 0.11797806955716676]","[0.11699986666035188, 0.11709546954102448, 0.11677274860699276, 0.116612231126296, 0.11638585314045552, 0.1162174739805076, 0.11580385099299081, 0.11576281091072274, 0.11567167247431356, 0.11605977881928059, 0.11647302781204988, 0.11662436405368931, 0.11687640220437567, 0.11701988493471055, 0.11716025214263825, 0.11725398284961172]"
i,"[0.08832981958688921, 0.08880250195655116, 0.08896171629996574, 0.08887984888100196, 0.08879806293321488, 0.08876712243447861, 0.08880025682066008, 0.0887351238219268, 0.08892987179188304, 0.08912911933535136, 0.08912638199800933, 0.08912253333812604, 0.08908105514052679, 0.08892703896831326, 0.08884273618154064, 0.08843335578403998]","[0.08823983024125305, 0.0884171597214961, 0.08834494312199158, 0.08844057576701884, 0.0882494917151326, 0.08817385347238581, 0.08810470724209268, 0.08803852539439541, 0.08833170478480737, 0.08823119369450406, 0.08823023607680426, 0.08853811704842432, 0.08874952535330115, 0.08860350689240004, 0.08863242376741023, 0.08859282108799758]","[0.08902841973881338, 0.08908679535851854, 0.08910435798182316, 0.089230096865518, 0.08940251199421387, 0.08924737346759952, 0.08912060962712785, 0.0890196120427558, 0.08910909661263514, 0.08934308346908584, 0.08942300747000527, 0.08971260782609534, 0.08997520936067928, 0.08956471229495756, 0.08970705979700648, 0.08945360380318637]","[0.08871889010159781, 0.08911690832855935, 0.08919515352362543, 0.08933801249367276, 0.08928623027719147, 0.08919437246040231, 0.08906070711225553, 0.08902167939911913, 0.08913085195208718, 0.08902736536738017, 0.08913420360846741, 0.08924803729831685, 0.08934790139640293, 0.08919924299948384, 0.08907775910280989, 0.08882453738946942]","[0.08920283557107817, 0.089063195907865, 0.08909937004162057, 0.0890306244968693, 0.08905416841608027, 0.08905290088031675, 0.08881835442606897, 0.08895831309760079, 0.08894869515459274, 0.08864806206817562, 0.0888244708158012, 0.0888871791219721, 0.08907699854601696, 0.08894833843863802, 0.08890230423536684, 0.08902717327528217]","[0.08734977936181246, 0.08741909046757272, 0.0874715494940445, 0.0874261820934644, 0.08737300562206182, 0.0872165854499877, 0.0872162693738546, 0.08684024292265265, 0.08709819443585999, 0.08718676051876607, 0.0873644250231586, 0.0872022602497047, 0.0871165433573267, 0.08725590625941063, 0.08739378239000721, 0.08730235056567007]","[0.08901634540801143, 0.08941181946774372, 0.08949382731407138, 0.089631802121955, 0.08951515916555354, 0.08969950992758342, 0.08961583273527637, 0.08951194155850738, 0.08892493021441193, 0.08933292282444005, 0.08932459793569338, 0.0893607311834428, 0.08931469435620772, 0.08926577003910088, 0.0892024516886691, 0.08877783851201201]","[0.08868252507069417, 0.08873919135383863, 0.08855950938011355, 0.0885818634704237, 0.08848118610070024, 0.0884513618425895, 0.08844497874439347, 0.08837307718393468, 0.08997266938519416, 0.08808284882604347, 0.08812536485283627, 0.08812851192231853, 0.08810134353042527, 0.08812205220872177, 0.08836056346899147, 0.08837376847230534]","[0.0896665438060431, 0.08979015909539961, 0.08964428074220618, 0.08962595210270669, 0.08954627590669983, 0.0894869072684097, 0.08918792068280024, 0.08908570759157855, 0.08872908716390294, 0.08904164707755281, 0.08929729303798047, 0.08929543691144998, 0.08935980477236032, 0.0893393114764905, 0.08932282173512049, 0.08929596355063331]"
z,"[0.061495798333990985, 0.061793001482496494, 0.06193599692759469, 0.06189148156365405, 0.0618224595444823, 0.06181337571777294, 0.06184451628050524, 0.061806664381609464, 0.06217290094015844, 0.06227929043803919, 0.06225699744128581, 0.06223345060780434, 0.06218591595039532, 0.06208329142511107, 0.06201862503885069, 0.06173938559772434]","[0.06229279857884244, 0.06245434321550456, 0.0624410565207556, 0.0625406252866312, 0.06246814537859242, 0.06245037836202971, 0.06244429859705347, 0.062440394024129306, 0.06293172552046689, 0.06281489831965317, 0.06273186608108484, 0.06289674490515604, 0.06302837462234658, 0.06289416672492916, 0.0628712391265308, 0.06277762387609488]","[0.06196847065574523, 0.06205169414930432, 0.062105484899716346, 0.06224915591467861, 0.062444057389570026, 0.06240171043096602, 0.06234370347526654, 0.062279541324649884, 0.06255358495610347, 0.06271573253674485, 0.06272231678788105, 0.06285083138881069, 0.06296892277687335, 0.06262080267953117, 0.06267350739728059, 0.06244029299265221]","[0.061934399183957524, 0.06218256787129028, 0.06224614104540677, 0.06233496751170454, 0.06228665589227462, 0.0622195454572453, 0.062132219396453456, 0.062138382210401695, 0.062310421030089526, 0.06219500220099104, 0.06226809258919208, 0.06233869789215654, 0.06240023140362956, 0.0622970912594642, 0.06221503556636056, 0.06210038586676141]","[0.062279267061773017, 0.06222332744837434, 0.06226478220149038, 0.062235955250521176, 0.06226642130402833, 0.062280474299674655, 0.06211579236498337, 0.062250736573990814, 0.06244492527110816, 0.062165678929085436, 0.062230843581342406, 0.06223263459175894, 0.06234205201907289, 0.06222240423332534, 0.062191640411397346, 0.06224129297525381]","[0.06222118824372988, 0.06237780604717303, 0.0624870303490499, 0.06250669625143712, 0.06256276433061488, 0.06255602426240425, 0.06264245760148508, 0.06239850824021594, 0.06267109507966127, 0.0626803877163543, 0.06270048196692096, 0.06246026810726323, 0.06228574111244653, 0.06230950956691213, 0.06231238916383554, 0.06213690247455734]","[0.06227216571191392, 0.0625710048171601, 0.06265224199237808, 0.06274727123490195, 0.06265362940288681, 0.06276219666576939, 0.06267981169884558, 0.06260567778863162, 0.062046221453806866, 0.062281813244986745, 0.06224816141583789, 0.062252869589272355, 0.06220717294255118, 0.062169752469920486, 0.062123792493733856, 0.06184977772118891]","[0.06283892008184616, 0.06292576544122166, 0.06284880242945656, 0.06291711267073688, 0.06289389358846582, 0.06292694209375026, 0.06297161777475553, 0.06293593327527225, 0.06368900209485898, 0.062346536798566964, 0.06234100756813507, 0.0622829281146755, 0.06224603113274402, 0.062266503728920765, 0.06244778223507936, 0.06247457407451052]","[0.06406482444356544, 0.06420970262058627, 0.06417026686020363, 0.06422516615142503, 0.06425799356581531, 0.06430434053700647, 0.06414678440257189, 0.06413343725654462, 0.06362762949248148, 0.06373502191512684, 0.0638655881665441, 0.06378976165144074, 0.06376425677648442, 0.06368096801692129, 0.0636012458748829, 0.06352176224482023]"
y,"[0.036977245388305074, 0.0370908001117361, 0.03720127131877769, 0.037180482689097766, 0.03711765921693402, 0.037141000744676696, 0.037161946688027185, 0.037169579351319953, 0.037408231800202245, 0.03759089123041434, 0.03760819092969367, 0.03755644302416412, 0.03748488366897984, 0.03744141663700136, 0.03745089453514548, 0.03741598726367379]","[0.03823050625909972, 0.03828636285039633, 0.03829140100274813, 0.03832836580395693, 0.038337092650548334, 0.03830490540303598, 0.03827186464046024, 0.038272151894514224, 0.038537112028732216, 0.03848873757251688, 0.03853600904907689, 0.038709511912097094, 0.0388372481820106, 0.038730387900204326, 0.03868485596721344, 0.03866420365640947]","[0.03723408579278585, 0.03731992068581921, 0.03734258054510739, 0.03741113900994885, 0.03753253753900454, 0.03748127307567052, 0.037394602745666534, 0.03737516438712167, 0.037717610371362245, 0.03777759565439384, 0.03775133179117958, 0.037774631682228964, 0.037866685318365886, 0.03770148487541269, 0.037680581613282, 0.03743394428894938]","[0.03833311968064094, 0.03844280371385251, 0.03848304378961843, 0.03852471784301657, 0.03853164693999458, 0.03855888382327024, 0.038544070532539415, 0.03857648005039661, 0.03844835706102866, 0.038476148183061165, 0.03855481658195814, 0.038573899579894426, 0.03858681336549287, 0.03851820250936841, 0.03844423713269766, 0.0384344066746653]","[0.038137633435455516, 0.03798967208111066, 0.03797146477614357, 0.03794626093440481, 0.03799741833242885, 0.038100056562183904, 0.03795300426925078, 0.03801008621617652, 0.037854369491316237, 0.037641791728967915, 0.037689605004767576, 0.03765604463418586, 0.03770681754119265, 0.037607035462277734, 0.03760534906346125, 0.03765557950811362]","[0.038608070484154405, 0.03877992677526008, 0.03885872948498676, 0.03884749489383907, 0.0389283633089163, 0.038979733470575095, 0.03903425704548212, 0.038849684611089445, 0.03901018139754578, 0.039007631644160844, 0.03901520258896703, 0.03880974246721691, 0.03862978059013319, 0.038616141822815385, 0.03854988149274678, 0.03834395184472831]","[0.03795137108062261, 0.038141290583787166, 0.03822880463149202, 0.03824829555242821, 0.03814567552620007, 0.03818399043588223, 0.03811415189271915, 0.037972601693128424, 0.0378620735783171, 0.038015585437979324, 0.037988723305997514, 0.03792954574242882, 0.03785094419726511, 0.03781630447899914, 0.037771782920311144, 0.037638065201337445]","[0.03762720407316575, 0.037852818371593065, 0.037838133853417874, 0.03789623375896386, 0.037899090537865415, 0.03795498927665059, 0.03800737886896675, 0.037987806406424185, 0.03844515015386997, 0.03763344425815157, 0.037646713201341116, 0.03760005785274041, 0.037626627949653955, 0.03768067763748077, 0.03776135395952102, 0.03771299171508235]","[0.04002507943184854, 0.04008433657361988, 0.04003935903716027, 0.04005320713979303, 0.040106288027953456, 0.04016673546109675, 0.03998741742196856, 0.03995162830373386, 0.039769303111069104, 0.039874148273681874, 0.040002795581142524, 0.039888188252917824, 0.03981856238561946, 0.039751919217626594, 0.03973418039777561, 0.039720209318748055]"
