,R33_S00,R33_S01,R33_S02,R33_S10,R33_S11,R33_S12,R33_S20,R33_S21,R33_S22
u,"[0.06442711970140104, 0.06474184602963688, 0.06507961589842025, 0.06534246830665008, 0.0654773513070608, 0.06583105113914467, 0.06598743820770542, 0.06624416875620501, 0.06684817528029954, 0.06687949237769543, 0.06656267576097726, 0.06637918651908388, 0.0660538447436642, 0.06596277223950234, 0.06548325353322708, 0.06622783841039062]","[0.05528894762862875, 0.05594670452856332, 0.05670848045185807, 0.05720847552681095, 0.05760490070959104, 0.05821473275480882, 0.05834495697339846, 0.058841880027916404, 0.06019160422385541, 0.059964358867189725, 0.05963767780788438, 0.05922924985220135, 0.05868392975618072, 0.05823036100525781, 0.057915737300522754, 0.05735565290470091]","[0.05730593047280716, 0.058251883672851015, 0.0589349381790358, 0.05947688390069246, 0.05983230768375916, 0.060503164049027384, 0.060794905313771366, 0.061176426685119245, 0.06240457376685667, 0.062127298320802465, 0.061893265554713056, 0.06145397537135863, 0.061086317217054466, 0.060775630958823684, 0.06027573317001435, 0.059775863142530805]","[0.06274967584640291, 0.06303878400828326, 0.06312596823713729, 0.06331239952133622, 0.06335985064416862, 0.06354749761043581, 0.06347650943289387, 0.06330928371233402, 0.06420338017594109, 0.06420936529570663, 0.06421622184731435, 0.06415115577328664, 0.06386724516891482, 0.06379985288379603, 0.06367927874425175, 0.06358205274375496]","[0.05491274535557358, 0.056120041932877875, 0.05672339859228184, 0.057345534762857545, 0.057997028864312745, 0.05858215997413366, 0.05892614326027816, 0.059503631416464794, 0.060904533573787924, 0.0606586511485748, 0.06030899964236741, 0.05980561906787115, 0.059378439628542626, 0.05915548831942005, 0.05856274907195699, 0.057720762100959826]","[0.06581033783403226, 0.06582700933264989, 0.06560771322406306, 0.06533300027217318, 0.06539456765975285, 0.06526308392855404, 0.06501908897476788, 0.06498148059211713, 0.065586902264313, 0.06578793015675495, 0.0658255950955727, 0.06588526507272431, 0.06598726544466879, 0.06610008887050699, 0.06634325639183988, 0.06630058206076746]","[0.06320685971162168, 0.06357933715085219, 0.06377386535445635, 0.06406722459836715, 0.0645009162013152, 0.06483277426807825, 0.06517566127502376, 0.06536665847330371, 0.0660128747131262, 0.06597462048516742, 0.06564071065457058, 0.06537046145413009, 0.06510518534722663, 0.06497908274612375, 0.0648404978716625, 0.06456851547082319]","[0.05830040088204995, 0.05890064997360515, 0.059705991215139385, 0.06026177225189535, 0.060608419907086056, 0.06106307721409366, 0.06123433845872972, 0.0617337880947089, 0.06301054503942259, 0.06288437922485005, 0.062473699081050146, 0.06222672279678028, 0.061834243558297856, 0.061378161202049086, 0.060918786686531744, 0.06016210784978509]","[0.05429849186793264, 0.0556081174640713, 0.05647241560514751, 0.05729973373728036, 0.05805644160342238, 0.05858483727473418, 0.059126844858761615, 0.059619203937665156, 0.06115548801684428, 0.06092913467513048, 0.06048002180280292, 0.05995939916268315, 0.0596943860281678, 0.059034396312026206, 0.0585752795465082, 0.0577724951749376]"
g,"[0.1628467570391409, 0.1629221223473905, 0.1631288968509771, 0.1634498414385819, 0.16335567980113405, 0.1637530487967235, 0.16390778884499568, 0.16430292401812027, 0.16380861693294457, 0.1641038389010131, 0.16353000801290152, 0.16351399122110516, 0.163090956081554, 0.16319131315357993, 0.16253403361916582, 0.16488781901174654]","[0.15998279814428315, 0.16022934882291345, 0.1605972360218713, 0.16091655094880478, 0.16092048526711597, 0.1614321282376867, 0.16104159705590457, 0.16140524086319388, 0.1614761610265749, 0.16163950351610742, 0.16150590579409632, 0.1613644852447795, 0.16088246540381188, 0.16055782682713915, 0.16076103972258224, 0.16038566747181038]","[0.15878182781376, 0.15955674616877946, 0.15956530881344339, 0.15972191896532734, 0.15969026684607643, 0.160306723240362, 0.16034979187315807, 0.1607206969930488, 0.16076259684089783, 0.16062287810555734, 0.16055758054657115, 0.1604375299587974, 0.16031990718213457, 0.1603003021542945, 0.16006510090818138, 0.15976945682081378]","[0.16273924024437605, 0.1630076374891608, 0.16293846538695567, 0.16334355058560393, 0.16312793809595535, 0.16339935671659794, 0.16334051196621813, 0.16315836354549906, 0.16348540848964585, 0.16331803568310507, 0.16321433194987864, 0.16320130428437205, 0.16278692238522174, 0.1627598173513676, 0.16270472409959036, 0.16283967806243876]","[0.1591806159233768, 0.16022555165004063, 0.16020583587648543, 0.1607181991207978, 0.16089086859909052, 0.1614238808077082, 0.16159782736234599, 0.16187595435469979, 0.16187882517022628, 0.16211014412541294, 0.16180536411541716, 0.16144616776520165, 0.16139352641745847, 0.16155293868363732, 0.16114556272129396, 0.16050010655371003]","[0.1650309165152673, 0.1650814149754024, 0.16482056875021533, 0.16440192927621416, 0.16460853134303308, 0.16447533921195176, 0.16411117257532057, 0.16400593811955222, 0.16430021756302296, 0.1647761185384005, 0.16459921822132761, 0.16460512977598024, 0.16484354427032483, 0.16492399616297726, 0.16524283809555224, 0.16511213825035578]","[0.16177628530086519, 0.16194353126974279, 0.16170605124905274, 0.16204361627935351, 0.16252887626022003, 0.1626269608842692, 0.16318980635280694, 0.16313747309563056, 0.163559022448345, 0.16369226831853625, 0.16313676990020842, 0.1629845205107971, 0.16265405728494223, 0.16263356782894997, 0.16288115582913856, 0.16272628158290206]","[0.1612879154798319, 0.16125046903611925, 0.16193283622019, 0.1623503824199998, 0.16231252755681158, 0.1626738202071614, 0.162379896258698, 0.162992741092681, 0.16326726430243702, 0.16339089332617396, 0.16301172890269763, 0.16320879298706148, 0.16315579880406764, 0.16292880627053868, 0.1627634408442735, 0.16194765644685688]","[0.1629253236779698, 0.16366882436237293, 0.16340534995041392, 0.16396351542751153, 0.16444512184436624, 0.16434565123078337, 0.1647714608973839, 0.16516382143225644, 0.1660354679604596, 0.16613789338724008, 0.16566838189115626, 0.16533279592700292, 0.16562179869677057, 0.1649374888408539, 0.1652894169738757, 0.1648866923172818]"
r,"[0.12668255624919209, 0.12665788639834102, 0.12673044026227306, 0.1269284059296769, 0.12679179166526144, 0.12702245647031335, 0.1271270604455762, 0.1274238779142113, 0.1267639930029784, 0.1269970786387744, 0.1265716043507847, 0.1266176339837728, 0.12635161658045904, 0.12648618040067602, 0.12605941803189039, 0.12794932729586447]","[0.12678093438357993, 0.12675619594066806, 0.12681110611554186, 0.12690117831168152, 0.12675374393623193, 0.12699349865920176, 0.12658158956746135, 0.12673510203679347, 0.12626400954537603, 0.12650267847474655, 0.12650081120600395, 0.12651665861019368, 0.12627379031635025, 0.1261712480250002, 0.12650143013640058, 0.12636918279677556]","[0.12592983058905716, 0.12627254116730713, 0.1260352868330437, 0.12598782811702827, 0.12585564779748218, 0.12616941336934068, 0.12607606024553208, 0.1262748661579104, 0.1258886069307445, 0.1258580537138251, 0.12589271936373175, 0.12593499831855562, 0.12595751965573115, 0.12604848579584035, 0.12599803239594243, 0.12592836735586346]","[0.12742305823869296, 0.12756684849874636, 0.12748656263460914, 0.127776316252651, 0.12756965132298773, 0.12775599392835355, 0.12770412021655891, 0.12762478378770264, 0.1276708513565137, 0.12748563539772081, 0.12741106136541008, 0.12739871919093881, 0.12712533022621247, 0.12711688407343383, 0.12711553772871256, 0.12725867450613887]","[0.12687604600095745, 0.12740374593598408, 0.12715721907649122, 0.12739526157505057, 0.12733139350012682, 0.12761342400379408, 0.12763758050719395, 0.12772695009235377, 0.12728830492049148, 0.12757505242463218, 0.12741307310215008, 0.12724852809705348, 0.12734321909305477, 0.12756678524514437, 0.12740818129241296, 0.12711026315100316]","[0.12763163970645508, 0.12765953121340606, 0.12749501272618355, 0.12721044953887387, 0.12737407545899757, 0.1272950815630104, 0.127048306026206, 0.1269552415626451, 0.12706173264245121, 0.12740957688652382, 0.12724699623269137, 0.12723308133147954, 0.12740766285556418, 0.12743699310923945, 0.12763975202399933, 0.12753758137935764]","[0.1266487868431273, 0.12666302954646927, 0.12636166397828025, 0.1265692979618671, 0.12682722959572026, 0.12680989309798882, 0.12719586975959263, 0.12711809715081915, 0.12730411964582217, 0.1274137889257349, 0.12702752202900539, 0.12697356527645567, 0.12677422993757134, 0.12681159677790932, 0.12708625301637475, 0.12702447823311283]","[0.12753090064558545, 0.1273077942460932, 0.12766273733106298, 0.12783972770553523, 0.1276708366552167, 0.1278529843175694, 0.1275231143221567, 0.12791539713828742, 0.12770088652401013, 0.1278566974120362, 0.12765019865403285, 0.1279095826776621, 0.12799435459574474, 0.12795207656180782, 0.127945797429686, 0.12746193780636686]","[0.12759472035336622, 0.12786669300129136, 0.1273618735553553, 0.12760022806232693, 0.12778485738471035, 0.1275244420891666, 0.12771790867128646, 0.12790823315403718, 0.12807847397749964, 0.12824810904717274, 0.12799778656382743, 0.12789772944275918, 0.12827705606338438, 0.12788207776772345, 0.1283162048219502, 0.12816416299039773]"
i,"[0.08895641349230973, 0.08907718733008956, 0.089149514761292, 0.08925674266012859, 0.08909411618963899, 0.0891736117358825, 0.08918141900253847, 0.08932015680673958, 0.08944175219277747, 0.08965704117231803, 0.08940399444653539, 0.08948838708329981, 0.08933823482573125, 0.08944864733540628, 0.08910560010495518, 0.09029482526395118]","[0.0895509222385001, 0.08950457246747581, 0.08951297956960244, 0.08956334356479975, 0.08946350167186388, 0.08965052022722218, 0.0893849199366565, 0.08953064425368193, 0.08986588929232889, 0.08999199820808326, 0.08996385905859206, 0.08995960653992603, 0.08978177700211283, 0.08971235656082978, 0.08995062723151213, 0.08986291488869846]","[0.08872348298210006, 0.08903167403288219, 0.0889422196477148, 0.0889827541096118, 0.08898901673345999, 0.08924764176572786, 0.08916036609014433, 0.08918472278087673, 0.08939177009417709, 0.08949358681284243, 0.08955278447876104, 0.0895581963477027, 0.08950485972653195, 0.08950509769964511, 0.0894028071758412, 0.08928029143795063]","[0.08925713780331763, 0.08948786651711073, 0.08947086027922867, 0.0896235491809404, 0.0894142024861077, 0.08948615797173978, 0.08935234064612099, 0.08926463087634669, 0.08930776919516754, 0.08922743966163034, 0.08927152086341943, 0.08931782572933604, 0.08921416346778611, 0.0892485070515485, 0.08922763771975184, 0.08917035037916458]","[0.08849160073844718, 0.08881812763818062, 0.08861465364217401, 0.08876215819908637, 0.0887127201456576, 0.0889226452295893, 0.08897107918235837, 0.08909401994891893, 0.0888150300802738, 0.08897210612534083, 0.08881991977184926, 0.088683908398031, 0.08874348434524863, 0.08890276036356864, 0.08881916737192161, 0.08864986009222943]","[0.08974006277637725, 0.08985172907117954, 0.08984648079146249, 0.08976979219202315, 0.08998292911033041, 0.09001036488342012, 0.08984631471346548, 0.0896680797078373, 0.0897392855862905, 0.09006941883116373, 0.0899432844530117, 0.08986187118829121, 0.08988566016016596, 0.08979434769848907, 0.08983906721164561, 0.08968272610704754]","[0.08978769213617044, 0.08996344821007747, 0.0898292400340096, 0.09000698759549469, 0.09015610700960244, 0.09011350959469197, 0.09035880480498502, 0.09028435548264904, 0.08983066092204774, 0.08995240425434793, 0.08973414779602966, 0.0897568843391546, 0.08966771633993845, 0.08971471303462432, 0.08985933064672363, 0.08964357317190168]","[0.08993094140842146, 0.08976844307779269, 0.09000804589251514, 0.09011553330601788, 0.08999684173440409, 0.0901534040636654, 0.08995165936807083, 0.0902720909271172, 0.08951210569036346, 0.0895598418565126, 0.08937535869297447, 0.08953125128505032, 0.08957629123429021, 0.08955146988058584, 0.08955634259737806, 0.08924835052855358]","[0.08816687477839096, 0.08843501253627835, 0.0881470299047377, 0.0883812149155919, 0.08856251252222955, 0.0884102864077495, 0.08852413050479156, 0.08856268666207032, 0.08820145302078233, 0.0884255247998377, 0.08826477376626836, 0.088158255674071, 0.08835031220585884, 0.08798536310057808, 0.08819084138705637, 0.08797153846396029]"
z,"[0.05811970838789249, 0.05824644601210573, 0.05830240870357597, 0.0583729575877405, 0.05826944576358146, 0.05830908797532425, 0.05831810155474864, 0.05840577929158754, 0.05860296080107085, 0.05873284606878169, 0.05855873394520664, 0.05861085764870375, 0.058512598561721675, 0.05855548254039129, 0.05828132433785035, 0.05899170924742939]","[0.058469696688265176, 0.05836269825401516, 0.05834374183511274, 0.058340085713275154, 0.058260299425207655, 0.058379135455928204, 0.058194207664838245, 0.058304169071913346, 0.05866030650789051, 0.058741562156392646, 0.058761209727838985, 0.058777039416172155, 0.058668143437591344, 0.05862686382990875, 0.058807685945058, 0.058798174019959126]","[0.05810577435279994, 0.05831832416884763, 0.05829099009408982, 0.05833653309761256, 0.058356889809812094, 0.058538616273464794, 0.05847419216527937, 0.05845448284781091, 0.058639430216642516, 0.05876064502985363, 0.058831741885958945, 0.05883475374723585, 0.0587832214893488, 0.05875804354188177, 0.058684754602544686, 0.05856670269117315]","[0.058165060486659176, 0.05835412265905753, 0.05835638544512618, 0.05844608968238783, 0.05829894530301405, 0.05835636476013652, 0.05825322629336438, 0.05821693679355936, 0.058142778090266675, 0.05808342588512881, 0.058122445086147174, 0.0581498013436243, 0.05810442805866014, 0.058119837483872394, 0.05806292740120366, 0.057959312040910815]","[0.057588392441772586, 0.05777726557238693, 0.05762642407753968, 0.05770644420594246, 0.057656248680667065, 0.057777860418632365, 0.05783115475460277, 0.05794075981658663, 0.05767160095888992, 0.057789948778836045, 0.05770905186789046, 0.05762885234309267, 0.05765722351580691, 0.05777043332687548, 0.057715439447039954, 0.05763536063325356]","[0.058640884618928746, 0.05872486091989134, 0.058732810745675566, 0.058705848229281855, 0.05887097011415967, 0.058917946740845356, 0.05877119767994218, 0.05857276740875388, 0.05872849792024551, 0.058979247436729686, 0.058896063474214715, 0.05883909830768012, 0.05884525193964977, 0.058763595286585577, 0.058798759597725986, 0.05869143459443159]","[0.058951355035683765, 0.059088567050891994, 0.05900742109996283, 0.059130929155682535, 0.05921063666177716, 0.059152054666728716, 0.05926148415153793, 0.05915277409882737, 0.058720493740026886, 0.058834291583425236, 0.05871462278542527, 0.058761576150385755, 0.058728861949657804, 0.05881189220681316, 0.05891007238822081, 0.05874915860953855]","[0.059069611989731846, 0.05891658746416742, 0.05903748697051654, 0.05908992496814536, 0.059022306153407644, 0.05909895190393625, 0.0589660720637086, 0.059188975541130465, 0.058313417762839805, 0.058371758719558624, 0.05828609329504331, 0.058414846335890454, 0.058449421399228096, 0.058448940070612, 0.05847879417699837, 0.058302070572584894]","[0.057280023312963425, 0.05746916303228389, 0.057288833275372444, 0.05746267131705681, 0.05761135351177827, 0.05751560118981484, 0.0575984126791316, 0.057594411305157085, 0.05713996806174653, 0.057338555437902616, 0.05725506176587129, 0.057180807317796525, 0.0572632562316156, 0.056990226742962995, 0.05706590651653751, 0.05689226843581539]"
y,"[0.028557305313358986, 0.0285955682828502, 0.028611184737706512, 0.028643948262855448, 0.02860599203830052, 0.028664594898020007, 0.028699436167145813, 0.028778690518522707, 0.028842662944385162, 0.02882520662705553, 0.028723372854960297, 0.028782096268781737, 0.028751308938624508, 0.02875089563412716, 0.0285868286734271, 0.02894294321450048]","[0.028544700058792855, 0.028503673778472453, 0.02849351715516259, 0.028475311483856437, 0.02843100021350726, 0.028481760571346458, 0.028374678366626077, 0.02840681381043359, 0.028444983595160133, 0.02854965052062011, 0.02862169951548169, 0.028633513455134412, 0.028583940369887345, 0.028563939144591478, 0.0286771417108565, 0.02871792987626558]","[0.028867201415092844, 0.028948168404472167, 0.028879814963259774, 0.02889342514813525, 0.028929167467617267, 0.029014484659046564, 0.028984316137356237, 0.029002332232476467, 0.028995379957004058, 0.029024837774507095, 0.029056352383535662, 0.029077912462171444, 0.029043829615232584, 0.02903915892744694, 0.029039946540341675, 0.02905984268018104]","[0.028709460436249966, 0.028791857861878312, 0.02877792641065022, 0.028795200772265297, 0.028770486673274028, 0.028779275302560196, 0.02880312859560272, 0.02882592294283624, 0.028725564492196612, 0.02865449761457356, 0.028653650432959275, 0.02867118348996235, 0.028633288850529532, 0.028632355492703668, 0.028576456426671344, 0.02851412283001343]","[0.02862265938135653, 0.028679109073338375, 0.02857594926177304, 0.028604875780946195, 0.028570395526633742, 0.028648518110483565, 0.028638638332624984, 0.028711615610718572, 0.02854761354679223, 0.028619106703121813, 0.028618229189567457, 0.028590509835938468, 0.028594139605130988, 0.028628917332726916, 0.02862831592460122, 0.02869776864174437]","[0.02906777680252857, 0.029044443183080075, 0.02900441260387917, 0.028988924432544014, 0.02903623206064324, 0.02899404674679709, 0.028886207751061273, 0.02877765772820822, 0.029104333658477373, 0.029154653441334027, 0.029121725155311123, 0.02910444783727231, 0.029147759484096702, 0.02916281681963034, 0.02917588279577139, 0.029126279385933394]","[0.029023586769857418, 0.02905692232297712, 0.028998094665104307, 0.029064857649726907, 0.02909485302201855, 0.029009782333157902, 0.029008051826876824, 0.028916025407469393, 0.02900992582531707, 0.02906785813262853, 0.029010093747419138, 0.029024466917496303, 0.028998905336856576, 0.029004304479019895, 0.029068633129544677, 0.029031715020120103]","[0.02922499026758978, 0.02915962785723199, 0.02921571554117665, 0.02923107532580579, 0.029193868799657817, 0.029191603771865835, 0.029110842171890573, 0.029227335966238156, 0.028750245245792463, 0.028817998648832725, 0.02883743711053163, 0.028918749467381218, 0.028934528808173512, 0.028949485437034916, 0.02897910820876024, 0.02902058313550419]","[0.028346410670256002, 0.028457653823007682, 0.028373957733270262, 0.028444935402084304, 0.028475192894911672, 0.028423904176127276, 0.028468688251270413, 0.028470626162746367, 0.028243005168848388, 0.02833636001784116, 0.02831974973435162, 0.028283778298969185, 0.028301096704556578, 0.02818915570747254, 0.028296645101584722, 0.028291909362859528]"
