,R34_S00,R34_S01,R34_S02,R34_S10,R34_S11,R34_S12,R34_S20,R34_S21,R34_S22
raDeg,"[1.0768333333333335, 1.1052777777777778, 1.1337222222222223, 1.1621666666666663, 1.190611111111111, 1.2190555555555556, 1.2474999999999998, 1.2759444444444445, 1.2759444444444445, 1.2475, 1.2190555555555556, 1.190611111111111, 1.1621666666666668, 1.1337222222222223, 1.1052777777777778, 1.0768333333333335]","[1.3115555555555556, 1.3399999999999999, 1.3684444444444444, 1.3968888888888888, 1.4253333333333336, 1.4537777777777778, 1.4822222222222223, 1.5106666666666668, 1.5106666666666666, 1.4822222222222223, 1.4537777777777778, 1.4253333333333333, 1.3968888888888886, 1.3684444444444446, 1.3399999999999999, 1.3115555555555556]","[1.5462777777777776, 1.5747222222222221, 1.6031666666666666, 1.631611111111111, 1.6600555555555554, 1.6884999999999997, 1.7169444444444442, 1.7453888888888884, 1.7453888888888884, 1.716944444444444, 1.6884999999999997, 1.6600555555555554, 1.631611111111111, 1.6031666666666666, 1.5747222222222221, 1.5462777777777776]","[1.0768333333333335, 1.1052777777777778, 1.133722222222222, 1.1621666666666668, 1.190611111111111, 1.2190555555555558, 1.2475, 1.2759444444444445, 1.2759444444444445, 1.2475, 1.2190555555555556, 1.190611111111111, 1.1621666666666666, 1.1337222222222223, 1.1052777777777778, 1.0768333333333335]","[1.3115555555555556, 1.3399999999999999, 1.3684444444444446, 1.3968888888888888, 1.4253333333333333, 1.4537777777777776, 1.4822222222222223, 1.5106666666666666, 1.5106666666666668, 1.4822222222222223, 1.4537777777777778, 1.4253333333333333, 1.3968888888888888, 1.3684444444444444, 1.3399999999999999, 1.3115555555555556]","[1.5462777777777776, 1.5747222222222221, 1.6031666666666666, 1.631611111111111, 1.6600555555555554, 1.6884999999999997, 1.716944444444444, 1.7453888888888884, 1.7453888888888884, 1.7169444444444442, 1.6884999999999997, 1.6600555555555556, 1.6316111111111111, 1.6031666666666666, 1.5747222222222224, 1.5462777777777776]","[1.0768333333333335, 1.1052777777777778, 1.1337222222222223, 1.1621666666666666, 1.190611111111111, 1.2190555555555556, 1.2475, 1.2759444444444445, 1.2759444444444443, 1.2475, 1.2190555555555556, 1.190611111111111, 1.1621666666666666, 1.1337222222222223, 1.1052777777777778, 1.0768333333333333]","[1.3115555555555556, 1.34, 1.3684444444444444, 1.3968888888888888, 1.4253333333333333, 1.4537777777777778, 1.4822222222222223, 1.5106666666666668, 1.5106666666666668, 1.4822222222222223, 1.4537777777777778, 1.4253333333333333, 1.3968888888888886, 1.3684444444444444, 1.3399999999999999, 1.3115555555555556]","[1.5462777777777776, 1.5747222222222221, 1.6031666666666666, 1.631611111111111, 1.6600555555555554, 1.6884999999999997, 1.7169444444444442, 1.7453888888888884, 1.7453888888888889, 1.7169444444444444, 1.6884999999999997, 1.6600555555555554, 1.6316111111111111, 1.6031666666666669, 1.5747222222222221, 1.5462777777777776]"
decDeg,"[0.5264444444444444, 0.5264444444444444, 0.5264444444444445, 0.5264444444444444, 0.5264444444444445, 0.5264444444444445, 0.5264444444444444, 0.5264444444444444, 0.4152222222222222, 0.4152222222222222, 0.41522222222222216, 0.41522222222222216, 0.41522222222222216, 0.41522222222222216, 0.41522222222222216, 0.4152222222222222]","[0.5264444444444444, 0.5264444444444444, 0.5264444444444444, 0.5264444444444444, 0.5264444444444445, 0.5264444444444444, 0.5264444444444444, 0.5264444444444445, 0.41522222222222216, 0.41522222222222216, 0.41522222222222216, 0.41522222222222216, 0.41522222222222216, 0.41522222222222216, 0.41522222222222216, 0.41522222222222216]","[0.5264444444444444, 0.5264444444444444, 0.5264444444444444, 0.5264444444444444, 0.5264444444444444, 0.5264444444444444, 0.5264444444444445, 0.5264444444444445, 0.41522222222222216, 0.41522222222222216, 0.41522222222222216, 0.41522222222222216, 0.41522222222222216, 0.41522222222222216, 0.41522222222222216, 0.4152222222222222]","[0.7611666666666665, 0.7611666666666667, 0.7611666666666665, 0.7611666666666665, 0.7611666666666665, 0.7611666666666668, 0.7611666666666668, 0.7611666666666667, 0.6499444444444444, 0.6499444444444444, 0.6499444444444444, 0.6499444444444444, 0.6499444444444444, 0.6499444444444444, 0.6499444444444444, 0.6499444444444442]","[0.7611666666666667, 0.7611666666666667, 0.7611666666666667, 0.7611666666666665, 0.7611666666666665, 0.7611666666666665, 0.7611666666666667, 0.7611666666666665, 0.6499444444444444, 0.6499444444444444, 0.6499444444444444, 0.6499444444444443, 0.6499444444444444, 0.6499444444444444, 0.6499444444444443, 0.6499444444444444]","[0.7611666666666665, 0.7611666666666665, 0.7611666666666665, 0.7611666666666665, 0.7611666666666667, 0.7611666666666665, 0.7611666666666665, 0.7611666666666667, 0.6499444444444443, 0.6499444444444444, 0.6499444444444444, 0.6499444444444444, 0.6499444444444444, 0.6499444444444444, 0.6499444444444444, 0.6499444444444444]","[0.9958888888888889, 0.9958888888888889, 0.9958888888888889, 0.9958888888888889, 0.9958888888888889, 0.9958888888888889, 0.9958888888888889, 0.9958888888888889, 0.8846666666666666, 0.8846666666666666, 0.8846666666666666, 0.8846666666666666, 0.8846666666666666, 0.8846666666666667, 0.8846666666666667, 0.8846666666666666]","[0.9958888888888892, 0.9958888888888892, 0.9958888888888887, 0.9958888888888889, 0.9958888888888889, 0.9958888888888889, 0.9958888888888892, 0.9958888888888889, 0.8846666666666666, 0.8846666666666667, 0.8846666666666666, 0.8846666666666666, 0.8846666666666666, 0.8846666666666666, 0.8846666666666666, 0.8846666666666666]","[0.9958888888888889, 0.9958888888888889, 0.9958888888888892, 0.9958888888888887, 0.9958888888888889, 0.9958888888888889, 0.9958888888888889, 0.9958888888888889, 0.8846666666666667, 0.8846666666666667, 0.8846666666666666, 0.8846666666666666, 0.8846666666666667, 0.8846666666666667, 0.8846666666666666, 0.8846666666666667]"
radDeg,"[1.1986163475121958, 1.2242337767038693, 1.2499734632452526, 1.2758280075728294, 1.3017905662171758, 1.327854803422157, 1.3540148473870788, 1.3802652506716695, 1.341795519898263, 1.3147769767392794, 1.2878198338331746, 1.2609280291795284, 1.23410583404881, 1.207357887704617, 1.180689236369389, 1.1541053770178265]","[1.4132492062652027, 1.439685111783318, 1.4661961841664461, 1.4927784186308113, 1.5194280802614792, 1.5461416824907521, 1.5729159675183553, 1.599747888482191, 1.566679073141096, 1.5392705242943958, 1.5119002348727997, 1.4845703209882595, 1.4572830542533919, 1.4300408759799275, 1.4028464129182083, 1.375702494730057]","[1.6334171026442872, 1.6603686469714645, 1.6873691901209502, 1.714416417029741, 1.7415081525736051, 1.768642351428525, 1.795817088775869, 1.8230305517731296, 1.794084315989129, 1.7664246683739917, 1.7387903351764824, 1.7111825428245366, 1.6836025969727546, 1.6560518888915705, 1.6285319024727665, 1.6010442219203085]","[1.3186646667089565, 1.3419917249417808, 1.365512780616196, 1.389217979968509, 1.4130980558108066, 1.4371442907484602, 1.4613484824472311, 1.485702910912966, 1.4319190522053171, 1.4066333124715924, 1.3814704060741114, 1.3564371689763093, 1.3315409146252568, 1.306789472210785, 1.28219122811718, 1.257755170794662]","[1.5163942324867346, 1.5410610161909182, 1.565855906700699, 1.5907729137423678, 1.615806387926233, 1.6409509989786555, 1.6662017154153084, 1.691553785569307, 1.6445192813297287, 1.6184301828695062, 1.5924217250442523, 1.5664979244721722, 1.5406630545878124, 1.5149216651636699, 1.4892786034881258, 1.463739037345226]","[1.723429427868979, 1.7489936766061633, 1.77464555514212, 1.8003813178256884, 1.826197418237556, 1.8520904969222904, 1.8780573699468495, 1.9040950182283072, 1.8624391202876973, 1.835810326111163, 1.8092367820549353, 1.7827209588242359, 1.756265470801409, 1.72987308616429, 1.7035467378240003, 1.6772895352549428]","[1.4667133073827816, 1.4877199377517265, 1.5089702814060155, 1.5304541865080823, 1.552161954721029, 1.5740843243661022, 1.5962124534640756, 1.6185379028055407, 1.55259136713618, 1.5293030054621994, 1.5061917062398125, 1.4832657461144776, 1.4605338529009222, 1.4380052300203465, 1.4156895817538284, 1.39359713921635]","[1.646754205269799, 1.6694950856833988, 1.692408425738053, 1.7154873149448373, 1.7387251610884147, 1.7621156754604443, 1.7856528586036753, 1.8093309865827332, 1.7505906210089432, 1.7261063775336671, 1.701745273232818, 1.6775126728550531, 1.6534142265085543, 1.6294558863210218, 1.6056439240150888, 1.5819849494237066]","[1.839165257133327, 1.8631411682716201, 1.887241159099196, 1.91146053637346, 1.9357948190476775, 1.9602397278425818, 1.984791175311098, 2.009445256380791, 1.9567256771288564, 1.931398212387119, 1.9061586445747591, 1.8810105119221625, 1.8559575312591154, 1.8310036083841583, 1.8061528490684986, 1.7814095707293673]"
effarea,"[33.49786555667727, 33.43591351904268, 33.41758617711845, 33.31051864933273, 33.22357277821397, 33.16436124826803, 33.0976621831972, 32.97585481711575, 33.14471411035942, 33.18721797988124, 33.26692864090689, 33.37827977119729, 33.44629068790832, 33.47129528835625, 33.54175374016322, 33.59285383765604]","[32.85809394134731, 32.78155415824369, 32.64062670189613, 32.51079466592417, 32.33015708389064, 32.24260550956518, 32.09273444922376, 31.935641382978663, 32.12763707136939, 32.27877803047647, 32.38546553577465, 32.55386743995029, 32.68401719639022, 32.80516465449985, 32.90177708076256, 32.99773166815035]","[31.723868322217747, 31.582718683393086, 31.448762909433086, 31.239330107948476, 30.981635727742166, 30.100299107689406, 28.44112801841221, 26.361544598879625, 28.559340346814448, 30.213569992168843, 31.028095247055358, 31.26648043339664, 31.47512387616655, 31.606370758453902, 31.74436872007734, 31.92610303292701]","[33.176334588771184, 33.143958600252596, 33.04762348163175, 32.94767155164763, 32.85872864840645, 32.787774458820536, 32.66267275446668, 32.54792406646528, 32.80056660509065, 32.885875230593655, 32.97206097799573, 33.08833475506466, 33.16049665105428, 33.20957859414189, 33.28464753799956, 33.3903555570636]","[32.35244731635546, 32.27105164537953, 32.13224363763367, 31.989019664373842, 31.812456709351903, 31.69091911097894, 31.558240623202607, 31.419476502043967, 31.67094065965142, 31.792257461558712, 31.97921342912629, 32.128650807238756, 32.27327979207187, 32.36326653682672, 32.529160279168416, 32.65180114932129]","[31.162455673183306, 30.803556381656712, 29.793678108372507, 28.126548152764084, 26.087888022526734, 24.002681702781153, 22.30065938787258, 20.823376093981608, 23.267783912184285, 25.257213446557998, 27.448068288464185, 29.334565419142287, 30.630561632120823, 31.106093593974744, 31.330587624235925, 31.511711369512447]","[32.638274963634764, 32.537339526049955, 32.406992437826034, 32.30036171160376, 32.20889861535182, 32.0861961442403, 31.95666823271608, 31.7914281811739, 32.206494378749596, 32.30317997075131, 32.427407135917086, 32.56071332083349, 32.66637747205115, 32.78566675387946, 32.84784638002995, 32.93388592231417]","[31.65842754696459, 31.54442022722613, 31.41349519740845, 31.23033927371323, 31.028665318736017, 30.43365709502848, 29.134546869554153, 27.44085061205761, 30.765565345391924, 31.139040643688606, 31.345712006580552, 31.510774988316367, 31.62113876287532, 31.740491287046954, 31.890692292226582, 32.041285709225306]","[24.967305757762595, 23.22431119038044, 21.76997284161049, 20.42139896905542, 18.297613445115843, 15.768398061764895, 13.289027057923844, 10.128748365165627, 16.130063805453773, 18.75905775455078, 20.710752573229765, 22.123095557260353, 23.717226367197405, 25.672573529290464, 27.68435024726168, 29.42403025914882]"
readnoise,"[4.969, 4.932, 4.944, 4.93, 4.989, 4.95, 5.045, 4.922, 5.229, 5.24, 5.386, 5.224, 5.132, 5.136, 5.068, 5.062]","[5.409, 5.234, 5.319, 5.282, 5.852, 5.468, 5.38, 5.492, 5.737, 5.649, 5.768, 5.92, 5.928, 5.684, 5.797, 5.353]","[5.286, 5.251, 5.36, 5.3, 5.368, 5.353, 5.408, 5.246, 6.473, 6.474, 6.261, 6.334, 5.73, 5.785, 5.728, 5.315]","[5.346, 5.512, 5.646, 5.471, 5.634, 6.23, 5.393, 5.411, 5.596, 5.683, 5.756, 5.981, 6.005, 5.648, 5.794, 5.597]","[5.219, 5.196, 5.405, 5.254, 5.252, 5.324, 5.406, 5.32, 5.404, 5.504, 5.373, 5.359, 5.28, 5.292, 5.315, 5.23]","[5.317, 5.162, 5.224, 5.165, 5.187, 5.257, 5.261, 5.333, 5.444, 5.379, 5.336, 5.424, 5.376, 5.354, 5.43, 5.154]","[5.361, 5.538, 5.311, 5.325, 5.25, 5.361, 5.361, 5.499, 5.663, 6.087, 6.51, 6.453, 5.897, 6.757, 6.547, 5.808]","[6.242, 7.647, 7.046, 6.365, 7.741, 7.665, 8.865, 5.959, 11.278, 9.545, 14.235, 10.111, 14.72, 14.079, 12.563, 10.529]","[5.732, 5.484, 5.87, 5.749, 6.201, 5.593, 5.408, 5.421, 5.923, 5.601, 6.032, 5.312, 5.272, 5.268, 5.438, 5.309]"
gain,"[1.06424, 1.05604, 1.05933, 1.05475, 1.06501, 1.05314, 1.04925, 1.05311, 1.12798, 1.117, 1.12215, 1.10825, 1.10649, 1.10626, 1.09075, 1.09478]","[1.11001, 1.12057, 1.12391, 1.13701, 1.1454, 1.12269, 1.12282, 1.12473, 1.14716, 1.16207, 1.14892, 1.1439, 1.14941, 1.13326, 1.13611, 1.14034]","[1.12223, 1.11704, 1.12675, 1.12134, 1.11379, 1.12074, 1.11586, 1.13681, 1.12405, 1.13039, 1.13085, 1.13343, 1.15572, 1.15534, 1.15654, 1.15215]","[1.19376, 1.19624, 1.19823, 1.20159, 1.21571, 1.1906, 1.19868, 1.20925, 1.15546, 1.15769, 1.15478, 1.15421, 1.15763, 1.15548, 1.16087, 1.14595]","[1.14946, 1.15165, 1.16559, 1.16245, 1.15276, 1.16487, 1.15142, 1.15796, 1.18272, 1.161, 1.17533, 1.16982, 1.14867, 1.15671, 1.15376, 1.13597]","[1.1279, 1.13621, 1.14552, 1.13213, 1.13696, 1.14888, 1.14762, 1.14958, 1.15472, 1.1551, 1.15513, 1.1536, 1.16476, 1.16219, 1.15064, 1.11815]","[1.15097, 1.13765, 1.15275, 1.1273, 1.13914, 1.15075, 1.14695, 1.15408, 1.14298, 1.12965, 1.13751, 1.15067, 1.15073, 1.16727, 1.19412, 1.19733]","[1.14271, 1.15344, 1.1422, 1.14008, 1.13218, 1.13022, 1.12737, 1.13548, 1.08471, 1.08004, 1.0955, 1.09781, 1.09829, 1.11292, 1.12444, 1.11491]","[1.12809, 1.13554, 1.13536, 1.13879, 1.1399, 1.13441, 1.12957, 1.14448, 1.08901, 1.09351, 1.08708, 1.09156, 1.08918, 1.09348, 1.09412, 1.08386]"
saturation,"[130521.0, 130280.0, 128361.0, 126797.0, 124180.0, 123652.0, 122174.0, 134244.0, 113467.0, 116663.0, 118025.0, 121119.0, 122900.0, 124812.0, 114741.0, 115050.0]","[111414.0, 109880.0, 107922.0, 118373.0, 116242.0, 116554.0, 115161.0, 112280.0, 111872.0, 112862.0, 115319.0, 116874.0, 118550.0, 121252.0, 123035.0, 110308.0]","[110712.0, 110326.0, 108364.0, 107797.0, 107826.0, 105205.0, 101939.0, 96564.0, 100121.0, 103719.0, 105501.0, 106266.0, 105614.0, 106956.0, 108207.0, 109865.0]","[111282.0, 110510.0, 108468.0, 106850.0, 104523.0, 104842.0, 102892.0, 112956.0, 120767.0, 122862.0, 124884.0, 112593.0, 114228.0, 115810.0, 117208.0, 119531.0]","[116296.0, 115456.0, 46466.0, 111594.0, 110862.0, 108632.0, 108612.0, 106110.0, 106313.0, 109546.0, 110060.0, 112036.0, 114929.0, 115605.0, 117472.0, 119436.0]","[107940.0, 106734.0, 103832.0, 101191.0, 97124.0, 93733.0, 91713.0, 89512.0, 91986.0, 94783.0, 98037.0, 101817.0, 103773.0, 105528.0, 107120.0, 110779.0]","[122777.0, 109688.0, 107716.0, 108463.0, 106347.0, 104369.0, 116231.0, 113373.0, 117852.0, 120838.0, 121279.0, 108317.0, 109584.0, 109592.0, 108978.0, 109080.0]","[111245.0, 109602.0, 109793.0, 108867.0, 108461.0, 107609.0, 105186.0, 100801.0, 111618.0, 113722.0, 113458.0, 114093.0, 115255.0, 115191.0, 115702.0, 117546.0]","[94340.0, 92252.0, 90499.0, 88469.0, 86689.0, 125019.0, 122995.0, 118536.0, 128912.0, 90097.0, 92508.0, 94293.0, 96458.0, 98524.0, 101971.0, 105614.0]"
