,R34_S00,R34_S01,R34_S02,R34_S10,R34_S11,R34_S12,R34_S20,R34_S21,R34_S22
u,"[24.211495737969663, 24.21982624391185, 24.220094872460358, 24.22246583293328, 24.21786254609659, 24.237425389660075, 24.21925706395563, 24.227765806632664, 24.216392939825738, 24.214816571028067, 24.205941231949936, 24.217651140399457, 24.220028204465173, 24.21910566989716, 24.222938964482935, 24.222064828750742]","[24.231654692420644, 24.248762999403127, 24.24214427155173, 24.245311877740686, 24.20157308443686, 24.23160699798815, 24.237034834478877, 24.224696569285896, 24.22749603925974, 24.23548838696076, 24.22833607331483, 24.215693438293247, 24.21649407407702, 24.237238411751427, 24.224944900251373, 24.257415203961372]","[24.21926683956064, 24.220997198594308, 24.211959878943894, 24.213988290045062, 24.202381618040334, 24.186590756663545, 24.137804063316516, 24.09361300132431, 24.06658302205104, 24.11318513878619, 24.150898907066164, 24.150550181202405, 24.19889331041863, 24.196970245232315, 24.200401685803985, 24.231921127574957]","[24.237150104578227, 24.226296020788226, 24.21841110951669, 24.230879164119145, 24.220010085755476, 24.17886396351307, 24.24033380545842, 24.23827767489024, 24.244381079533838, 24.238904548107953, 24.234011015803024, 24.21662526618712, 24.212573967152526, 24.237359837024798, 24.225862503849903, 24.240670070709307]","[24.157972533351174, 24.172335781020976, 24.162624517032945, 24.179694463922814, 24.183625829373554, 24.181253761280946, 24.17647064719874, 24.1817870201628, 24.204515520765803, 24.19482667632637, 24.20565667411692, 24.207339067112212, 24.210215654193888, 24.206898451489266, 24.1984662621363, 24.20013525733034]","[24.12866176942802, 24.143846728615564, 24.12065699907167, 24.08865635730831, 24.032045892355935, 23.96491954371537, 23.909580253286965, 23.84966362433419, 23.950459993877992, 24.020590878757588, 24.086140768054292, 24.127606135362715, 24.158048039311023, 24.168432377379965, 24.16030799204115, 24.1797798163672]","[24.16145960388389, 24.152733223910822, 24.177648471217037, 24.18559635774681, 24.19426909567582, 24.18987511528598, 24.191650679332916, 24.181288403983316, 24.199163618852218, 24.166682748956482, 24.130361349061584, 24.134364242534346, 24.174597426288, 24.10284751913674, 24.11561576869796, 24.16763002853174]","[24.07296313795232, 23.972654339176135, 24.02883961168932, 24.087617519069525, 23.98094898586529, 23.978577859332123, 23.85100842793896, 24.038505904967256, 23.75432914045144, 23.885449054947983, 23.57007881055677, 23.84444725089161, 23.535522633028656, 23.568180074670497, 23.6614059206671, 23.798596904431918]","[23.962680543229506, 23.931242979311186, 23.84533673450578, 23.804118969614716, 23.667318632060443, 23.602043538859355, 23.472148427057036, 23.22239744130198, 23.61115767985107, 23.773112891678117, 23.815464709110397, 23.933036842347065, 23.99193992554116, 24.055185023971703, 24.097763329257717, 24.15438970183291]"
g,"[24.979733436877925, 24.981610274227755, 24.97977753202925, 24.979604730872456, 24.976026539638198, 24.987250672147827, 24.9747469133505, 24.97494952347698, 24.971755437482305, 24.972474608593476, 24.970979391788656, 24.976092969367205, 24.976858157091396, 24.977302616448263, 24.980105903108747, 24.981321599793006]","[24.96639291937848, 24.9709500966822, 24.96647020341811, 24.965624330064287, 24.948781504782474, 24.957221516229527, 24.957229031753133, 24.950256473562536, 24.95090798847261, 24.95580995428428, 24.955108186083674, 24.952080902340246, 24.95451119507166, 24.96427912994155, 24.960606678533825, 24.972944609088653]","[24.95082687591254, 24.949031158139537, 24.943402103058556, 24.94085863954724, 24.932849246848498, 24.917290392200595, 24.87951129915254, 24.837313952754613, 24.85218734181523, 24.889507582378705, 24.91306413588643, 24.916737591886157, 24.93568509576729, 24.937797040543895, 24.940340918618674, 24.95207616914434]","[24.97711359035964, 24.972460875384233, 24.968523434869624, 24.9709202363557, 24.965876483056636, 24.9520495040043, 24.970311143939742, 24.968880799246744, 24.970184097615146, 24.96971095396093, 24.96940707820686, 24.96485157099406, 24.96408041150507, 24.972944485014484, 24.97040537254776, 24.97686193703546]","[24.952635515863182, 24.954722699123018, 24.948216196564477, 24.949921390135625, 24.948848650341212, 24.945455635534486, 24.941395976364635, 24.93947242284503, 24.946670878787906, 24.945113666309165, 24.952461402052254, 24.956293204683035, 24.95916587025947, 24.96061369210065, 24.960369491541357, 24.963318982820713]","[24.930243019774426, 24.928329400323786, 24.906040466128573, 24.873098085111344, 24.825272838076444, 24.771527072408354, 24.72449620991017, 24.677858606733466, 24.749391005213198, 24.803997595702363, 24.85677432174635, 24.895679648446105, 24.92210111662102, 24.93376911691735, 24.93397624162055, 24.943489452402506]","[24.954522870356264, 24.9478656922735, 24.95245034865001, 24.95376159845901, 24.953381556157797, 24.95088626710664, 24.94848751789564, 24.942694651544322, 24.95161268704715, 24.94290617753602, 24.932483269888287, 24.936107271052094, 24.951154568372704, 24.92942007577372, 24.936138601021707, 24.95531263574983]","[24.915367020916186, 24.875860760728244, 24.89125403036472, 24.908021293149385, 24.865033373062108, 24.85568659314814, 24.787896286525626, 24.839271631940647, 24.748753469825992, 24.81712450136783, 24.65508240345587, 24.805029268580256, 24.64302189001031, 24.666412978749385, 24.723871400986205, 24.798613981819475]","[24.78121322988315, 24.74413747461005, 24.68964139252892, 24.651154815236886, 24.5596153191722, 24.483854532129804, 24.374081294604505, 24.17844778722783, 24.48823680687814, 24.603279582161782, 24.6537521878644, 24.719793356473154, 24.76661575135499, 24.81788005732699, 24.859874920924256, 24.90178934428182]"
r,"[24.49650046487707, 24.497358059917783, 24.49530856806487, 24.494727931915484, 24.49146172996332, 24.501220193797558, 24.48992204064357, 24.488715521174697, 24.48764483575138, 24.488606001921898, 24.488624916319107, 24.492260800117286, 24.49253536214821, 24.49317856403745, 24.495632971799903, 24.497028213762743]","[24.482436964898532, 24.484628327005375, 24.480795206662975, 24.479189101571347, 24.468369619674597, 24.472177338862267, 24.471102581609504, 24.465362379735446, 24.466795018025138, 24.47083616859692, 24.471517391050387, 24.470463633993397, 24.47304993065933, 24.480191108570033, 24.478258843220758, 24.486018064224346]","[24.46392993431009, 24.46148101389175, 24.456744724341583, 24.453379842185498, 24.446307870151024, 24.43097304872085, 24.395801613569382, 24.354272102267842, 24.3803624397504, 24.415095034171273, 24.4349227462601, 24.439327772392517, 24.451216532514383, 24.45408781988435, 24.456267089931682, 24.4637545598531]","[24.49064979793149, 24.487483279619383, 24.484630258811205, 24.484888583787484, 24.481302684220804, 24.47377408307704, 24.482641410173954, 24.481431370591917, 24.482599603424514, 24.483028214781953, 24.483629105389365, 24.481774903163235, 24.48158239951018, 24.486824365921564, 24.486089697830973, 24.490590811730677]","[24.47459460031979, 24.474814029034192, 24.469482654283553, 24.468557748915195, 24.466680155708744, 24.463379740187925, 24.45971537073337, 24.456613903322012, 24.46152847160772, 24.461513856933003, 24.467808575477846, 24.471879061521612, 24.474569871150187, 24.476804151660936, 24.477806931197602, 24.480744996025656]","[24.45336819140416, 24.448623554877738, 24.427124995782464, 24.394557067827414, 24.34905861229139, 24.298761735223252, 24.254296899233715, 24.21130766172235, 24.277167865834972, 24.327705550048332, 24.37719567617693, 24.4152387956359, 24.440358657958313, 24.45186706834849, 24.453500181074958, 24.460720312583064]","[24.476383133673203, 24.470708226310663, 24.471652431601626, 24.472081007621277, 24.470134682285682, 24.468249416633, 24.46533789469953, 24.460822394280072, 24.468734853832757, 24.465009430428005, 24.460160800958874, 24.463384683571963, 24.4724744759135, 24.46180777781944, 24.466626511589116, 24.477773390227945]","[24.449069417088793, 24.426108864419575, 24.43242219529316, 24.439703071075634, 24.41385006675339, 24.40356623763621, 24.354614320295717, 24.36841281944685, 24.341869038563715, 24.385806661533906, 24.286929092450293, 24.38200217072736, 24.28193392357344, 24.298187333118037, 24.336481581441646, 24.38399779322782]","[24.31343710376307, 24.275379085884737, 24.229258819186608, 24.19192682667876, 24.113640101846876, 24.035414260773628, 23.932176032717003, 23.75513591110161, 24.041627343849264, 24.14266822784713, 24.195032562790026, 24.24734627166577, 24.290911087070793, 24.339069416237834, 24.38060680693507, 24.41913203011364]"
i,"[24.02551127108164, 24.02697914939693, 24.025236152963814, 24.0245262316178, 24.021182380509345, 24.030313611117236, 24.019118068331913, 24.017370942640955, 24.020001541653052, 24.021003486942455, 24.021578787170196, 24.024894917135207, 24.025022640509082, 24.025624453008948, 24.027600703052826, 24.028194446050463]","[24.01035694615006, 24.011891870360856, 24.008239818033292, 24.006341055527265, 23.99727111458047, 23.999845164750027, 23.99861844341261, 23.993484963462215, 23.999217062253198, 24.002835085829805, 24.00385211931966, 24.003286543878907, 24.0059034802946, 24.012315584090892, 24.01083419872388, 24.01722227964659]","[23.993078216504856, 23.99086967915885, 23.98689726863492, 23.983816869488585, 23.977499674592785, 23.962588799507266, 23.928127141413903, 23.886234497136908, 23.91862053082469, 23.953180177108493, 23.97209060189143, 23.976575198144218, 23.986075676417585, 23.98880318713259, 23.990506981719307, 23.99651915351166]","[24.017770663823462, 24.015722822839844, 24.01338490370338, 24.012866493252705, 24.009334532043447, 24.003148002410953, 24.008972258325347, 24.00738756689149, 24.009077475882677, 24.010178072996318, 24.011446773460158, 24.010792539897185, 24.01117693815562, 24.015611098237706, 24.015239029018794, 24.018517366555404]","[24.003975869972233, 24.00383674138613, 23.999064950371974, 23.99769278498985, 23.995892322434152, 23.992929021687846, 23.989772423254777, 23.986859135452104, 23.99198316587303, 23.991841709447733, 23.99740103415861, 24.001231177436892, 24.003575394619908, 24.005805639279775, 24.007012523526434, 24.00984802875316]","[23.982790696159583, 23.978075442317056, 23.957555771046803, 23.92590471321588, 23.88176599838888, 23.832986773324855, 23.78943534667524, 23.747120887893608, 23.812020757038987, 23.861722799817258, 23.91011913881065, 23.947368078011884, 23.971349897813393, 23.982059669726617, 23.98337578804604, 23.98926603642215]","[24.008654694855426, 24.004521118289887, 24.005169566126007, 24.005796252612043, 24.003582916183746, 24.001909203099693, 23.998720563565335, 23.994556241670118, 24.000209104956355, 23.997989437578376, 23.99480751409584, 23.998085772656154, 24.005614819611715, 23.998117178387652, 24.001952783003063, 24.009422862785637]","[23.985334337523092, 23.967686076320387, 23.97172504847446, 23.97649368261672, 23.95604047142541, 23.94572425223683, 23.902845677164027, 23.905444362399763, 23.896752200403174, 23.93222154704386, 23.85494267391453, 23.93051465825142, 23.851868676217705, 23.86512026227841, 23.89619113382281, 23.93421037377961]","[23.852340518731474, 23.814408821571096, 23.771245462287748, 23.734625850646005, 23.660844395398946, 23.582063549287632, 23.480811737274745, 23.309324591016917, 23.586297905278425, 23.683585252647784, 23.73655276552854, 23.784446129425632, 23.8266353586196, 23.873391525640486, 23.914294135613588, 23.95137591800792]"
z,"[23.417628335661835, 23.419327995309327, 23.417624698203802, 23.416764596449845, 23.413305244541846, 23.421906452471504, 23.41057200409484, 23.4080842579869, 23.414698834738253, 23.41573363508965, 23.416819975208863, 23.420077403645884, 23.420091812752773, 23.420880180490617, 23.422710293706494, 23.422902562078264]","[23.403195053910984, 23.40412157951411, 23.40063202574124, 23.398760387183124, 23.391471908022613, 23.393155317349315, 23.392176557228574, 23.387825081756446, 23.396801061776216, 23.399516694933528, 23.400497387133846, 23.400259170782288, 23.402925551522106, 23.40858085598316, 23.407298405900978, 23.412356590210905]","[23.387227750273883, 23.385313934829583, 23.382097867990147, 23.379442989573253, 23.374041514943645, 23.35965639149466, 23.32619473505322, 23.284015015356655, 23.321476918634808, 23.355520563265415, 23.373314225245792, 23.377755759021674, 23.38510064137095, 23.387659069277696, 23.388729114572914, 23.393245142736404]","[23.40971603285422, 23.408561178302357, 23.40674846780198, 23.40558413716158, 23.402287772148597, 23.397440292042184, 23.400723466612597, 23.39909438515621, 23.400265759901707, 23.401596346973648, 23.40333254251734, 23.403771145542475, 23.404756980697314, 23.408509367919315, 23.408452633258612, 23.41058474644771]","[23.397503285360195, 23.3968566095208, 23.392358454822002, 23.39037309381118, 23.388625574938573, 23.385793870626948, 23.383044761895043, 23.38012324544733, 23.384489627992604, 23.384499069044203, 23.389614129662654, 23.39332541524383, 23.395404379696643, 23.397638158755644, 23.399275924886243, 23.40250352545401]","[23.3759251308175, 23.371013107303725, 23.351261216168812, 23.320200864484477, 23.27728278507729, 23.22993342117766, 23.187290522104384, 23.145571661852568, 23.20877355826687, 23.25795476848738, 23.305474120916745, 23.341948299646344, 23.364764717821615, 23.374669833035867, 23.375850264413145, 23.38098690381402]","[23.40645885308342, 23.403424433802282, 23.403555580487357, 23.404117181845134, 23.40137530140496, 23.39976651157665, 23.396497147623762, 23.392349785883056, 23.395028091133156, 23.394538646564783, 23.393161973573847, 23.39655020121225, 23.40274810544495, 23.39807462247613, 23.401281501534037, 23.40596426580984]","[23.386279533231423, 23.373508141798684, 23.374970843658993, 23.377402192600535, 23.361891782393837, 23.35133565975502, 23.31410603468823, 23.306554191644096, 23.31411500746201, 23.341644189364477, 23.285788995458383, 23.341974879311422, 23.284504968266365, 23.29451810073548, 23.318581093662168, 23.347719173934255]","[23.254218470972553, 23.21656797668002, 23.176182029142776, 23.14038897841842, 23.07084203255961, 22.991902291547547, 22.8928502430157, 22.726936690581503, 22.994148215390798, 23.087595414239008, 23.140745023191005, 23.184447599739524, 23.225270148740783, 23.270659692735563, 23.31077180628708, 23.346304408005672]"
y,"[22.458870185036268, 22.458879698804328, 22.456441786735926, 22.45555719208957, 22.452463596156083, 22.460284282504702, 22.448116971615054, 22.44510304274531, 22.453931179121565, 22.45480854015201, 22.45617979607813, 22.45890752062857, 22.45992306977033, 22.461352025498297, 22.464114762896255, 22.46545931935968]","[22.447466367387985, 22.448180149948517, 22.44502076363601, 22.44357318259214, 22.43591569601396, 22.437631183429662, 22.436804687289133, 22.432616182852993, 22.43944074346737, 22.442536179430224, 22.444042566303242, 22.444571918682428, 22.44731599732503, 22.452340574076732, 22.450378190064132, 22.4546999966821]","[22.420163961950102, 22.417998982807934, 22.414272816368594, 22.411321788437697, 22.405528398477742, 22.39091935841379, 22.357149373497197, 22.31676624763862, 22.356671352027554, 22.38946076703676, 22.40719781711997, 22.412083412230935, 22.419398263499104, 22.42236711300862, 22.423206639774378, 22.427015329658573]","[22.453504836024003, 22.451483504597693, 22.448916177697438, 22.447785474780733, 22.44365083088257, 22.439654993013086, 22.442811418979748, 22.44137703532642, 22.442500008192837, 22.443822504255415, 22.445493809338704, 22.446291846367888, 22.447261241906546, 22.450651162623416, 22.45065860108756, 22.45332087488258]","[22.44043345741071, 22.440041148784076, 22.436253067978072, 22.433268614775034, 22.433537169792416, 22.42919710367686, 22.42627666535665, 22.422433716984216, 22.42578284836621, 22.426748763877264, 22.432532831454555, 22.435976439728517, 22.43794472734978, 22.440418655075153, 22.441208361331693, 22.44395351514196]","[22.414350807005675, 22.4091796220677, 22.390074158207597, 22.360228389140318, 22.317809314646738, 22.270797459628113, 22.228757228232986, 22.187818428801172, 22.25071614015353, 22.299606426371767, 22.346782512792924, 22.382768104805894, 22.405390844808828, 22.41542574735422, 22.415808533887695, 22.419582307702456]","[22.452185312619214, 22.451520612191686, 22.450874347966735, 22.452344485720776, 22.448720994086898, 22.44511712892578, 22.441764441165553, 22.43998150135497, 22.44301425346255, 22.44327759881437, 22.442653295663707, 22.44607953277488, 22.451379155098472, 22.44787087033781, 22.450533970859006, 22.455378775151644]","[22.434267173170635, 22.422017121932463, 22.42269041108544, 22.426851854586133, 22.412056035231593, 22.40175799642393, 22.367051823141285, 22.355811769632314, 22.372340226677736, 22.396887759758943, 22.349729357934983, 22.398199025984866, 22.34891607856018, 22.35724303828872, 22.37733684521985, 22.402983432731897]","[22.300917420757603, 22.26292170972699, 22.223365733485554, 22.18767676854518, 22.11966873992082, 22.040195850291518, 21.94244959724424, 21.779771669046845, 22.04472767250499, 22.135510323104654, 22.188584466712257, 22.23092153419651, 22.27157211138486, 22.3167640743369, 22.356434988524555, 22.39145814267851]"
fS,"[1.2189413210478723, 1.2227698068025232, 1.2187395269835362, 1.2177853859832135, 1.2101259128896857, 1.2324558887235577, 1.2047436469564246, 1.202501719712732, 1.2091190562307097, 1.2106443359223225, 1.2100991868751039, 1.2193483848349946, 1.2208575737508625, 1.222510961244775, 1.2281518247109862, 1.2298428329837099]","[1.1967211835317089, 1.2036338560139037, 1.1950778437304637, 1.1926698616806335, 1.165043125770452, 1.1771016165998127, 1.1766011742810425, 1.1643652105208369, 1.1761744939274226, 1.1846373000489232, 1.1849120056020361, 1.1812866715708046, 1.1866554787036951, 1.2035288082690536, 1.1970315720084146, 1.216736365218274]","[1.154304226151074, 1.1506599903995576, 1.1411424764240654, 1.1360907005087306, 1.1220268257950288, 1.0916291542295444, 1.0217979517951663, 0.9462431300378462, 0.9960231042615697, 1.0628594689231898, 1.1039475663319944, 1.1122329417469028, 1.1398006195575618, 1.1445558094636337, 1.147960256159427, 1.1657390847468498]","[1.2121816286672915, 1.2052428781765157, 1.1984683257521715, 1.200290540694246, 1.1902656968141023, 1.1696328077295797, 1.1946653976804127, 1.191283833659389, 1.1952219281778456, 1.1958976576638811, 1.1972838402214219, 1.1924977742269132, 1.1926556428107553, 1.2070560223348759, 1.2035926189649744, 1.2135167157213678]","[1.166553707825765, 1.1692897416435084, 1.15838509381816, 1.1585549865524172, 1.1574079132575457, 1.150223168662434, 1.1432595496371583, 1.1383615475015576, 1.1517616030694138, 1.1499758372403637, 1.1634163318421846, 1.1709370497977327, 1.1759401911082739, 1.1795881542076387, 1.1797114828393416, 1.1857909964084992]","[1.116842149126324, 1.1110784645556553, 1.0700151442149344, 1.010213709065429, 0.9298755007628208, 0.8477619758142273, 0.7812955251794396, 0.7208643257781733, 0.8166415650600015, 0.8982619916095925, 0.9848396607782346, 1.0549624981213068, 1.103247136868, 1.124758477407071, 1.1248162840568803, 1.1391524948233798]","[1.1818222091418278, 1.1739491921752272, 1.179920644266343, 1.1834316605924688, 1.1801208164834034, 1.1744364192435104, 1.1686747259276218, 1.1596755735894386, 1.1725397682638012, 1.1623381441699232, 1.1498944099053303, 1.157186559286794, 1.1794760698469198, 1.151687604527998, 1.1611516206963914, 1.1858868776435068]","[1.1215814843609748, 1.0738937090679628, 1.0887714631123218, 1.1085373080509555, 1.0549927317015564, 1.036332483265715, 0.9495363391020653, 0.9763510536840643, 0.9331222682859817, 1.0029205928981642, 0.8604687310526608, 0.9960262172123556, 0.8542280402682316, 0.8741986657290772, 0.9254893753880626, 0.9972695886231226]","[0.8804560360923668, 0.8220192689475102, 0.7548917728945519, 0.7054850941074562, 0.6114360648202478, 0.5298282354597851, 0.43862470348442373, 0.31784123909824713, 0.5342766167895535, 0.6438059711390144, 0.7083992614159635, 0.7813689599742849, 0.8465763647755941, 0.9249998095381491, 0.9969882309012374, 1.0705144297732665]"
u1,"[24.70045546480703, 24.70720125744531, 24.707715800308485, 24.709567882930457, 24.706699480946263, 24.723604999439253, 24.70920356006212, 24.71422770033906, 24.71053059468067, 24.70931438079385, 24.70437719395951, 24.711522438610686, 24.7116898374958, 24.71093524012076, 24.712939472739187, 24.712019254224586]","[24.727465491459252, 24.739270732039067, 24.735058047246863, 24.737120767776386, 24.70926912292571, 24.72854990758595, 24.731610518853007, 24.722767406368877, 24.7303130153494, 24.73578289972282, 24.731753011115547, 24.723396859796168, 24.72429730845324, 24.738177006818134, 24.729364153266737, 24.749657517550638]","[24.71410688587009, 24.714898195521954, 24.709014036808405, 24.709558904597905, 24.700482084028923, 24.685848953702827, 24.64289613466923, 24.599400272275307, 24.60009635225201, 24.642081219464366, 24.672029326089707, 24.673130496448646, 24.704869418884787, 24.704268643530334, 24.70623644634101, 24.726209945059615]","[24.731614124759897, 24.725239062907225, 24.720851537198538, 24.728500167224183, 24.722006940523634, 24.696667915967833, 24.7353581948612, 24.73384683197147, 24.74318102014293, 24.74002562444721, 24.737097699268006, 24.72589784628265, 24.72274456887094, 24.738022824897353, 24.73060350498966, 24.74001495671304]","[24.65772000803002, 24.67019743402882, 24.665919891875262, 24.678112058981036, 24.681633884394362, 24.68103544238955, 24.678468251511127, 24.681450127256703, 24.70383021570233, 24.697144892659082, 24.70416771364016, 24.705387351742537, 24.706295001864834, 24.7035392907458, 24.69640200479025, 24.696081901424186]","[24.63316135546078, 24.643475398122064, 24.623843413144215, 24.593563850246987, 24.542836311512104, 24.48371404155591, 24.433747580118442, 24.381198790762912, 24.47484468410825, 24.536770579910055, 24.595069331789166, 24.63445704809162, 24.66093960356242, 24.6698617214672, 24.664137065694984, 24.675793042235885]","[24.663748413224504, 24.659640600789608, 24.67733903513491, 24.68483990899587, 24.69108375011416, 24.689491461245876, 24.691062634639163, 24.684617562209517, 24.704234825154515, 24.683411814016218, 24.658753033186553, 24.661287482097677, 24.68677300068082, 24.638517153362265, 24.64618362371007, 24.67865882852797]","[24.601825263185738, 24.536085994134346, 24.576793629854087, 24.617351773655347, 24.545002712082912, 24.541648674003106, 24.44332159529685, 24.56504666387737, 24.38087630268447, 24.482984609668957, 24.231010867151024, 24.45203232105081, 24.201276723966615, 24.228374022539626, 24.305435685128963, 24.414476624883264]","[24.49213515600436, 24.4583423063658, 24.38900474564473, 24.349149068543973, 24.234474723199675, 24.162492591795377, 24.040047116111147, 23.811579627411252, 24.17778920732312, 24.317801509084852, 24.36526243490099, 24.456033947646265, 24.508421775856284, 24.565542251334257, 24.607784980911966, 24.656209933110308]"
u2,"[25.144732327459636, 25.150387666597567, 25.151069291731453, 25.15256574671105, 25.150885221832063, 25.16595920260086, 25.15414743074048, 25.15678493699638, 25.158371198493352, 25.157407020132148, 25.155238364317274, 25.159176023986056, 25.15781115048679, 25.157173412335112, 25.157914781082834, 25.156964009740335]","[25.17644760378478, 25.18455678754916, 25.182011916279205, 25.183306650768554, 25.166755911295187, 25.178324055728698, 25.179723348727933, 25.17334180557874, 25.18425405347686, 25.18791844412538, 25.186123504376496, 25.180875171739395, 25.18184760430214, 25.190769412322254, 25.184458856899514, 25.196130334614903]","[25.162430278450532, 25.16256585148209, 25.158893545624466, 25.158397139784466, 25.151107378222406, 25.137308085921457, 25.09857013539667, 25.055623452173, 25.077300993223428, 25.115616921888876, 25.139553634900427, 25.141759664429696, 25.161117350818568, 25.16147647742325, 25.162381179144553, 25.17413571889716]","[25.17965621731555, 25.17643387889695, 25.17453918714166, 25.178757768256474, 25.17537573121027, 25.161652712578416, 25.183785842133688, 25.182656760884655, 25.19425390797996, 25.19275004138186, 25.191230602037702, 25.184523674882453, 25.182031931067144, 25.190424262991833, 25.18593377119577, 25.191478839045537]","[25.109564654255646, 25.120695279882558, 25.120284324480608, 25.128992943491607, 25.13222203176669, 25.132878080113297, 25.131890501865467, 25.13320846525761, 25.155317497751895, 25.15077623702365, 25.15508585354011, 25.155977504147412, 25.155499907792723, 25.15314096523178, 25.146922515969674, 25.145205159360547]","[25.088424783907335, 25.095249476140275, 25.078173796396683, 25.04916417997352, 25.002769872233984, 24.94966244419418, 24.903830933390328, 24.857052936782523, 24.945052490493413, 25.000701229415814, 25.053583244757743, 25.0914169437499, 25.11501758409826, 25.12288537620764, 25.118883944561908, 25.124983472421135]","[25.117392653288, 25.116615229271737, 25.12911936638299, 25.136295446692454, 25.140819964395913, 25.141206034346986, 25.142630274706104, 25.138984231912087, 25.15983472410226, 25.147606585962155, 25.131885303702635, 25.133275776091725, 25.14757628306977, 25.117409339688866, 25.1210293522248, 25.138624664705294]","[25.075374206859948, 25.03831991536605, 25.065753501138293, 25.09156781764298, 25.047777883444418, 25.043561308311954, 24.972368803083242, 25.03682516584018, 24.9456503057831, 25.017162173197036, 24.836930158675347, 24.996424601728055, 24.81345364343761, 24.833348066151025, 24.890404722299863, 24.96760331513266]","[24.96625063355764, 24.93065926261605, 24.874582818104972, 24.83588084448173, 24.740219831329966, 24.662408184495682, 24.546605893901358, 24.337978642662627, 24.683112123776088, 24.80428042129958, 24.8559344921762, 24.925197763408615, 24.97260768552686, 25.02513278086171, 25.067084442956915, 25.109527572924975]"
