,R20_S00,R20_S01,R20_S02,R20_S10,R20_S11,R20_S12,R20_S20,R20_S21,R20_S22
u,"[0.03495738225614377, 0.03469073086065105, 0.03472902716279144, 0.03446372369440679, 0.03436835875136563, 0.034352435364101534, 0.03421483777808931, 0.03412472049863025, 0.03396333161320157, 0.03395423032254356, 0.034157214289822165, 0.03427221009143499, 0.03439674453826336, 0.03439343033026095, 0.03453664272388511, 0.034684034744151854]","[0.03270110854466772, 0.032567807960447455, 0.0324260391778358, 0.0323041824652972, 0.03208985055921397, 0.032021603737593614, 0.03189032965381211, 0.03174084176312342, 0.031403656223312634, 0.03154917539655321, 0.03178821423641299, 0.0319587763956314, 0.03205443941580541, 0.0321142801354893, 0.03234692034824411, 0.032559134546869255]","[0.03439302070456294, 0.034289384522634865, 0.034030598386207235, 0.033956798833995924, 0.03373968157320274, 0.033525761066118376, 0.03355228124378414, 0.03327686090729735, 0.03323086639084243, 0.03338971569192518, 0.033416866902380694, 0.033602819793768134, 0.03373134135733299, 0.03395748107069747, 0.03402361878876847, 0.03426917447305668]","[0.029931370263943335, 0.029792677163962722, 0.02965029239821263, 0.029549358744454808, 0.029492708177085325, 0.02940204870116115, 0.029263644996188967, 0.029060169178961006, 0.02894378317424776, 0.029081725883856786, 0.02912293552562627, 0.0292304545614989, 0.029433487212962836, 0.02956513942882628, 0.02969886746865446, 0.030124754892903737]","[0.034061859553751024, 0.03392195781109001, 0.033640411008939254, 0.03341244858193382, 0.03326269769257556, 0.03319390028357383, 0.03307032649250499, 0.03285375425670467, 0.03266884675576911, 0.0330160785451271, 0.03312657233610725, 0.033342430321011966, 0.033534233282362665, 0.03365297392456906, 0.03387792462838243, 0.0340482034959973]","[0.03775424870227862, 0.037673520979530147, 0.03742019450402335, 0.037117110241153065, 0.03679928828377526, 0.03667613021525087, 0.036499747024952914, 0.0362929356161997, 0.03623382075516967, 0.03646268888971102, 0.036714440793795634, 0.036765908683270336, 0.03698881336970446, 0.0374675568556121, 0.03763468107988427, 0.0378415759957645]","[0.0300016465509817, 0.02981817445407612, 0.029601849759666517, 0.029389951883827002, 0.029176159813114933, 0.029223658292418735, 0.02922522823934854, 0.02919036583167827, 0.028961067544271264, 0.029302644569889694, 0.029377870508079915, 0.02946751887744341, 0.029645437658622403, 0.02972165607713245, 0.02977764152942007, 0.029761938052640026]","[0.03320829708810211, 0.03293830363202293, 0.032814166804890445, 0.032676547814806334, 0.032438742444373544, 0.03220876206283737, 0.032127466164861604, 0.03180942079651243, 0.03201413804311011, 0.032438119927403565, 0.032482481608274695, 0.032611168606097966, 0.03278679436639797, 0.03302286032755878, 0.03321936579888166, 0.033339099168210824]","[0.0383915316025367, 0.03819980301358198, 0.037941257379615054, 0.03786109921098111, 0.037623248993449286, 0.037416672453441255, 0.037332048686803704, 0.03708130723400296, 0.037100676471811575, 0.03728469389620204, 0.03753766910169392, 0.03767721016680051, 0.03779300534959368, 0.03791933384672965, 0.038072314910277204, 0.03848110777868154]"
g,"[0.12580026151787949, 0.1252156033029118, 0.12583815521691932, 0.12536514415127478, 0.12546934306384355, 0.12583417863890206, 0.1256892524692658, 0.1257326653588054, 0.12514278205273344, 0.12483470636714984, 0.12523508514926132, 0.12525069870746786, 0.12531812683727758, 0.12475868319141016, 0.12475962889797433, 0.12489475560618331]","[0.12537217647307256, 0.1253184649915722, 0.12551144022014743, 0.12571796887633474, 0.12553007833814173, 0.12581406783425497, 0.12563719818736532, 0.1252198883695897, 0.1244323646234865, 0.12469859355124428, 0.12521652108076387, 0.12536393760935313, 0.12518330869339342, 0.12479884577094764, 0.12515043675576146, 0.12527056372566608]","[0.12586694465415296, 0.12601465573939097, 0.12562627786643069, 0.12610414202375078, 0.12594968185017613, 0.12573064587523697, 0.12651487253485538, 0.12641860712180064, 0.12582173515525372, 0.1258727882710806, 0.1252893557057665, 0.12535266377361468, 0.1252745990521811, 0.1255415805660428, 0.1251264771673901, 0.12549604205166703]","[0.1266795881507537, 0.12674400344654635, 0.1266767297260471, 0.12680620524979772, 0.12720152606431742, 0.1274166378680982, 0.12736558866984368, 0.12689978161472742, 0.1262530720063421, 0.1263934504426379, 0.126330612063476, 0.12627361388013314, 0.12648743532357284, 0.12630311182649417, 0.1263246706002385, 0.12718400810608785]","[0.13028712575436505, 0.13067225692883488, 0.13049774053821148, 0.1304673865454726, 0.1305756272425896, 0.13084571546148244, 0.1308223438074068, 0.13027316199506456, 0.1296464166735915, 0.13051301044159702, 0.13048164012405827, 0.13079824180595376, 0.1308702038404343, 0.13050328007310258, 0.1305191743652481, 0.13024236574783163]","[0.1283822574598092, 0.12910877621951689, 0.12930268822690302, 0.1289586236194879, 0.12853084278502502, 0.12897122720034684, 0.1293341164376061, 0.12960981422724324, 0.12907423309276864, 0.1288043993162869, 0.12882822665143204, 0.1281980697335421, 0.12832637339951458, 0.129225895030018, 0.1291413738573887, 0.12916785260463193]","[0.12527572858370564, 0.1250301845716241, 0.1250106964038704, 0.12468779709338786, 0.12451683678679222, 0.12482936526882549, 0.12508164965994895, 0.12525762239374752, 0.12473603636992525, 0.12524752424680918, 0.12524621701092536, 0.1251087754281432, 0.12528955498461986, 0.12508311785041962, 0.1249070616769972, 0.12502060984547406]","[0.1273062601568768, 0.1271282079832689, 0.1274909211199423, 0.127678007306108, 0.12744934316755163, 0.127097054479541, 0.12739641401841736, 0.1272517158120535, 0.12709304729371013, 0.12767219416985298, 0.1274166381055138, 0.12738490244239606, 0.12739713006764397, 0.12758311981811732, 0.1275288239961153, 0.1270956142936871]","[0.12833230730873765, 0.1282054047020981, 0.12770175474794931, 0.12789078816124122, 0.12773107338650047, 0.12765266020561158, 0.12785331159748495, 0.127856197663712, 0.127589748242181, 0.12727978022014183, 0.12768321049344536, 0.12784401206686088, 0.1276791958883334, 0.12754525072027173, 0.12727102620959171, 0.12777823154500578]"
r,"[0.10583135370653002, 0.10527878695847585, 0.10571543515428018, 0.10520651209196437, 0.10516320470718189, 0.10536617276403575, 0.10512990184461955, 0.10512636755237316, 0.10467898989560291, 0.10443621685006384, 0.10482895699598237, 0.10489811590879945, 0.10503973621454538, 0.10470264908602, 0.10481808644099291, 0.1050102531357739]","[0.10388204377672132, 0.1038020756878878, 0.10384173059026115, 0.1038968787393357, 0.10360843724513484, 0.10373158846509511, 0.10356955562248454, 0.10324816130022385, 0.10270317532221845, 0.1027838784492928, 0.10321012341191428, 0.10338992547471476, 0.10333311063056805, 0.10310078892745883, 0.10339766271751547, 0.10363234441677534]","[0.10519795509268036, 0.10522768403624862, 0.10482140554256127, 0.10504257955933761, 0.10479307710986763, 0.1044457697715899, 0.10492433127125424, 0.10458928482151826, 0.10451726179130555, 0.10458974151836456, 0.10422110439902213, 0.10436092346203753, 0.1044185218074783, 0.10472040537375618, 0.10450501819346651, 0.10494747757492819]","[0.10297002096446974, 0.10303450192439545, 0.10292172556213094, 0.10297546074013321, 0.10321715410209571, 0.10330770030700535, 0.10324070673198837, 0.10290860145098314, 0.10246116720840462, 0.10253366629339249, 0.10249597814217834, 0.10248221976136265, 0.10273360831867358, 0.10266648995715782, 0.10275170098542663, 0.10348802083431682]","[0.10501201508834289, 0.10514495293740105, 0.10484586572989006, 0.10469462960866409, 0.10466066325250428, 0.10480184044074047, 0.10471995333373232, 0.10434079451135793, 0.10405364271212648, 0.10464981952039547, 0.10460803606333301, 0.10489177427557539, 0.1050368418581548, 0.10489722170168565, 0.10508751105604751, 0.10505060447008752]","[0.10639621506375527, 0.10670965339210267, 0.10660059945458535, 0.10613709020793802, 0.10563934521711588, 0.1057774528708322, 0.10580900408470718, 0.10570196316285424, 0.10537224211800342, 0.10547533261445284, 0.10571733352292731, 0.10540059530309996, 0.10565202054947971, 0.10652998517987429, 0.10664593225331649, 0.10690136816646782]","[0.10275927757766055, 0.10266447266077694, 0.10273861582756152, 0.10242500998193534, 0.10230190811802488, 0.10240884434620291, 0.10249289637234502, 0.10240594933959352, 0.10233460579393128, 0.1027337706665102, 0.10278119321722687, 0.10267675882095907, 0.10283283787795224, 0.10273020471300157, 0.10271648194182441, 0.10289855453573439]","[0.10476710062828698, 0.1044324482503421, 0.10457922078643164, 0.10461832171686994, 0.10431303341908318, 0.10393012884140095, 0.10405849189885007, 0.10389562928855829, 0.10416355369050717, 0.10451261386698307, 0.10435552592008977, 0.10441154638283286, 0.10452627257312018, 0.10480899707734748, 0.10493741033471798, 0.10485980222127039]","[0.10735938959419425, 0.10704573486861509, 0.1065309316103594, 0.10658621419882532, 0.10626465299245269, 0.10602806964084718, 0.10605298459576998, 0.10582477536173535, 0.10599945559458303, 0.10593531752544039, 0.1063754314852061, 0.10654669356671068, 0.10654329590821383, 0.10657028423786336, 0.1065556409292642, 0.10733267460994321]"
i,"[0.08175497483848441, 0.08154417495274974, 0.08199256752915692, 0.08162635112224045, 0.08157696960135, 0.08171120038628055, 0.08149727647969542, 0.08149199083605406, 0.0817254857869271, 0.08152011745350439, 0.08181789463378861, 0.08185978066660039, 0.08194410038858828, 0.08161849013834993, 0.08157681810110827, 0.08149892943983904]","[0.08097361977067301, 0.08092545449608665, 0.08092414317230005, 0.0809896793047427, 0.08079416412650504, 0.08092206217037916, 0.08087091920995326, 0.0807220242749288, 0.08096196081314613, 0.08087925150683649, 0.08112546605651486, 0.08121659309079879, 0.08114291256890212, 0.08097545873155225, 0.08117915204669245, 0.08135363942772658]","[0.08163599141879069, 0.08179247142641469, 0.08161745667295289, 0.08188469843666292, 0.08178366486857755, 0.08158105540607254, 0.08196189665454229, 0.08155160082026569, 0.08213535805839584, 0.08226708518354092, 0.08196839769692996, 0.08201914243957406, 0.08201440611583581, 0.08214287820460105, 0.08188271559256696, 0.0821330544981544]","[0.07988255103569195, 0.08003058952910082, 0.07997948244412703, 0.08001188023375846, 0.08013143333981619, 0.0801192164704572, 0.07997061480777819, 0.07971263304865835, 0.07953493077968246, 0.07957320640730534, 0.07957708288619189, 0.07962855623591956, 0.07989667718500225, 0.07986755587536289, 0.0798870223228005, 0.08038851605819246]","[0.08069512006634984, 0.08075957550342026, 0.08050941695215474, 0.08039061478460113, 0.0803718013920191, 0.08050382029280828, 0.08049603695773433, 0.0803141391767678, 0.08016089136173765, 0.08050573429360831, 0.08040419345964628, 0.08057094154687917, 0.08066286921433027, 0.08057773802765644, 0.08074594872047414, 0.08075317993846376]","[0.0815537673173656, 0.08187587608647416, 0.08187074827318364, 0.08167850134192814, 0.08146692805998268, 0.08163659968299869, 0.08164291816614504, 0.08147771977356273, 0.08132390539942554, 0.08151687477630298, 0.08168487402453514, 0.08136687671626182, 0.08141185095780519, 0.08189381307255486, 0.08182548728018557, 0.08187134623211188]","[0.0803458616032387, 0.08046702375938633, 0.0806071468191914, 0.08035019828676464, 0.08024978325103475, 0.08028751093367383, 0.08028910654464932, 0.0801647146094609, 0.07968923025932004, 0.08004486133667792, 0.0801494650220021, 0.08013059371176487, 0.08030086972754968, 0.08025185708232785, 0.08022635101514002, 0.0801878271587138]","[0.08189643115454323, 0.08162926202119226, 0.0817493564525724, 0.08180259643211739, 0.08156730986480937, 0.08130524189631547, 0.08139351570282241, 0.08119369633029944, 0.08098168954428664, 0.08130627698174925, 0.08112007688104278, 0.08113660356540678, 0.08120733445183356, 0.08141660664527361, 0.08152488341309527, 0.0814952099252024]","[0.08266555581445599, 0.08252024577212767, 0.08229661364247674, 0.08250100144675125, 0.08233451746845565, 0.08221653538613743, 0.08227521299145114, 0.08200881351439628, 0.08185562335257723, 0.08188164831353048, 0.08215464401562962, 0.08211104107859606, 0.08195673834247258, 0.08181111021299355, 0.0816980362396204, 0.08223244306184839]"
z,"[0.057608861879343866, 0.05760479629221918, 0.0580108785569738, 0.05776945034962622, 0.0577090823433501, 0.05779843722713955, 0.05767160467781131, 0.05769116747271936, 0.058162690955036477, 0.057968009641624955, 0.05812112472237261, 0.05809661343353184, 0.05810924849671763, 0.0578116475396514, 0.057679873161580936, 0.057474415207741415]","[0.05761615984122652, 0.057594820747283886, 0.05760792609110453, 0.057662722536399244, 0.057559771494843946, 0.0577072042810855, 0.05771262154672596, 0.05762666059085889, 0.05805628051483784, 0.05800942457449125, 0.05816441408211005, 0.05817979975696886, 0.058068427718129534, 0.05789678965190933, 0.058008229312461, 0.058070069534574]","[0.057954939597212714, 0.058190817435363695, 0.05810949300937568, 0.0583511702736907, 0.05833291431723035, 0.0582814067292666, 0.058659260669414064, 0.058442807292183215, 0.059077700398161244, 0.0591192800542432, 0.058809657340245104, 0.05872302540325633, 0.05863902587020039, 0.058663987877706665, 0.05842378039200871, 0.05850081806634982]","[0.057225343451165325, 0.05740877928375458, 0.057391654733389245, 0.05740648515808582, 0.05747598313970882, 0.05744906825946648, 0.05733519703585656, 0.057182644223360356, 0.057185768576026356, 0.057226887942427765, 0.05722087822284006, 0.05724332403107329, 0.05743798467419699, 0.0574309820335668, 0.05743211421838901, 0.05774256202647845]","[0.05729718697658308, 0.05738008563987114, 0.05720327889933695, 0.05713643833541413, 0.0571956877302, 0.05736571745003287, 0.057462490076335894, 0.05735873049532346, 0.057187761461449216, 0.05740423826818512, 0.05725001243524483, 0.0572666389655108, 0.05726865167933035, 0.05720066275219222, 0.05731281692464743, 0.057307432803626816]","[0.05715873740287441, 0.05746687626174122, 0.05748549637113352, 0.05740688011085234, 0.0573910852302597, 0.057601652076312355, 0.05762171725050707, 0.05748661070231978, 0.057283320817751025, 0.0574833915355634, 0.05761454537573766, 0.057353544884287865, 0.057296606802518094, 0.057526869787768053, 0.057404484046235354, 0.05734891109293234]","[0.058376924367840706, 0.058554815017455186, 0.05872664831662787, 0.05858350673439496, 0.058527232932495295, 0.05853778128533203, 0.05851375236514831, 0.05841429694898919, 0.05789515989745568, 0.05813461055764389, 0.05823538732007127, 0.05824158329893137, 0.058355098366245785, 0.05828664770347553, 0.05823041924319758, 0.0581306657747891]","[0.05888955969941726, 0.05874038600376545, 0.05886509386216267, 0.05892947704642499, 0.058780843201777365, 0.058636843589374064, 0.05877457838520741, 0.05876477104757964, 0.05838914812636694, 0.058505166664519874, 0.05829025457278557, 0.05821561099713456, 0.05820750433607293, 0.058319446788340217, 0.0583732878960128, 0.058290652422227626]","[0.05828686812980649, 0.05826965235649472, 0.05817122386167293, 0.058368745457478936, 0.058295523112180565, 0.05823961315992382, 0.05829589048902604, 0.05809717549783476, 0.05781345648965097, 0.05790383159491828, 0.05806315387952038, 0.057948474546030915, 0.05773641719889477, 0.05751014014343317, 0.057354340041444414, 0.057650850858781105]"
y,"[0.028106973145830938, 0.028139553828720847, 0.02839627634318256, 0.028258931201651634, 0.028174763073044378, 0.02820752015179835, 0.028172496388218414, 0.028235231985152206, 0.028623019064400786, 0.028602709567622984, 0.02866134756865023, 0.028569852619062044, 0.028491099135652304, 0.028277640173458813, 0.028135376592825098, 0.028022543614808285]","[0.02791705249259441, 0.027985412316516946, 0.02808511146170671, 0.028104618801924636, 0.028030066198591063, 0.028101801552753963, 0.02810841375119377, 0.028072573689579303, 0.028439970828379284, 0.028469650759807303, 0.028562955505282966, 0.02853948042992461, 0.028420538676461438, 0.028253777898801586, 0.02820710738429639, 0.028140513297816763]","[0.0283379053460785, 0.02852383956707435, 0.028448242666438202, 0.028561079250447905, 0.028561214527656118, 0.02860720001544093, 0.028822303075730756, 0.02866464815147689, 0.028928488647131937, 0.028961804321569487, 0.028790574366028387, 0.028647939987804353, 0.028576567237468566, 0.028580104145033605, 0.02846823845689691, 0.02843325156578979]","[0.02769292917761673, 0.027757802306772477, 0.02775770289922591, 0.027764982613281516, 0.027795195144540784, 0.027773473752290206, 0.02773686405694603, 0.027765539176478733, 0.028216180923266446, 0.028193148184146477, 0.02815624588287846, 0.02814612873315836, 0.02820905049679923, 0.02816326496514068, 0.02810243163015641, 0.028244413410660772]","[0.02749332170636843, 0.027635468237077288, 0.027630166327627114, 0.027586157810908406, 0.027661657717631554, 0.02782657742980106, 0.02796509337777247, 0.02790953568686369, 0.02778558668082704, 0.02786760343912647, 0.027719673591537545, 0.027620027952238325, 0.027547364255331597, 0.027464601312960718, 0.027421041905979587, 0.027394004521766296]","[0.027462869011216095, 0.027696358157334948, 0.027728295418767084, 0.027677473431878246, 0.027740131050453795, 0.027875375677087182, 0.02784965093998587, 0.027795362737644328, 0.027689496754256995, 0.027840276253992487, 0.02797154226949361, 0.02786152934857583, 0.02778695016010326, 0.027817902476834425, 0.02766048587680106, 0.027556311673923865]","[0.028133452982816696, 0.028285903958216643, 0.028441205795392683, 0.02842922858446785, 0.028432163188012657, 0.02843196477614498, 0.028393329008665556, 0.02838601173643529, 0.028220338664564335, 0.028243491397100976, 0.028311682810982022, 0.028354753619722773, 0.028437255782688485, 0.02840471044294112, 0.028299607407791128, 0.02820600209134528]","[0.028791264136901924, 0.02870528028780333, 0.028778719800720623, 0.02880959199930932, 0.028737659597327877, 0.02874310552331376, 0.028830015348182667, 0.028819564564856428, 0.02855563871314384, 0.028711501061960874, 0.028688018174733487, 0.028633572311284727, 0.0285909203036702, 0.02862543091085524, 0.028659837091934485, 0.028646514737274344]","[0.027841745592819326, 0.02791611760151907, 0.027893117109471913, 0.028003134410211017, 0.027945918975097694, 0.027868749978747817, 0.027873932889396297, 0.027791058724918345, 0.027878292360763474, 0.02795324446235018, 0.028022209549661364, 0.027940257166591428, 0.027811639382389813, 0.02762669142369536, 0.027437893319807054, 0.02751373858742643]"
