,R20_S00,R20_S01,R20_S02,R20_S10,R20_S11,R20_S12,R20_S20,R20_S21,R20_S22
u,"[23.92137111954722, 23.926912991913536, 23.92432519054825, 23.920863091180966, 23.911877563768464, 23.860308059458006, 23.954183151249286, 23.97689049404699, 23.941085445070797, 23.934904915196704, 23.888386140017726, 23.917655825199663, 23.917385581106835, 23.910484847677782, 23.90100155183292, 23.828813304825577]","[23.693388696164163, 23.673076570082753, 23.66447034422672, 23.647153894833778, 23.669019086190946, 23.672508487843277, 23.761034905204376, 23.758670663039243, 23.710381861608056, 23.831539701558533, 23.79978429869089, 23.801364238495694, 23.785403109498137, 23.764009648171363, 23.761299319458175, 23.727928709501732]","[23.97804506309486, 23.966479466626083, 23.95854624948739, 23.950986508499454, 23.93240099914855, 23.931875376929707, 23.95592817134915, 24.01486374490208, 23.993864552409658, 23.974108634997844, 23.972043741140098, 23.997647913724503, 24.000562026799255, 23.997869691604784, 23.976499543845044, 23.93594864446772]","[23.6765628879439, 23.647195298167876, 23.655525119139813, 23.64025359084117, 23.641954039373548, 23.659333674995793, 23.731376725447262, 23.63710266352478, 23.564721889454802, 23.656472120279368, 23.5622536804198, 23.566380501060703, 23.511259731340626, 23.525983731794838, 23.486765607898356, 23.523781621499275]","[23.953639042351217, 23.931661771280826, 23.91263943506967, 23.917492836922953, 23.909905632599475, 23.7989804859223, 23.93202360156734, 23.967834440455746, 23.965201861187843, 23.94000633476115, 23.91911919217263, 23.94561226198671, 23.915805965797144, 23.92280646309443, 23.92562515848502, 23.88983612843314]","[24.050988835416597, 24.02816797025646, 24.024304776591904, 24.019942794062956, 24.01154022654181, 23.995445697998047, 24.01441035200091, 24.061706231132174, 24.050453561195685, 24.040469075893814, 24.024510316422706, 24.048796651401226, 24.045292885270424, 24.028930569953168, 24.035641137206916, 23.9954348523821]","[23.79301221467316, 23.80280835868775, 23.801893722737784, 23.801190913490284, 23.79475585340022, 23.785449881481444, 23.803185050939845, 23.85836050779043, 23.818076231698292, 23.801639458790383, 23.79545641402121, 23.80656337863055, 23.806269081650683, 23.795176358855162, 23.785030244953127, 23.724213011223966]","[23.9328091219065, 23.90832647537659, 23.91561784618245, 23.91448467076185, 23.90704810374212, 23.896415273570643, 23.926703738483955, 23.947320587915172, 23.948248065602677, 23.926939614299197, 23.90804710621351, 23.95555928155519, 23.95284506419219, 23.94469370511823, 23.935853467338273, 23.888385823613092]","[23.94980679948509, 23.96930832764771, 23.978098841408443, 23.97764426948048, 23.9620349605326, 23.984957052023432, 24.033517548798642, 24.037770535244185, 23.820204725222233, 23.925904053122487, 23.83793716710551, 23.776103085974015, 23.740782067858298, 23.71987697951106, 23.711695580479834, 23.719231088301655]"
g,"[24.834051168840414, 24.84074696603179, 24.845416869053125, 24.84598981735318, 24.845700828755547, 24.829622065171794, 24.867296115437515, 24.87798705128591, 24.862777248911097, 24.85716746016744, 24.838265150875554, 24.846613636084925, 24.844190270211918, 24.836287621168765, 24.828441525616537, 24.789504115499636]","[24.78115094368596, 24.775131606995934, 24.775447881015747, 24.771605310134113, 24.784272082496695, 24.789311870607662, 24.82923456796604, 24.828397289524368, 24.807561794483213, 24.854584080937606, 24.84163694465908, 24.840106220623497, 24.83055383264913, 24.817746263400085, 24.814196842272068, 24.79712786584809]","[24.888854893131487, 24.887724981674843, 24.885909646491996, 24.88677633131929, 24.881983930947285, 24.883272296721824, 24.89626887314772, 24.918602317070008, 24.908640336567316, 24.90035986160173, 24.89572537182822, 24.902508751677214, 24.901312480922424, 24.899485175430474, 24.88806762793562, 24.872197812250782]","[24.80140283899311, 24.795419861775475, 24.80256860882526, 24.799937556802615, 24.805061886020233, 24.816135721991433, 24.846859400961492, 24.812170820739208, 24.779700947667948, 24.815316747050716, 24.773227782225053, 24.771518896440043, 24.743444810546524, 24.745788198013145, 24.72332168892958, 24.73617364012042]","[24.89697303715535, 24.89443139697503, 24.89087157764259, 24.895819548988168, 24.896231289960173, 24.85757815131495, 24.909409380849986, 24.92105687026429, 24.918628378396797, 24.911064727156003, 24.901415547546705, 24.909007565627032, 24.896153766439724, 24.89441354184979, 24.891929241216275, 24.87405723075664]","[24.90016807521106, 24.897352338397745, 24.899168758111706, 24.89924662113771, 24.8973035586536, 24.895291357540128, 24.906264458701788, 24.926344606940503, 24.920289518317176, 24.91328779671294, 24.90500431916633, 24.909438116047365, 24.90636691581281, 24.90010178761833, 24.900596612025662, 24.882396772224727]","[24.82662466709062, 24.841533158807167, 24.8463883898555, 24.849060391791724, 24.849715833767952, 24.849382580189484, 24.858782121475592, 24.880023588852374, 24.867536212152018, 24.859518254917916, 24.85443299548892, 24.854956482753032, 24.85238169815582, 24.844751131075675, 24.836993558348674, 24.81048881464692]","[24.880875634168397, 24.875158336846294, 24.882615381281166, 24.8859410582268, 24.885653760253888, 24.88341734958911, 24.89719585990573, 24.907286049887073, 24.905402608753, 24.89689223652371, 24.887224395685884, 24.900971826634496, 24.89760991522965, 24.892142311245095, 24.885544394628322, 24.86319117531519]","[24.853140674511604, 24.863214232565927, 24.8677099321146, 24.86963750968481, 24.865301688324795, 24.876599709139015, 24.897585075205292, 24.901737221451494, 24.81019189593287, 24.85281226951037, 24.813030084904128, 24.782204946136332, 24.76146400195705, 24.747911582029882, 24.739450990709905, 24.740172679736276]"
r,"[24.37281351457805, 24.3787132798811, 24.383838374833193, 24.383891349548552, 24.38426977102237, 24.37648754426301, 24.397850589442797, 24.404741872886234, 24.394837311674657, 24.389975008502347, 24.37930424966094, 24.38320315918014, 24.381456512252768, 24.375114820086168, 24.369394903535884, 24.341163385851445]","[24.34438932280026, 24.341747740499393, 24.342491400484164, 24.340785087667278, 24.347791572679963, 24.35126857319104, 24.375146294323343, 24.37444505016381, 24.361295785520195, 24.387209525344318, 24.38014041724366, 24.379154053970066, 24.373073836285254, 24.36452142079687, 24.361967460127683, 24.352277619286326]","[24.41912701414916, 24.41907397362124, 24.417270004423163, 24.417938494450024, 24.41479933477012, 24.41452360928286, 24.42258577357124, 24.433604113605316, 24.428939305194564, 24.424357214343217, 24.42090666163364, 24.424778250884952, 24.42420728749545, 24.42399891340918, 24.41684699028658, 24.409057236864115]","[24.336310789665436, 24.33561199553062, 24.34098379422654, 24.34042235391183, 24.34474412161294, 24.35237158429089, 24.371301682427873, 24.35163917180128, 24.331520509254297, 24.35163350872838, 24.32533372873496, 24.32322188062132, 24.305946416933182, 24.3065808634634, 24.29169893303695, 24.298855602589892]","[24.40311810709468, 24.40265765948858, 24.400406746879987, 24.403300549526328, 24.403801424999962, 24.382172736687615, 24.412559150899824, 24.418770121745517, 24.417468115045402, 24.413933514687763, 24.40746386843316, 24.411749338910237, 24.404324703683095, 24.402710599865053, 24.40134126753563, 24.390483623784814]","[24.424979712496086, 24.424021531651235, 24.423951211557572, 24.422848133243985, 24.420475177811866, 24.419334022290663, 24.42501985973385, 24.434983180987082, 24.431180851376908, 24.42843965972479, 24.424792602489852, 24.42674883374898, 24.425761500667655, 24.42425498953341, 24.42542560233616, 24.415897913361828]","[24.347764440437974, 24.363594907090217, 24.368960910772984, 24.371256625808414, 24.372476160293694, 24.373109669116403, 24.379519228716617, 24.391620576283653, 24.386508109967316, 24.381627051257293, 24.377591323446325, 24.37655025191272, 24.37436726171585, 24.36875311540965, 24.362967456778783, 24.34520168414401]","[24.400609502079988, 24.396877004334343, 24.402118899157944, 24.40466231135391, 24.40427600447635, 24.402576964251907, 24.41096062336409, 24.417117805164054, 24.418201868012936, 24.41316472564352, 24.40665197458936, 24.413920036056915, 24.411995754147192, 24.409010980753767, 24.40521339395241, 24.39218588508882]","[24.40405247793369, 24.40886447097577, 24.410652295979176, 24.41165764715656, 24.408237600356202, 24.41386876651606, 24.425499724106714, 24.426839355112854, 24.376566670900047, 24.40156830974668, 24.379588596170787, 24.361461384967253, 24.34904754133135, 24.34122121965447, 24.336521493518017, 24.339287426369474]"
i,"[23.94800459828404, 23.955129722702928, 23.961326566498826, 23.961642140168223, 23.96246914958862, 23.95780675569638, 23.973376153446768, 23.97905149001815, 23.974441927362633, 23.969662915720967, 23.961782431173347, 23.96383033272182, 23.96195096479416, 23.95547400291465, 23.949416743446207, 23.923418157441386]","[23.937858276591115, 23.936812690803052, 23.93775086134365, 23.937382562995595, 23.94261858006506, 23.945940587828588, 23.963956244493552, 23.964000557251985, 23.958011459460494, 23.974766914885144, 23.969364442132836, 23.968133275933802, 23.963031241591395, 23.956135298989725, 23.953774334643136, 23.94665441178866]","[23.99506081349918, 23.99646391437483, 23.99577384814601, 23.99727400357829, 23.99554897449994, 23.995491632524114, 24.002134506293938, 24.008531128023606, 24.00912176608141, 24.006266105416216, 24.002926382674165, 24.00518645912971, 24.00432581055209, 24.003839653827622, 23.99740309320393, 23.991636169927077]","[23.920190270189337, 23.922050836296723, 23.927042866023612, 23.927368468891302, 23.931048786425308, 23.93688587876904, 23.950486209559635, 23.936712643309047, 23.92283408145767, 23.93649606749742, 23.91683438975205, 23.9149246154876, 23.9025908394666, 23.902467033441567, 23.89036673311773, 23.894645094969597]","[23.973503569816472, 23.9739139313565, 23.972332366370626, 23.974676190449372, 23.97548161535002, 23.96077279186117, 23.983318152447744, 23.98810545915842, 23.987256796644107, 23.98468178491095, 23.97899918629108, 23.981657894205124, 23.97598722716679, 23.974272549553774, 23.973127046078847, 23.964757193513066]","[23.994800459457252, 23.9955386443407, 23.995772338522066, 23.995718756719434, 23.994659619534332, 23.99465851220088, 23.998789681823126, 24.00525496166357, 24.00288417526929, 24.0017600686133, 23.999200453424667, 23.99941047893669, 23.997884314422866, 23.996490371472003, 23.996468140422863, 23.98850995612447]","[23.927625484551815, 23.944803982866723, 23.95056957033129, 23.952651291980438, 23.95397815783749, 23.954994319120704, 23.960044735810364, 23.968754551623093, 23.963107077163613, 23.959842486546343, 23.95655597029197, 23.95535377507489, 23.95367283682462, 23.94894697772665, 23.943636807310455, 23.927798373563586]","[23.97995702885478, 23.977307589220384, 23.98204048935228, 23.984665990255337, 23.98445089283973, 23.983370632470603, 23.98974208034034, 23.993650146181785, 23.992707664729352, 23.989987760939556, 23.984149556922837, 23.988756497050964, 23.987087462427887, 23.98468767546795, 23.981631163874468, 23.97163713525242]","[23.982760419865336, 23.986742591285363, 23.98898825939597, 23.991011959888375, 23.988860798006236, 23.993195708907415, 24.00202544139718, 24.002232969834573, 23.96498493638476, 23.983276745136145, 23.967324454894296, 23.952777911026757, 23.942266610027925, 23.93516699125139, 23.930731086758804, 23.933006529962125]"
z,"[23.381116804065876, 23.38978610524708, 23.397198935792986, 23.39776527296103, 23.39880059487524, 23.396688455559445, 23.4079344558329, 23.412787461268245, 23.413022849028067, 23.408033440822166, 23.40193539248734, 23.402135368720657, 23.39988254230115, 23.392938675939728, 23.386185319376565, 23.361472775336615]","[23.38768421996411, 23.387949049698577, 23.389476061483247, 23.390273676292473, 23.394313497100615, 23.39798095855525, 23.411231020804934, 23.41158714439912, 23.41114252766991, 23.421526891238056, 23.417630631279643, 23.415943246612606, 23.41115456130278, 23.404915555127985, 23.402529473525973, 23.39689429411272]","[23.431341512996653, 23.43446191605792, 23.434540324124324, 23.437008284071055, 23.436683955153402, 23.43741080658538, 23.443823322238963, 23.447909303960433, 23.45202245648318, 23.44986773891766, 23.44586325698852, 23.446019773378925, 23.444296875120383, 23.443363519271177, 23.437241026627095, 23.432528444687676]","[23.36915054118108, 23.373762803807466, 23.378529972974004, 23.379573635517367, 23.382936105296693, 23.387545551099276, 23.397144655944416, 23.3884496765112, 23.37977832643803, 23.38832120857918, 23.374136114800017, 23.371962821206555, 23.36344886475708, 23.36257992272389, 23.352924805894787, 23.354275620420886]","[23.40970783626981, 23.4113716153256, 23.410549020303147, 23.412697978793794, 23.414457391745692, 23.406165689232665, 23.422925029361686, 23.426331819226316, 23.424886031843513, 23.423269902494468, 23.41779125059133, 23.41840477088354, 23.413648582895636, 23.411564769849324, 23.4103584017599, 23.403735061604152]","[23.42355701608976, 23.426277754685067, 23.42692846076804, 23.427653012806033, 23.428182585037497, 23.429863293215533, 23.433157216482186, 23.437018450951964, 23.43411222029679, 23.43426107411271, 23.43267229448139, 23.43130535143256, 23.429072732524286, 23.4275362023804, 23.42642874278044, 23.419562484129685]","[23.378426134765345, 23.396703925925845, 23.403166658964807, 23.405636869710275, 23.40723948312434, 23.408693243344217, 23.412830837703925, 23.419162954987826, 23.412485769135138, 23.410105381142802, 23.407350903982994, 23.405903775385475, 23.404285841823487, 23.399748374568887, 23.394320023500953, 23.380064334601823]","[23.423928420086224, 23.422636856998032, 23.427377910628074, 23.430267938536012, 23.430522133066564, 23.430264010393074, 23.435925422928293, 23.43997545430437, 23.435971361338325, 23.43336246516371, 23.427604577826457, 23.429319525315826, 23.427314902375812, 23.425032938477532, 23.422248122170892, 23.41402504092015]","[23.421431781440365, 23.425115676775008, 23.427437674190955, 23.430047419933405, 23.429110860372035, 23.43246611381182, 23.438988685286727, 23.43859574102732, 23.410901699476156, 23.42387163821248, 23.41297182420307, 23.401663706381818, 23.392544952283444, 23.385727632471568, 23.38115447938487, 23.3823080630353]"
y,"[22.4826484694737, 22.49173001071404, 22.500428844202588, 22.50063784205594, 22.500753453309812, 22.499655180008553, 22.509211652723174, 22.514667905715978, 22.5190520974086, 22.51546820455127, 22.51010931140513, 22.508023697589444, 22.50408247864484, 22.49587926442507, 22.487792477752166, 22.464326571446087]","[22.491202131086126, 22.49374154163084, 22.49736745597373, 22.498467804939967, 22.50117798031662, 22.504686148444677, 22.515467477332113, 22.515977648597076, 22.51969867116989, 22.527971847018854, 22.525298161454373, 22.523050289082335, 22.51744999065466, 22.510139216378874, 22.505886104875543, 22.499276231266577]","[22.5342202099258, 22.53891047677257, 22.538359920874164, 22.54079439570286, 22.540959079420514, 22.543083444926353, 22.549703410029437, 22.551663819622032, 22.554920017273325, 22.55342043845239, 22.54903011071253, 22.54677444032585, 22.544427879051167, 22.543438396005314, 22.537886480251437, 22.53285614544682]","[22.469957675947768, 22.474882313973133, 22.479569817203615, 22.480992877348765, 22.484204401512976, 22.488157280299145, 22.496391906071693, 22.492110466755022, 22.49506142112358, 22.50008886883984, 22.487825713721758, 22.485049564393755, 22.477692705106495, 22.475611135531075, 22.46607148166793, 22.466306648919026]","[22.502458308603472, 22.506843448240527, 22.50794484968585, 22.509608117573684, 22.51241302129464, 22.50851123875364, 22.523906967503528, 22.526472924752262, 22.52432920866643, 22.52283334609603, 22.516268951512284, 22.514155416450674, 22.5086200622572, 22.50544982416622, 22.502382968861223, 22.496047527543737]","[22.51673032060036, 22.52175785853305, 22.52271375472264, 22.523105796335365, 22.525132850927108, 22.52777568991804, 22.52981197901596, 22.532836647339913, 22.530398166157422, 22.531924089857664, 22.532146474874114, 22.530624647693326, 22.527658576144443, 22.525076533584187, 22.52199318411445, 22.514516799684813]","[22.47460962092233, 22.49426032740159, 22.502181283754272, 22.505825750872667, 22.50806868241318, 22.509588758944084, 22.512866282305815, 22.51902344799402, 22.515451126978103, 22.511560053178513, 22.509262325029972, 22.5083849326294, 22.507367953709917, 22.503047637278968, 22.496189489207197, 22.482188571130727]","[22.527086496565673, 22.525883066016828, 22.53066751700703, 22.533532135770294, 22.533874300487653, 22.53526147736208, 22.540684510698167, 22.54406492574365, 22.539382926990005, 22.53928048221843, 22.53553273536847, 22.535938784181532, 22.533311215786306, 22.53084907630911, 22.52850240370283, 22.521894146671286]","[22.51369254245152, 22.518481610547102, 22.52103502688966, 22.523935023889578, 22.5228054400218, 22.5244858568501, 22.529496786534445, 22.529272212837455, 22.51234541158242, 22.52304282387106, 22.51456410135758, 22.50469950346602, 22.496305474352088, 22.488724091551887, 22.482079881457423, 22.481637961053444]"
fS,"[1.0857268972640424, 1.101613966150866, 1.1150358239484148, 1.1151929448093336, 1.1149292144584229, 1.1012175281501806, 1.1412470550195937, 1.156131747396337, 1.148314727439741, 1.1387552565866508, 1.1180044726180838, 1.1229861741159777, 1.1175541643467282, 1.1026068846383785, 1.0880055462002691, 1.0320522968373103]","[1.0538378175749292, 1.0524533568395422, 1.0556197651644748, 1.054442426920007, 1.0648629567930459, 1.071942854167924, 1.1109424215553942, 1.1110120023540941, 1.1013406893417892, 1.1428779388306378, 1.1301535774149123, 1.1269063315648062, 1.1142005035656033, 1.0975459822511422, 1.0911126909688782, 1.0736636088740585]","[1.1913730163846825, 1.1952891178351521, 1.192781974914565, 1.1957278848105124, 1.1910354035422341, 1.193110721007343, 1.2113345577235048, 1.232266158513757, 1.2312612817555422, 1.2225455158697434, 1.213839529263421, 1.2187193829580925, 1.215767741127596, 1.2136011406381861, 1.1970646002003509, 1.1787468029100894]","[1.0238169401945076, 1.0266020779107037, 1.036387413212799, 1.036314811695818, 1.0430541289914548, 1.0544028347742576, 1.0839798583612217, 1.0552081533190674, 1.03525853538457, 1.062913509142591, 1.0232644734104825, 1.0193215558369233, 0.9960154873290079, 0.9954350328250694, 0.9729569912101147, 0.9801331437624536]","[1.1424155581250361, 1.1431500619327244, 1.1394669421687256, 1.144631524357687, 1.1470688120530599, 1.1114000621146347, 1.169776185949322, 1.183446905152566, 1.1797092642502738, 1.1712901214714404, 1.1557220477192502, 1.1611186515723113, 1.144890511828693, 1.141166542755773, 1.1375585128869474, 1.117021047097266]","[1.1884404247585696, 1.189509039660757, 1.1902841868449063, 1.1899506989999735, 1.189167724457413, 1.1889877519581806, 1.1996997613967122, 1.2197435232214264, 1.2117202265721194, 1.2091379593566978, 1.2028238146781816, 1.206146555369988, 1.2008826235628298, 1.1936424975246644, 1.1921622208264215, 1.1688382905445545]","[1.0499923799471143, 1.0846623352739708, 1.0972443627918125, 1.1026441094418562, 1.1052353898586844, 1.1065546804567188, 1.1173559390174659, 1.1401132094072681, 1.1247617274146218, 1.1155045408662456, 1.1090378348169232, 1.1082796123608931, 1.1052937746564069, 1.094848228685152, 1.0820681873543971, 1.0469174786947535]","[1.1644146421539618, 1.1569611099672485, 1.16797765006651, 1.1735472482223752, 1.1727654783285373, 1.1712580872019913, 1.1886453385576594, 1.200593563240703, 1.1946940792299987, 1.1869598525011469, 1.1735653669273833, 1.1866000058350101, 1.1815860567430092, 1.1750001256915663, 1.167614013371606, 1.1425200338049528]","[1.1532485530952474, 1.1654459638501198, 1.171695134836023, 1.1764023650636413, 1.1705727602638318, 1.1814046570402963, 1.2052920692294373, 1.2066526882791413, 1.1127374181119858, 1.157931803136154, 1.119245069756392, 1.086865204249308, 1.0642105453567678, 1.0480085471400802, 1.0369877102291116, 1.039308915215314]"
