,R20_S00,R20_S01,R20_S02,R20_S10,R20_S11,R20_S12,R20_S20,R20_S21,R20_S22
raDeg,"[-1.744861111111111, -1.7165833333333333, -1.6883055555555553, -1.6600277777777777, -1.63175, -1.6034722222222222, -1.5751944444444446, -1.5469166666666665, -1.5469166666666665, -1.5751944444444446, -1.6034722222222222, -1.63175, -1.6600277777777777, -1.6883055555555553, -1.7165833333333333, -1.744861111111111]","[-1.510138888888889, -1.481861111111111, -1.4535833333333332, -1.4253055555555554, -1.397027777777778, -1.36875, -1.3404722222222223, -1.3121944444444444, -1.3121944444444444, -1.3404722222222223, -1.36875, -1.397027777777778, -1.4253055555555556, -1.4535833333333334, -1.4818611111111113, -1.510138888888889]","[-1.2754166666666669, -1.247138888888889, -1.2188611111111112, -1.1905833333333333, -1.1623055555555555, -1.1340277777777779, -1.10575, -1.0774722222222222, -1.0774722222222222, -1.10575, -1.1340277777777776, -1.1623055555555555, -1.1905833333333333, -1.2188611111111112, -1.2471388888888888, -1.2754166666666669]","[-1.744861111111111, -1.7165833333333333, -1.6883055555555555, -1.6600277777777777, -1.6317500000000003, -1.6034722222222222, -1.5751944444444448, -1.5469166666666665, -1.5469166666666665, -1.5751944444444448, -1.6034722222222222, -1.63175, -1.6600277777777777, -1.6883055555555555, -1.7165833333333333, -1.744861111111111]","[-1.510138888888889, -1.481861111111111, -1.4535833333333332, -1.4253055555555556, -1.397027777777778, -1.36875, -1.3404722222222223, -1.3121944444444442, -1.3121944444444444, -1.3404722222222223, -1.36875, -1.397027777777778, -1.4253055555555554, -1.4535833333333332, -1.481861111111111, -1.5101388888888887]","[-1.2754166666666669, -1.247138888888889, -1.2188611111111112, -1.1905833333333333, -1.1623055555555555, -1.1340277777777779, -1.10575, -1.0774722222222224, -1.0774722222222222, -1.1057500000000002, -1.1340277777777779, -1.1623055555555555, -1.1905833333333333, -1.2188611111111112, -1.2471388888888888, -1.2754166666666669]","[-1.7448611111111112, -1.7165833333333333, -1.6883055555555555, -1.6600277777777779, -1.6317500000000003, -1.6034722222222222, -1.5751944444444446, -1.5469166666666665, -1.5469166666666665, -1.5751944444444446, -1.6034722222222222, -1.6317500000000003, -1.6600277777777777, -1.6883055555555555, -1.7165833333333333, -1.744861111111111]","[-1.510138888888889, -1.481861111111111, -1.4535833333333334, -1.4253055555555556, -1.3970277777777778, -1.36875, -1.3404722222222223, -1.3121944444444444, -1.3121944444444444, -1.3404722222222223, -1.36875, -1.3970277777777778, -1.4253055555555556, -1.4535833333333332, -1.481861111111111, -1.510138888888889]","[-1.2754166666666666, -1.247138888888889, -1.2188611111111112, -1.1905833333333333, -1.1623055555555555, -1.1340277777777779, -1.10575, -1.0774722222222222, -1.0774722222222222, -1.10575, -1.1340277777777779, -1.1623055555555555, -1.1905833333333333, -1.2188611111111112, -1.2471388888888888, -1.2754166666666669]"
decDeg,"[-0.17922222222222217, -0.17922222222222217, -0.17922222222222217, -0.17922222222222217, -0.17922222222222217, -0.17922222222222217, -0.17922222222222217, -0.17922222222222217, -0.2903333333333333, -0.29033333333333333, -0.2903333333333333, -0.2903333333333333, -0.29033333333333333, -0.2903333333333333, -0.2903333333333333, -0.2903333333333333]","[-0.1792222222222222, -0.17922222222222217, -0.17922222222222217, -0.17922222222222217, -0.17922222222222217, -0.17922222222222217, -0.17922222222222217, -0.17922222222222217, -0.29033333333333333, -0.29033333333333333, -0.29033333333333333, -0.29033333333333333, -0.2903333333333333, -0.2903333333333333, -0.29033333333333333, -0.2903333333333333]","[-0.1792222222222222, -0.17922222222222217, -0.17922222222222217, -0.17922222222222214, -0.1792222222222222, -0.17922222222222217, -0.17922222222222217, -0.17922222222222217, -0.2903333333333332, -0.29033333333333333, -0.2903333333333333, -0.29033333333333333, -0.29033333333333333, -0.2903333333333333, -0.2903333333333333, -0.2903333333333333]","[0.055500000000000015, 0.05550000000000001, 0.05550000000000001, 0.05550000000000001, 0.055500000000000015, 0.055500000000000015, 0.055500000000000015, 0.05550000000000001, -0.0556111111111111, -0.05561111111111109, -0.0556111111111111, -0.05561111111111109, -0.05561111111111109, -0.0556111111111111, -0.0556111111111111, -0.0556111111111111]","[0.055500000000000015, 0.05550000000000001, 0.05550000000000001, 0.05550000000000001, 0.055500000000000015, 0.05550000000000001, 0.0555, 0.0555, -0.055611111111111104, -0.055611111111111104, -0.0556111111111111, -0.0556111111111111, -0.0556111111111111, -0.0556111111111111, -0.05561111111111109, -0.0556111111111111]","[0.055500000000000015, 0.05550000000000001, 0.055500000000000015, 0.055500000000000015, 0.05550000000000001, 0.05550000000000001, 0.05550000000000001, 0.055500000000000015, -0.0556111111111111, -0.0556111111111111, -0.0556111111111111, -0.05561111111111109, -0.055611111111111104, -0.0556111111111111, -0.0556111111111111, -0.055611111111111104]","[0.29022222222222227, 0.2902222222222222, 0.2902222222222222, 0.29022222222222227, 0.2902222222222222, 0.29022222222222227, 0.29022222222222227, 0.2902222222222222, 0.17911111111111114, 0.1791111111111111, 0.1791111111111111, 0.1791111111111111, 0.1791111111111111, 0.17911111111111114, 0.17911111111111114, 0.1791111111111111]","[0.29022222222222227, 0.2902222222222222, 0.29022222222222227, 0.29022222222222227, 0.29022222222222227, 0.2902222222222222, 0.2902222222222222, 0.2902222222222222, 0.1791111111111111, 0.1791111111111111, 0.1791111111111111, 0.17911111111111108, 0.17911111111111114, 0.1791111111111111, 0.1791111111111111, 0.1791111111111111]","[0.2902222222222222, 0.2902222222222222, 0.29022222222222227, 0.2902222222222222, 0.29022222222222227, 0.29022222222222227, 0.2902222222222222, 0.29022222222222227, 0.1791111111111111, 0.17911111111111114, 0.1791111111111111, 0.1791111111111111, 0.17911111111111108, 0.1791111111111111, 0.17911111111111108, 0.17911111111111114]"
radDeg,"[1.7540384749548084, 1.725911160550446, 1.6977888434129853, 1.6696717760496824, 1.6415602282190382, 1.6134544884249389, 1.5853548655682992, 1.5572616907758612, 1.5739199902013363, 1.6017208695732268, 1.6295381567294278, 1.6573710255061802, 1.6852187038711208, 1.7130804695944508, 1.7409556463258626, 1.768843600033867]","[1.5207342405602833, 1.4926572933103541, 1.4645880718985187, 1.4365270292051588, 1.40847465406424, 1.3804314748876938, 1.3523980637352115, 1.3243750408943216, 1.3439244645588306, 1.371547973233675, 1.39919761687329, 1.4268718761637607, 1.4545693461127442, 1.4822887256047874, 1.5100288080694275, 1.5377884731276446]","[1.2879452523034833, 1.259948784738592, 1.231965164934679, 1.2039952887266445, 1.1760401367107218, 1.1481007844472653, 1.1201784141633664, 1.0922743282170457, 1.1158986948716074, 1.1432261550628642, 1.1705987518211656, 1.1980133912658932, 1.2254672518191234, 1.2529577553338693, 1.2804825417641628, 1.3080394468881924]","[1.7457432786009706, 1.717480034413272, 1.689217276541914, 1.6609550298123303, 1.6326933207684207, 1.60443217782382, 1.5761716314294287, 1.5479117142592718, 1.5479157011349853, 1.5761755467876535, 1.6044360241817834, 1.6326971005127924, 1.660958745208094, 1.6892209297404948, 1.7174836274600007, 1.7457468134419434]","[1.5111581652602364, 1.4828998333623893, 1.4546422570761135, 1.426385481308805, 1.3981295545969243, 1.369874529479988, 1.3416204629217732, 1.3133674167858127, 1.313372115965278, 1.3416250631070017, 1.3698790347502978, 1.3981339687847278, 1.4263898080191253, 1.454646499704212, 1.482903995109718, 1.5111622491489034]","[1.2766234428451406, 1.248373009841781, 1.2201238435146171, 1.191876033929766, 1.1636296798944386, 1.1353848900430807, 1.1071417840894944, 1.078900494275272, 1.078906215002526, 1.107147358856591, 1.1353903261015545, 1.1636349839690643, 1.1918812122683156, 1.2201289019318848, 1.2483779537586484, 1.2766282773233397]","[1.768825371581568, 1.7409371256890944, 1.7130616474032476, 1.6851995703045992, 1.6573515702636514, 1.629518368999209, 1.6017007379989276, 1.5738995028453833, 1.5572489102317248, 1.5853423116153296, 1.613442153223586, 1.6415481043273186, 1.6696598563969047, 1.6977771212755992, 1.725899629529811, 1.7540271289567058]","[1.5377675041596286, 1.5100074534287689, 1.4822669711365029, 1.4545471768852014, 1.4268492764122476, 1.3991745699385225, 1.3715244614946995, 1.343900469359732, 1.3243600118888825, 1.3523833462611519, 1.3804170564072717, 1.4084605227755203, 1.4365131739860197, 1.464574482255837, 1.4926439593338179, 1.5207211528803308]","[1.308014793149435, 1.280457357266439, 1.2529320173933842, 1.2254409363135315, 1.197986472514801, 1.1705712024545873, 1.1431979458762427, 1.1158697946658505, 1.0922561045655597, 1.1201606445889294, 1.1480834471556598, 1.1760232114212297, 1.2039787565367932, 1.2319490081995779, 1.2599329869630282, 1.2879297980452213]"
effarea,"[30.683541485284433, 31.14074818846626, 31.37583968066942, 31.54367875856986, 31.687508098192176, 31.830562773979075, 32.02124327596406, 32.18034570991147, 32.087115783552996, 31.920893870661864, 31.740146045082415, 31.5989850462102, 31.463813352701603, 31.25054619285104, 30.99477975758939, 30.09002008811502]","[32.324157557338886, 32.511430282577884, 32.64793996695483, 32.78928560513158, 32.87814311684115, 32.97533154191642, 33.10388779476988, 33.1680095051514, 33.13651636386371, 33.01807341761318, 32.91625557258277, 32.81292282837912, 32.69921097330328, 32.56584032899852, 32.399215249532645, 32.28240630795095]","[33.26653382253072, 33.38267941818599, 33.44404048978785, 33.48189000644685, 33.55036405522508, 33.607570436239804, 33.655114932648274, 33.7070748342406, 33.665416023255226, 33.619517618842444, 33.55987713895402, 33.49934168153425, 33.437210105875124, 33.407143208980436, 33.290026496693855, 33.20607935335932]","[30.88088279845326, 31.213609191260485, 31.435828848666016, 31.580257969171818, 31.72690562179563, 31.900020902925622, 32.07451525222475, 32.23269528104167, 32.23267295892852, 32.0744933412767, 31.899991291793928, 31.726889760365044, 31.580242377775622, 31.435803281305148, 31.213579025464952, 30.88079870518655]","[32.390917656446895, 32.562633482845484, 32.69880275220707, 32.814113593944796, 32.91961784141423, 33.02626708651278, 33.14538818739964, 33.19116397155915, 33.19115081644431, 33.14537047385685, 33.02624502739478, 32.919603945514716, 32.8141030015267, 32.69877899816224, 32.56261164368006, 32.390887651372644]","[33.3069012221795, 33.42318666239354, 33.431593297913366, 33.51436682767972, 33.572061052810064, 33.63387178829229, 33.68687825225743, 33.712122663079306, 33.71211865935777, 33.68686458911399, 33.63386419422672, 33.572051779783614, 33.51435415035148, 33.431598615148495, 33.42316936208754, 33.30687923626397]","[30.090951128693778, 30.99522036039428, 31.25070421650452, 31.46394726132692, 31.59909397414181, 31.740229082896217, 31.921048853298284, 32.08723043395435, 32.180417266883104, 32.021317940066595, 31.83065773635002, 31.68757597863346, 31.543728778551788, 31.375921719493768, 31.140849049230226, 30.683811404653344]","[32.28245764304384, 32.39937214596906, 32.5659544876425, 32.699335096561995, 32.81297815586793, 32.91632812452299, 33.018188537947516, 33.13660876014012, 33.168025261879656, 33.103944466098, 32.97537693141138, 32.87820245658141, 32.78931952472939, 32.64800176901987, 32.51150025388954, 32.32418959788878]","[33.206148370251945, 33.29010577769985, 33.407233274056, 33.43718244391614, 33.499407582564125, 33.559925303058606, 33.61958675646852, 33.6654868544935, 33.707081186256296, 33.655139756390334, 33.60761292804223, 33.55039364543039, 33.481942095290044, 33.44402350638078, 33.38273469952641, 33.26658247266285]"
readnoise,"[6.01, 6.127, 6.234, 6.388, 6.517, 6.71, 5.955, 5.986, 6.405, 6.273, 6.487, 6.572, 6.612, 6.616, 6.362, 6.358]","[9.313, 9.641, 9.669, 9.764, 9.441, 9.203, 8.449, 8.543, 9.199, 7.543, 7.91, 7.903, 8.412, 8.306, 8.137, 8.133]","[6.013, 6.07, 6.203, 6.338, 6.131, 6.144, 6.086, 6.186, 8.418, 6.001, 6.094, 6.015, 6.061, 6.036, 6.149, 5.971]","[7.343, 7.968, 7.934, 7.956, 7.65, 7.3, 6.819, 8.656, 9.631, 7.807, 8.593, 8.913, 9.5, 9.361, 9.471, 8.923]","[6.092, 6.32, 6.518, 6.507, 6.467, 6.918, 6.264, 6.286, 6.477, 6.494, 6.471, 6.528, 6.705, 6.663, 6.722, 6.465]","[6.15, 6.263, 6.391, 6.432, 6.355, 6.327, 6.18, 6.379, 8.224, 6.238, 6.395, 6.341, 6.443, 6.721, 6.405, 6.465]","[5.975, 5.861, 6.096, 6.105, 6.057, 5.954, 5.955, 5.83, 6.251, 6.207, 6.398, 6.483, 6.454, 6.43, 6.336, 6.306]","[6.068, 6.276, 6.324, 6.329, 6.352, 6.255, 6.14, 5.913, 6.205, 6.163, 6.355, 6.07, 6.077, 6.095, 6.108, 6.018]","[7.65, 7.278, 7.236, 7.23, 7.249, 6.881, 6.356, 6.502, 10.172, 7.902, 8.845, 9.96, 10.531, 11.149, 10.869, 10.446]"
gain,"[1.36068, 1.35334, 1.36254, 1.36583, 1.37007, 1.35462, 1.34354, 1.33726, 1.36258, 1.37425, 1.39453, 1.40772, 1.40864, 1.39623, 1.38635, 1.38148]","[1.36133, 1.3718, 1.38001, 1.38994, 1.37798, 1.38785, 1.3768, 1.34261, 1.34419, 1.37663, 1.37816, 1.37408, 1.36929, 1.36418, 1.38394, 1.389]","[1.37921, 1.3804, 1.39891, 1.39328, 1.37757, 1.3759, 1.36872, 1.33662, 1.35632, 1.36304, 1.34245, 1.34149, 1.34176, 1.35571, 1.36683, 1.35872]","[1.19893, 1.33655, 1.33507, 1.34948, 1.35389, 1.34711, 1.34683, 1.32728, 1.34936, 1.4054, 1.39336, 1.39734, 1.40383, 1.4009, 1.38765, 1.39276]","[1.34244, 1.37757, 1.37525, 1.38653, 1.37486, 1.39061, 1.39802, 1.37001, 1.38011, 1.38591, 1.39725, 1.40648, 1.39502, 1.26316, 1.40568, 1.41395]","[1.3774, 1.39324, 1.39732, 1.40528, 1.39277, 1.38834, 1.38415, 1.35882, 1.39973, 1.41609, 1.41709, 1.41222, 1.41878, 1.41776, 1.43801, 1.44242]","[1.33626, 1.33032, 1.34103, 1.36377, 1.34834, 1.34931, 1.34817, 1.33321, 1.44152, 1.46715, 1.47555, 1.47121, 1.47864, 1.48014, 1.4761, 1.46033]","[1.34902, 1.35445, 1.37627, 1.37694, 1.36001, 1.35931, 1.35973, 1.32601, 1.38411, 1.4046, 1.36883, 1.35736, 1.36578, 1.37653, 1.37928, 1.36801]","[1.30842, 1.30563, 1.29858, 1.33196, 1.32174, 1.31566, 1.32137, 1.31195, 1.39404, 1.45205, 1.44168, 1.44483, 1.45241, 1.45614, 1.46457, 1.45112]"
saturation,"[82167.0, 144597.0, 84560.0, 85191.0, 76878.0, 70352.0, 40928.0, 23699.0, 79042.0, 97105.0, 106526.0, 103948.0, 102466.0, 102102.0, 101403.0, 100559.0]","[102027.0, 102567.0, 92127.0, 92728.0, 94821.0, 95157.0, 96967.0, 100452.0, 99108.0, 95727.0, 105868.0, 104784.0, 92583.0, 91888.0, 100432.0, 35802.0]","[112822.0, 102020.0, 102230.0, 103758.0, 105961.0, 107306.0, 109540.0, 101071.0, 111205.0, 96809.0, 97009.0, 95906.0, 94578.0, 92594.0, 101640.0, 100868.0]","[81739.0, 84260.0, 85169.0, 85537.0, 86539.0, 87862.0, 89049.0, 91285.0, 112399.0, 94936.0, 94510.0, 92938.0, 91328.0, 101696.0, 90347.0, 89476.0]","[104096.0, 103211.0, 104275.0, 105025.0, 95777.0, 96067.0, 96872.0, 99687.0, 98957.0, 86791.0, 126146.0, 93375.0, 92798.0, 122446.0, 90250.0, 99209.0]","[102582.0, 102728.0, 92645.0, 93291.0, 95003.0, 96391.0, 97815.0, 100482.0, 97312.0, 119490.0, 94046.0, 93085.0, 91683.0, 90832.0, 88581.0, 98218.0]","[104370.0, 94234.0, 94638.0, 67028.0, 96483.0, 97745.0, 88291.0, 100970.0, 94084.0, 102902.0, 101519.0, 100249.0, 98407.0, 96990.0, 96122.0, 95915.0]","[92884.0, 93629.0, 93650.0, 94822.0, 96780.0, 98222.0, 99858.0, 102751.0, 88985.0, 97265.0, 87536.0, 87045.0, 95551.0, 93691.0, 65741.0, 102959.0]","[95318.0, 96775.0, 87896.0, 86982.0, 88550.0, 90010.0, 90607.0, 92041.0, 97535.0, 92653.0, 92520.0, 91150.0, 100415.0, 99184.0, 97442.0, 96959.0]"
