,R11_S00,R11_S01,R11_S02,R11_S10,R11_S11,R11_S12,R11_S20,R11_S21,R11_S22
raDeg,"[-1.0421666666666665, -1.0137222222222222, -0.9852777777777777, -0.9568333333333332, -0.9283888888888888, -0.8999444444444444, -0.8714999999999999, -0.8430555555555554, -0.8430555555555553, -0.8714999999999999, -0.8999444444444444, -0.9283888888888888, -0.9568333333333332, -0.9852777777777777, -1.0137222222222222, -1.0421666666666665]","[-0.8072777777777776, -0.7788333333333333, -0.7503888888888891, -0.7219444444444446, -0.6935, -0.6650555555555555, -0.6366111111111111, -0.6081666666666666, -0.6081666666666667, -0.6366111111111111, -0.6650555555555556, -0.6935, -0.7219444444444445, -0.750388888888889, -0.7788333333333334, -0.8072777777777778]","[-0.5724444444444444, -0.544, -0.5155555555555555, -0.48711111111111116, -0.45866666666666667, -0.43022222222222223, -0.4017777777777778, -0.37333333333333324, -0.3733333333333333, -0.40177777777777773, -0.43022222222222223, -0.45866666666666656, -0.48711111111111116, -0.5155555555555554, -0.544, -0.5724444444444444]","[-1.0418888888888889, -1.0134444444444444, -0.985, -0.9565555555555556, -0.9281111111111112, -0.8996666666666666, -0.8712222222222221, -0.8427777777777776, -0.8427777777777777, -0.8712222222222222, -0.8996666666666666, -0.928111111111111, -0.9565555555555556, -0.985, -1.0134444444444444, -1.0418888888888889]","[-0.8067777777777778, -0.7783333333333333, -0.749888888888889, -0.7214444444444446, -0.6930000000000001, -0.6645555555555556, -0.6361111111111111, -0.6076666666666667, -0.6076666666666666, -0.6361111111111112, -0.6645555555555557, -0.6930000000000001, -0.7214444444444444, -0.749888888888889, -0.7783333333333333, -0.8067777777777778]","[-0.5718888888888889, -0.5434444444444444, -0.515, -0.4865555555555557, -0.45811111111111114, -0.4296666666666667, -0.4012222222222222, -0.37277777777777776, -0.3727777777777777, -0.4012222222222222, -0.4296666666666667, -0.45811111111111114, -0.4865555555555556, -0.5150000000000001, -0.5434444444444444, -0.5718888888888888]","[-1.0411666666666666, -1.0127222222222223, -0.9842777777777779, -0.9558333333333334, -0.927388888888889, -0.8989444444444444, -0.8704999999999998, -0.8420555555555556, -0.8420555555555554, -0.8704999999999999, -0.8989444444444444, -0.9273888888888888, -0.9558333333333334, -0.9842777777777778, -1.012722222222222, -1.0411666666666666]","[-0.8062222222222222, -0.7777777777777777, -0.7493333333333333, -0.7208888888888889, -0.6924444444444445, -0.6640000000000001, -0.6355555555555557, -0.607111111111111, -0.607111111111111, -0.6355555555555555, -0.664, -0.6924444444444445, -0.7208888888888889, -0.7493333333333334, -0.7777777777777778, -0.8062222222222222]","[-0.5714444444444444, -0.5429999999999999, -0.5145555555555554, -0.4861111111111111, -0.4576666666666666, -0.42922222222222217, -0.40077777777777773, -0.37233333333333324, -0.37233333333333324, -0.4007777777777777, -0.4292222222222221, -0.4576666666666666, -0.48611111111111116, -0.5145555555555554, -0.5429999999999999, -0.5714444444444443]"
decDeg,"[-0.8832222222222221, -0.8832222222222221, -0.8832222222222221, -0.8832222222222221, -0.8832222222222221, -0.883222222222222, -0.883222222222222, -0.8832222222222222, -0.9944444444444446, -0.9944444444444446, -0.9944444444444446, -0.9944444444444446, -0.9944444444444444, -0.9944444444444446, -0.9944444444444446, -0.9944444444444444]","[-0.8839444444444443, -0.8839444444444443, -0.8839444444444444, -0.8839444444444443, -0.8839444444444443, -0.8839444444444443, -0.8839444444444443, -0.8839444444444443, -0.9951666666666665, -0.9951666666666665, -0.9951666666666668, -0.9951666666666665, -0.9951666666666665, -0.9951666666666665, -0.9951666666666665, -0.9951666666666665]","[-0.8842222222222222, -0.8842222222222221, -0.8842222222222221, -0.8842222222222221, -0.8842222222222222, -0.8842222222222222, -0.8842222222222221, -0.884222222222222, -0.9954444444444446, -0.9954444444444446, -0.9954444444444444, -0.9954444444444444, -0.9954444444444446, -0.9954444444444444, -0.9954444444444446, -0.9954444444444446]","[-0.6483888888888889, -0.648388888888889, -0.6483888888888889, -0.6483888888888889, -0.6483888888888889, -0.6483888888888889, -0.6483888888888888, -0.6483888888888889, -0.7596111111111112, -0.7596111111111112, -0.7596111111111112, -0.7596111111111112, -0.7596111111111112, -0.7596111111111111, -0.7596111111111112, -0.7596111111111113]","[-0.6488333333333333, -0.6488333333333333, -0.6488333333333333, -0.6488333333333333, -0.6488333333333333, -0.6488333333333333, -0.6488333333333333, -0.6488333333333333, -0.7600555555555556, -0.7600555555555556, -0.7600555555555556, -0.7600555555555556, -0.7600555555555555, -0.7600555555555556, -0.7600555555555555, -0.7600555555555556]","[-0.649388888888889, -0.649388888888889, -0.649388888888889, -0.649388888888889, -0.649388888888889, -0.6493888888888889, -0.649388888888889, -0.6493888888888891, -0.7606111111111111, -0.7606111111111111, -0.7606111111111112, -0.7606111111111111, -0.7606111111111111, -0.7606111111111111, -0.7606111111111111, -0.7606111111111112]","[-0.4134999999999999, -0.41350000000000003, -0.41350000000000003, -0.4135, -0.41350000000000003, -0.4135, -0.4134999999999999, -0.41350000000000003, -0.5247222222222223, -0.5247222222222223, -0.5247222222222222, -0.5247222222222223, -0.5247222222222223, -0.5247222222222222, -0.5247222222222223, -0.5247222222222222]","[-0.4139444444444444, -0.4139444444444444, -0.4139444444444444, -0.41394444444444434, -0.41394444444444445, -0.4139444444444444, -0.4139444444444444, -0.4139444444444444, -0.5251666666666667, -0.5251666666666666, -0.5251666666666667, -0.5251666666666667, -0.5251666666666667, -0.5251666666666667, -0.5251666666666667, -0.5251666666666666]","[-0.4143888888888888, -0.41438888888888886, -0.4143888888888888, -0.4143888888888888, -0.41438888888888886, -0.4143888888888888, -0.41438888888888886, -0.4143888888888888, -0.5256111111111111, -0.5256111111111111, -0.5256111111111111, -0.5256111111111111, -0.5256111111111111, -0.5256111111111111, -0.525611111111111, -0.5256111111111111]"
radDeg,"[1.3660552046297436, 1.3444823677183741, 1.3231692623255311, 1.3021286422889828, 1.2813739306015437, 1.260919245483876, 1.2407794251555324, 1.220970050737952, 1.3036836471392073, 1.3222540356031884, 1.341170543910635, 1.3604187338356806, 1.379984726444635, 1.3998551958687295, 1.420017360425779, 1.4404589715604896]","[1.197081235850515, 1.1780878640517358, 1.1594811727972583, 1.1412800748116338, 1.123504282456843, 1.106174299413247, 1.0893114031869942, 1.072937617008527, 1.1662702062896448, 1.1813507716884601, 1.1969173353092262, 1.2129511859356132, 1.2294340411200473, 1.2463480868398764, 1.2636760090211923, 1.281401017668877]","[1.0533354473809395, 1.038152900063705, 1.0235357187128595, 1.0095084622828983, 0.9960960534658915, 0.9833236519122776, 0.9712165080251149, 0.9597997972920684, 1.0631431680545083, 1.0734611228715976, 1.0844271201290054, 1.0960217084730215, 1.1082251585461986, 1.1210175862325402, 1.1343790659507118, 1.1482897334331097]","[1.227148836745565, 1.2030934911690374, 1.1792335363338815, 1.1555810753426599, 1.1321491129354504, 1.1089516264951544, 1.0860036416364824, 1.0633213122783296, 1.1345667928705814, 1.1558515167219985, 1.177438630228746, 1.1993118048377824, 1.2214556727580763, 1.2438557769384686, 1.2664985215757545, 1.2893711236503407]","[1.0353005618267126, 1.0132924433646826, 0.9916118201715511, 0.970280645839633, 0.9493224768967813, 0.9287625650593739, 0.9086279453296525, 0.8889475167166535, 0.9730989492672858, 0.9911095084238295, 1.009600231887235, 1.028545223449397, 1.0479198457177497, 1.0677007105607452, 1.0878656578495842, 1.1083937250085716]","[0.8653027363700669, 0.8467733740597344, 0.8288061124354118, 0.8114382912773833, 0.7947092126302078, 0.7786600466667234, 0.7633336802856725, 0.7487744988912625, 0.8470444915479146, 0.8599413220358103, 0.8735741879241495, 0.8879091868256069, 0.9029128773421752, 0.9185524927134383, 0.9347961154434781, 0.9516128155948793]","[1.1202640122150158, 1.0938787606487512, 1.0675992570599593, 1.041433506803899, 1.015390303900577, 0.9894793247761563, 0.9637112346582672, 0.9380978084382936, 0.9921547991789881, 1.0164066484322574, 1.0408707566342312, 1.0655325037983072, 1.0903784796482938, 1.1153963729115883, 1.1405748708975634, 1.1659035685406447]","[0.9062742219806487, 0.8810662570809318, 0.8560611415020262, 0.8312771807864255, 0.8067347577030339, 0.7824566006876836, 0.7584680872106732, 0.7347975852969141, 0.8027288501544523, 0.8244510779532274, 0.8465717220218805, 0.8690603596049272, 0.8918891546973116, 0.9150326482792781, 0.938467558356349, 0.9621725917305373]","[0.7058762005637313, 0.6830534460532799, 0.6606670526308854, 0.6387629007092956, 0.6173923200340895, 0.5966126507003015, 0.576487794960425, 0.5570887228487362, 0.6441236389896255, 0.6609730414061186, 0.6785967787070486, 0.6969361105028868, 0.7159360471574554, 0.7355453980286224, 0.7557167253327547, 0.7764062292247585]"
effarea,"[33.044967615391606, 33.1343680935231, 33.16927366899253, 33.22262635137872, 33.28722039730156, 33.37831971709894, 33.44975898191759, 33.43248280198987, 33.218273194080936, 33.17023321211162, 33.14712065234587, 33.072565421022695, 32.976764612195645, 32.91418550849613, 32.82970368291946, 32.77821353068792]","[33.501623733984395, 33.54678404718585, 33.579678351122254, 33.62428724834397, 33.650468760791874, 33.68924945121039, 33.708107588094606, 33.71629585628281, 33.56744466393188, 33.54013420518993, 33.50202498642113, 33.453672188384395, 33.44137985904731, 33.43027249908877, 33.365782692878305, 33.28713512699079]","[33.73001467647724, 33.73934765381123, 33.73934765381123, 33.73934765381123, 33.74344063420901, 33.75683149105985, 33.77569621965698, 33.79526630866017, 33.72315062219171, 33.715929474247424, 33.70981004836647, 33.705768651545284, 33.68422302014835, 33.65394262595829, 33.63527690454407, 33.60710734297498]","[33.43897773040706, 33.4847313476119, 33.54478108717344, 33.589237062725495, 33.638392104553915, 33.68244252679046, 33.709260537782754, 33.723025945759375, 33.63501465377079, 33.58857424053175, 33.54791909200315, 33.4961629756831, 33.43299327123976, 33.438993868216734, 33.35294665968916, 33.26204516780214]","[33.73934765381123, 33.73934765381123, 33.74814199956135, 33.77733494065555, 33.79158558989757, 33.79617522908587, 33.84606601269607, 33.887000446274584, 33.772400012117046, 33.74866863385796, 33.73934765381123, 33.73934765381123, 33.7338048520993, 33.71996096985427, 33.70861151548189, 33.683809882215634]","[33.93440672114281, 33.94925146296097, 33.976655732809164, 33.998214380785654, 34.00562002638429, 34.025741821516796, 34.020399680292385, 34.01923769639872, 33.94925146296097, 33.94925146296097, 33.911251211569486, 33.88772713425599, 33.868056854553416, 33.807877638996786, 33.791952574429466, 33.792390193775354]","[33.654995353872614, 33.706515595056175, 33.720031973338166, 33.7383443963931, 33.73934765381123, 33.750377752990715, 33.78883816433332, 33.78964184386271, 33.74757272884659, 33.73934765381123, 33.73873824404052, 33.721478416100446, 33.707735649109736, 33.666647159349566, 33.62601562588185, 33.56808565067978]","[33.85512283547706, 33.89251624304108, 33.94925146296097, 33.97060619697867, 33.998214380785654, 34.02277030957693, 34.01923769639872, 34.02651964459572, 33.998214380785654, 33.9873174925829, 33.94925146296097, 33.92388744526736, 33.88494170465055, 33.82142154477073, 33.78938306982193, 33.79153237135877]","[34.0323857351136, 34.04402251176954, 34.06750126208867, 34.08263245815516, 34.0864828258894, 34.06345925784692, 34.04266418086611, 34.05420336753585, 34.07931188130154, 34.06718045696287, 34.04870335675718, 34.02942952995582, 34.04296030161155, 34.02547291266754, 34.01923769639872, 34.024956233415246]"
readnoise,"[5.05848, 5.01304, 4.89072, 4.80057, 4.95499, 4.85651, 4.82434, 4.84659, 5.05573, 5.0773, 5.21417, 5.20854, 5.37013, 5.07238, 5.10222, 4.89227]","[5.44172, 5.64853, 5.87103, 5.60271, 5.76982, 5.86126, 5.67642, 4.9889, 5.06195, 4.85677, 4.85977, 4.82675, 5.08581, 4.87022, 5.07937, 5.04352]","[4.591, 4.63347, 4.62554, 4.78413, 4.78827, 4.68613, 4.65813, 4.6923, 4.66046, 4.72225, 4.84997, 4.94527, 4.76505, 4.73744, 4.712, 4.84751]","[4.70433, 4.74169, 4.69246, 4.70885, 4.78694, 4.9056, 4.99291, 4.79582, 4.73574, 4.74597, 4.76816, 4.76869, 4.91531, 4.79275, 4.76898, 4.87284]","[4.81208, 4.69253, 4.80375, 4.72467, 4.82733, 4.87374, 4.70067, 4.85938, 4.71992, 4.9347, 4.75909, 4.79931, 4.79039, 4.84172, 4.77579, 5.06302]","[4.74581, 4.7088, 4.74825, 4.98711, 5.01973, 5.06336, 4.89879, 4.97605, 4.93736, 4.71092, 4.72563, 4.7484, 4.71772, 4.94592, 6.06788, 5.2043]","[4.8567, 4.88384, 5.05239, 4.90604, 4.8441, 4.90609, 4.88132, 4.86878, 4.93681, 4.88264, 5.01923, 4.86885, 4.892, 5.00653, 4.88119, 4.92182]","[4.72512, 4.8528, 4.68715, 4.73465, 4.68415, 4.7364, 4.74519, 4.70069, 4.82167, 4.91929, 5.17492, 4.84044, 4.87021, 4.78669, 4.85013, 4.83617]","[4.91665, 5.33196, 4.96691, 5.21224, 5.24686, 5.51734, 4.97814, 4.90221, 5.42884, 5.35239, 5.75945, 5.09514, 5.28955, 5.2675, 4.78547, 4.78222]"
gain,"[0.749732, 0.745801, 0.751398, 0.743357, 0.745946, 0.744843, 0.750051, 0.746607, 0.772757, 0.77198, 0.776247, 0.776116, 0.771577, 0.771013, 0.777458, 0.762752]","[0.759694, 0.755516, 0.7636, 0.755438, 0.761348, 0.75111, 0.755125, 0.757133, 0.751617, 0.761585, 0.753864, 0.755349, 0.759855, 0.75826, 0.76252, 0.756585]","[0.721416, 0.723378, 0.726128, 0.7246, 0.72143, 0.719841, 0.717839, 0.719824, 0.723268, 0.724214, 0.735815, 0.731212, 0.736194, 0.734677, 0.73777, 0.738885]","[0.698615, 0.696909, 0.697029, 0.698987, 0.698909, 0.691697, 0.690436, 0.685284, 0.738228, 0.731059, 0.731856, 0.732683, 0.734324, 0.734247, 0.735498, 0.730115]","[0.704281, 0.711383, 0.712654, 0.715299, 0.711109, 0.712454, 0.704768, 0.709798, 0.727702, 0.722973, 0.730236, 0.728051, 0.730944, 0.729432, 0.738057, 0.746799]","[0.699516, 0.699235, 0.69559, 0.690748, 0.696782, 0.689901, 0.69339, 0.698506, 0.721271, 0.715233, 0.713144, 0.713045, 0.711816, 0.717907, 0.775595, 0.725844]","[0.764953, 0.754886, 0.767363, 0.756979, 0.759943, 0.755719, 0.744341, 0.740111, 0.788506, 0.781064, 0.785274, 0.78265, 0.782241, 0.787072, 0.787483, 0.785335]","[0.702419, 0.698801, 0.704322, 0.700597, 0.707055, 0.709292, 0.720402, 0.706345, 0.740776, 0.740018, 0.740073, 0.7388, 0.737984, 0.731908, 0.738014, 0.736191]","[0.690705, 0.690644, 0.692821, 0.699857, 0.697845, 0.694487, 0.695783, 0.698374, 0.753594, 0.744011, 0.749305, 0.743963, 0.748523, 0.749118, 0.74508, 0.745045]"
saturation,"[142857.0, 142857.0, 142857.0, 142857.0, 142857.0, 142857.0, 142857.0, 142857.0, 142857.0, 142857.0, 142857.0, 142857.0, 142857.0, 142857.0, 142857.0, 142857.0]","[142857.0, 142857.0, 142857.0, 142857.0, 142857.0, 142857.0, 142857.0, 142857.0, 142857.0, 142857.0, 142857.0, 142857.0, 142857.0, 142857.0, 142857.0, 142857.0]","[142857.0, 142857.0, 142857.0, 142857.0, 142857.0, 142857.0, 142857.0, 142857.0, 142857.0, 142857.0, 142857.0, 142857.0, 142857.0, 142857.0, 142857.0, 142857.0]","[142857.0, 142857.0, 142857.0, 142857.0, 142857.0, 142857.0, 142857.0, 142857.0, 142857.0, 142857.0, 142857.0, 142857.0, 142857.0, 142857.0, 142857.0, 142857.0]","[142857.0, 142857.0, 142857.0, 142857.0, 142857.0, 142857.0, 142857.0, 142857.0, 142857.0, 142857.0, 142857.0, 142857.0, 142857.0, 142857.0, 142857.0, 142857.0]","[142857.0, 142857.0, 142857.0, 142857.0, 142857.0, 142857.0, 142857.0, 142857.0, 142857.0, 142857.0, 142857.0, 142857.0, 142857.0, 142857.0, 142857.0, 142857.0]","[142857.0, 142857.0, 142857.0, 142857.0, 142857.0, 142857.0, 142857.0, 142857.0, 142857.0, 142857.0, 142857.0, 142857.0, 142857.0, 142857.0, 142857.0, 142857.0]","[142857.0, 142857.0, 142857.0, 142857.0, 142857.0, 142857.0, 142857.0, 142857.0, 142857.0, 142857.0, 142857.0, 142857.0, 142857.0, 142857.0, 142857.0, 142857.0]","[142857.0, 142857.0, 142857.0, 142857.0, 142857.0, 142857.0, 142857.0, 142857.0, 142857.0, 142857.0, 142857.0, 142857.0, 142857.0, 142857.0, 142857.0, 142857.0]"
