,R11_S00,R11_S01,R11_S02,R11_S10,R11_S11,R11_S12,R11_S20,R11_S21,R11_S22
u,"[24.18465048626728, 24.194846758009106, 24.209914165087497, 24.21621033481449, 24.215389226474038, 24.230131324739375, 24.236595891210428, 24.236196660514565, 24.224141279370574, 24.218229857053245, 24.20533223958957, 24.20290002021894, 24.182845578870445, 24.20284803088454, 24.19756868822043, 24.211028709239372]","[24.185597643040225, 24.17209366283979, 24.161665802740792, 24.185040373946855, 24.178029759786707, 24.17390969500913, 24.191620727770562, 24.248990103901324, 24.243992210721736, 24.25956377801386, 24.257304321150848, 24.252757840204936, 24.233595594595037, 24.248392472243907, 24.2274562676606, 24.2240976652768]","[24.195586240468025, 24.202026054968112, 24.20284152431234, 24.2037777468478, 24.204651222934146, 24.215706135364957, 24.22475695598, 24.22276783895795, 24.23550509281258, 24.22530757523238, 24.204006454395945, 24.198907205963728, 24.208857948112602, 24.21112644715155, 24.21066983667386, 24.201100397481987]","[24.21949642095243, 24.2200767294251, 24.225863369446476, 24.22520084749233, 24.22863896037363, 24.22781633665269, 24.22823391925177, 24.243245957927563, 24.26439943559296, 24.25288819212431, 24.251573330239705, 24.249034832016022, 24.227261396427846, 24.231161139791404, 24.225346790853926, 24.21982483611123]","[24.21142758912838, 24.223005889373205, 24.223440564784106, 24.236006791692922, 24.22723556303206, 24.228150820134182, 24.238290626834363, 24.239776503652863, 24.258357783830522, 24.2373980172711, 24.25360846786401, 24.24083762437904, 24.242418367146733, 24.23396796672614, 24.23840655003141, 24.210129222558923]","[24.233544930038185, 24.241109231817422, 24.239119259926987, 24.220601607933506, 24.22395500775015, 24.222999546512934, 24.23970310716654, 24.236916204254783, 24.255234610802525, 24.266521859660454, 24.2622172595824, 24.257654269506112, 24.254646780547795, 24.237434914796207, 24.14887920184035, 24.212003556769538]","[24.20211211224643, 24.207325941193915, 24.19963387298162, 24.216767883861717, 24.22493008299468, 24.226482477269528, 24.22694958505568, 24.230327932625556, 24.23960562205732, 24.24255672137742, 24.23198074576972, 24.23934271147747, 24.23392698416617, 24.219727351308162, 24.226197871123418, 24.211956488587816]","[24.252225989485837, 24.24626790474568, 24.26342768488305, 24.261858637517825, 24.262548718195276, 24.26411353926643, 24.268180095242343, 24.265496632870427, 24.26860682457645, 24.260995372332474, 24.237354940492338, 24.260425400820967, 24.25786583509761, 24.25667666499311, 24.252705406740617, 24.253461468971505]","[24.227058027260775, 24.194267519096567, 24.217871557861162, 24.21018551899814, 24.199773629040273, 24.18925558430349, 24.229501512387323, 24.241329750932536, 24.208320873703784, 24.209414948269192, 24.175919465465533, 24.223585244771385, 24.19810042115148, 24.208778937890067, 24.242597219726832, 24.24253043175873]"
g,"[24.95199113184542, 24.956252431935866, 24.961336363452418, 24.961238733020412, 24.96490017849848, 24.970619142146614, 24.973004657500574, 24.97258673658976, 24.965467997414578, 24.96225151120814, 24.958401741798884, 24.957082896981376, 24.94885820355218, 24.95354195186381, 24.95168491993347, 24.954710855581236]","[24.95860548709974, 24.95383626651395, 24.95192178881839, 24.957855427443803, 24.957069000633904, 24.955624939086306, 24.961058600159802, 24.977359993415185, 24.969805357033003, 24.975637846266228, 24.97527129605097, 24.972214919975166, 24.968671169757904, 24.973191528838957, 24.967177015023328, 24.96462153763572]","[24.96499072969488, 24.967433031085168, 24.963723315922547, 24.966918868329618, 24.966021148422566, 24.967838355027514, 24.971468639176173, 24.970143456398556, 24.967381570520285, 24.963289114250035, 24.954002495864632, 24.956197221311047, 24.95874413524491, 24.962556979496547, 24.96389520988968, 24.96474477476041]","[24.974990631640928, 24.975129005064236, 24.97514206198785, 24.973651431086324, 24.97772064692631, 24.979944248774363, 24.982237207925706, 24.984239371048012, 24.988395947011927, 24.981168439965984, 24.982782637879385, 24.98201311300618, 24.972375490820173, 24.972386516782723, 24.968836796204922, 24.970037772253228]","[24.971738674136056, 24.97237835150657, 24.973425715020532, 24.9766396590089, 24.97221619500062, 24.9729073781425, 24.971615230114846, 24.977901756609782, 24.977882380879926, 24.970912573925084, 24.978789473859155, 24.97232762300051, 24.974885221235077, 24.973230180058064, 24.97632524884965, 24.9678759897041]","[24.988377857366512, 24.990536872609077, 24.98792693096321, 24.981015465947696, 24.98305913868559, 24.981853887777593, 24.98672686894846, 24.985583082863396, 24.988718632851608, 24.990316554847126, 24.98924560169641, 24.98823529886704, 24.98604311461699, 24.983503189981747, 24.960626813668572, 24.977683542632953]","[24.968678534747774, 24.971407364180045, 24.969772170278056, 24.97493328992804, 24.97683688836644, 24.97884981530575, 24.976671528585133, 24.977447656056608, 24.978302651131198, 24.9796670554068, 24.978281584584106, 24.979821828620796, 24.977980031856973, 24.97320586402814, 24.974907024819768, 24.967607397409243]","[24.984135062574982, 24.98422970248379, 24.990076947130166, 24.989622910845977, 24.987673099683832, 24.99014289659172, 24.992729212814623, 24.988673295877124, 24.99131881088655, 24.989269097339704, 24.981843707124465, 24.98741116960595, 24.987024834890136, 24.98433078970578, 24.984776973989504, 24.9848105131707]","[24.98168991835381, 24.9722370812443, 24.974760128747274, 24.977128119082806, 24.96923682536201, 24.96943494928926, 24.977457330989985, 24.98156867904179, 24.9741863356828, 24.974611684395885, 24.966101069931515, 24.97841454483822, 24.967503414296274, 24.97626194791551, 24.98446675466124, 24.984739231796663]"
r,"[24.470765993956668, 24.473924714554702, 24.477104531125235, 24.475736990979357, 24.479964711267115, 24.483843215104386, 24.48532906122493, 24.484816149683702, 24.479140569623013, 24.47643738389438, 24.47436650963747, 24.47334816882991, 24.467497446504144, 24.469380896369685, 24.468167495049435, 24.46928165208574]","[24.479232402502994, 24.47614177403065, 24.475961757935654, 24.478378223108667, 24.47887355250171, 24.478030186660344, 24.480979329404764, 24.48946469705003, 24.481813734571894, 24.485851550590787, 24.485808901823475, 24.48297123708216, 24.482291335809876, 24.484981314441015, 24.481679102863534, 24.47930249746883]","[24.48631941844377, 24.48781967050295, 24.483262239338643, 24.486738461550814, 24.485436719678475, 24.485560393640757, 24.488199262672218, 24.486855128707408, 24.48121914570896, 24.478331374713534, 24.471184388000502, 24.4747341234184, 24.476144220223482, 24.480402003221606, 24.48212404302803, 24.484991505259348]","[24.487856746895137, 24.48797375576197, 24.48683962006279, 24.485066530392583, 24.489120408406166, 24.491792056130304, 24.494262740073694, 24.493885339174653, 24.495050212510105, 24.488721624193488, 24.49098301207072, 24.490664044182648, 24.483239489012888, 24.482792799377982, 24.479780966781505, 24.48191633815506]","[24.490387199375473, 24.48900627872841, 24.490095047825573, 24.491672594264053, 24.48792650002327, 24.48856364671668, 24.48544196342732, 24.492379765348673, 24.48896893491201, 24.48451195078131, 24.490861783091383, 24.48548427698954, 24.488253625421002, 24.487910015299164, 24.49077042784994, 24.48593304251294]","[24.50111728007603, 24.50234032199243, 24.499625358382996, 24.494759827979063, 24.496598864394734, 24.495344248281715, 24.498085753849285, 24.497013486539135, 24.49750638105919, 24.497661409206515, 24.49719044202684, 24.49680460117546, 24.494667345411735, 24.494595174435144, 24.483852314348518, 24.492203711922368]","[24.48600473652165, 24.48835287924601, 24.487798295967288, 24.490769015156246, 24.491480147841855, 24.49351398150782, 24.49082945411787, 24.49120733286121, 24.490051488018132, 24.491084129722857, 24.491405653107936, 24.49197568180798, 24.490822872529197, 24.487814530031727, 24.488695325347372, 24.48256432682459]","[24.494874782478014, 24.496016781252425, 24.49991813776749, 24.499647012996853, 24.497234424167324, 24.499873305029766, 24.502212047209518, 24.497889151340004, 24.49980244282257, 24.498740208452023, 24.49420996683005, 24.49657602475713, 24.496561926257797, 24.493629404637904, 24.494844204744517, 24.49479539362089]","[24.49578140742318, 24.49048193432816, 24.489410371572507, 24.493623138771795, 24.486339117499334, 24.48842433716972, 24.490602840610002, 24.493264158733286, 24.490023621303507, 24.490317078614567, 24.48658876754704, 24.492115542792323, 24.48390593784395, 24.49208732361595, 24.49560051128651, 24.49593583110388]"
i,"[24.00254429187254, 24.006247573853074, 24.009186103019843, 24.007496161559303, 24.011784240772325, 24.015020853870325, 24.016145566374377, 24.015517500764368, 24.012981887388346, 24.010503075948304, 24.008981076465027, 24.00811469829597, 24.002969174402317, 24.003900953552826, 24.00246965264061, 24.00218754332949]","[24.01094668139207, 24.008207327211174, 24.008504381487917, 24.009950274944728, 24.010950919069252, 24.01044878022347, 24.012749651857938, 24.019303150408078, 24.015309642812138, 24.018560175002072, 24.018512920335304, 24.015609851924374, 24.0156399287211, 24.017845678113005, 24.01514485822257, 24.012824080891548]","[24.017815713138795, 24.019677547097253, 24.015523323037797, 24.019733780752496, 24.018920585436106, 24.019069477338114, 24.02159822129207, 24.019850942255758, 24.016240592942978, 24.014116159369742, 24.00750516145399, 24.01107683630555, 24.011681697596497, 24.01551319263245, 24.01683053495238, 24.019748691293778]","[24.01147030618783, 24.012284934262745, 24.010957860588945, 24.008939652431238, 24.012791421927233, 24.015281691472183, 24.017433359642304, 24.01611328924313, 24.017066187686623, 24.011347627048206, 24.01411463226797, 24.01436047743212, 24.007738878315514, 24.00741311811055, 24.004432873445424, 24.00601445024434]","[24.019815997014394, 24.01791466071569, 24.01918055154017, 24.020516852695117, 24.01716522379705, 24.018147599741177, 24.01497331411133, 24.022352981179193, 24.019139449833375, 24.014977728397945, 24.020521194367316, 24.014946777230236, 24.01742736692642, 24.017181598325838, 24.019768063898685, 24.015750595454335]","[24.024784385013092, 24.02629306620363, 24.02410150102199, 24.02029431488347, 24.02259516474676, 24.021744308329357, 24.023991827075093, 24.022505925355187, 24.022739426450144, 24.022952848200774, 24.022557332850344, 24.022039511801704, 24.019440836564932, 24.019434383796074, 24.011423091756562, 24.01693642478213]","[24.018166247178307, 24.021237125755285, 24.021369377064143, 24.023815089790393, 24.02415439849434, 24.026106699048746, 24.023083002310344, 24.02323227328194, 24.019392690429207, 24.02057629233962, 24.02166201445765, 24.0222931361492, 24.021605435316722, 24.0191652387929, 24.019604173838466, 24.0129960062839]","[24.024544917634266, 24.026013114426203, 24.029551273057045, 24.02937594965744, 24.0270099280405, 24.029844381393772, 24.032268019594937, 24.028018593760148, 24.02724311610895, 24.026427219992332, 24.02238556784581, 24.02365428736917, 24.02349734131166, 24.02033470809749, 24.021689370867325, 24.021592671993982]","[24.03052661636913, 24.026649541476054, 24.025005439427986, 24.030100823330578, 24.023171097663443, 24.02581077497192, 24.02641547713895, 24.028201350774733, 24.024337214343774, 24.025277924836587, 24.02292366629009, 24.026425475924324, 24.018703474805285, 24.026292370124008, 24.028011484032138, 24.02786356560241]"
z,"[23.386609413386587, 23.39053298841727, 23.3930538471633, 23.39087828823806, 23.395189331881948, 23.397941032287218, 23.398571136988075, 23.397540862317097, 23.398653322686137, 23.396428202741927, 23.39529618064762, 23.39455782946847, 23.390399426143524, 23.390803337832537, 23.389504754320463, 23.388337256760924]","[23.395073484825204, 23.392841959165604, 23.393717950320784, 23.394555746361924, 23.39607279813404, 23.396112901446244, 23.39804509994979, 23.40319754671137, 23.401825284782497, 23.404194626640688, 23.40408230484017, 23.400770453431917, 23.401141207351287, 23.40276795952683, 23.40039206133408, 23.398034460049836]","[23.401871533476545, 23.40381807837165, 23.39987838516988, 23.40461555029852, 23.404216202113727, 23.4043696685735, 23.406789329575183, 23.404698628434012, 23.4032054969068, 23.401867833477915, 23.395707059951157, 23.399183796572984, 23.398876784224896, 23.40233682922212, 23.403491824704254, 23.40656611269503]","[23.39184142812543, 23.393357343798073, 23.391955247978213, 23.389758132588344, 23.39360198713367, 23.396028329711037, 23.398270408468424, 23.39655190247918, 23.396353559320275, 23.39080980825873, 23.393926090693792, 23.394778755296834, 23.388907643260794, 23.388539686401405, 23.385383601904415, 23.386282334798146]","[23.403325695718728, 23.40037976971299, 23.40137685196143, 23.402274289229887, 23.399029544573636, 23.400352786092906, 23.397128260326404, 23.404899738859413, 23.402037006931018, 23.39825012385895, 23.40318916808878, 23.397622462636956, 23.399672462287747, 23.399118117559787, 23.401680019600168, 23.398792279835]","[23.40465624054228, 23.4066909036453, 23.405291658946485, 23.402428752771925, 23.405025250129288, 23.404952691983432, 23.40724906393758, 23.405922691591115, 23.405248378213553, 23.404835290894347, 23.404037572708337, 23.403367544948168, 23.40060286701778, 23.40053501174598, 23.394736689558776, 23.397495130199587]","[23.405385592139204, 23.40927411826356, 23.41010842152981, 23.4121460625503, 23.41231521123477, 23.414657014367382, 23.411495866503714, 23.411715285328597, 23.40433283065241, 23.4053907935397, 23.406964424191546, 23.40761540421044, 23.407156702114435, 23.405101124558, 23.404875254673733, 23.397511290974233]","[23.409811946076918, 23.411372324979077, 23.414271298851816, 23.414029566606306, 23.411411562544316, 23.414320129449617, 23.416786674092336, 23.412629356489603, 23.40874863355579, 23.408401378453345, 23.405051088009067, 23.405371805079547, 23.40502563533087, 23.401610404636116, 23.403261906383808, 23.403366256317888]","[23.41879439576436, 23.41610000291923, 23.414044274494387, 23.419996963373258, 23.41358597982927, 23.416937765948898, 23.41635854064081, 23.417674490536893, 23.4125127609902, 23.413695283019404, 23.41251854935809, 23.414412967592032, 23.40707584773908, 23.414038584451095, 23.41400537825376, 23.41331008110805]"
y,"[22.444187581246034, 22.446895876748002, 22.449642184506036, 22.44749827026481, 22.451740159821227, 22.455146721843697, 22.456622253253123, 22.456630397343915, 22.458250790004133, 22.454745716846872, 22.45334489421481, 22.453574031321182, 22.450167701926276, 22.450668896594216, 22.449502296663894, 22.449340309807948]","[22.45144645702757, 22.44920417059992, 22.449953453561, 22.449814675835732, 22.451372300382285, 22.452338866622934, 22.45381851968248, 22.45810960587075, 22.455011715774233, 22.457738064899928, 22.458984817390462, 22.45701805754289, 22.458550077755667, 22.460821453883668, 22.458867231060175, 22.456795075479036]","[22.458915854757652, 22.460267184242362, 22.45549904338509, 22.460166943916228, 22.459229413946584, 22.459441672319777, 22.46104095584502, 22.45896214309456, 22.456503264484944, 22.455008054747424, 22.450755388239138, 22.453981029648933, 22.45335247686598, 22.457678288740762, 22.459778641961904, 22.464023496419284]","[22.446688273038752, 22.447891430463784, 22.446719545554416, 22.444337441345365, 22.44864491051012, 22.450562559097655, 22.455368306990266, 22.453871297621912, 22.455317200735376, 22.44708175052549, 22.44796850413702, 22.448938371551503, 22.443679752748245, 22.44343587146409, 22.440179014882826, 22.441704853535143]","[22.461933838154135, 22.45901111778621, 22.45793203353244, 22.459119099456444, 22.454389978328113, 22.455306583811783, 22.451460360831287, 22.459497506169395, 22.457798879364255, 22.454194077207305, 22.45874422721065, 22.45251341418687, 22.4537064223262, 22.45425303160294, 22.458163335910648, 22.45673111805811]","[22.457862546006567, 22.460086251731497, 22.45919977860096, 22.456521899528113, 22.459203330934734, 22.460006496876467, 22.46314490993393, 22.463503225189765, 22.461057536069674, 22.459693445845893, 22.457278980323967, 22.455616752173476, 22.452766195841537, 22.453189755874526, 22.44898970542794, 22.45085331943698]","[22.466350818165317, 22.470591084299024, 22.471804333889715, 22.473382578901322, 22.473659133148402, 22.478984875207082, 22.4764992598021, 22.476315021739524, 22.466322161242537, 22.467775014969305, 22.46874159624042, 22.46800951982386, 22.467897416158664, 22.466995361125527, 22.467036333484447, 22.459754131329646]","[22.47018204060076, 22.471575377244594, 22.474009868919143, 22.473909259658303, 22.470188447181563, 22.47253672753276, 22.474678901716118, 22.470835543128587, 22.467451318761558, 22.467460195203437, 22.464881708247987, 22.463698562301424, 22.462834691459214, 22.460761027649223, 22.462085197075275, 22.461229645490008]","[22.48012698087077, 22.477610870152972, 22.474620439029017, 22.481537199195724, 22.474817061335845, 22.47906609048951, 22.478903191686207, 22.48113224108901, 22.475347686747384, 22.474407595198514, 22.47272758429363, 22.474230654886497, 22.467262547653046, 22.473849997460455, 22.472986590129782, 22.472349106806448]"
fS,"[1.1682313197018637, 1.1769812162693416, 1.1861410503209495, 1.1840702333443787, 1.192167818955866, 1.202420791949381, 1.2064951885789932, 1.205487383451354, 1.200475438019199, 1.1934494636067219, 1.1872963535703398, 1.1857493968991117, 1.1722860791833267, 1.1787505872048125, 1.1750354198402868, 1.1780640849660933]","[1.183828015709252, 1.1757464274022233, 1.1742555366120264, 1.1816002521770361, 1.1822606660435304, 1.181401657747386, 1.1896501738195198, 1.2156690474495302, 1.2066513642063506, 1.2167695677082992, 1.216941801258925, 1.2105185409814812, 1.2064484840396674, 1.2146429851447653, 1.2043027073689552, 1.1990301465673852]","[1.1999380891541789, 1.2047349741209028, 1.1962653062839455, 1.205030966631402, 1.2035402262370782, 1.2066079961205478, 1.2132406911352114, 1.2090917038329752, 1.2061099440501022, 1.1997787462732532, 1.183205672124596, 1.1886064172361541, 1.1912824948918017, 1.1996674989317144, 1.2027755391185857, 1.2071379194743086]","[1.1919855807702324, 1.1939742060774536, 1.193027141419758, 1.1887453025563337, 1.1975147982478258, 1.201846454724247, 1.2081968334683997, 1.2096015362686274, 1.2170497472318016, 1.2008326447615065, 1.2045167597883673, 1.204814220535865, 1.187190163529884, 1.1875090282654446, 1.179996269925605, 1.1815896487934638]","[1.2092553492171967, 1.2074668425571236, 1.2082689171788321, 1.213926289931655, 1.2040148495530265, 1.2061358123732064, 1.202026726154079, 1.217405017872754, 1.217084044923257, 1.2037970455717741, 1.2183647485939142, 1.2036760619206064, 1.2080006924236868, 1.2056832159991702, 1.2129409558441187, 1.1997849146428012]","[1.2200491376598035, 1.2256152379295668, 1.2217498034623522, 1.210191483247161, 1.2157874006853748, 1.2151683662547654, 1.224788597077203, 1.2226697801433322, 1.2257976056541573, 1.2278335036146522, 1.2242707550154697, 1.2212175446717715, 1.2152439603748515, 1.2109641438523135, 1.1762940082146165, 1.1995308824471334]","[1.2087449566218211, 1.216998357112096, 1.2161643659271093, 1.2247194109818795, 1.227506510471374, 1.2344606386113472, 1.2289636123782834, 1.23000587560986, 1.22003399717968, 1.2232359867102656, 1.2224533407640215, 1.2246264347670786, 1.2221527475352807, 1.2146802523370688, 1.216801995066037, 1.1995935205731687]","[1.2326978576392453, 1.2339210743617144, 1.2447172799014459, 1.2439228538555374, 1.238246457887868, 1.24398481782131, 1.2497783186626226, 1.240758464755735, 1.2381048968124126, 1.2350790075182196, 1.2218657790074001, 1.2288496165535994, 1.2273361483179581, 1.2214758600186095, 1.2231542114749148, 1.2227356620721814]","[1.240293156580074, 1.2252213161633567, 1.2267882683579743, 1.2364685798963346, 1.2201427892067216, 1.224152424828978, 1.2349240756055684, 1.242087095615541, 1.2242895082194418, 1.2249412450599921, 1.2125444027572896, 1.2299598226348398, 1.2086977152057394, 1.2257700101208995, 1.23600315023123, 1.235305808279219]"
u1,"[24.68529731758487, 24.69349516026628, 24.704352903264613, 24.707981236121178, 24.710775148766736, 24.721893792438742, 24.72701999586195, 24.727163386589293, 24.72094170924649, 24.716071027085576, 24.707440878145903, 24.705118562846465, 24.690532112652836, 24.70204007132299, 24.697933896535822, 24.705368230868707]","[24.694588364948338, 24.686785246302925, 24.681975345804688, 24.697489800005567, 24.69464214355005, 24.692794680079782, 24.704955407870692, 24.741949411950166, 24.739023129571205, 24.748548953670934, 24.746570150504546, 24.741697391016643, 24.730157051537685, 24.738733241681782, 24.72446534538127, 24.720625482860804]","[24.684419166304377, 24.691270045933628, 24.691806047020876, 24.696375309824408, 24.697257729357915, 24.70489884822166, 24.71245989240716, 24.711448144167075, 24.722237860886963, 24.714415306018907, 24.698047393058296, 24.695625661789265, 24.70049618483788, 24.70192446718058, 24.7009247530061, 24.695407235657036]","[24.70876558611141, 24.71015818013056, 24.714257408510495, 24.71403165562672, 24.7189626133513, 24.720932012364237, 24.723284572775434, 24.732414413530623, 24.75022247334111, 24.739997235793897, 24.7393191569219, 24.737029178167887, 24.72062004211228, 24.72135793787828, 24.715534455826706, 24.71292237977897]","[24.703943048414153, 24.711661173391747, 24.714628419314373, 24.724199781992574, 24.718598238151557, 24.720486959270655, 24.725695880483343, 24.730698161058847, 24.74434991317004, 24.730220826461647, 24.740944083550144, 24.730270615749397, 24.731507853796714, 24.725022303828425, 24.727546523673695, 24.708445077207113]","[24.722502348488476, 24.728510206853333, 24.72760465468092, 24.71625444702164, 24.72002315766075, 24.72012820748056, 24.731555026719988, 24.73076681499084, 24.74647559510019, 24.751588488740573, 24.748018300466747, 24.744399019735596, 24.74096405222285, 24.73055237464486, 24.67444139781012, 24.713300990436192]","[24.69653678352918, 24.701883670566225, 24.698744642718328, 24.710939554737806, 24.71691769618319, 24.719739121208377, 24.719590700569434, 24.722364278171405, 24.73229492891805, 24.733749453417143, 24.727248794692894, 24.73053107691831, 24.726149314454325, 24.715875677169354, 24.718901972538827, 24.706919883020717]","[24.738934804961772, 24.73644770414094, 24.748241794861496, 24.747903301208964, 24.747367027112006, 24.749989013349968, 24.75388437599632, 24.750422291267668, 24.755996136951808, 24.751288961508756, 24.735549153279035, 24.748995764631257, 24.747347660974185, 24.744372454167205, 24.742215676554178, 24.74258434159317]","[24.720516730159176, 24.70008571556686, 24.713320157749102, 24.71184515455215, 24.70318208995407, 24.699528428382933, 24.72409162115447, 24.733093664769484, 24.71483322765637, 24.71418407259643, 24.6925657201974, 24.721361919921716, 24.70260022287292, 24.71178196468621, 24.73160664767866, 24.73147280512228]"
u2,"[25.137832593660296, 25.144605764831347, 25.152499261372537, 25.15427327368568, 25.15957445511674, 25.168163181133824, 25.17236093932846, 25.172877553740186, 25.17071921077979, 25.166585838696733, 25.16099153797218, 25.158750333119098, 25.148120262343834, 25.15352441081821, 25.150254199648437, 25.153443907859373]","[25.15312263562685, 25.149529644768574, 25.14894371779956, 25.158560813321376, 25.158812120852, 25.158674771752356, 25.166673385475487, 25.189022631735583, 25.187540660420943, 25.19287594040969, 25.19109179905308, 25.18600151415929, 25.1797560209834, 25.18400229871542, 25.17438519733889, 25.17021205415425]","[25.12872287146034, 25.135846285273413, 25.13619012546917, 25.143253618954763, 25.144141075669186, 25.149422528355977, 25.155956474053596, 25.15561303429335, 25.165061500519393, 25.158868438227138, 25.145924304512018, 25.14537569026488, 25.14670588496386, 25.147553562050565, 25.14618175711242, 25.143472968799095]","[25.153336825256932, 25.15528470473729, 25.158223127894647, 25.158296103380767, 25.164244577549816, 25.168139259238075, 25.17183524292958, 25.176887288204895, 25.192393947208345, 25.18305457364583, 25.182811154762376, 25.18069353106413, 25.167995860247018, 25.166549451395706, 25.160726820232565, 25.16012641359889]","[25.150755097729274, 25.155808580123693, 25.16051038132274, 25.168015681623785, 25.16459570933947, 25.1671544865997, 25.16897254530305, 25.17637697002225, 25.186642987157224, 25.177213259248155, 25.184154373103908, 25.174926852602216, 25.175927347975612, 25.170799305703728, 25.17200563070989, 25.15930354797523]","[25.166843474205926, 25.171781360306305, 25.171616526365067, 25.165234225579198, 25.169289077625365, 25.170137758995164, 25.1778748428391, 25.178472667772418, 25.19235552224309, 25.193246327169206, 25.190177724369686, 25.187203430271534, 25.183482376415245, 25.177749265135706, 25.14543431448365, 25.16626712961715]","[25.144683190825017, 25.150116295010186, 25.15017609780268, 25.15889245995154, 25.163348930226338, 25.16704564625141, 25.16647064514527, 25.16882246149954, 25.17919272373959, 25.17961139122337, 25.175946340613542, 25.176393999100558, 25.172731448060844, 25.165202323710684, 25.165826308919986, 25.155428922541805]","[25.181721544558695, 25.181609359948965, 25.18973328886697, 25.190228080940305, 25.188862353740376, 25.19219646671286, 25.195971012257758, 25.19198629104211, 25.199224715056076, 25.19651074803729, 25.18629050618223, 25.193038861112843, 25.19201684554161, 25.187824096665054, 25.186910621072638, 25.187013352723458]","[25.167962775034077, 25.156309919199618, 25.162160575538316, 25.165071184119412, 25.157668088144423, 25.158995853274156, 25.172320046792453, 25.179350675426594, 25.17154315600277, 25.169635569883628, 25.156763573964653, 25.171825764712512, 25.15787068550957, 25.165967929310764, 25.17597186379279, 25.17579230731914]"
