,R30_S00,R30_S01,R30_S02,R30_S10,R30_S11,R30_S12,R30_S20,R30_S21,R30_S22
u,"[-1.0, 0.038720404444031485, 0.039375230184170176, 0.03974732873971904, 0.040204952173994626, 0.04054329503650098, 0.04081136099851746, 0.04103687068841468, 0.04159148379317884, 0.04138057299203739, 0.04125298475893535, 0.04094557372889448, 0.04064795655239871, 0.040429879150247684, 0.040129307932999854, 0.039691656001436315]","[0.03796007754529839, 0.03799225104965453, 0.038181457780947864, 0.03821042480814919, 0.03835549196114485, 0.038368787996771826, 0.03839048874913621, 0.03836420718667721, 0.038599051195812646, 0.03864726521174798, 0.03857331628378492, 0.03860809825903597, 0.03832741465788027, 0.03823725153814979, 0.038331302109421046, 0.03817908473532564]","[0.041525611740135394, 0.041672114419371714, 0.0417793458542039, 0.0418361621111529, 0.04197871062840657, 0.042004067945770496, 0.04206796811022473, 0.04215334241497765, 0.04250885847295742, 0.042348514763825174, 0.04242160156840791, 0.0422984286702531, 0.04222783216346269, 0.042140020105886425, 0.0420379258211337, 0.04192033101178928]","[0.04022065821795945, 0.04035287726159467, 0.040614840738739465, 0.040775861504705364, 0.040904440885249166, 0.04120299165256253, 0.04122245060078192, 0.04144696959792274, 0.04227330502845653, 0.04207570160522504, 0.042004416216438745, 0.04188798085279463, 0.04166588857232995, 0.04162429541299162, 0.0412800760351505, 0.04126112046219479]","[0.03939207945599192, 0.039664604484436025, 0.03982479508285718, 0.03985275259909694, 0.04009659348531063, 0.04019791991820018, 0.0403847985665303, 0.04036218951444675, 0.04110195020758694, 0.04120416189591602, 0.04100114844110193, 0.04095022202949113, 0.0407065037832606, 0.04065268181087763, 0.04053317832817491, 0.040408029930567295]","[0.039408214712070816, 0.039612704140957106, 0.03978258721259435, 0.03997088889262816, 0.04004123713429565, 0.040134401484700086, 0.04027404172665209, 0.04042450458598996, 0.04114940582403294, 0.04100702667381032, 0.04089642462994596, 0.04075585210965464, 0.040599288656685155, 0.04055739454296502, 0.04047423673450735, 0.04025379308131291]","[0.03543940934569299, 0.035750705236476686, 0.036098869119097356, 0.03641473597759908, 0.03662069762799709, 0.0369426953782248, 0.03711896052719862, 0.037296879405646584, 0.03811954660928993, 0.03795712992552246, 0.037843535881917766, 0.03752036094806286, 0.037254888930361614, 0.03716690619561937, 0.0368853431049211, 0.0366698313906259]","[0.03367466745211443, 0.034324550771906534, 0.03474261462724963, 0.03518990366065569, 0.0353899113169793, 0.035727278468744905, 0.0360501706357057, 0.03625693844683879, 0.037251843207046206, 0.037670352310339196, 0.037544158175475656, 0.036732526569065144, 0.03666309048284012, 0.03638413296063167, 0.03587629996568319, 0.035395775770123615]","[0.0411362155716916, 0.041315978741061195, 0.04135213662257223, 0.04145741069177145, 0.04147769964876345, 0.04155120223069906, 0.04158196985877572, 0.041736788897481815, 0.04190562168970897, 0.041773914268215646, 0.041823180265484025, 0.04167199434261723, 0.04170224816237421, 0.0416302595513278, 0.04152844459493692, 0.04143077591368287]"
g,"[-1.0, 0.132834874077688, 0.13342711582534958, 0.1335109862137663, 0.13391118626749238, 0.13414958075509892, 0.13441848303317247, 0.13455804288945736, 0.1345152981047112, 0.13424505786351063, 0.13421657281922905, 0.13387023868594647, 0.13358467059669038, 0.13349915319522598, 0.1332943591646998, 0.13288468716366317]","[0.13194936231838011, 0.13180646832236892, 0.1322046348101175, 0.1321102244540118, 0.13234194063730687, 0.13233591231953806, 0.13235610028208228, 0.13224325450839602, 0.13188082207823176, 0.13211781931748712, 0.13199926598008552, 0.13231362975381128, 0.1316725169569461, 0.13153371699563116, 0.13205115812805343, 0.13165339167741838]","[0.13488634008645206, 0.134839094944152, 0.13478627296024362, 0.1347679908625657, 0.13483574508096732, 0.13469236429333784, 0.13479233578653102, 0.13492029047708232, 0.13464092857008597, 0.1342423580634159, 0.13462013616157434, 0.13448320204900593, 0.13462381278317437, 0.13456378042226305, 0.13455806432647135, 0.1345835321439564]","[0.13340024280702875, 0.13338964515247365, 0.13364354524797167, 0.13376823380827058, 0.13387613780351543, 0.13442055552674903, 0.13427622236593958, 0.1347256923933326, 0.13493966506873514, 0.1344895933603715, 0.1344688389407543, 0.13446002204660482, 0.13403571037675285, 0.13415425714988255, 0.13360570892177126, 0.13387485904609603]","[0.13305615246069305, 0.13327649072056424, 0.13338887884161368, 0.133212344028649, 0.13351291878271226, 0.13357819488275927, 0.13370749997622003, 0.13373613094604495, 0.13372103741214042, 0.13398180831269807, 0.1336426436600471, 0.13379710595308386, 0.13347281120743573, 0.13360159282547251, 0.13353021859073863, 0.13368510862738653]","[0.1346816411210341, 0.13473191981689203, 0.13471758860239275, 0.13492559645707014, 0.13476868820465776, 0.13467657871743993, 0.13484369284638514, 0.1350877698089506, 0.13539649557547026, 0.13512118788654487, 0.1350310741126831, 0.1349432520912755, 0.13485454118713822, 0.13505565155180563, 0.13526150968554723, 0.13501813691208367]","[0.13139606340791313, 0.13142771264156508, 0.1315524205352354, 0.13197759550598742, 0.13203835668114147, 0.1323761910709993, 0.13251758157347532, 0.13267910417121068, 0.13328860085370103, 0.13308391028538122, 0.13315775586860745, 0.1327530417122892, 0.13231248720482192, 0.13252429376335445, 0.13228127773946144, 0.13221042304051678]","[0.13101216162912954, 0.13161541578909122, 0.13166966366823138, 0.13236347724620554, 0.13197018122977439, 0.13230703555205722, 0.13278133328945235, 0.1326811298130479, 0.13337100068073665, 0.1355297696584557, 0.13556305776694655, 0.13334365618892885, 0.13395101044073623, 0.13358065250072687, 0.13263360022264722, 0.13200220359125964]","[0.13480359922430296, 0.13507029048474042, 0.1348431191920762, 0.1348908422895879, 0.13469650320617751, 0.13461902473873583, 0.1345263622092683, 0.13486525878613348, 0.1352891667909325, 0.13502455062648624, 0.1353377777922494, 0.1350313780373428, 0.13530186879556338, 0.13532516738823622, 0.13523812449818376, 0.1351853532274659]"
r,"[-1.0, 0.11216100945628765, 0.1124267705337811, 0.1123379699260152, 0.11251279258122142, 0.1125768686335725, 0.11271151994408167, 0.11275539141908736, 0.11242835159002025, 0.11225444369912053, 0.11228166049641006, 0.11208644278451535, 0.11196008427459837, 0.11198350049586892, 0.11192787794996702, 0.11173617831241754]","[0.11222833132698047, 0.11206730747978882, 0.11237268330650318, 0.11226129090815275, 0.11242346016129774, 0.1124098295428657, 0.11241840335122899, 0.11232089201456848, 0.11185837663756973, 0.11205818665081954, 0.11196223478223434, 0.11224316060193064, 0.11174257489285995, 0.11164928381944472, 0.11211030995121744, 0.11179133277301678]","[0.11284772661446839, 0.11272339258911131, 0.11262246537132188, 0.11257466279054322, 0.11257416159235617, 0.11242790016846459, 0.1125053056415011, 0.11259116760855907, 0.11217236526073764, 0.11184348100835664, 0.11215780244482657, 0.11206042526188204, 0.11224280852927795, 0.11221997181676471, 0.1122576396849915, 0.11234920617761658]","[0.11244939182847763, 0.11238350988910144, 0.11250459025889434, 0.11253692838753433, 0.11258042735822212, 0.11298151153471989, 0.11282279465481676, 0.11316432083383136, 0.11301145369932131, 0.11265358222995078, 0.11266081658429566, 0.11270191644414095, 0.11238262761218565, 0.11252907285141939, 0.11214913901226455, 0.11242873388137738]","[0.11288115302468406, 0.11296775690296196, 0.11300668428615811, 0.11283397591085144, 0.11300413606082436, 0.11300701628943742, 0.11303869246164598, 0.1130814888438934, 0.11276705506852178, 0.11295757638159873, 0.11271379209663218, 0.11288534201352603, 0.11267151459864685, 0.11282625299136136, 0.1128152186159326, 0.11302617148304389]","[0.11355152753306996, 0.11349845451186512, 0.11340903658821765, 0.11352553840374932, 0.11334618619877894, 0.11320643342537605, 0.1133029049085526, 0.1134752962091035, 0.11344947077994331, 0.11324181640842178, 0.11319985141817641, 0.11317757272545985, 0.11315678610915497, 0.11335978671916651, 0.11359723694762494, 0.11346523203984024]","[0.11248771801107628, 0.11235593023761169, 0.11230107854761098, 0.11255381098463382, 0.11250416368273768, 0.11268057077450104, 0.11273429505876356, 0.11282131772662403, 0.11304041461493183, 0.11289303283760291, 0.11302567360305034, 0.11278424584588513, 0.11248075166202537, 0.11274874466697168, 0.11264849761378368, 0.11268169406577537]","[0.11271746986001739, 0.11295115466089627, 0.11276947201950127, 0.11321167788584688, 0.11271209272751244, 0.11286549086570087, 0.11315386342872907, 0.11295227645796994, 0.11309126725710539, 0.11501284095347834, 0.11513054729102119, 0.11334770534339224, 0.11399315801901262, 0.11378596100444914, 0.1131207649453931, 0.11276288137776613]","[0.11325497194986549, 0.1134345860271435, 0.11320969316384688, 0.11320875067587753, 0.11300630529012334, 0.11289912490458702, 0.1128006208778366, 0.113052469067898, 0.11332695885688107, 0.11313745095037488, 0.11342342265006775, 0.11318780479352675, 0.11344380472712724, 0.11350411831561301, 0.11346083808456021, 0.11347008098694357]"
i,"[-1.0, 0.08153567803077878, 0.08174228375013719, 0.08164685372968557, 0.08172520300131496, 0.08171328396082761, 0.08176142854869055, 0.08173286846680058, 0.0820491346279899, 0.08196935727732137, 0.08201635645867125, 0.08188489164788872, 0.08181881430778058, 0.08178814626448347, 0.08168380993320774, 0.08141237538403788]","[0.08151383659989828, 0.08136872636790023, 0.0815728473325276, 0.08147972466154751, 0.08160034361852013, 0.0816081292674748, 0.0816514152696613, 0.08162903601591402, 0.08189688577888274, 0.08200868091138144, 0.08191447972864037, 0.0821088019314803, 0.08174347806874213, 0.08168028878854013, 0.08203557057384234, 0.08179672319864897]","[0.08185533411051392, 0.08183802553691735, 0.08183617035984475, 0.08188029033475033, 0.08195038861563354, 0.08189261282833617, 0.08194291880931537, 0.08190927512678844, 0.08201252677917809, 0.08188372687303735, 0.08214606376704496, 0.08206051114885382, 0.08215854748347581, 0.08208806707743176, 0.08205871984377325, 0.08207103534233597]","[0.08140678065167148, 0.081473660142381, 0.08156571343403558, 0.08153348105024567, 0.08148335892992291, 0.08167774120492595, 0.08147316677070071, 0.08163844124760815, 0.08159177916212658, 0.08142438832551002, 0.08152835263825467, 0.08167463572735961, 0.08153022299815385, 0.08168792886057517, 0.08141480116054432, 0.08150859454807127]","[0.08161600719371102, 0.08165168249952655, 0.08165904150945846, 0.08152560244768722, 0.08163268086949628, 0.08164437646284585, 0.08169066453090285, 0.08176939450921367, 0.08155532692207326, 0.08163929147628442, 0.08144648287879344, 0.08156226570338636, 0.08141490095596465, 0.08155107026463997, 0.0815624669029374, 0.0817423300984816]","[0.0818306422245316, 0.08187151646698597, 0.08187779266916727, 0.08203831753302507, 0.08198182139297382, 0.08192439178903861, 0.08199153879308752, 0.08202260760864416, 0.08200055987494927, 0.08195466363626819, 0.0819303703804369, 0.08186982027018334, 0.08179518313948657, 0.08186125612942334, 0.0819594070296844, 0.08178470699793775]","[0.08157844694577666, 0.08161847266764086, 0.08163519812370086, 0.08182712564420945, 0.08177559866303598, 0.08188152238607757, 0.08189523999709354, 0.08192640226230541, 0.0816153611384588, 0.0815445693317203, 0.0816961537963876, 0.0815764803752827, 0.08139313212528639, 0.08159899501432992, 0.08148948616784747, 0.08137108600651234]","[0.08233489182663364, 0.08248259945917373, 0.08234077167484753, 0.08266640839467318, 0.0823036973228326, 0.0824347888114518, 0.08267133593740614, 0.08255941065783419, 0.08214467096164457, 0.08349246109973636, 0.08353636406709244, 0.08221494832570424, 0.08267105513723037, 0.0825078480026749, 0.08203505235889974, 0.0818011595020363]","[0.08194812187366016, 0.08215766106370809, 0.0820571996488115, 0.08210937963746334, 0.08200644363057186, 0.0819605156220089, 0.08187916430805797, 0.08195724211338594, 0.08174430510713854, 0.08170230280605757, 0.08190653201344293, 0.08167801750781131, 0.08178878095402985, 0.08175424983019662, 0.08164320759201485, 0.08156833337821905]"
z,"[-1.0, 0.05484752221262529, 0.054970072351123445, 0.05484906095722433, 0.05486855247143258, 0.05482325856191168, 0.05483553963446852, 0.05479162262170217, 0.05512334547115034, 0.055108966016555336, 0.05517167299757458, 0.0550913565051387, 0.05505097593633808, 0.055023213681065365, 0.054968583378376, 0.05478536938960188]","[0.05472775079379683, 0.0546225259327869, 0.054762240694548964, 0.05471793585464708, 0.05482215873826028, 0.05486380160051058, 0.05492949586814039, 0.054953545767142384, 0.05527707110647358, 0.055313275310305644, 0.05521915903492612, 0.055327337982581264, 0.055063086749068055, 0.054992211359050705, 0.05519827502396393, 0.05500750738324512]","[0.05494669059987689, 0.054979108185442035, 0.055005590036449156, 0.055084250418832324, 0.05515350381871802, 0.05515334635666059, 0.055212392317728176, 0.05518403088872832, 0.05528574945629823, 0.055206954221382575, 0.0553823489772609, 0.05532440239269, 0.055388296391002526, 0.05531205759964653, 0.055254626134334954, 0.05521811274191963]","[0.054666697791903356, 0.054745824615865094, 0.0548093105558713, 0.054769082594899814, 0.054719628239390944, 0.054852518041864876, 0.05468612835673916, 0.054791452195765825, 0.054703889026082, 0.054607076641994386, 0.05468903799896162, 0.05481569327635911, 0.05474133603972101, 0.05485899638603926, 0.054674972014591094, 0.05470661628732901]","[0.05454600128691113, 0.054569059420213326, 0.05456609149272151, 0.0545008020005494, 0.05459908456161891, 0.05464713800080367, 0.0547262182087179, 0.05483147225563763, 0.05458102629072973, 0.054580116256390095, 0.05440625011474398, 0.05446991506968478, 0.05435386967692142, 0.05443092088457293, 0.0544156432825588, 0.05450983483677916]","[0.05458768883289452, 0.054664763208769666, 0.05470171139061554, 0.054844125920319814, 0.0548595459453876, 0.054873125618205405, 0.05496400054144578, 0.05500986839573972, 0.05484803372291348, 0.05480829338296033, 0.054760565660041075, 0.054689258289064194, 0.05461939892758508, 0.05461030476712317, 0.05461339811329131, 0.054445695168456744]","[0.05476238590705806, 0.05478429559633585, 0.05477397234464645, 0.054871373310397875, 0.054808799878268706, 0.054848948916642264, 0.054836059035038534, 0.054837713703343074, 0.054299845241119735, 0.05430911572848064, 0.054478882020873275, 0.054444755484569805, 0.05434579178808382, 0.05450011845134333, 0.05444942114411894, 0.05438411341220253]","[0.05536316098511542, 0.05545022335389052, 0.055344816719508985, 0.055546874580998315, 0.05529414465488877, 0.05537735210628152, 0.055538675836353794, 0.055480007222522845, 0.05486928917795825, 0.05579939070431815, 0.05585945408632399, 0.05499600373563023, 0.05530480658383368, 0.05519067353656968, 0.05488539225424553, 0.054765524738448944]","[0.05481565526503817, 0.055039001129869494, 0.05506362025272982, 0.05516259687308652, 0.055141276721026325, 0.05514717329372035, 0.05512125751575796, 0.055183496842355774, 0.05498344593045653, 0.05494147189094061, 0.055024943335397765, 0.05480647823988306, 0.054828186840551504, 0.05475377342822183, 0.054628667114700054, 0.0545236660159831]"
y,"[-1.0, 0.024110104265679812, 0.024153098646574115, 0.024104061626895545, 0.024102698643215188, 0.02408695722077262, 0.024085106505922008, 0.024064602115758026, 0.024135359704779716, 0.024143742579966525, 0.024190265342884584, 0.024178163833186852, 0.024146737322468435, 0.02413839836869891, 0.024110612710522034, 0.024093629815393085]","[0.023977797035139064, 0.02398720278896372, 0.024060583585593064, 0.024044652313058478, 0.024084390574500996, 0.02410013348241444, 0.024138779334665003, 0.02416898918912726, 0.024272902183758764, 0.02424185556913424, 0.024206669112381257, 0.024247686882131154, 0.024117683802958322, 0.024064594153898482, 0.024109259326877883, 0.02399328017984118]","[0.02421569254520761, 0.02422587799140926, 0.024236032161975687, 0.024244984568269425, 0.024290463581799593, 0.024279301780176187, 0.024304920774839006, 0.024315510407085107, 0.024289300280716138, 0.0242373826238402, 0.024305482746483333, 0.02430476526999783, 0.024346833227023953, 0.024308093493486223, 0.0242687385318758, 0.024245671999693515]","[0.02396389076712125, 0.02395525854696393, 0.023959415626435138, 0.02394061815130605, 0.023924150425309466, 0.023972941626329073, 0.023949749210646184, 0.024020104744047827, 0.023944227643584767, 0.02388103089527596, 0.023897164249500263, 0.02397494218669824, 0.02395616579833589, 0.024028484400839555, 0.023959830299641712, 0.024047801204162646]","[0.02382485677534506, 0.023852264075729955, 0.023867856070187377, 0.023849967130891773, 0.023895443261824183, 0.0239338368968386, 0.02397960146488709, 0.024045012608569, 0.023939736949254425, 0.023911280081870965, 0.023804121596484235, 0.023812005207081603, 0.023763329982466257, 0.02374473363179914, 0.023657340758622948, 0.02366793891820203]","[0.02383054745681019, 0.02384711974849825, 0.023894238355148267, 0.023968347265482522, 0.023995524490769228, 0.024011826478109368, 0.024085970168909277, 0.02416213182536053, 0.024040859452465382, 0.023947018312663985, 0.023890657536379922, 0.023824954920029288, 0.023759606583122088, 0.023697422622807118, 0.023647250166964475, 0.023542968557303638]","[0.02402877974169199, 0.023989676002639206, 0.023952717112843323, 0.023959950210153336, 0.023877549403805747, 0.023855071075398908, 0.02387146275052507, 0.023831373943810668, 0.02339308188743085, 0.02344507000148147, 0.02360817996827399, 0.02362292434163134, 0.023609941093613394, 0.02373359534354111, 0.023782488671199163, 0.023823533195576264]","[0.0241019215589449, 0.024143485137721566, 0.024114724715227718, 0.02418460287280531, 0.024070157648620468, 0.02409674885897987, 0.02418461328505582, 0.024158482198117212, 0.0238242269764465, 0.024261133642556578, 0.02434334894931075, 0.023990490110841374, 0.024141500686033556, 0.024056804865214058, 0.02392654460295809, 0.02390396812950687]","[0.024040031277991064, 0.0241697153145881, 0.02425466980771754, 0.024328165768555544, 0.024317477649910386, 0.024307571710657574, 0.02430228744375748, 0.024366750146768236, 0.02437275072638921, 0.024274550913985064, 0.02428144807212938, 0.02421719418358299, 0.02427314783557849, 0.024253983505124116, 0.024190542113365108, 0.024144461548805004]"
