,R24_S00,R24_S01,R24_S02,R24_S10,R24_S11,R24_S12,R24_S20,R24_S21,R24_S22
u,"[0.05999313162162329, 0.06065695238474722, 0.060866020306157426, 0.06113267011214335, 0.061454510939773895, 0.06185940423593981, 0.06204520695205156, 0.06217473447458099, 0.06377498848948257, 0.06373721173859571, 0.06348187668825052, 0.06324413695664625, 0.06293805209639063, 0.06259682199185751, 0.06239179706950969, 0.0619463146418533]","[0.06573667866078205, 0.06600470414533599, 0.0662283559038872, 0.06644010757963538, 0.0667869778717213, 0.06666033359272405, 0.0669488682130083, 0.06708687786845484, 0.06727587242350445, 0.06717031241920014, 0.06690675447335283, 0.06702591068061872, 0.066751355410165, 0.06635006156962331, 0.06637626200191027, 0.06608346051868602]","[0.051306142458810516, 0.053250285360701505, 0.05452790514753927, 0.05509335229169602, 0.05562294666503668, 0.05573364635577373, 0.0553909893059231, 0.054455626925308746, 0.0554200967436995, 0.05643494136363716, 0.05674127552969086, 0.05675487742672796, 0.05642846929503908, 0.05581069839159134, 0.05478270916205345, 0.05293728829501169]","[0.05779229930947581, 0.05849352569428505, 0.05911470474249905, 0.05967920135876456, 0.06027242432617141, 0.06057807830888616, 0.061179199439258605, 0.061398328290993405, 0.06297372922981881, 0.06261659115155668, 0.0622012557064966, 0.0618762265330306, 0.06130855216005617, 0.06098616057704161, 0.060590708905942245, 0.06005434502139131]","[0.06683490549774747, 0.06730357702222, 0.06752875347964414, 0.06775677581684027, 0.06789857433865303, 0.06819666695272605, 0.06814861081327461, 0.068055076624521, 0.06911108979612297, 0.06906416287892798, 0.06896675784294758, 0.06886556199558021, 0.068700159882883, 0.06857324360799702, 0.06820601387004986, 0.06789155087393221]","[0.06411222058117748, 0.0644365253927848, 0.0645346542669892, 0.06466675846180704, 0.06483849458550538, 0.06512099618794395, 0.06540055640111568, 0.06575137570608586, 0.06616798106868842, 0.0661369263207776, 0.06590348472298474, 0.0656411977560574, 0.0655369437349909, 0.06556863480514868, 0.06550165208910073, 0.06534425094527968]","[0.05639465752550817, 0.05727414369849711, 0.05810004844795149, 0.058573381264013354, 0.05929254717951485, 0.05986114521455551, 0.060150441932980414, 0.060444758828345976, 0.062204965144952516, 0.06185875909851527, 0.06156339557097088, 0.06120397929478311, 0.06063609352729702, 0.06029866013675972, 0.05997523778486712, 0.059374866732423426]","[0.06291835865985479, 0.0630511126433531, 0.06303323289080956, 0.06278132699132151, 0.06266848084662939, 0.06276781300207507, 0.0627214855256849, 0.06258239347112547, 0.06291302090311174, 0.06307046050225669, 0.06313463821883417, 0.06315969878191591, 0.06300491289063352, 0.06330407289845036, 0.06322355815700408, 0.0633597020300497]","[0.05326970643832276, 0.054440032099557466, 0.05542529400853598, 0.056095560130047906, 0.05690398966693712, 0.05739335158024549, 0.05792443641785007, 0.05832781547014881, 0.059993257814114236, 0.05953125620718039, 0.0592992369241569, 0.0589627262198198, 0.05836081044367816, 0.058002453927191486, 0.05734306157982967, 0.05662234426309047]"
g,"[0.1616827066353226, 0.1622356073448379, 0.16193875349323889, 0.16223762338650424, 0.1622466232569538, 0.16264428100390005, 0.1627729084718955, 0.16280498233688095, 0.16313175133992014, 0.16327581341157826, 0.16297351784784966, 0.16286146375910238, 0.16283201142142012, 0.16229557771733866, 0.16239959560066458, 0.1621377189132662]","[0.16488461315114772, 0.1650935991202821, 0.16548461376529683, 0.16531231804057456, 0.1657511780904459, 0.16537177990938615, 0.16546543344366493, 0.1653942024893255, 0.1651028548112911, 0.16518403059781722, 0.16500406491420488, 0.16530382498608634, 0.165047787330259, 0.16461046536998072, 0.16475556809303443, 0.16448774405190392]","[0.15915680690446493, 0.1597409220803896, 0.16037755014577465, 0.16027329717582914, 0.16072515669872048, 0.16082712066700697, 0.16080295867598507, 0.16098085928181102, 0.16021290508709052, 0.16067760328463637, 0.160717535054321, 0.16083676394255758, 0.1608322811166057, 0.16074433384874603, 0.16048940702008585, 0.1594078669769973]","[0.1616399451271231, 0.16181512193171593, 0.16210076285193514, 0.16238014868791295, 0.162888480366082, 0.16273092496361083, 0.1635584009402037, 0.1634196123098856, 0.16417249734547143, 0.16384756762206534, 0.16337549717769498, 0.16346280909754626, 0.16298144777783377, 0.16311578616435604, 0.1629887012490473, 0.16283474019823155]","[0.16532707489005752, 0.16567501665725373, 0.16563579205143125, 0.1658357729067535, 0.1657030483203137, 0.1660324161118487, 0.1659082123379162, 0.16571831109756763, 0.16607873526870467, 0.16601373079772072, 0.16590149261297302, 0.1659854938821846, 0.16596692253934814, 0.1660982624010084, 0.1655889580269975, 0.16547645251515974]","[0.16454279885306614, 0.16478765010370455, 0.16460905660780936, 0.16449338142944958, 0.16452550130790358, 0.16465375326308296, 0.1648802092205329, 0.1653766739289995, 0.165243749350093, 0.16539871686468768, 0.16499046251999244, 0.16478355051272664, 0.1649753565511241, 0.1650941470824872, 0.16517581027275988, 0.16507760551319695]","[0.16066777323613368, 0.16096177514150786, 0.1613943819867991, 0.1615388981256942, 0.1621325068329335, 0.16253727517258906, 0.1627881083137695, 0.1625133025030355, 0.16361895520382097, 0.16336668739435292, 0.16317868209956027, 0.1630134657073304, 0.16260669206036726, 0.16237352973895733, 0.16255132363238714, 0.16234429249219584]","[0.16413262637274098, 0.16453434831522548, 0.16450093148474704, 0.16422650675333939, 0.16408568099513718, 0.1642357906538691, 0.16408033015543158, 0.1641195565553414, 0.16442827403260782, 0.16467042541734492, 0.164708281871346, 0.16483835140659803, 0.16441657664360726, 0.1648793685618936, 0.16463639438853211, 0.16500491422323352]","[0.16384306717254157, 0.1641425910789634, 0.16442536821784193, 0.16457471463564816, 0.165166195018811, 0.16520369119461592, 0.16578722046948544, 0.16601142035081382, 0.16699393956253675, 0.16634634951810362, 0.1662842419584204, 0.166518261204189, 0.16595659882506747, 0.1660376163831724, 0.1657807705584322, 0.1656989189291902]"
r,"[0.12703584296600187, 0.12732780243139133, 0.12698907347844848, 0.127162332781765, 0.1270641490092048, 0.12729169664398363, 0.12733980611366094, 0.127326374944316, 0.1271382642644488, 0.1272532629672192, 0.12707153741704683, 0.1270475855631936, 0.12711165851745154, 0.12674529611610968, 0.12691851052980188, 0.1268192026685936]","[0.12764821867734397, 0.12775249125962282, 0.12802751836907744, 0.12780936518691496, 0.12810018750799726, 0.12779776305834206, 0.1278030233131368, 0.1277005438885053, 0.1273850401119296, 0.1274870658015075, 0.12740195764149326, 0.12763634592646866, 0.1274789565729575, 0.12719817359811678, 0.127333188288139, 0.12719269424665314]","[0.12706650988543225, 0.12701739821654706, 0.12721642691786234, 0.12695046791267509, 0.1271835436745747, 0.12720189422076175, 0.12723775110816307, 0.1275956318672167, 0.12657843381286638, 0.12674188358688426, 0.12672366406181404, 0.1268492969392862, 0.12696395372778718, 0.12706562104572974, 0.12712745022006255, 0.12671643074583694]","[0.1277147684570586, 0.12761826012618205, 0.1276501703122471, 0.1277107418196676, 0.12797237128150854, 0.12771348224563486, 0.12825397729768148, 0.12807238031042933, 0.12820162704951965, 0.1280217740862465, 0.12772976997320984, 0.12791325407954368, 0.12766534067423316, 0.1279036436446376, 0.12793897113775382, 0.12798842604974575]","[0.12808401200331718, 0.12827826484577765, 0.1281783044084479, 0.12830025633023082, 0.12813622538781527, 0.12833921260477354, 0.12819857533559484, 0.12801966294724537, 0.12804395230971885, 0.12802849899560612, 0.12797768707014567, 0.12808967636057136, 0.1281131789412734, 0.12822739484789902, 0.12789479465792297, 0.12787269482873048]","[0.1281215919539746, 0.1282130228387071, 0.12803035274053498, 0.12787955043249344, 0.12786126548014606, 0.12789113734016666, 0.1280089230631018, 0.1283453073734123, 0.12807384897421906, 0.1282085473013114, 0.12791120195055752, 0.1278030089144571, 0.12799156325479163, 0.12809385013773258, 0.12819039347813557, 0.12817422669232148]","[0.12721836940031228, 0.127155110932775, 0.12725511439026957, 0.12719928207373404, 0.12747993020797688, 0.1276345685781421, 0.12775330242187116, 0.1274191735106217, 0.12781137837681086, 0.12767261777079253, 0.12762242509590443, 0.12761385288776392, 0.12744399503570752, 0.12737418346581647, 0.1276528406695253, 0.12768569195684487]","[0.1277825717407963, 0.12809486859171695, 0.12807743154134646, 0.12791022016070155, 0.12782104279878237, 0.12792328972515646, 0.1278173515072253, 0.12789313059612797, 0.1280280546782851, 0.1281998447751002, 0.1282157121832616, 0.1283315582894441, 0.1280042060337012, 0.1283420154405114, 0.1281431404526221, 0.1284421345459868]","[0.1278491087626464, 0.12776086763289526, 0.1277076412971018, 0.127645097394789, 0.1279101313326346, 0.12776806684103495, 0.12807636586363297, 0.12813023057751663, 0.12839964566377884, 0.12801433942614462, 0.12806797102851555, 0.12840852732220456, 0.12812636878063785, 0.12831121470213058, 0.12827866120721101, 0.1283747017135325]"
i,"[0.08907008390118562, 0.08941149905694736, 0.08920023641060876, 0.08927434302268984, 0.08913320163160326, 0.08923655394540125, 0.08919292595362142, 0.08910063747339765, 0.08958481860942187, 0.08969030327449566, 0.08963256664851908, 0.08966880881841666, 0.0897504610099742, 0.08950040925521976, 0.08958115515186364, 0.08937242222900264]","[0.08953923515652497, 0.08955513831197368, 0.08971543211598403, 0.08953544088183481, 0.08973671830580418, 0.08951533010035195, 0.08953129914611714, 0.08948854433020038, 0.08990827013062169, 0.08995553221247274, 0.08985901607208255, 0.09002595707784844, 0.089916291558028, 0.08972671094595164, 0.0898436332717135, 0.08977345034291541]","[0.08921319132045087, 0.08921748655040956, 0.08942099003982577, 0.08932344483095939, 0.08957457091346971, 0.08964359439931874, 0.08968553654256219, 0.0898641590345569, 0.08962255041578134, 0.08981831443349997, 0.08980732014449741, 0.08985423387361098, 0.08988154879197167, 0.08988911400529921, 0.08988103536149655, 0.0895523675706425]","[0.08918341883580479, 0.08923356069124741, 0.08926760489408583, 0.08927498739379529, 0.08939691662378503, 0.08914242647301818, 0.08943633801794756, 0.08924695445937862, 0.08933938413215514, 0.08929269317662679, 0.08915094055532358, 0.08934345103548887, 0.0892262579332168, 0.08941668846617012, 0.08942190867244829, 0.0893315840164137]","[0.08929779735977067, 0.08945350224059205, 0.08935943923536356, 0.08944070625363011, 0.08932796641125641, 0.08949416071118631, 0.08935622564087072, 0.08922743804834571, 0.08928003262568421, 0.08928419455588214, 0.08924707674609922, 0.08932307102221008, 0.08934699020925786, 0.08937554783642847, 0.08919498882341687, 0.08918301583566345]","[0.08918750467031344, 0.08934185080584134, 0.0893219913461432, 0.08932943722719068, 0.08942082235538315, 0.08951215615625005, 0.08960264624135066, 0.08974324974034184, 0.0895121442213044, 0.08968775869769563, 0.08946099082449302, 0.0893103278041598, 0.0893335800838922, 0.0893030852169088, 0.08927434250486853, 0.08918007898676589]","[0.08979928371086433, 0.08989426852778852, 0.0900237966408468, 0.08999302349820296, 0.09016590948261168, 0.09023033884777314, 0.09028335116287303, 0.09001628211648321, 0.08974513993674596, 0.08969212537538429, 0.08970780626432794, 0.08977091476939518, 0.08970596582496344, 0.08968375811812514, 0.08983909579371979, 0.08972118972408866]","[0.08991677396750387, 0.09012768361743241, 0.09011668448963332, 0.09002306322435513, 0.08998625197795031, 0.09008142117643154, 0.09005904945447803, 0.09013048122221212, 0.08964194969915508, 0.0897538447723081, 0.08972853315244882, 0.08978369392947326, 0.08954092174210052, 0.08977164938204518, 0.08961386324743809, 0.08983367407533864]","[0.08781360357852633, 0.08783394838324073, 0.08785721123489203, 0.08788491551510506, 0.08812112472271655, 0.08805198267896695, 0.08823715019940709, 0.08817534517361013, 0.08789040649015134, 0.08773609216488944, 0.08778741006621496, 0.08797836909138432, 0.08771267034625714, 0.08774767863338019, 0.08763944645611473, 0.08758874811703385]"
z,"[0.05826559665649901, 0.058543714114319946, 0.05841751163402882, 0.058456372462903305, 0.058357968476915816, 0.05842397215464067, 0.05839715059036643, 0.058339017832369916, 0.058735454470586465, 0.058792517741728924, 0.058763898300346666, 0.05879990231990362, 0.058855521637900456, 0.05867768171960499, 0.05868790986966966, 0.05848007316061921]","[0.05843631852405079, 0.05843238653246288, 0.05853142324462299, 0.0583985934856342, 0.05851056861221089, 0.05835601256808624, 0.05838217639363667, 0.05838719908819599, 0.05892681567070772, 0.05891232117611636, 0.05879087002193267, 0.058890461143477756, 0.05881384237322979, 0.058699168362991605, 0.058767479773944226, 0.05871285917427587]","[0.058489894680242446, 0.05848971062750526, 0.058618802088665926, 0.05856589685147015, 0.058741647280868524, 0.05878799102371836, 0.05880742545839143, 0.05888168313489297, 0.058737109366655535, 0.058936048201293376, 0.058979875937121215, 0.05902456086047731, 0.059035577654967954, 0.05903243414981761, 0.05903583415741661, 0.05883089271526291]","[0.05828233959821385, 0.058331291873525114, 0.0583472625916022, 0.058313234874210466, 0.05834646072634009, 0.058139980086780785, 0.05829709174943983, 0.05814142583537628, 0.058041330754188686, 0.058070476615898474, 0.05804337505329232, 0.058226841616129704, 0.05818066848268193, 0.05833073967880669, 0.05836190611643412, 0.05829696785067995]","[0.058031126070969156, 0.05814752753771076, 0.05808351585247641, 0.0581427477100591, 0.05808348609159805, 0.05821595356073537, 0.05813941878407884, 0.05808208373875444, 0.058075226633184235, 0.05805549284607599, 0.058009540225159105, 0.05805309395960706, 0.05807909009985978, 0.058077174460824714, 0.05795243380292113, 0.057928213404451305]","[0.05806518284967421, 0.05815673041439344, 0.05814912376505552, 0.058190681120496454, 0.05827601556704332, 0.058321635683421864, 0.05833057754765183, 0.058367993839965986, 0.05837038463753675, 0.058500995253358716, 0.05835431163898341, 0.05824336423117732, 0.05823665499667124, 0.05821083794141283, 0.05819686628814908, 0.0581418863116094]","[0.05886355840535217, 0.05893730661157269, 0.05903089863930494, 0.058978398702676946, 0.05907692042073752, 0.05909455823003518, 0.059111885813247195, 0.05890358038574052, 0.05840208609322161, 0.058423525900988746, 0.058487709130999564, 0.05857874502303301, 0.05857324754637135, 0.0585881003311678, 0.05872335966486379, 0.058602341010052454]","[0.05894239614458198, 0.05904005231935099, 0.059013517908125576, 0.05891677457193279, 0.058883072458591625, 0.058934785329468845, 0.05892280567860929, 0.05897253299422622, 0.05831603538625229, 0.05843035765946985, 0.05844303896168598, 0.05849477632692616, 0.05833335575250547, 0.058494515179247454, 0.05841078012763839, 0.05860150874826932]","[0.05709037787682323, 0.057098447817692737, 0.05712234606769153, 0.05714484040257795, 0.05731028699698539, 0.057263268806773335, 0.057369703358194864, 0.05731324760734143, 0.05687295824936512, 0.05682783202003445, 0.05690974459440808, 0.05702570937655422, 0.05682790948692534, 0.0568179074175255, 0.05672105760974521, 0.0566546901339442]"
y,"[0.028179207388669376, 0.02828175091621774, 0.02821723689676831, 0.028219989001598465, 0.02816663239136853, 0.028192644935185623, 0.028177555174580194, 0.02814182172174947, 0.02842066320173704, 0.02843563754790434, 0.028417185389389615, 0.028435905026128937, 0.028465241772718468, 0.028354881738851537, 0.02833587268776822, 0.028219326863787978]","[0.02830785589685014, 0.028289122712968937, 0.02832358887639736, 0.02821049936497934, 0.028194129990202394, 0.028058083802501178, 0.02811503394624223, 0.028203967510445956, 0.02848529202187835, 0.028441834006238724, 0.028330658507659236, 0.02836978013614605, 0.028278211797561372, 0.028204290290349206, 0.02825219734563743, 0.028264717918083552]","[0.028429331149132007, 0.028400519056558233, 0.028439374920908204, 0.028401506424567353, 0.02848144023764557, 0.028458659052758732, 0.028439604196366212, 0.028503652818493742, 0.028356882198128323, 0.028473367486255147, 0.028532710573116814, 0.028622677655952517, 0.028620398237065386, 0.028638260705563405, 0.02867093307811839, 0.028633294724310036]","[0.0283365275467614, 0.02828959340612746, 0.02824784689423801, 0.028257823689412463, 0.02820779448419578, 0.02809356344523628, 0.028158293866295456, 0.02809421179273734, 0.02794126533809617, 0.0280369883612108, 0.028046737498540652, 0.028144228256298153, 0.028138358479328836, 0.028213832092827, 0.028272648354043483, 0.02838674822497391]","[0.027850290884812005, 0.027903355634981673, 0.02785493484890883, 0.027870425146138893, 0.027843635201444485, 0.02789091473026756, 0.027867488919239295, 0.02782901441310473, 0.027878556423014088, 0.027831336598274033, 0.027812247683653007, 0.027847249293657488, 0.027895569831060476, 0.027903513592257363, 0.027836700821829465, 0.027815094587511465]","[0.028087875365537977, 0.028107680087728668, 0.02813725894810829, 0.028183098293932108, 0.028235162452638383, 0.02822431939576787, 0.028152112983325123, 0.028164124577850957, 0.02840350546529523, 0.028434669276642698, 0.028354394029502936, 0.02830478286497676, 0.028267543836615384, 0.0282755707696307, 0.028282640358846825, 0.028310810329462165]","[0.028338114639943263, 0.02827351486907285, 0.02833710718306004, 0.028250551934780165, 0.028299320942644025, 0.028268496929794006, 0.028259461795758282, 0.02816623020047153, 0.027880652441244103, 0.02790429924194396, 0.02797956802616696, 0.028028128885814373, 0.028034149220664956, 0.028018230220602028, 0.028143604046315857, 0.028164275869722914]","[0.028355992595072124, 0.028391061863605436, 0.028389369383214007, 0.028354459522186532, 0.02831890117726101, 0.02833577490845833, 0.028355832955083725, 0.02840391819333363, 0.02804091517612001, 0.028128301476646057, 0.028185842485786573, 0.028203579916408563, 0.02810286711827403, 0.02814259901051718, 0.028094453547901636, 0.02819206286913945]","[0.027853651874085065, 0.027755936019909166, 0.027854423854327858, 0.027777150027197856, 0.027865481899706654, 0.027840266774553837, 0.027899421816428075, 0.02792767574591257, 0.027621079400956153, 0.027625965058630218, 0.027697218986491433, 0.02777637129176122, 0.027670037538101606, 0.027654421846880682, 0.027620260521482722, 0.02771023410168117]"
