,R24_S00,R24_S01,R24_S02,R24_S10,R24_S11,R24_S12,R24_S20,R24_S21,R24_S22
r,"[24.496677488631974, 24.497825541567984, 24.49553021845277, 24.494823632977244, 24.492331515399982, 24.49330303332655, 24.491184985725663, 24.488423918119196, 24.49538155208439, 24.495440358739657, 24.493779582347806, 24.49243102291864, 24.49152935909069, 24.489469882682524, 24.48953040990374, 24.48678202410123]","[24.48812371030233, 24.48687401073716, 24.485727190443644, 24.48183707475315, 24.479209868814735, 24.477310613965958, 24.474197235498707, 24.471727967666787, 24.486435687814446, 24.48499847920158, 24.48319695467766, 24.48212354926433, 24.478963127358625, 24.475373402262726, 24.473373833282096, 24.469424284390307]","[24.465505432357713, 24.46348923405313, 24.45852212442106, 24.4570027498974, 24.455525833866226, 24.451369450468313, 24.44598105348023, 24.426954970119084, 24.464322377617613, 24.460237943644838, 24.459496342655907, 24.456284274254173, 24.453937324569893, 24.45063819653467, 24.44690259790863, 24.43637711077743]","[24.495502326179324, 24.49349814885925, 24.489891891080703, 24.49217174535069, 24.489816112652925, 24.481268907275762, 24.48948072253355, 24.489019145172875, 24.494678630914787, 24.492971034244846, 24.48927375986548, 24.487570955698654, 24.48312471132296, 24.485893005482044, 24.48332270743968, 24.4840901286746]","[24.491096036001444, 24.49135277295266, 24.488245046260086, 24.48593983921722, 24.484182252317872, 24.480525748835596, 24.479875235705947, 24.47472050197734, 24.48881110671317, 24.48876181351801, 24.485950087693986, 24.483002220465508, 24.480977550832854, 24.480550557299292, 24.476997453871594, 24.472181100501714]","[24.475152273261614, 24.472660554345627, 24.467905932582607, 24.464604355634194, 24.459508950599137, 24.457104954860288, 24.45317016388155, 24.446733928441297, 24.470502909802264, 24.46696548908161, 24.46559094761279, 24.461637270095633, 24.4588605465726, 24.456079315397556, 24.452718643580994, 24.444766171175758]","[24.492706706180122, 24.494045314739388, 24.49317245090741, 24.49363856613772, 24.492431544374938, 24.491896788933744, 24.488879316861805, 24.486136254355458, 24.490848710837753, 24.49347879100732, 24.49007743405386, 24.488659268567723, 24.485254882914322, 24.48115065559108, 24.478664410107363, 24.48247694734914]","[24.47650772115059, 24.45826422829503, 24.466528303407863, 24.47300141470405, 24.45307858662331, 24.457225365284614, 24.435246512170426, 24.465803108543604, 24.403711741002937, 24.426132438973582, 24.35935415922805, 24.422530494298094, 24.35058370954577, 24.374554859165556, 24.38149564873277, 24.42781121780245]","[24.472294374597215, 24.46899590576238, 24.463810599840343, 24.46125207531472, 24.457728577681074, 24.456317369337526, 24.454171083086717, 24.443951746951512, 24.47026415226771, 24.46704994686933, 24.462823916645174, 24.461141022615628, 24.45956877320927, 24.456118615505893, 24.449075827982384, 24.43317156732049]"
i,"[24.023761739991038, 24.025461486984085, 24.023253118407432, 24.022387836865796, 24.019777917736356, 24.0203116805636, 24.017868741444474, 24.014975940670354, 24.025336677433963, 24.025418500687813, 24.024186695160335, 24.023216695860437, 24.022534780569245, 24.020522420572938, 24.02028122963671, 24.01692378521151]","[24.016134464227346, 24.01448300164278, 24.013312601305422, 24.009570838260274, 24.007397011305837, 24.00501252749241, 24.00200114323612, 23.999704046363306, 24.01748777055625, 24.016138906114627, 24.01396923798856, 24.013040481843454, 24.010166631841138, 24.006633152524692, 24.004829704584118, 24.00111356712066]","[23.994590761194395, 23.99245711488681, 23.988502167914845, 23.98691899227011, 23.985923910884335, 23.982179988905955, 23.97704622334725, 23.958524617126802, 23.997584038559893, 23.99442035013113, 23.992965357985938, 23.98985651917611, 23.98732457114391, 23.983876837540798, 23.97983718464068, 23.969188154630437]","[24.021780234011853, 24.020675797294338, 24.017831582057667, 24.019168992683852, 24.017112403961427, 24.00967619023431, 24.015928600207154, 24.014582320607367, 24.020640927579812, 24.01949274601823, 24.016507771494936, 24.01550338879892, 24.01194650676708, 24.014087245825554, 24.012045885401132, 24.011537795328827]","[24.015988698371675, 24.01634475208808, 24.01326716963582, 24.011212818146006, 24.00928582386898, 24.006377674385256, 24.00489082937622, 24.000012442505042, 24.01420354592417, 24.01410219465501, 24.011468506122362, 24.008941218605834, 24.00705539608306, 24.006044611793435, 24.002755899012534, 23.99837109445309]","[23.999085125474707, 23.997118480204893, 23.99317372418151, 23.990411760499057, 23.986494761136548, 23.984454141898514, 23.98069307275439, 23.974121331323254, 23.997425481072685, 23.994656037574295, 23.992434479119233, 23.988211407058365, 23.985101469753623, 23.98192821879356, 23.978008649882497, 23.96999195589941]","[24.02461813759664, 24.026043670548702, 24.025594620621792, 24.025675583930663, 24.024651406397044, 24.02403384299486, 24.021473670202198, 24.018419507029474, 24.021149923480824, 24.023000412836247, 24.02041360607238, 24.019463546281443, 24.016785058035353, 24.013648397135455, 24.01138438282166, 24.013183604948935]","[24.00902655489893, 23.995311019088547, 24.001018079575605, 24.005437115746865, 23.99015682060612, 23.992923902847107, 23.975943162977703, 23.99835114357588, 23.95104694814925, 23.968106847357937, 23.915366046922042, 23.964308880158715, 23.907203998526885, 23.925913854908917, 23.93041078167079, 23.966204630377774]","[23.98813233035518, 23.985331129951653, 23.980854808852843, 23.978648164203022, 23.97593027867886, 23.974138176799404, 23.971660393785154, 23.961330202361736, 23.985065815151817, 23.982154381120093, 23.97834240822814, 23.976605373782338, 23.974177982835492, 23.9703449588616, 23.963293782280623, 23.946521300585722]"
u,"[24.221500203568212, 24.23288565261104, 24.235802078409257, 24.2346235296503, 24.23025409622395, 24.238101579623113, 24.235609506978182, 24.227003884845377, 24.25154474582952, 24.252712375304817, 24.248834281131096, 24.24321144826245, 24.238190438728953, 24.234763867196037, 24.23374459930482, 24.223900880378423]","[24.266705434293417, 24.269223206514127, 24.26548749606526, 24.258702099339512, 24.24852681678509, 24.25514374799295, 24.253759327184827, 24.252427204565414, 24.27690994802803, 24.269752457464634, 24.269088135086395, 24.26586380750013, 24.255454798922095, 24.24927765990295, 24.2455676362706, 24.238019001131676]","[24.042992022895884, 24.076404245193217, 24.07246889992247, 24.092720956354107, 24.096756718557558, 24.091503735783967, 24.07813220689433, 24.02520872106713, 24.10121885977056, 24.098416380708663, 24.116403330499608, 24.105222923281858, 24.095715973456606, 24.079105733733094, 24.061624718141893, 24.025922906678392]","[24.15954063747936, 24.160985671222505, 24.149920541532175, 24.175479902600074, 24.165863942710406, 24.13205066951967, 24.175420940436037, 24.190712525541834, 24.206826966093896, 24.19919273419449, 24.183994650074865, 24.169543720474717, 24.147269510629016, 24.1594761591421, 24.139000981623134, 24.1449433238042]","[24.278349798420024, 24.28406080892172, 24.280383992923717, 24.2744483830447, 24.278745971644735, 24.264469954296416, 24.274997841834214, 24.26238618254278, 24.290128285191187, 24.294024340167482, 24.287668911668586, 24.274799521223237, 24.269077479806377, 24.27165671877737, 24.267056524727252, 24.25003000773254]","[24.22885565470167, 24.228782087961484, 24.221439348837748, 24.22212056137146, 24.206370452965608, 24.207528207688114, 24.203710776933395, 24.192044329422856, 24.22525679555146, 24.213519387827823, 24.225864647156634, 24.2166681069423, 24.20625488964031, 24.20003506918095, 24.1961214672733, 24.17890571801312]","[24.14030458898758, 24.168105223081746, 24.174679854948025, 24.19111208019625, 24.190353397939447, 24.192444077671816, 24.179440939963175, 24.185687938990938, 24.19168392019595, 24.21149781416562, 24.192846638684212, 24.184898009340632, 24.16640352225727, 24.1419019245409, 24.12465765518797, 24.145827695405256]","[24.155708336246587, 24.057648596974254, 24.109108348619518, 24.153765179013522, 24.054235007536235, 24.084230062318063, 23.988161989683213, 24.15485073861523, 23.828403750469988, 23.918135135652378, 23.692224536055413, 23.912521076428114, 23.674764458884038, 23.752514169462003, 23.784359373709442, 23.96327818923128]","[24.07154497331238, 24.084672315054476, 24.084343554989758, 24.092462650775875, 24.086337843772576, 24.1045588091538, 24.11169724755569, 24.096568206525035, 24.142265400558287, 24.14260286311671, 24.127693706831288, 24.11613740824826, 24.119374086189286, 24.107534774446794, 24.081162158152406, 24.05940309988828]"
z,"[23.41996968202393, 23.42225654682624, 23.420193569476123, 23.419308418756383, 23.41679940970466, 23.41708240448811, 23.41462982936529, 23.41198549077235, 23.424269958246654, 23.424174788627347, 23.42311471146317, 23.42238225993809, 23.42176322799415, 23.419602248883326, 23.41878722082462, 23.414655670546537]","[23.412105181805575, 23.410195940792036, 23.40908129764915, 23.405471328926946, 23.403576898520555, 23.400780346527, 23.39806736965833, 23.396233372360562, 23.417207613680155, 23.415614112756423, 23.412778526241315, 23.411842193578217, 23.409088940562597, 23.405564329072977, 23.403766427984994, 23.400061609616614]","[23.393472021234373, 23.391214620778783, 23.388032273292858, 23.386230170029354, 23.385517289215983, 23.38199684190051, 23.376916546003567, 23.35860742095773, 23.39789347781049, 23.395992501564255, 23.394415159149855, 23.39165440502436, 23.389047247677613, 23.38559053580711, 23.381482635727394, 23.370888893290946]","[23.418401252701845, 23.417925797584296, 23.415775096908476, 23.416004905856582, 23.41401086831384, 23.407470633934565, 23.41187969295067, 23.409600486319714, 23.414733091243576, 23.414323785388742, 23.41239116342243, 23.412337459691447, 23.409723012950444, 23.411453838518497, 23.41016645887217, 23.408825101081035]","[23.409068119725227, 23.40947272222104, 23.40649169649823, 23.40472725262019, 23.402777810027235, 23.40070402021342, 23.398885401666483, 23.39466339562771, 23.408442528004276, 23.407910824513085, 23.405171077353216, 23.402946146764926, 23.401220654750137, 23.39976548345818, 23.39646066359809, 23.392398105667404]","[23.39304146514401, 23.391230713951693, 23.387783180516287, 23.385500996103254, 23.382551364759422, 23.380544179724858, 23.37656108857557, 23.36969680762468, 23.39399525391972, 23.39191249172217, 23.388995114121236, 23.3846312833155, 23.381369294557867, 23.37803719076268, 23.3739056559155, 23.36611353309456]","[23.424292506478274, 23.425608017242077, 23.425471320810765, 23.42500461076446, 23.424076890197284, 23.423348278516393, 23.4211060578817, 23.41758585098109, 23.417287351748406, 23.41882504917001, 23.417298599402784, 23.416979586155882, 23.415076466882066, 23.412925607232847, 23.41124837532567, 23.411273754980144]","[23.410933690519002, 23.40105585859903, 23.404170137406098, 23.4063485992189, 23.39510008291356, 23.39645437487909, 23.383847032926205, 23.398900187502452, 23.364434039430435, 23.376637940532692, 23.338090228351255, 23.3732443979441, 23.33085087179816, 23.344418963281, 23.34678759642255, 23.372769873393793]","[23.382454546847157, 23.37974337033618, 23.375873255485168, 23.373765256648888, 23.371786611215935, 23.3695533106842, 23.366770156450535, 23.356506762937368, 23.377200869112805, 23.37468653611069, 23.37160169328588, 23.369847947726274, 23.366581057003184, 23.362376199955296, 23.355354717902127, 23.33793995938269]"
g,"[24.978660857822035, 24.981146519716116, 24.97949535015942, 24.97866953796701, 24.975674780834314, 24.977613094813176, 24.975377054190446, 24.971578011111266, 24.980365508854526, 24.98078651830832, 24.978785782307664, 24.976830586608944, 24.9754577517567, 24.973214059055017, 24.973200089231028, 24.969518570100398]","[24.97755858607792, 24.976845981068873, 24.975244396238413, 24.970655154080486, 24.966556964501798, 24.966160576558558, 24.963144319585105, 24.960744610423493, 24.97697037009701, 24.97462540990842, 24.97317204846093, 24.97170242432316, 24.967425710788863, 24.963588294722427, 24.96124554815442, 24.956746642287033]","[24.932391165842283, 24.93403216924472, 24.928071891075735, 24.92946091806111, 24.928544243889917, 24.924282109432717, 24.91808618551325, 24.894847040288017, 24.93743920580653, 24.93249854230172, 24.934427049412314, 24.929851430193676, 24.92656686842332, 24.921687970746977, 24.916759479435772, 24.903730165605065]","[24.969205865703525, 24.967336082719015, 24.962080386878014, 24.96796452532701, 24.96401931811271, 24.95066695488565, 24.964928360052735, 24.96689669708559, 24.973451273510495, 24.97089819013958, 24.965376681813822, 24.961738610915678, 24.954439273856632, 24.959246191988555, 24.953734338295234, 24.955851557476688]","[24.980109639143887, 24.98097017409698, 24.977581937243745, 24.974488736460785, 24.973669809760818, 24.968012202304177, 24.96955553246835, 24.963251760831575, 24.979039715104566, 24.979569224787284, 24.976061482872215, 24.971390531120395, 24.968840115459827, 24.969278282338262, 24.965584105735843, 24.958845537299776]","[24.960654755847205, 24.95851183115862, 24.953141810142228, 24.95040391148584, 24.943304206876522, 24.941322911382468, 24.93724805038439, 24.929754941237434, 24.95498618122052, 24.950115592559822, 24.951253695236797, 24.946527708278126, 24.942609552729706, 24.93921164323112, 24.935821117433633, 24.92621219362289]","[24.964736773355188, 24.969905799397715, 24.96978843332811, 24.972649842870304, 24.971221616572624, 24.970899767638187, 24.966095932070576, 24.964492059340948, 24.96841502272629, 24.97434094214378, 24.968417596660093, 24.96602654761457, 24.96031184774986, 24.95271082251141, 24.94792588973089, 24.955258450161704]","[24.9507224757399, 24.916809263301552, 24.933789713543455, 24.947669034093607, 24.9122453890167, 24.921589158123652, 24.88386687952878, 24.942055735507566, 24.82098257317027, 24.860412394944724, 24.750052582975332, 24.856233266968136, 24.738667523704738, 24.778145890892183, 24.792119175816772, 24.871999066741555]","[24.95398545036274, 24.95218815161797, 24.946947799526786, 24.945459625180327, 24.940986322629787, 24.942404773388564, 24.94162768511296, 24.93040823978887, 24.95911720117331, 24.95650029703377, 24.950555889794718, 24.94749277875465, 24.946932860877435, 24.9424471184218, 24.932822599288695, 24.916815565415423]"
y,"[22.46157615942002, 22.46320307912939, 22.46109549094553, 22.459946926397933, 22.45746179862002, 22.457609771408684, 22.455190201311783, 22.452483003636573, 22.466221109830343, 22.465810322070542, 22.46463311214355, 22.463878596611412, 22.463326806888738, 22.460629362301642, 22.459282085684602, 22.454808501867127]","[22.454359179245223, 22.452080789907477, 22.450762767349136, 22.446294141923445, 22.443119958386383, 22.43906211962733, 22.437389698292435, 22.437282460821255, 22.458364001361037, 22.45614771812118, 22.452163525669473, 22.45101227935578, 22.447280320478026, 22.443308387390893, 22.441671295834244, 22.43863066553431]","[22.438111551529232, 22.43513737678494, 22.431615399864896, 22.429316740097413, 22.428445153144036, 22.423926913185962, 22.41833745745225, 22.400785651988944, 22.43798337977407, 22.43665499580446, 22.435695592264445, 22.4343755660498, 22.4316675943039, 22.42873577956672, 22.425431303671235, 22.41614528892497]","[22.46336174057538, 22.461604454421376, 22.45847019848819, 22.459047605815904, 22.455943946102067, 22.44959636526835, 22.453312884163154, 22.451071300547255, 22.45398152380797, 22.455265230231312, 22.453901124752036, 22.45417153750678, 22.452047977402593, 22.453669044847857, 22.453649572302552, 22.455121736441463]","[22.446083889863772, 22.446461990505007, 22.4432064646084, 22.441306441935694, 22.43937577306774, 22.4372220133422, 22.435529388064882, 22.43118527200553, 22.44582252831928, 22.4444325512915, 22.44173491162625, 22.439899003882616, 22.4389802326654, 22.437663994979932, 22.434138711725318, 22.429981914326692]","[22.434624743194668, 22.432229269091398, 22.429498268961396, 22.427702233324673, 22.425127587931684, 22.422399006386527, 22.41680208174972, 22.40990732591129, 22.43904717671527, 22.436636047167397, 22.43321965333494, 22.428935661576478, 22.425113951890992, 22.422368830946258, 22.418619675943614, 22.412185130972595]","[22.463108373011448, 22.46212198524836, 22.462371326300705, 22.460491064040284, 22.45971135950515, 22.45828424678166, 22.455818716863455, 22.45239960172874, 22.451485738256718, 22.453024209796947, 22.45259775521102, 22.45240420450273, 22.450810189260213, 22.448478339035248, 22.448280196570035, 22.4494763185352]","[22.450179246916605, 22.441322694418943, 22.444087353522452, 22.44554505289556, 22.43518816468446, 22.435894526076922, 22.425243167807828, 22.438167185071862, 22.408776259152575, 22.41993390573264, 22.38754754474988, 22.4175671277996, 22.37997206480784, 22.390821191971654, 22.392303908756254, 22.414946801439868]","[22.428947503063092, 22.42383598449215, 22.422153016134484, 22.417927773426293, 22.416380488059453, 22.41388484017933, 22.411200074962487, 22.402286263534442, 22.421182107334225, 22.41912544579928, 22.416908060873332, 22.415716006800864, 22.4120770664067, 22.40770011479696, 22.401147015120394, 22.386129151554137]"
fS,"[1.2232190641938043, 1.22946517494419, 1.2258655796777425, 1.2236865230093292, 1.2175103933045914, 1.220389116211873, 1.2150363325386278, 1.207384835865862, 1.235990430373179, 1.2360634146377318, 1.2324926446949633, 1.22917337463027, 1.226552761084331, 1.2210907606616428, 1.2194677453882798, 1.2094693198149689]","[1.2195695816408345, 1.216621765152267, 1.213226914190281, 1.2035339136133338, 1.1958052694348846, 1.1918830006177163, 1.1866697912093607, 1.1834792312960176, 1.2271235765947992, 1.221732343617635, 1.215916957262938, 1.2129865015606458, 1.203909148648041, 1.1951095606104312, 1.1906650521174869, 1.181908185344078]","[1.1328593622023795, 1.1343936604283784, 1.1261907926749828, 1.126653172329127, 1.1255755600484947, 1.1169720524355986, 1.1045160098940343, 1.0617322672020926, 1.1463812315339004, 1.1410169924468931, 1.1425244265059538, 1.1355865679091517, 1.1288251943411325, 1.1195098543658484, 1.1093077645645575, 1.0842797509959947]","[1.2077184911231633, 1.2052213064414095, 1.196769994119053, 1.2046574973195856, 1.1974525112967274, 1.1758271041689652, 1.1962317481216194, 1.1965550446127933, 1.2095733521004806, 1.2072005565477804, 1.1989199792901504, 1.194561535636565, 1.1835292180344108, 1.1902974807326363, 1.1831813540215395, 1.1851143117411427]","[1.2166977161082795, 1.218944821458137, 1.2117632859811305, 1.2061965784156512, 1.2037024716939873, 1.194647605266525, 1.1948093105333821, 1.1825369332457687, 1.217662564364418, 1.2175304720048534, 1.2103951021447086, 1.2022786448344702, 1.197722124463914, 1.1963924992675297, 1.1885396757653832, 1.1757057963639612]","[1.1754865391189857, 1.1712809528224328, 1.1625823736120267, 1.1581523126652487, 1.147642033084085, 1.14352154041363, 1.1342482672233323, 1.119069413025055, 1.1751338082530896, 1.1671170004879903, 1.1653199019262535, 1.1550600519193632, 1.1462747009363796, 1.1392076894567866, 1.1312658378577907, 1.1136040055696994]","[1.2060395167111793, 1.2133643430329144, 1.214374413905256, 1.216970816200811, 1.214826836327271, 1.2134880570348836, 1.2052720589309192, 1.2003362107796456, 1.203993404937131, 1.2125892810350667, 1.2044786037996744, 1.2013065861782373, 1.1924868318099375, 1.181336342063479, 1.174730661994622, 1.182646664793276]","[1.1808146259012333, 1.1366192222204656, 1.156038932838305, 1.1723302669923217, 1.1252567845006305, 1.1350737556547625, 1.0891752872663414, 1.158607156770488, 1.024384701752446, 1.0644116320878367, 0.9559790349063586, 1.057836994816726, 0.9411494635400832, 0.976248435407464, 0.9860868588565759, 1.0670167626349953]","[1.1296305443759431, 1.1251421504218304, 1.1183694348947677, 1.1144220389277772, 1.1088099294225695, 1.108727515644674, 1.105545348087299, 1.0846380981997672, 1.1344374183953332, 1.1296839943843704, 1.120502971118971, 1.1152168059007357, 1.1107154539123612, 1.1009238209981578, 1.0831952381622285, 1.0505498562375448]"
