,R22_S00,R22_S01,R22_S02,R22_S10,R22_S11,R22_S12,R22_S20,R22_S21,R22_S22
raDeg,"[-0.3342777777777778, -0.30583333333333335, -0.2773888888888889, -0.24894444444444444, -0.22049999999999997, -0.19205555555555553, -0.16361111111111112, -0.13516666666666666, -0.13516666666666666, -0.16361111111111112, -0.19205555555555556, -0.22049999999999997, -0.24894444444444444, -0.2773888888888889, -0.3058333333333333, -0.3342777777777778]","[-0.09955555555555556, -0.07111111111111111, -0.04266666666666668, -0.014222222222222233, 0.014222222222222214, 0.042666666666666665, 0.07111111111111108, 0.09955555555555556, 0.09955555555555555, 0.07111111111111108, 0.042666666666666665, 0.014222222222222214, -0.014222222222222237, -0.04266666666666668, -0.07111111111111111, -0.09955555555555555]","[0.13516666666666666, 0.16361111111111112, 0.19205555555555553, 0.22049999999999997, 0.24894444444444444, 0.2773888888888889, 0.3058333333333333, 0.3342777777777778, 0.3342777777777778, 0.3058333333333333, 0.2773888888888889, 0.24894444444444444, 0.22049999999999997, 0.19205555555555556, 0.16361111111111112, 0.13516666666666666]","[-0.3342777777777778, -0.30583333333333335, -0.2773888888888889, -0.24894444444444444, -0.2205, -0.19205555555555553, -0.16361111111111112, -0.13516666666666666, -0.13516666666666666, -0.16361111111111112, -0.19205555555555553, -0.2205, -0.24894444444444444, -0.2773888888888889, -0.30583333333333335, -0.3342777777777778]","[-0.09955555555555558, -0.07111111111111111, -0.04266666666666668, -0.014222222222222233, 0.014222222222222214, 0.042666666666666665, 0.0711111111111111, 0.09955555555555558, 0.09955555555555558, 0.07111111111111108, 0.042666666666666665, 0.014222222222222214, -0.014222222222222233, -0.04266666666666668, -0.07111111111111111, -0.09955555555555558]","[0.13516666666666666, 0.1636111111111111, 0.19205555555555553, 0.2205, 0.24894444444444444, 0.2773888888888889, 0.3058333333333333, 0.3342777777777778, 0.3342777777777778, 0.3058333333333333, 0.2773888888888889, 0.24894444444444444, 0.2205, 0.19205555555555553, 0.1636111111111111, 0.13516666666666666]","[-0.3342777777777778, -0.3058333333333333, -0.2773888888888889, -0.24894444444444444, -0.22049999999999997, -0.19205555555555553, -0.16361111111111112, -0.13516666666666666, -0.13516666666666668, -0.16361111111111112, -0.19205555555555553, -0.2205, -0.24894444444444444, -0.2773888888888889, -0.30583333333333335, -0.33427777777777773]","[-0.09955555555555555, -0.07111111111111111, -0.04266666666666668, -0.014222222222222233, 0.014222222222222214, 0.042666666666666665, 0.0711111111111111, 0.09955555555555555, 0.09955555555555555, 0.0711111111111111, 0.04266666666666666, 0.014222222222222214, -0.014222222222222237, -0.04266666666666667, -0.07111111111111112, -0.09955555555555555]","[0.13516666666666666, 0.16361111111111112, 0.19205555555555553, 0.22049999999999997, 0.24894444444444444, 0.2773888888888889, 0.3058333333333333, 0.3342777777777778, 0.33427777777777773, 0.3058333333333333, 0.2773888888888889, 0.24894444444444444, 0.2205, 0.19205555555555553, 0.1636111111111111, 0.13516666666666668]"
decDeg,"[-0.17911111111111108, -0.1791111111111111, -0.1791111111111111, -0.17911111111111105, -0.17911111111111105, -0.17911111111111105, -0.17911111111111108, -0.1791111111111111, -0.29033333333333333, -0.29033333333333333, -0.29033333333333333, -0.29033333333333333, -0.29033333333333333, -0.29033333333333333, -0.29033333333333333, -0.29033333333333333]","[-0.17911111111111108, -0.17911111111111108, -0.17911111111111108, -0.17911111111111105, -0.17911111111111105, -0.17911111111111108, -0.17911111111111108, -0.17911111111111108, -0.2903333333333334, -0.29033333333333333, -0.29033333333333333, -0.2903333333333334, -0.2903333333333334, -0.29033333333333333, -0.29033333333333333, -0.2903333333333334]","[-0.1791111111111111, -0.17911111111111108, -0.17911111111111105, -0.17911111111111105, -0.17911111111111105, -0.1791111111111111, -0.17911111111111108, -0.17911111111111108, -0.29033333333333333, -0.29033333333333333, -0.29033333333333333, -0.29033333333333333, -0.29033333333333333, -0.29033333333333333, -0.29033333333333333, -0.29033333333333333]","[0.05561111111111111, 0.05561111111111112, 0.05561111111111112, 0.05561111111111112, 0.05561111111111112, 0.05561111111111112, 0.05561111111111111, 0.05561111111111112, -0.055611111111111104, -0.055611111111111104, -0.055611111111111104, -0.055611111111111104, -0.05561111111111111, -0.055611111111111104, -0.05561111111111111, -0.055611111111111104]","[0.055611111111111125, 0.05561111111111112, 0.05561111111111112, 0.05561111111111111, 0.05561111111111111, 0.05561111111111112, 0.05561111111111112, 0.055611111111111125, -0.05561111111111111, -0.055611111111111104, -0.05561111111111111, -0.05561111111111111, -0.05561111111111111, -0.05561111111111111, -0.05561111111111111, -0.05561111111111111]","[0.05561111111111112, 0.05561111111111112, 0.05561111111111112, 0.05561111111111112, 0.05561111111111112, 0.05561111111111112, 0.05561111111111112, 0.05561111111111111, -0.055611111111111104, -0.0556111111111111, -0.055611111111111104, -0.05561111111111111, -0.055611111111111104, -0.055611111111111104, -0.055611111111111104, -0.055611111111111104]","[0.2903333333333334, 0.2903333333333334, 0.2903333333333334, 0.2903333333333334, 0.2903333333333334, 0.2903333333333334, 0.2903333333333334, 0.2903333333333334, 0.17911111111111114, 0.1791111111111111, 0.1791111111111111, 0.17911111111111114, 0.17911111111111108, 0.17911111111111114, 0.17911111111111114, 0.1791111111111111]","[0.2903333333333334, 0.2903333333333334, 0.2903333333333334, 0.2903333333333334, 0.2903333333333334, 0.2903333333333334, 0.2903333333333334, 0.2903333333333334, 0.17911111111111114, 0.1791111111111111, 0.1791111111111111, 0.1791111111111111, 0.1791111111111111, 0.1791111111111111, 0.1791111111111111, 0.17911111111111114]","[0.2903333333333334, 0.2903333333333334, 0.2903333333333334, 0.2903333333333334, 0.2903333333333334, 0.2903333333333334, 0.2903333333333334, 0.2903333333333334, 0.1791111111111111, 0.17911111111111114, 0.17911111111111114, 0.17911111111111108, 0.17911111111111114, 0.1791111111111111, 0.1791111111111111, 0.17911111111111114]"
radDeg,"[0.37923878868729827, 0.3544213780480695, 0.3301895442897789, 0.3066821231624331, 0.2840790061670873, 0.26261379703032955, 0.24258874377193734, 0.2243897466181668, 0.3202550793464435, 0.333259374974336, 0.3481069737289579, 0.36457273389342293, 0.382447709403049, 0.40154374798526515, 0.42169499837411456, 0.4427574062064714]","[0.20491965859759376, 0.1927110888730346, 0.18412286288747456, 0.17967487601082072, 0.17967487601082072, 0.18412286288747456, 0.1927110888730346, 0.20491965859759376, 0.30692778996782905, 0.29891502352061866, 0.2934516541230003, 0.2906814653845686, 0.2906814653845686, 0.2934516541230003, 0.29891502352061866, 0.30692778996782905]","[0.2243897466181668, 0.24258874377193734, 0.26261379703032955, 0.2840790061670873, 0.3066821231624331, 0.3301895442897789, 0.35442137804806945, 0.37923878868729827, 0.4427574062064714, 0.42169499837411456, 0.40154374798526515, 0.382447709403049, 0.36457273389342293, 0.3481069737289579, 0.333259374974336, 0.3202550793464435]","[0.3388719423409493, 0.3108481849476097, 0.28290840778577353, 0.2550802082441977, 0.2274045523099515, 0.19994479367075535, 0.1728038858132491, 0.1461595625323316, 0.1461595625323316, 0.1728038858132491, 0.19994479367075535, 0.2274045523099515, 0.2550802082441977, 0.28290840778577353, 0.3108481849476097, 0.3388719423409493]","[0.11403464915823877, 0.0902739398416738, 0.07009307777378357, 0.057400933968302155, 0.057400933968302155, 0.07009307777378355, 0.0902739398416738, 0.11403464915823877, 0.11403464915823876, 0.09027393984167377, 0.07009307777378355, 0.057400933968302155, 0.057400933968302155, 0.07009307777378357, 0.0902739398416738, 0.11403464915823876]","[0.1461595625323316, 0.17280388581324907, 0.19994479367075535, 0.2274045523099515, 0.2550802082441977, 0.28290840778577353, 0.31084818494760963, 0.3388719423409493, 0.3388719423409493, 0.31084818494760963, 0.28290840778577353, 0.2550802082441977, 0.2274045523099515, 0.19994479367075535, 0.17280388581324907, 0.1461595625323316]","[0.4427574062064714, 0.42169499837411456, 0.40154374798526515, 0.38244770940304906, 0.36457273389342304, 0.34810697372895794, 0.33325937497433605, 0.32025507934644354, 0.2243897466181668, 0.2425887437719374, 0.2626137970303296, 0.28407900616708737, 0.30668212316243315, 0.3301895442897789, 0.3544213780480695, 0.37923878868729827]","[0.30692778996782905, 0.2989150235206187, 0.29345165412300034, 0.2906814653845686, 0.2906814653845686, 0.29345165412300034, 0.2989150235206187, 0.30692778996782905, 0.20491965859759378, 0.19271108887303462, 0.18412286288747462, 0.17967487601082077, 0.17967487601082077, 0.18412286288747462, 0.19271108887303465, 0.20491965859759378]","[0.32025507934644354, 0.33325937497433605, 0.34810697372895794, 0.36457273389342304, 0.38244770940304906, 0.40154374798526515, 0.42169499837411456, 0.4427574062064714, 0.37923878868729827, 0.35442137804806945, 0.3301895442897789, 0.30668212316243315, 0.28407900616708737, 0.2626137970303296, 0.24258874377193734, 0.2243897466181668]"
effarea,"[34.105031930896814, 34.15803283999528, 34.135403155090835, 34.08223236288363, 34.07522668314892, 34.06911885012802, 34.056015131795185, 34.08153736009019, 34.097176619906136, 34.14721546620609, 34.16465299549075, 34.140976824521616, 34.09888699525922, 34.07197993451063, 34.11716353204808, 34.105592271442895]","[34.09448031686788, 34.08089140452934, 34.06285967687009, 34.05409004267969, 34.05409004267969, 34.06285967687009, 34.08089140452934, 34.09448031686788, 34.08248992517607, 34.07522668314892, 34.07522668314892, 34.07522668314892, 34.07522668314892, 34.07522668314892, 34.07522668314892, 34.08248992517607]","[34.08153736009019, 34.056015131795185, 34.06911885012802, 34.07522668314892, 34.08223236288363, 34.135403155090835, 34.15803283999528, 34.105031930896814, 34.105592271442895, 34.11716353204808, 34.07197993451063, 34.09888699525922, 34.140976824521616, 34.16465299549075, 34.14721546620609, 34.097176619906136]","[34.16881189894204, 34.086600150473366, 34.07522668314892, 34.06475743728054, 34.076258350562526, 34.09607919710712, 34.051695097976264, 34.05691859064875, 34.05691859064875, 34.051695097976264, 34.09607919710712, 34.076258350562526, 34.06475743728054, 34.07522668314892, 34.086600150473366, 34.16881189894204]","[34.05852698568694, 34.009013994779714, 34.019014825932864, 34.03748120486205, 34.03748120486205, 34.019014825932864, 34.009013994779714, 34.05852698568694, 34.05852698568694, 34.009013994779714, 34.019014825932864, 34.03748120486205, 34.03748120486205, 34.019014825932864, 34.009013994779714, 34.05852698568694]","[34.05691859064875, 34.051695097976264, 34.09607919710712, 34.076258350562526, 34.06475743728054, 34.07522668314892, 34.086600150473366, 34.16881189894204, 34.16881189894204, 34.086600150473366, 34.07522668314892, 34.06475743728054, 34.076258350562526, 34.09607919710712, 34.051695097976264, 34.05691859064875]","[34.105592271442895, 34.11716353204808, 34.07197993451063, 34.09888699525922, 34.140976824521616, 34.16465299549075, 34.14721546620609, 34.097176619906136, 34.08153736009019, 34.056015131795185, 34.06911885012802, 34.07522668314892, 34.08223236288363, 34.135403155090835, 34.15803283999528, 34.105031930896814]","[34.08248992517607, 34.07522668314892, 34.07522668314892, 34.07522668314892, 34.07522668314892, 34.07522668314892, 34.07522668314892, 34.08248992517607, 34.09448031686788, 34.08089140452934, 34.06285967687009, 34.05409004267969, 34.05409004267969, 34.06285967687009, 34.08089140452934, 34.09448031686788]","[34.097176619906136, 34.14721546620609, 34.16465299549075, 34.140976824521616, 34.09888699525922, 34.07197993451063, 34.11716353204808, 34.105592271442895, 34.105031930896814, 34.15803283999528, 34.135403155090835, 34.08223236288363, 34.07522668314892, 34.06911885012802, 34.056015131795185, 34.08153736009019]"
readnoise,"[5.276, 5.31, 5.35, 5.207, 5.209, 5.132, 5.124, 5.156, 5.244, 5.292, 5.427, 5.179, 5.23, 5.187, 5.147, 5.279]","[5.011, 5.047, 5.04, 5.077, 5.06, 5.054, 5.067, 5.056, 5.131, 5.126, 5.127, 5.113, 5.107, 5.094, 5.271, 5.085]","[5.157, 5.184, 5.136, 5.179, 5.185, 5.277, 5.17, 5.194, 5.336, 5.214, 5.246, 5.518, 5.315, 5.294, 5.258, 5.26]","[5.646, 5.903, 6.783, 6.728, 5.726, 5.686, 5.528, 5.304, 5.857, 5.59, 5.983, 5.746, 6.144, 5.729, 5.765, 5.524]","[5.642, 5.861, 5.475, 5.493, 5.972, 7.121, 7.381, 5.875, 5.968, 5.296, 5.448, 5.168, 5.296, 5.562, 5.947, 5.41]","[5.494, 5.562, 5.723, 6.093, 5.969, 6.369, 6.365, 6.589, 5.92, 5.618, 6.05, 5.892, 5.71, 5.538, 5.539, 5.294]","[5.026, 5.021, 5.179, 5.135, 5.038, 4.992, 5.072, 5.191, 6.377, 5.55, 5.88, 5.559, 5.37, 5.584, 5.303, 5.127]","[5.431, 5.115, 5.168, 5.168, 5.144, 5.175, 5.122, 5.281, 5.465, 5.227, 5.199, 5.418, 5.204, 5.203, 5.467, 5.361]","[5.061, 5.006, 5.721, 5.272, 5.655, 5.292, 5.818, 5.102, 7.086, 6.733, 7.232, 6.637, 7.12, 6.894, 6.129, 5.606]"
gain,"[1.13363, 1.13924, 1.14159, 1.12823, 1.12049, 1.11689, 1.11823, 1.11963, 1.15505, 1.16376, 1.16142, 1.15927, 1.1674, 1.16757, 1.16235, 1.17143]","[1.11766, 1.11447, 1.12578, 1.12316, 1.12484, 1.11793, 1.12416, 1.12578, 1.12881, 1.12399, 1.11926, 1.12022, 1.12067, 1.12037, 1.11814, 1.12727]","[1.14404, 1.13856, 1.14042, 1.14685, 1.14297, 1.13356, 1.13066, 1.13195, 1.13283, 1.13073, 1.14587, 1.13629, 1.14822, 1.14107, 1.14873, 1.16145]","[1.11531, 1.12227, 1.14053, 1.16278, 1.16361, 1.18769, 1.16909, 1.15185, 1.12377, 1.12231, 1.12907, 1.13058, 1.13623, 1.13295, 1.15074, 1.14892]","[1.07111, 1.07642, 1.08801, 1.08732, 1.09222, 1.09321, 1.09265, 1.09407, 1.0565, 1.06473, 1.06227, 1.06802, 1.06318, 1.06675, 1.06423, 1.05399]","[1.14819, 1.15557, 1.13999, 1.13826, 1.13634, 1.13028, 1.12698, 1.13287, 1.12468, 1.13275, 1.12301, 1.133, 1.12479, 1.13799, 1.12727, 1.13693]","[1.12034, 1.11019, 1.11886, 1.10726, 1.10721, 1.09975, 1.10376, 1.10026, 1.12286, 1.12177, 1.11196, 1.119, 1.1142, 1.11746, 1.12009, 1.12563]","[1.15124, 1.14362, 1.13904, 1.14202, 1.12517, 1.12651, 1.13188, 1.12327, 1.1614, 1.16392, 1.16266, 1.16062, 1.14752, 1.15721, 1.16629, 1.15747]","[1.10947, 1.10873, 1.11872, 1.12326, 1.12633, 1.12676, 1.13459, 1.12937, 1.14504, 1.14382, 1.14913, 1.14652, 1.14968, 1.15525, 1.15397, 1.16821]"
saturation,"[106478.0, 107058.0, 107255.0, 108397.0, 109551.0, 98186.0, 98235.0, 108801.0, 102081.0, 102074.0, 113696.0, 102236.0, 101550.0, 101368.0, 101585.0, 99888.0]","[108042.0, 108349.0, 107199.0, 106529.0, 106070.0, 106544.0, 105809.0, 115915.0, 112518.0, 114480.0, 115563.0, 115950.0, 116541.0, 116780.0, 117657.0, 116027.0]","[113744.0, 114186.0, 112914.0, 111218.0, 110515.0, 110378.0, 109645.0, 107731.0, 105975.0, 107546.0, 107430.0, 108955.0, 109022.0, 110171.0, 110314.0, 109221.0]","[100052.0, 100628.0, 99691.0, 98585.0, 99284.0, 98100.0, 99199.0, 110677.0, 100608.0, 101488.0, 101540.0, 101090.0, 100248.0, 100005.0, 97978.0, 96710.0]","[116925.0, 116421.0, 114390.0, 113959.0, 112810.0, 111829.0, 111273.0, 109632.0, 113821.0, 114362.0, 115061.0, 114863.0, 115921.0, 116211.0, 116972.0, 117803.0]","[116249.0, 115398.0, 115506.0, 114621.0, 113873.0, 113528.0, 112837.0, 110440.0, 110829.0, 111587.0, 113698.0, 113874.0, 103355.0, 103430.0, 117786.0, 117300.0]","[106912.0, 108898.0, 108582.0, 110008.0, 110155.0, 111261.0, 110914.0, 110352.0, 110901.0, 111809.0, 112522.0, 112205.0, 112135.0, 111589.0, 110523.0, 108767.0]","[106462.0, 106740.0, 106861.0, 106200.0, 107229.0, 106529.0, 105627.0, 104930.0, 102944.0, 104088.0, 104738.0, 94380.0, 96122.0, 95914.0, 107110.0, 96121.0]","[116820.0, 116729.0, 115088.0, 113668.0, 112664.0, 111488.0, 109926.0, 108789.0, 108652.0, 110355.0, 110874.0, 112062.0, 112880.0, 113246.0, 114171.0, 101202.0]"
