,R22_S00,R22_S01,R22_S02,R22_S10,R22_S11,R22_S12,R22_S20,R22_S21,R22_S22
u,"[0.06562669878518175, 0.06565529899500833, 0.06578735074221156, 0.06587838354388596, 0.06595713065556531, 0.06609721145503439, 0.0661122446044573, 0.06603367719004663, 0.06677667630691993, 0.06673074796753943, 0.06667899556102191, 0.06629625178412225, 0.06625290107745298, 0.06623254333520748, 0.06609109014306233, 0.06615833490897578]","[0.06455053242861135, 0.06485861378186131, 0.0650070111521119, 0.06549973770178077, 0.06567495177336138, 0.06588332225968241, 0.06623674945852653, 0.06628065312292607, 0.06733319650503697, 0.0671403212280136, 0.06701679020903768, 0.06681870278148588, 0.06663325442983195, 0.06633600958916229, 0.06614131241516899, 0.06590309651325008]","[0.06767528592555143, 0.06768809764963146, 0.06775182559166418, 0.06793913923220919, 0.06797400403378762, 0.06800994020582264, 0.06806149973752955, 0.06819304729026789, 0.0682668524312442, 0.06817537712247389, 0.06818462767327294, 0.0680585122973183, 0.06806612621029393, 0.06798467238246708, 0.06794175197306432, 0.06777841480937495]","[0.06066310857072677, 0.06132197547513447, 0.06178387830821951, 0.06215243417681018, 0.06269233275987976, 0.0632594894771089, 0.06330915964919205, 0.06352492327216835, 0.06518442507234166, 0.06503825760395977, 0.0644781551654692, 0.06415874935032227, 0.06364183494028845, 0.06343576560846136, 0.06295253315044853, 0.06258307266503517]","[0.05920516289459679, 0.06001444845747966, 0.060634467858981175, 0.06137425517838059, 0.061794183249990524, 0.06217861589370543, 0.06250423993086551, 0.06273545897199732, 0.06425129221159362, 0.06409452296307323, 0.06361799622797375, 0.0633154283988644, 0.06282997785415774, 0.062488647643714895, 0.06194403942952927, 0.06147975345779524]","[0.06733163552037014, 0.06751202208133945, 0.06746240622880247, 0.06774143947965547, 0.06757840388005866, 0.0678152241588162, 0.06795084624893334, 0.06812408298209303, 0.06816623292194215, 0.0680964297826421, 0.06787220688216528, 0.06784174875987364, 0.06783845119917628, 0.06768929314652446, 0.06766433042938097, 0.06772932795353763]","[0.06273038456323089, 0.06261299689475651, 0.06303883682831422, 0.0631264658474336, 0.06329366209476155, 0.06359551744619091, 0.06357039328782957, 0.06364235374731743, 0.06465381913836285, 0.06441112418007723, 0.06431097197122881, 0.06416708235804501, 0.06405365531589059, 0.06388357646484089, 0.06376560105435382, 0.06368429068144221]","[0.06665826685028774, 0.06679565272950735, 0.066664727606568, 0.06706971626844432, 0.06722243148752216, 0.06699078003339119, 0.06719302339122687, 0.06713985187123436, 0.06787317791448834, 0.06790224638455179, 0.0676400479591702, 0.06775578692985125, 0.06796293130126407, 0.06762342873658286, 0.06767999628856862, 0.06726255041506742]","[0.06347185860326551, 0.06392055283351682, 0.06370971905618818, 0.06389562028005216, 0.0639682920312553, 0.06409900113054202, 0.06441280857826218, 0.06446856373816769, 0.06527182736110056, 0.065202104361086, 0.06503172971351322, 0.06495536518767657, 0.06495594554872697, 0.06485778010183299, 0.06471758654374882, 0.0645926015013784]"
g,"[0.1639179468813462, 0.1638270613127908, 0.1638628076062004, 0.16377020323772604, 0.16389338710732934, 0.16410960773778865, 0.1639969470799848, 0.16399060464094167, 0.16395981629661488, 0.16390106096246582, 0.16391071177840727, 0.16315490145205025, 0.1631171271625086, 0.16331245203137423, 0.16322593283891107, 0.16352611206667342]","[0.1617840369737929, 0.1620348472913547, 0.16175098815303737, 0.1622744943715137, 0.16227747912037857, 0.162482053105311, 0.16287520849586534, 0.16281608225759808, 0.16277395068719508, 0.16261062413678914, 0.16274959892736637, 0.16256785445895805, 0.16224529560959508, 0.16218680961151188, 0.16221831958931218, 0.16190818107108268]","[0.1649085157270478, 0.16483214532400375, 0.16467440063169259, 0.1648646383876216, 0.16477754087151253, 0.16457368236138548, 0.16450338990082683, 0.1647341422698988, 0.16438209721927022, 0.1642634348357917, 0.16430131278715177, 0.1641891821075564, 0.164335746780682, 0.16433128260718813, 0.16445529100645276, 0.16431473189441193]","[0.16175934320937926, 0.16211833659229696, 0.16192830460438726, 0.16185559508869599, 0.1625850032289356, 0.16323962095145872, 0.16280676492018503, 0.16286462933488802, 0.16339469916105173, 0.1635092240301304, 0.16285329759228964, 0.16285940480468156, 0.16217583387240853, 0.16258634605939326, 0.16239404779090416, 0.16233688026799445]","[0.16180969082180163, 0.16233655545165188, 0.16264988937566935, 0.16318417322952078, 0.16349005590095952, 0.163498145701915, 0.1633443170176825, 0.16350638605079895, 0.16402717105803796, 0.16405164232626762, 0.1637775085906681, 0.1638020083200011, 0.16344458416091526, 0.1636583814770385, 0.16314838623245823, 0.16282212588978592]","[0.1648068683258637, 0.16514147342946378, 0.16490601379580652, 0.1654251124787091, 0.16495650793123, 0.1652912472883713, 0.1654310091998044, 0.16566798434614735, 0.16553175306128864, 0.1654404899684508, 0.16500426683147765, 0.16506643720476763, 0.16503072518607295, 0.16483839553114707, 0.16485472319489403, 0.1649497240896791]","[0.16247875122393268, 0.16191069511624998, 0.16259344601347653, 0.1624419407470441, 0.16274394605234482, 0.16317732880077604, 0.16279768376946763, 0.16280579130238912, 0.16363759616691703, 0.16312125884584902, 0.16326346085671564, 0.16326207378127625, 0.1632300640551908, 0.16310886161885135, 0.1631084948037885, 0.16307422619279996]","[0.16494063005927997, 0.16512078256786758, 0.16476438925810263, 0.1652910164282276, 0.1656057057288355, 0.16500413842126394, 0.16542445335575237, 0.16537215291604465, 0.16517523071069173, 0.16527512103323597, 0.16488407505214564, 0.16522708371363287, 0.1657227088346361, 0.16521598609066293, 0.16546747711871826, 0.16458516513552568]","[0.16275658181331418, 0.16348978835899117, 0.16277664015182006, 0.16292677221849403, 0.16303905020004195, 0.16312123209810764, 0.16344399694242137, 0.16335191254237108, 0.1638320080229425, 0.16367088639793217, 0.16363547708320073, 0.1637194808745205, 0.16395459941311316, 0.1640884474195142, 0.16397968340638708, 0.1639817509838625]"
r,"[0.12717613461045438, 0.12708431480558063, 0.12708114646506913, 0.12696558994999463, 0.12703796252274993, 0.12718458017026732, 0.12708337457859706, 0.1271014073267672, 0.12687394693542062, 0.12682251073385473, 0.12683703623316084, 0.12627860276106181, 0.12626870549893032, 0.12644796412290502, 0.12641086266700086, 0.1266586278769821]","[0.12629458552458833, 0.12642182699918617, 0.12611732067734063, 0.1264406269036068, 0.12637494723653203, 0.1264927058688898, 0.1267403930188884, 0.1266753581002856, 0.12631766891389334, 0.1262215253604885, 0.12638003111276502, 0.12626650388132304, 0.12603173478479457, 0.12606423906765124, 0.12615468828713428, 0.12595654622684263]","[0.12748499701953606, 0.12739633272886308, 0.12723514600024405, 0.1273508935342474, 0.1272836606775468, 0.12710868289920663, 0.12703423713469336, 0.1271968175305757, 0.1268525554757509, 0.12677417894740112, 0.12680636938476075, 0.12673370894776034, 0.12685090446311992, 0.1268651171539696, 0.1269980273662346, 0.12694300765963124]","[0.12711809659708145, 0.1271949580703228, 0.1268507819290055, 0.12665026701490834, 0.12711183837294726, 0.12750504681081465, 0.12707488741677558, 0.12707325313824644, 0.12695880757790037, 0.1271012996489524, 0.12670182997543303, 0.1268201338443962, 0.12640134010987672, 0.12686268922015806, 0.1268612315451701, 0.12696793617282362]","[0.12709871461185301, 0.1272550906289007, 0.12731430587809273, 0.1275428695406735, 0.12765473773718955, 0.1275160770514949, 0.1272565039662374, 0.12732072188068716, 0.12723568942651547, 0.12732861103618703, 0.12724969432271915, 0.12738543601153524, 0.12724104785765442, 0.12755854575185796, 0.12730359573682165, 0.12719402722875733]","[0.12747500307393617, 0.1276923948012423, 0.12749415172531897, 0.1278727724210479, 0.1275042385217918, 0.12772973125243103, 0.1278130426600571, 0.1279641508629475, 0.12782719676454846, 0.1277670026790473, 0.1274486644558797, 0.12751609563308008, 0.12748501509164237, 0.12736263839919457, 0.12738972106990565, 0.1274982597421952]","[0.12662939448293847, 0.12613733624370776, 0.12660692204411872, 0.12642208119105802, 0.1266165461083796, 0.12690547923789675, 0.12656715103857513, 0.1265691416142177, 0.12691811893217644, 0.12652124740486687, 0.1266942990540952, 0.1267585959173188, 0.12678223067801478, 0.12674507501571683, 0.1268005265169452, 0.12681568663284795]","[0.1278574066761928, 0.12796321610009273, 0.12767369537305742, 0.12801650034206316, 0.12824453213358525, 0.1277738349271654, 0.1280964281637542, 0.12807470902070897, 0.12764187143327288, 0.12772040813214813, 0.12744539788879244, 0.12771984903696434, 0.12810829207007515, 0.12775623948666445, 0.1279707500613141, 0.12732893325988334]","[0.12664047077221113, 0.12713742820156995, 0.12656071727456877, 0.12663077766364753, 0.12669174656971247, 0.12672159928156715, 0.12690969038649186, 0.12680749551353165, 0.12690018074916076, 0.12678282591267517, 0.1268190385138305, 0.12692991221809424, 0.1271586219884358, 0.12732091539739704, 0.12728403785376283, 0.12735957370782375]"
i,"[0.08919281740211839, 0.08926870585463141, 0.08929683202996276, 0.08917522530496517, 0.089158264601879, 0.08918859482268882, 0.08905221065987243, 0.08899688140788939, 0.08948288864506596, 0.08949228774387236, 0.08953850601800185, 0.08919375128933986, 0.08921760003494632, 0.08934709936768219, 0.08926543351552187, 0.08929688099530322]","[0.08911869913711483, 0.0891686899645579, 0.0889415870815204, 0.08914282315253826, 0.08906681271486958, 0.0891192619719877, 0.08927967143077192, 0.08925431369105707, 0.08968198826068921, 0.08962149653854261, 0.08975809863858013, 0.08970725959199759, 0.08956812823259598, 0.08962567962604401, 0.08971113423686736, 0.0895937622499863]","[0.0895389571690829, 0.0895555463077704, 0.0895319955540006, 0.08968168873514712, 0.08973012298185443, 0.08963762211761006, 0.08956586950581005, 0.08955567485197123, 0.08975008680899417, 0.08981314259343985, 0.08988106912032008, 0.08981138227836886, 0.0898442706180818, 0.08979694269245583, 0.08983587734439148, 0.08973011039769414]","[0.08948702088255743, 0.08967860965031205, 0.08947793317510354, 0.08932172342068713, 0.0896046880524756, 0.08982811417280503, 0.08946602993865387, 0.08942654143011486, 0.08943225964685915, 0.08957013629377064, 0.08934692533900715, 0.0894828647610161, 0.08921743665691485, 0.08954560259053031, 0.0894840382852178, 0.08939853503952758]","[0.08922787638789013, 0.08929338664242172, 0.08930737652188607, 0.08943806097436797, 0.08952463795651588, 0.08946641809434702, 0.08933827467048912, 0.08944964681837855, 0.08936191520312275, 0.08940334385553331, 0.08928377169319658, 0.08935326759274484, 0.08924213134236522, 0.08947735082040467, 0.08933642756949345, 0.08927066899873971]","[0.08930293608965939, 0.0895111030770505, 0.089445389829122, 0.08979092997008933, 0.08960648338536248, 0.08981099766808205, 0.08986261704205449, 0.08985189956203846, 0.08973750510960715, 0.08979044896071041, 0.08956697923808932, 0.08955967063681282, 0.08945452433215886, 0.08928124339990433, 0.0892239758406784, 0.08925386623974371]","[0.08983060814864083, 0.08965651089237547, 0.09009240398721494, 0.0899894004971818, 0.09012539433110875, 0.09031451600593242, 0.09005384168652644, 0.09005194099164043, 0.08979980139194695, 0.08953017944476918, 0.08970217674529665, 0.08977454092118348, 0.0898229826794842, 0.08979957626089309, 0.08978559825199234, 0.08961882284793837]","[0.09013562234331907, 0.09018125130683338, 0.08995979235196672, 0.09018498763826081, 0.09033456458346023, 0.09000721684696879, 0.09025333183963846, 0.09026422635533356, 0.08944211408610407, 0.08946834460043715, 0.0892634142487139, 0.08945914030690257, 0.08974567031337272, 0.08952321260050117, 0.08970790898103878, 0.08931342387816957]","[0.0899741652146444, 0.0903981860827843, 0.0900834034694443, 0.09023525749174655, 0.09036846279622873, 0.09044597867065957, 0.09056868007226875, 0.09040798274488371, 0.09009966084580584, 0.09012120241283274, 0.09011538019321996, 0.09011631489178382, 0.09016021040207406, 0.09016260193308126, 0.09000691592363146, 0.08995645698124576]"
z,"[0.05812960525356306, 0.05822427261263984, 0.05825407025867875, 0.058151143358393796, 0.058158223443563285, 0.05817395860313713, 0.05809060388878152, 0.05808942185246811, 0.05848473549298738, 0.05849585977877843, 0.058521830837263485, 0.05829926749090564, 0.05832294667424221, 0.05839915520103327, 0.058330465219702005, 0.05830360255469695]","[0.058378931700633026, 0.05841306200210883, 0.05827193934626458, 0.05840248039690348, 0.05833974524924332, 0.05841071518195315, 0.058540480734747886, 0.05856392436365299, 0.05898042997621977, 0.0589215777704265, 0.05899670067404137, 0.05895567718459976, 0.05886704494001393, 0.058910437901108906, 0.05896695252431967, 0.0588849564128537]","[0.05836270355366098, 0.058462735646544244, 0.058527261891009895, 0.0586626414188871, 0.05873733481290873, 0.058692479389363304, 0.058660122162355194, 0.05862797348458758, 0.05891807629578515, 0.058965194701223064, 0.05899954067590853, 0.0589355788290347, 0.058930244417438236, 0.058852012296732106, 0.05885045445618631, 0.0587410165143986]","[0.058573430429416894, 0.058732708512332366, 0.05862985130885962, 0.05852487476478589, 0.05868470762898454, 0.0587814052818989, 0.05853689013655768, 0.05850602627756384, 0.05853871589785614, 0.058671808267021994, 0.058562895334246946, 0.058652695452295456, 0.058436876015471845, 0.05862600064855183, 0.05856162715210725, 0.05845385133248243]","[0.0585216106503091, 0.05854381905147377, 0.05850904305144833, 0.0585850232269299, 0.05860164496206294, 0.05858013928397832, 0.058515767787927865, 0.05861884533600659, 0.05846511716749752, 0.05849327326428076, 0.05840514093442991, 0.058435471192544775, 0.058354048329887845, 0.05850763496678302, 0.058432911759958635, 0.05842480972211823]","[0.05821844345684244, 0.05840207945897781, 0.05842348309307072, 0.05867850453890243, 0.058578286886024865, 0.05875166389313146, 0.05882125881442173, 0.05880169061062573, 0.05880927234083066, 0.05883809508118519, 0.058664861756261615, 0.05860937824383912, 0.05848333355818529, 0.05832451237853824, 0.058244736041048295, 0.05822712485490103]","[0.059141648205003616, 0.05908289351634545, 0.05935985809394155, 0.0592842056727878, 0.05935995769419811, 0.059458128673990904, 0.05925381487776235, 0.05925056452934329, 0.0588942273085441, 0.058742273805244716, 0.05888562729203385, 0.058948146218363584, 0.05899051911546023, 0.05898620708678948, 0.05898570124191849, 0.05884508023639911]","[0.05906812601082832, 0.059093707869986994, 0.05893883284350478, 0.059083737940478095, 0.059172111421350135, 0.0589783302987954, 0.05916375810563432, 0.05920752902517787, 0.05838304953671229, 0.05837957638498858, 0.05824266760410449, 0.05838098424348373, 0.05858967586657956, 0.058457097712979494, 0.05858020231383539, 0.05834301002893366]","[0.059307999826006895, 0.059558072784886604, 0.059348491701714405, 0.05944266535709382, 0.05959927287373676, 0.05962736635099184, 0.059693030841935196, 0.059529625748647834, 0.059147603377028304, 0.05920564353366327, 0.059198069170085806, 0.059171881880826505, 0.05918964181070468, 0.05921967739234568, 0.059101063211528186, 0.05903738099813523]"
y,"[0.028143030204932883, 0.028179026664286167, 0.028182054745781768, 0.028175468617212214, 0.028212674418705872, 0.02826716299015077, 0.02825271461400411, 0.028300293685787625, 0.02833136481104618, 0.028267710574243397, 0.02824020586153825, 0.028131036206818606, 0.02815122075619744, 0.028189590399659566, 0.028142220494449713, 0.028146188291190383]","[0.02831238939688988, 0.028313077060696565, 0.028236465738690267, 0.02829434587294011, 0.02829633703463149, 0.028358599691393937, 0.028457680964921694, 0.02851153128691547, 0.028654297095258154, 0.028557186106788073, 0.028558338536297793, 0.028549512280509278, 0.02852118794973102, 0.02855094757177126, 0.028582548555666908, 0.028568780190544263]","[0.028310837594080228, 0.02833160346479223, 0.02835929717346267, 0.028414218457734484, 0.028417116824469797, 0.028382925896534808, 0.028399171964242166, 0.02848893735145087, 0.028729952554185895, 0.028692002778470168, 0.0286419411770631, 0.02856421048001425, 0.028529127750723558, 0.028432604903912747, 0.028517372120027036, 0.028463340966826234]","[0.028270516635370647, 0.028547897190689626, 0.028321237713990966, 0.028272219586672892, 0.0284717493572575, 0.02855283455750158, 0.028367134151071144, 0.028355390661505088, 0.028368618909095235, 0.028430544865970655, 0.028380494857184555, 0.02841587183121228, 0.02832826376037859, 0.0284370069681545, 0.028390278633032034, 0.028351403376462348]","[0.028349857727097357, 0.02834331238323312, 0.028305119074950882, 0.028326223773276385, 0.02832297302555007, 0.02828405287086204, 0.028240453703921524, 0.028284865879864042, 0.028219792479423803, 0.028233794037381202, 0.028212221671071784, 0.028207129459195093, 0.028152843205557217, 0.028254612709254136, 0.0282285901920044, 0.028298819891111725]","[0.028287385528893993, 0.028385422169217415, 0.028399285159976653, 0.028525899642269346, 0.028448592839404388, 0.028477824878759165, 0.028495269845853995, 0.028531226217335212, 0.028742393783977443, 0.028714947469980767, 0.02860350275092469, 0.028575110956673373, 0.028522694293260736, 0.028459043055677678, 0.028453592105140958, 0.028481551251077677]","[0.028893824647692797, 0.028745403573066604, 0.02887290569791726, 0.02879285307347035, 0.028817507571294, 0.028835831046102666, 0.02873043996190573, 0.02872744540347151, 0.028658214388720137, 0.02859363956303508, 0.028663956450925388, 0.02867048723769023, 0.028666495376898027, 0.02868060231005143, 0.028749710078529386, 0.028796745167491086]","[0.02880368659434359, 0.028827299291547197, 0.02873494310349306, 0.028781361120213365, 0.028816245214801885, 0.028696385802002445, 0.02886885293323154, 0.028866159284071383, 0.028530370231961786, 0.028487251184896523, 0.02839271337055328, 0.028444399120539355, 0.02856066692634704, 0.028496995696122587, 0.028550342685787967, 0.028447165096456947]","[0.028900802377400513, 0.028904476576661665, 0.02876396077088856, 0.028775002779984567, 0.02887846292914416, 0.028862590861958467, 0.02888590358153491, 0.028807064685845367, 0.02865531579367575, 0.028685780298785563, 0.028686886685983425, 0.028660122410977446, 0.028677302141018057, 0.02874656857116422, 0.02878149362266122, 0.02879756395535502]"
