,R03_S00,R03_S01,R03_S02,R03_S10,R03_S11,R03_S12,R03_S20,R03_S21,R03_S22
u,"[23.834227709405894, 23.792500313290645, 23.768961467224283, 23.744645845883994, 23.731447833939754, 23.748904843396247, 23.837623783887693, 23.875236626318443, 23.729459255956357, 23.752412327266796, 23.673641272648766, 23.642790024517012, 23.645200889079753, 23.641493687246097, 23.731641664127572, 23.745178027673166]","[23.617519256503126, 23.547647262993415, 23.523240011572234, 23.47041833628805, 23.50631142758027, 23.55468609028637, 23.67441964282121, 23.61600231290495, 23.079195545338855, 23.272654552697972, 23.10895015378199, 23.07043621833044, 23.037207764521863, 23.07805233589472, 23.17319773000037, 23.208366216905446]","[23.772412184043723, 23.72943274870031, 23.681596217920806, 23.606167629957735, 23.56350878028474, 23.51013990066503, 23.537701974827154, 23.556061908188845, 23.035029805902255, 23.131447311956823, 23.18001026845387, 23.295141106604, 23.365170845479177, 23.442531350841296, 23.46788541051809, 23.463580815904145]","[23.831494603546155, 23.843117474198436, 23.831615385269167, 23.817086207050075, 23.806019868598614, 23.799396951518492, 23.84041718330539, 23.888918529935417, 23.849032224000805, 23.82592644100671, 23.78823952658849, 23.787825650757718, 23.797885309654767, 23.808808078528067, 23.803771461719897, 23.75362440765455]","[23.82377869944684, 23.804134073170392, 23.78208557049323, 23.765635279773846, 23.756831191195573, 23.74979729559665, 23.796829307879594, 23.846874424041207, 23.798337204033267, 23.780963248237292, 23.747982819805003, 23.760718543869483, 23.754921184726275, 23.76213292710345, 23.767247254579615, 23.723343740029645]","[23.81242727494721, 23.76482203242179, 23.74700799851578, 23.724562201461787, 23.71912862384267, 23.685885241904828, 23.762439833166972, 23.79142528010567, 23.726324404993193, 23.730874307422877, 23.703807465282395, 23.75340130881888, 23.75170299439817, 23.76676000566582, 23.771961607955536, 23.745350447209965]","[23.85845202366172, 23.864345997564804, 23.853266156913485, 23.855751375434927, 23.852963917663757, 23.83788623441161, 23.864723662012377, 23.900743729204102, 23.90152633784809, 23.878577345955904, 23.84847446991688, 23.87617170446604, 23.88732288732869, 23.887543314880432, 23.866229055584885, 23.79577979561342]","[23.840217670506483, 23.820215047676882, 23.81541835989632, 23.791994952296957, 23.778240688810424, 23.77094115116677, 23.828668285474713, 23.86980590338853, 23.84256142667563, 23.8127878227327, 23.787530034113054, 23.797936158466083, 23.774347891232807, 23.808024368337733, 23.810217573970313, 23.76986437524141]","[23.73964663898807, 23.69803699290957, 23.669638611448576, 23.657037426720947, 23.65915627368134, 23.664035512483174, 23.733866618704695, 23.725577742230055, 23.783616968325845, 23.77278645105787, 23.756345076205516, 23.766378541377996, 23.752320770169533, 23.778056240956303, 23.76556025431558, 23.734002305672078]"
g,"[24.838794365249807, 24.821244163960255, 24.81181931657928, 24.802075900331296, 24.798946897782088, 24.805990480443164, 24.837818704717037, 24.85101873274601, 24.76605193635089, 24.779470740669268, 24.757275263442303, 24.747730521890517, 24.752733037053268, 24.75110041519222, 24.789284936910555, 24.794370869306725]","[24.75680502997109, 24.725988485697457, 24.716984908341267, 24.69282593025734, 24.710227876264746, 24.72945464022215, 24.77293710864643, 24.743841916666184, 24.403926306368778, 24.51301199314635, 24.431431252451667, 24.416525504022317, 24.401172903915157, 24.428207986051024, 24.492552781211224, 24.515847767828706]","[24.765440438183305, 24.739258867519737, 24.70886798101953, 24.66492610249105, 24.63499929565308, 24.602792532174455, 24.60312944491956, 24.601884092078244, 24.211599913046864, 24.286408285085926, 24.334176161999643, 24.41023345163069, 24.463990766538217, 24.518198726473283, 24.544495006492667, 24.549890885146265]","[24.874486565523124, 24.877833342653574, 24.874262021435463, 24.870358997390895, 24.867370434344615, 24.866268557768315, 24.88177802174976, 24.89560303585121, 24.875406513673628, 24.868339441498776, 24.856387868955235, 24.855142847431452, 24.858021830360798, 24.85970979040973, 24.85834301766235, 24.842043437289576]","[24.871033383676718, 24.865165884776008, 24.857988576757666, 24.853092501440607, 24.850771982223048, 24.8486810045154, 24.864154265374076, 24.87925096555549, 24.85691970030671, 24.850718465412108, 24.840647708791458, 24.844295324503936, 24.842912159307883, 24.845569748429117, 24.8448786270191, 24.829089520517954]","[24.856309586426434, 24.841431580022952, 24.8370591509687, 24.82904003345029, 24.82782166679813, 24.817465136466552, 24.844397271793195, 24.854717530496494, 24.792529193365713, 24.807369754329063, 24.807031943297346, 24.828109184131314, 24.830050112092835, 24.835144643838444, 24.83768043060078, 24.82832597568775]","[24.88031290025761, 24.88142380579884, 24.879358625506693, 24.880933718817843, 24.88038787536169, 24.87889512861469, 24.887142593267615, 24.89986547048704, 24.899121981605557, 24.887344911462698, 24.87660784050999, 24.885258917657847, 24.88655814101126, 24.885261561799908, 24.87891489889433, 24.854993990171835]","[24.89764065727158, 24.894564553505848, 24.89387586673742, 24.888427554718398, 24.886833681316908, 24.884315209071346, 24.904299143694605, 24.913528389989867, 24.900770658508886, 24.892882858159027, 24.884824311621067, 24.88628601293098, 24.878169765430464, 24.888014810324584, 24.886583004869312, 24.873248807361147]","[24.869468211672878, 24.8552074080111, 24.84638448604871, 24.84295197403936, 24.844168823029378, 24.84770831873465, 24.871234231414853, 24.866663480543018, 24.880321704518206, 24.87942213442266, 24.870326220923317, 24.87391832803131, 24.868385699956093, 24.875687818473573, 24.871654500905137, 24.860236821959948]"
r,"[24.392921445755803, 24.3821459954627, 24.37750306051872, 24.370204623966416, 24.368362532808103, 24.371847160293733, 24.388427451121057, 24.394729954596546, 24.32364873034011, 24.335453190398972, 24.328828394561967, 24.3264819736388, 24.332213610645418, 24.332982966846068, 24.356213003040025, 24.360538378217388]","[24.346270530755547, 24.325986013442236, 24.3203549578164, 24.304604895413423, 24.313412731134243, 24.321163558369598, 24.34083516884636, 24.31855118699497, 24.05061562822356, 24.125645116811004, 24.079879538540887, 24.07888790309443, 24.07564238659488, 24.098639230596667, 24.15044895611495, 24.170463468134336]","[24.32623667449009, 24.302484355701196, 24.274784155561886, 24.2379595503154, 24.210241165631167, 24.182135167157337, 24.17138461296755, 24.160327399213838, 23.80918417729215, 23.88170568492042, 23.93230402876337, 23.997426880937958, 24.04743349449215, 24.096330312769872, 24.124729369681447, 24.135170441215124]","[24.4126841570394, 24.414908651389155, 24.41276405127371, 24.410063672340826, 24.407472598458025, 24.406020859047103, 24.41475522105249, 24.420766362275067, 24.404913389663392, 24.401921342439884, 24.396552875251913, 24.396305920186006, 24.39874596019164, 24.399603012492754, 24.399528061927285, 24.389864956871605]","[24.40804686003396, 24.40438398961883, 24.399183123512344, 24.395487931674765, 24.39339204373468, 24.391193479526812, 24.39883457000721, 24.406507004338696, 24.390884704242854, 24.38689496224781, 24.382403403080772, 24.384977013627687, 24.38569925978892, 24.388618966284408, 24.388180477335926, 24.380277695758068]","[24.396127629036556, 24.386333626437853, 24.383180461005736, 24.377122879573776, 24.375582970413653, 24.368818545030727, 24.382204816213225, 24.38582818498942, 24.326545674105223, 24.345443515960305, 24.35244898595213, 24.368903600696108, 24.37263525645298, 24.377096910639686, 24.38046103081913, 24.37665001250345]","[24.426664224717022, 24.426730224192365, 24.42611884107916, 24.426379476626675, 24.424957318756654, 24.42502626884916, 24.42777659558573, 24.434448585837124, 24.43503099104137, 24.426617590069295, 24.421471761518813, 24.42749446784917, 24.428145433895104, 24.427569949638784, 24.424790394014092, 24.41135684087265]","[24.428250203317596, 24.426414920355388, 24.424591212487424, 24.420997624722244, 24.42025626698073, 24.4172865804942, 24.42846803331561, 24.431310977409478, 24.422137182231005, 24.41889453185596, 24.41525640810839, 24.41624469855787, 24.41286115321511, 24.419415899514327, 24.419088186342414, 24.41341610386599]","[24.409132699198157, 24.3992881482246, 24.393794118203466, 24.390823772367376, 24.389838223238648, 24.39120114560125, 24.403155013966895, 24.39772669424772, 24.40393415707571, 24.407093416840556, 24.400928602352774, 24.404271470799465, 24.401658947864995, 24.406561602497277, 24.405804648003894, 24.40054814941358]"
i,"[23.963071992133553, 23.95559284834558, 23.95328640219762, 23.94702028381621, 23.94578713143646, 23.948240191761577, 23.959517078121028, 23.96330708838848, 23.90023316395224, 23.911258234520954, 23.909937711678577, 23.90989523204665, 23.915385374844494, 23.916704393066095, 23.93396970197385, 23.936995304914312]","[23.928549507672436, 23.912347193950808, 23.908300940495216, 23.896137240225478, 23.902077289150462, 23.90603268727068, 23.917575302981778, 23.89820892801979, 23.662601820276883, 23.722872177741273, 23.69136870887914, 23.69592430385321, 23.69770972247454, 23.71832209399377, 23.764055597796954, 23.782230841609554]","[23.894060238985453, 23.87189587878711, 23.84596439111943, 23.81252678672592, 23.78650888905682, 23.7605696794873, 23.746357036137525, 23.732014368094653, 23.398002190666354, 23.469541911369475, 23.520827882976807, 23.5812555609627, 23.62914142736232, 23.6753090675316, 23.703707354034798, 23.715171754797364]","[23.980017582965917, 23.983069018372813, 23.982017976584444, 23.979886780006503, 23.97736913774386, 23.975571993528177, 23.981750020664116, 23.98489754207025, 23.97106236321573, 23.969555348017153, 23.966577383834384, 23.966756570014958, 23.9690288918989, 23.96946437490064, 23.969322829858182, 23.960822097719287]","[23.97541029331427, 23.973089350034773, 23.968954684334978, 23.965777997502677, 23.96398149205307, 23.962027250766553, 23.96684093890208, 23.971601523075176, 23.958908835400017, 23.955950974124498, 23.953185578959385, 23.955020502921045, 23.956232561850342, 23.95907352910266, 23.958539741361452, 23.95321718906328]","[23.9661792221242, 23.958736134124717, 23.956597858752104, 23.95196011596468, 23.951122563187454, 23.946062179759554, 23.954593931133278, 23.954888175685344, 23.896562383933848, 23.91817852192186, 23.9278552969285, 23.94220407093224, 23.945687580279237, 23.949206419824, 23.95208700638484, 23.949573445597153]","[23.99532573888014, 23.9960222313873, 23.996595496498877, 23.996820869322, 23.995292114559664, 23.996025966255523, 23.996984728224664, 24.001892600823766, 24.000173053720907, 23.99274960668291, 23.989528893544584, 23.9947037899125, 23.99512945892542, 23.994540161574147, 23.992439909758577, 23.981619224978758]","[23.994872613304835, 23.993645006830484, 23.99154848561049, 23.98878933986073, 23.988519665943954, 23.9855760364453, 23.993884782998776, 23.99484661369489, 23.98389498719258, 23.981839294415806, 23.979469193455813, 23.980040093883986, 23.97811860765269, 23.98343491841792, 23.983389118712743, 23.98025894233279]","[23.97989952311714, 23.972100384689146, 23.9682962872348, 23.965919741390344, 23.96454364072025, 23.965289322804363, 23.97298812896186, 23.966764450486234, 23.96814662691908, 23.973322821155122, 23.96815652744946, 23.971013647970565, 23.96893966735346, 23.97240178216356, 23.972249337227662, 23.968628807018554]"
z,"[23.381446821948373, 23.376480376421846, 23.3754496440655, 23.37006920624005, 23.369581718528714, 23.371388337028066, 23.379000653345614, 23.381382282508945, 23.323247122685828, 23.33359159305595, 23.336112988081066, 23.337794301618803, 23.343429397045355, 23.345266722218433, 23.3583896470979, 23.359738364719593]","[23.35466087600103, 23.342078753520248, 23.33938297165709, 23.330265638588013, 23.33384963735989, 23.335023387900563, 23.34026807759952, 23.323353339336776, 23.113840413903674, 23.16150719001524, 23.141700951931803, 23.15069613001422, 23.15670834218695, 23.174852865047743, 23.21505895390587, 23.231898269814895]","[23.308621341031404, 23.287859511240452, 23.263503586444244, 23.233008166554907, 23.208404600548434, 23.18452865804665, 23.168060067633956, 23.15183494379816, 22.831616499150137, 22.901820118656676, 22.953435853829816, 23.009898425226027, 23.05598305235666, 23.09990532219706, 23.128235221120146, 23.140332973340712]","[23.39953331771501, 23.402875270717658, 23.402609026174844, 23.40101739063951, 23.398634629497625, 23.396705321585085, 23.40118888699178, 23.402454120163448, 23.389550705562936, 23.388833364821224, 23.38744202381863, 23.38759858533942, 23.38951047921645, 23.389495184826096, 23.389450629281765, 23.38267785672115]","[23.396852854116297, 23.395628176867753, 23.392218370571463, 23.389558014077583, 23.38820611554207, 23.386894314091467, 23.390067922519158, 23.39296810110155, 23.381727728872534, 23.379131535221028, 23.377318844867737, 23.378079160394996, 23.379184685701624, 23.381495964643676, 23.380450826408374, 23.376787833344345]","[23.388410601890875, 23.383228380819855, 23.382104692728344, 23.378769089242116, 23.379108483680326, 23.37633387113641, 23.381870472760752, 23.38081249835148, 23.32236107083426, 23.345022384260552, 23.356099268390924, 23.36815587931624, 23.37085590390658, 23.372958259543015, 23.37511922004439, 23.37330969207121]","[23.41425889556251, 23.415525467801913, 23.41713547527691, 23.41772005477008, 23.416274930341903, 23.41772274275052, 23.417420429197605, 23.421225073723743, 23.41634519507585, 23.409430650494762, 23.40752365589735, 23.41199598070792, 23.412155834349495, 23.411223244653286, 23.409691698005872, 23.401069484660734]","[23.41729956551886, 23.417160497501946, 23.415604415171657, 23.414165875023713, 23.414850212423723, 23.41233812733396, 23.418719442078856, 23.41836678022877, 23.405045329784883, 23.403828925821436, 23.402180585317595, 23.40192038974226, 23.400615820956872, 23.404337350611485, 23.403848440754732, 23.40212066935721]","[23.404752800635464, 23.3988744521639, 23.396593153168496, 23.394921399906742, 23.393877911158476, 23.394577379406932, 23.399304720297415, 23.39300317077903, 23.389650620269993, 23.395837865593993, 23.390925512683097, 23.392968731391875, 23.39090196994277, 23.393071989905106, 23.39307201972112, 23.390515890345483]"
y,"[22.489280498389814, 22.48552679904113, 22.485500142485368, 22.480375851005203, 22.480968708604838, 22.48370109692379, 22.490797453889872, 22.492981133687746, 22.434003894839933, 22.443434681534235, 22.449495850070733, 22.452700547110776, 22.458489501324614, 22.461211765607125, 22.47217062396703, 22.472441130944397]","[22.451632827613928, 22.441362882862226, 22.440138240767617, 22.433154904160517, 22.43492300826006, 22.4347061320146, 22.435860244338027, 22.420511401763292, 22.227089706569842, 22.26663933133434, 22.254172538727044, 22.265895537875476, 22.27539925880827, 22.292555277163057, 22.32898790474097, 22.34502338163054]","[22.405745861552848, 22.385133640602763, 22.361520355791654, 22.33222535957519, 22.307438708005918, 22.284351731967153, 22.266300486308253, 22.24916409163577, 21.940596426701994, 22.010789831882377, 22.06307761009527, 22.116959341927675, 22.162150843384495, 22.204708487605966, 22.232004992408353, 22.243991015914087]","[22.493165522304174, 22.496571736118025, 22.497131322117674, 22.496050410122145, 22.493488696069058, 22.491479005051595, 22.49525390546264, 22.496312440913144, 22.486693882787335, 22.486677721172626, 22.486387629758507, 22.48644279802519, 22.487992437768312, 22.487051250254382, 22.48621093062833, 22.47906591067622]","[22.488878033971222, 22.489361600397803, 22.486911281875088, 22.48475225489723, 22.483904707713194, 22.483306521894754, 22.485156535205043, 22.486347027286982, 22.47876978845197, 22.47640264899067, 22.47515493198735, 22.47454010419201, 22.47547932896098, 22.47814401156062, 22.476591084842763, 22.472292532603213]","[22.482643619931874, 22.479890441676144, 22.478737188220446, 22.47456580680698, 22.475177794288985, 22.47398358405978, 22.478063321777533, 22.47693618897536, 22.41911870970915, 22.442236553833986, 22.454499981727544, 22.465219611051303, 22.467161736377697, 22.46807319101405, 22.469771089905706, 22.469002317971157]","[22.50654754267903, 22.50719023912616, 22.50867492818228, 22.509008259624807, 22.50707106175843, 22.509044492877273, 22.508097264638486, 22.513200055817563, 22.509259930695826, 22.500223146877886, 22.4986172550776, 22.50263716725788, 22.50302310598009, 22.50100869850268, 22.49864387045998, 22.49052967869325]","[22.518323339363153, 22.52018414047712, 22.52032602476438, 22.52049695280126, 22.522027019084263, 22.519674607409925, 22.524536899369302, 22.523023177904104, 22.510832823480364, 22.51151940731031, 22.51063487569906, 22.509909270346085, 22.508449509984565, 22.510331074565023, 22.508349006760135, 22.50499020987715]","[22.50055895825716, 22.49627318656076, 22.49482158600413, 22.49292471659046, 22.492040275320548, 22.492361185022475, 22.495621516190017, 22.49003708350441, 22.484934206117785, 22.490792628745158, 22.485638957206383, 22.487415629467822, 22.485812496711855, 22.487853021653436, 22.48767927803675, 22.485406755461817]"
fS,"[1.0911602686712687, 1.0742684208115931, 1.068325786288286, 1.05485710042703, 1.05260115805891, 1.0595129425706218, 1.0891000222816554, 1.100734969527392, 0.9721065056702076, 0.9922901658423069, 0.9859263715097499, 0.9847013646415869, 0.9947266951522797, 0.9974806743826992, 1.0336008435778874, 1.0382623745239563]","[1.000422563256453, 0.9702219607757632, 0.9632688518223029, 0.9421390671972291, 0.9523626582338701, 0.9607245634835027, 0.9854340251670607, 0.9497010491142006, 0.6180195742283359, 0.686923481319013, 0.6506228861133359, 0.6576064983601609, 0.6621005847010155, 0.6865212188514489, 0.7437853337162379, 0.768726626104679]","[0.9509460816684294, 0.9116290433146874, 0.8682992466446149, 0.8148216033756721, 0.7759817024820725, 0.7391962296246599, 0.7219434376989289, 0.7050059719556041, 0.3801852945418722, 0.4340836267444387, 0.4771441024782147, 0.5336550389904506, 0.5830367766299297, 0.63525197119113, 0.6685115741290772, 0.6816696285256212]","[1.1175772788801417, 1.1250652895419995, 1.1226352294624222, 1.1175125373787713, 1.111376366719061, 1.1071659856739775, 1.1230590612982438, 1.1348209042377602, 1.1052866560955923, 1.1000965873299073, 1.0912404430636204, 1.0911448273263789, 1.0959660433065022, 1.0970212230381062, 1.095597875869253, 1.074809135569422]","[1.109005236854114, 1.1041270404091121, 1.0947762870122673, 1.0876750743340093, 1.0841369224259667, 1.0809323097275647, 1.094046040688458, 1.1073745315862615, 1.0801790102848232, 1.0727322612341046, 1.0644393910935273, 1.0673065067573775, 1.068315718109195, 1.0739906447952752, 1.0725445118637742, 1.057904202336629]","[1.0911842562659066, 1.075017255876689, 1.069888472680876, 1.0592516998675126, 1.0585159195895828, 1.0488754705433951, 1.0707808897117168, 1.0747692540419609, 0.9642723429603164, 1.0018282134517693, 1.017010891821143, 1.045368753897171, 1.050050773782686, 1.0559969320833367, 1.060776170664705, 1.0538816031004077]","[1.147456963600449, 1.149650559663746, 1.1499901347910384, 1.1511718061778995, 1.1476849376387237, 1.148219735556879, 1.152702496749874, 1.168214979101329, 1.162462554171253, 1.142912327480981, 1.1332348481663628, 1.1462675735985681, 1.1485016148914868, 1.146036405568771, 1.138583556319571, 1.1100809588607614]","[1.1584639153607315, 1.156230007714513, 1.1537297853572008, 1.147971673008435, 1.1475468600400203, 1.1416123170097325, 1.163288551355727, 1.1691393185002985, 1.1421189311429976, 1.1360695793408762, 1.129047297919208, 1.130130323690113, 1.1233124531929604, 1.1349301594638523, 1.1331369458945533, 1.121182256035913]","[1.1143864435645217, 1.0975277130385201, 1.0891150544450943, 1.0839055796630952, 1.0823825293052443, 1.0843914211091485, 1.1039178305412283, 1.0920003566381584, 1.0963581980932564, 1.1048253656086298, 1.092590444708591, 1.0981381761668376, 1.0925260436841815, 1.1009976297116455, 1.0988229555196667, 1.088830380734288]"
