,R03_S00,R03_S01,R03_S02,R03_S10,R03_S11,R03_S12,R03_S20,R03_S21,R03_S22
r,"[0.10603045026416122, 0.10551051717237275, 0.10575586840688415, 0.10515954129309257, 0.10530563980112494, 0.10523716298433715, 0.10518000465990066, 0.1051471579229733, 0.10492739221808103, 0.1046784273954073, 0.10515245489040448, 0.10498446183962147, 0.10493000651411034, 0.10474446853559424, 0.10501022624353427, 0.10508280933878185]","[0.10649593152828699, 0.10589500106224986, 0.106214795802435, 0.10608373000199928, 0.10616326159160883, 0.10559186019698073, 0.1054558242459743, 0.1054890991828895, 0.10487765048609969, 0.10502099869354807, 0.10441519015037098, 0.10546174703918045, 0.10579276861618268, 0.10455661452523217, 0.10613466320210196, 0.10579498653433422]","[0.10713529366764243, 0.10729061706564463, 0.10721653518632913, 0.10692137815762771, 0.10678067578587137, 0.10690095448773333, 0.10662640632915021, 0.1068658058916559, 0.10638390798561649, 0.10635858828831678, 0.10643318707260536, 0.10658786114805169, 0.1066082933939338, 0.10667250120659845, 0.10746238511521447, 0.10698071270889356]","[0.10505908884441718, 0.10518499254766876, 0.10519292468772005, 0.10512787138809555, 0.10493898496622109, 0.10492037293144137, 0.10538705620567013, 0.10505787951372304, 0.10459190213139413, 0.10468283877486265, 0.10486529868700964, 0.1047786944428681, 0.10493209565982989, 0.10471945806505058, 0.10489751908051118, 0.10468099697227597]","[0.1048447650389031, 0.10494465525541578, 0.10480123357884318, 0.10477133242855301, 0.10465297333708255, 0.10454448068822873, 0.10450383617656489, 0.10451704352395699, 0.10447378972057535, 0.10424761703501674, 0.1044388962312281, 0.1044056358416449, 0.10475949653488682, 0.10498219645095652, 0.10453037043590717, 0.10457364124535996]","[0.10461600541390051, 0.10453458309575694, 0.10466330575585978, 0.10433803786749421, 0.10437866309878145, 0.10437549504007132, 0.10430293674388844, 0.10416385225855171, 0.10356901092395042, 0.10417222075696457, 0.1041679431325414, 0.10416759931386427, 0.10420590762710573, 0.10432374909498501, 0.10465718663945878, 0.10470352981593566]","[0.10608395538635898, 0.10585462023667733, 0.10615408311579691, 0.10610435781611002, 0.105853452586033, 0.10634010671898901, 0.10580549281663285, 0.10596570479232514, 0.1072313616776599, 0.10613265356327273, 0.1061367840483551, 0.10651031744077798, 0.1062771165822895, 0.1061655987973239, 0.10636591106666037, 0.10626964087839215]","[0.10597566095504296, 0.10640742862083746, 0.106135966336548, 0.1062065518958333, 0.1065112624670576, 0.10609294339619, 0.10648097762380467, 0.10578960483397065, 0.10589606713584464, 0.10617700117375933, 0.1061956065531871, 0.10602355227925095, 0.10623711989297492, 0.10637821935232712, 0.10626725012930933, 0.10668467329571131]","[0.1062672604835387, 0.10591018129771133, 0.10582746524997182, 0.10579956051869933, 0.10557156819066507, 0.10578834014900643, 0.10569472430893188, 0.10493429097298873, 0.10562126664956176, 0.10650701855493964, 0.10561060941549175, 0.1058757809235105, 0.10569717518489588, 0.10580487449509247, 0.10602388193443137, 0.1059524444417242]"
i,"[0.08106429983931489, 0.08083581969739363, 0.08114205238887659, 0.08069667366958642, 0.0808227322531995, 0.08079962545333885, 0.08071034412036203, 0.08064397645449302, 0.0809635226717789, 0.08073195467641509, 0.08108214360496752, 0.08092891564282456, 0.08082262374765604, 0.08065450072018569, 0.08076534122142862, 0.08067802502950586]","[0.08148932518676141, 0.08102720428669483, 0.08128843859990482, 0.08121174319367727, 0.08130151334592509, 0.08091008144076257, 0.08084123551160063, 0.0809101782271691, 0.0810567991834804, 0.0810854263875326, 0.08054759262348937, 0.08130588916094467, 0.08153518167961225, 0.08056405471972525, 0.08176530917659228, 0.08147603452485085]","[0.0812736934476419, 0.0814581858436889, 0.08149754572307069, 0.08139165689775821, 0.08140992704475854, 0.08157978279652979, 0.08137396871569494, 0.08148120497609303, 0.08160592255395002, 0.08164327048894884, 0.081673195131168, 0.0817095231344257, 0.08162409623286739, 0.0815766443299339, 0.0820947892473289, 0.08166416395767057]","[0.08018876892389008, 0.08048945854733625, 0.08058508608290321, 0.08053751545776243, 0.08035651504153145, 0.08027707286668383, 0.08056635068052882, 0.08025798702180013, 0.08000326570710531, 0.08010032587671284, 0.08028474922039029, 0.08024911397915381, 0.08037962998878533, 0.08021992414455908, 0.08029265284037601, 0.07992669441269694]","[0.08014798413735659, 0.08028873280774412, 0.08020970628840564, 0.0801751615903801, 0.08009363774019373, 0.08002839270808557, 0.07997317328488988, 0.07993952636928843, 0.08006601995721141, 0.07988180266929944, 0.07999454924217315, 0.07992422751188927, 0.08017766847043911, 0.08034469071669098, 0.07999676405834495, 0.08002422783406066]","[0.08031449681336583, 0.08028977853406, 0.08045013522015668, 0.08028189616230692, 0.08041502047927226, 0.08044347179332823, 0.08034078462477631, 0.08004565607048632, 0.07969622340600582, 0.08032487177916246, 0.08034006178202655, 0.08030069881745615, 0.08021304394051822, 0.08022208239320847, 0.08037996704726617, 0.08035243671251463]","[0.08105190291104451, 0.08103771915284878, 0.08136996121469064, 0.08137578812619597, 0.08118398856761767, 0.08154873021519075, 0.0811184852817568, 0.08126357728667803, 0.08182865678601663, 0.08098570890959267, 0.08103290623793645, 0.08135377432623048, 0.08120305689173116, 0.08109347946306351, 0.08117017162614137, 0.08093616151356454]","[0.08099509953190055, 0.08128794160903799, 0.0810622277076982, 0.08111119047009639, 0.0813393116747596, 0.08102330032057241, 0.0813322097108756, 0.08085653915077014, 0.08049919639533065, 0.08063978133900523, 0.08062489901356612, 0.08047421214896651, 0.08062964480476251, 0.08074605084195875, 0.08067633699707895, 0.08100761341731905]","[0.08125714619412405, 0.08101096043529357, 0.08102025138127394, 0.0810371763357557, 0.08088249938224473, 0.08103893329340922, 0.08094532618371748, 0.08025979587651967, 0.08050204602508078, 0.08131409295178563, 0.08063125759457661, 0.08076987107902016, 0.08056978434042625, 0.08058134852212681, 0.08068774278442871, 0.08059718875130208]"
u,"[0.03041916874678962, 0.030308921354763044, 0.030438879706398195, 0.030147760123338696, 0.030054305178260188, 0.02993663051594952, 0.029853832121849538, 0.029672285583604522, 0.029580212736977494, 0.029628175465604888, 0.029866446622315086, 0.029895879006063428, 0.029876232659089702, 0.029950957606434292, 0.03002869132426858, 0.030179741868323905]","[0.030059871744793187, 0.029764697870792785, 0.029748958553818698, 0.029613938455502937, 0.029545184891811096, 0.029300684424497344, 0.029191833606989626, 0.02915405643452938, 0.028791037576327495, 0.028907591776154713, 0.028819390678719352, 0.029203127325954627, 0.02939006811442688, 0.029151259510495336, 0.029700153907442635, 0.02971838843770956]","[0.03184417103702101, 0.03181632319373489, 0.03165397535890208, 0.03143505059748115, 0.03124628315691445, 0.03112217120732647, 0.0308640704035464, 0.03067457728965722, 0.030303083283140977, 0.03058440019738015, 0.0308376427342291, 0.031070545095569956, 0.03121201517051709, 0.03136403890197747, 0.03174242669140766, 0.03168076743505483]","[0.02869056098129229, 0.0286982893808655, 0.028658868126715042, 0.028567033920099183, 0.028426377126607828, 0.028326220454905494, 0.028380659949794083, 0.02822620341300412, 0.02807779599333742, 0.028176059518512403, 0.0282911357005172, 0.028354890085038456, 0.028494629350659745, 0.028514283624989194, 0.028599883946593022, 0.028556759490931602]","[0.028214627174979953, 0.028210538259174057, 0.02808335856081673, 0.02799041743688454, 0.027883450447185265, 0.02778938652411263, 0.027689518936903697, 0.02758758893388319, 0.02751926592448812, 0.027621929805593522, 0.027758328427084904, 0.027829617226796843, 0.028001058667221624, 0.02814362283356923, 0.028130637439561453, 0.02825160878784978]","[0.028253965050526055, 0.02814121004292293, 0.02802890525870161, 0.02785926360643509, 0.027780073251058256, 0.027675474505808276, 0.027518752559362324, 0.02727079407218605, 0.026961230292447298, 0.027471832209569343, 0.027631049800636263, 0.027731253680465074, 0.02782502671123796, 0.027959561197161864, 0.02818072036929314, 0.028306972084205514]","[0.029705086378384874, 0.029583834430551903, 0.02958926304667513, 0.029490168510088698, 0.02933224877002397, 0.02937185099990925, 0.02914135393426908, 0.02907088023303231, 0.02956674534132079, 0.02936681434859979, 0.029434425966219244, 0.029639126879235218, 0.029673759382159933, 0.029740944454341795, 0.029856227690528918, 0.02987031931484642]","[0.02817285155306277, 0.02822312484027088, 0.02801942678680158, 0.02791108345882028, 0.027877682091258998, 0.027662275283361137, 0.02767102954531027, 0.027391947815137624, 0.027481487713764612, 0.02768522843955028, 0.027790993990220936, 0.02786109890870277, 0.028042741672926235, 0.028217452624340677, 0.028329260754106373, 0.028572289368761546]","[0.02772931706661852, 0.027542605174866227, 0.027355574040929302, 0.027219497490010007, 0.027066923369704718, 0.027023905950889625, 0.026879574126408574, 0.026588790235910133, 0.026748945493839226, 0.027103967156560316, 0.027052253293275187, 0.027277068516102856, 0.027355616151909547, 0.027508350949554516, 0.02770410824335366, 0.027780122192562293]"
z,"[0.055430914747221754, 0.05535307749086846, 0.05557667258306246, 0.05528196545208141, 0.05540014179588099, 0.055417961872820776, 0.055378175725973214, 0.0553590264192775, 0.05569265022095849, 0.05550565815441073, 0.055719488987445935, 0.055596763048160996, 0.0555185684100443, 0.055401250236852655, 0.05547797521019329, 0.05529062887096208]","[0.05555421253476356, 0.05526472855683094, 0.055457200437309735, 0.05542556209134878, 0.05550026022926432, 0.05528257702800793, 0.05526458874137278, 0.055345524493827965, 0.05574640118810336, 0.05569426524828685, 0.05526723397950151, 0.05572948054066647, 0.05585601143034264, 0.05515417521072873, 0.055952151116545834, 0.05575953313124697]","[0.05506743861668209, 0.05523287265087009, 0.05531898673794071, 0.05532507514636529, 0.05540248299945892, 0.055583624506702296, 0.05548425047236626, 0.05557715895805453, 0.0559199868859568, 0.05593827418343244, 0.05592960966969939, 0.055898362984366276, 0.05578109719156347, 0.05569619555801638, 0.055999902802245656, 0.055658983608060306]","[0.05499720885284048, 0.05527304305287295, 0.05537773195759334, 0.055354018083652284, 0.05521618139967289, 0.05513955438532882, 0.055329972127166636, 0.05512096949047641, 0.05494745369243438, 0.05499727353346918, 0.05512388007910513, 0.055083698444187916, 0.05515964450704008, 0.05504039906858284, 0.055070976210127506, 0.05478811645367404]","[0.05518440831976924, 0.05532123791906459, 0.05527247202935367, 0.05525112552116913, 0.055216846109234406, 0.05521958438555889, 0.05521694894741257, 0.05520492514380559, 0.05530847256954693, 0.05513585774948295, 0.05516362186338589, 0.05504793407762673, 0.055171306591322675, 0.055246024214575556, 0.05496823854915278, 0.05494915854040542]","[0.055363284112332156, 0.05540434751916477, 0.05556135074704873, 0.05549645491956677, 0.05569273386086024, 0.05581155522595267, 0.05578441865364953, 0.05559365973514255, 0.05533114902400326, 0.05575609007614578, 0.055720097390413614, 0.05561678348386663, 0.055445975516928245, 0.05535199258983547, 0.055383798665384204, 0.05531090985551154]","[0.05549268128082257, 0.05556694661387486, 0.0558540489392523, 0.055912364118833435, 0.05579261896646191, 0.05605566589721465, 0.05575886523807085, 0.05589572195433744, 0.05597499965505577, 0.05536759389823987, 0.055406159993865854, 0.055640963442911834, 0.0555458873104036, 0.05542754599181943, 0.05544364214112952, 0.05521556881998844]","[0.05591310644729627, 0.056152251441722575, 0.056056527871022985, 0.05614724195673939, 0.05635360816314018, 0.05617094506004388, 0.056420289927965266, 0.0561300062220889, 0.05558745001915306, 0.05564212978001738, 0.05559291343518768, 0.05543627755065878, 0.055490629552277855, 0.05552159579358514, 0.05542017967134851, 0.055593781218011]","[0.05601021970877395, 0.0558794291416932, 0.05593811579307155, 0.05598596112650491, 0.05594329229610623, 0.05608228871477469, 0.05604052338700657, 0.05556252486039733, 0.05551206252277927, 0.05608975555842091, 0.055572078253803496, 0.05559846641786739, 0.05539432256762482, 0.05535729489998385, 0.05537322791693822, 0.05527467473105818]"
g,"[0.12368472667507718, 0.1229858544002722, 0.12315345917654714, 0.12252996708172503, 0.12274666826135576, 0.12266182657769278, 0.1227272238801983, 0.12277495703991076, 0.12246764321607242, 0.12219901698196077, 0.12272052199913783, 0.12246460118160866, 0.12241254766699142, 0.1221116701676098, 0.1224687344649062, 0.12247998706809188]","[0.12387986012439606, 0.12330491537739253, 0.12377285614057137, 0.12371502059432911, 0.12390899253870899, 0.12333461810416484, 0.12328790807262499, 0.12344229871234644, 0.1223961600510599, 0.12257652627625036, 0.12182654266286413, 0.12296190233824199, 0.12324670472492742, 0.1216762262932262, 0.12338772934219827, 0.12293043897108152]","[0.12469517093411235, 0.125079933001821, 0.1251257239737316, 0.12486148926004398, 0.12472922160439376, 0.12497683925717373, 0.12490707533771457, 0.12557829358065448, 0.12469972668965139, 0.12440864106022027, 0.12440305063750352, 0.12456435791592008, 0.12457220293114195, 0.12457293918664926, 0.12541637715033802, 0.1246742235218836]","[0.12481623712454933, 0.12483569663644097, 0.12483857908160592, 0.1248533489017449, 0.12474801567705608, 0.12486940443966553, 0.1255820386726393, 0.1253122795825614, 0.12462882202358244, 0.12466092635151066, 0.1247575659508243, 0.12456249903230146, 0.12467198597577624, 0.12431737479807466, 0.12449253656924572, 0.12441426832683092]","[0.12452789732715244, 0.1247086443813283, 0.12463112649926296, 0.12471201510217134, 0.12467747463355189, 0.12466566469842816, 0.12470991953091211, 0.12473476179335721, 0.1243521523773197, 0.12424103024532003, 0.12443945186704189, 0.12434217944391888, 0.12466834061051407, 0.12482500939954302, 0.12416550694209133, 0.12412462641779894]","[0.12377951288875702, 0.1238950779981579, 0.12416680128936498, 0.12389590769710473, 0.12404168954340422, 0.12419245500448581, 0.12432903402961666, 0.12443335273519739, 0.12321528035485653, 0.12394741331453672, 0.1238590717333298, 0.1237090408659238, 0.12368593865842473, 0.12369474234426027, 0.12400651650020689, 0.12392412869171185]","[0.12480993010874335, 0.12447774477132813, 0.12483261389036703, 0.12485865685331722, 0.12468715586419005, 0.12538922113744003, 0.12490305214406375, 0.12518668662589746, 0.1265454938897133, 0.1251751586558193, 0.12501883456037607, 0.12532137155295084, 0.12491408962338146, 0.12471432981073065, 0.12496207855101692, 0.12495435518550863]","[0.12686692700917648, 0.12767315864258952, 0.12753702008395426, 0.12779087660650723, 0.12831320008922806, 0.12793326002030114, 0.12851726976721434, 0.12768220318110457, 0.12770183422785325, 0.12807996362711893, 0.12803935951326437, 0.12772956059945392, 0.12786991500947725, 0.1279064875733229, 0.12761526465665798, 0.12796146227839378]","[0.1276576696790348, 0.12739868734012494, 0.12730029197469922, 0.1273764881911107, 0.12729218160365877, 0.1277232425919505, 0.12770234482999038, 0.12694329590487838, 0.12755716707672446, 0.12838682438628465, 0.12724430631954814, 0.1275541099247757, 0.1272783276986146, 0.12731390232001832, 0.12747172990265335, 0.1272010722545765]"
y,"[0.027793362971786282, 0.02776394827169891, 0.027892001478068026, 0.027733220357607048, 0.02783303416198854, 0.027918365508744637, 0.027992653702089747, 0.028025065358765033, 0.028039778905292093, 0.027912046954524768, 0.02806832772835493, 0.028022224051532183, 0.027983711672404172, 0.027950668821518605, 0.02801067936857342, 0.02787187248610457]","[0.02705457531650099, 0.026928694945092847, 0.027057728273644888, 0.02706242737532031, 0.027085364862279967, 0.027007451745318534, 0.026989897855310023, 0.02704606806566157, 0.027353628914861462, 0.027287348955481797, 0.027065730723948644, 0.02726895732275757, 0.027353997348232486, 0.027023751432847815, 0.0273963762444733, 0.027305596456488758]","[0.027041544903933155, 0.027102343232879262, 0.0271535924122084, 0.02715388037804268, 0.027163446976758054, 0.02725139627166595, 0.027203986079269427, 0.02726473971077673, 0.027672770028077102, 0.027719145402859864, 0.027727922361092155, 0.027687963333744826, 0.02762101824946818, 0.027562450084406137, 0.027648638858265316, 0.02744114552362248]","[0.026902710465587388, 0.027054296173686477, 0.02713580938455918, 0.027136682285689658, 0.02705269498940049, 0.027008187231498133, 0.027111184150071778, 0.027051203711205552, 0.027101153504686375, 0.02713292316475507, 0.027204292674812055, 0.027175860070675906, 0.027202086769681423, 0.027108266602460192, 0.02707578393579012, 0.026859722048281878]","[0.026925744170882608, 0.027056980717907797, 0.027061690401328616, 0.02706202643601381, 0.02706376832595473, 0.027095701551146645, 0.027085227121039664, 0.027049763748242896, 0.027245194478408064, 0.02714842230534471, 0.027148335773731873, 0.02703510339261779, 0.027075821110163795, 0.027132700619999856, 0.026974833243292588, 0.02687842508007739]","[0.027119104298596933, 0.02721181291929077, 0.027273344836242965, 0.027180758510721256, 0.02728828128271202, 0.02738904921415261, 0.02739868599590973, 0.027340931543399005, 0.027240984176816682, 0.02744236865422134, 0.02743117840659106, 0.02735644920703908, 0.02722503629970536, 0.027130971063980103, 0.027121173124782932, 0.02710041885129525]","[0.027069058956667922, 0.027084374904451498, 0.02720717303015742, 0.027228981075515052, 0.027147902097802473, 0.027285510302762387, 0.027143691494383063, 0.027314750500083404, 0.027397889004569964, 0.026974595976776167, 0.02697384190575428, 0.027090070746428687, 0.027064412558683918, 0.026951487297497096, 0.026892827422908043, 0.026726636566818743]","[0.027739325958349575, 0.027936873775930626, 0.0279760060608862, 0.02807999458126159, 0.02821204342840135, 0.02812688728129068, 0.028243123353086597, 0.028090087305847177, 0.027853193943412045, 0.02793723557314229, 0.027916655171717063, 0.027823284659869205, 0.02780796343609527, 0.027764937905687005, 0.027637375580044095, 0.027586128762251815]","[0.027438675159796155, 0.02741024152766076, 0.02745269444018542, 0.02745662826632776, 0.027452982124953944, 0.02751296652246531, 0.02750930311434253, 0.027309885965958413, 0.02726619586960651, 0.02751153699891574, 0.027225718868285988, 0.027228120579676246, 0.02713101186490773, 0.02712877107221628, 0.02710698397794158, 0.02703201521076587]"
