,R23_S00,R23_S01,R23_S02,R23_S10,R23_S11,R23_S12,R23_S20,R23_S21,R23_S22
u,"[0.038957886862365516, 0.03928901369834189, 0.03947292724056313, 0.03960581281009667, 0.03982323516733694, 0.03990994592160873, 0.040004504023962134, 0.040116551964826684, 0.040593648816009575, 0.040593616584222676, 0.04044823501545657, 0.04036026718236597, 0.04014939076741515, 0.039935186634863507, 0.039922912934995565, 0.03968959059534103]","[0.042159361640348066, 0.042405060504069156, 0.04254501194448017, 0.04261461261898768, 0.04285579167084645, 0.043166561536904874, 0.042971551921513265, 0.043104615029846444, 0.043459954419260864, 0.043531377777641, 0.04351577371856178, 0.043339227868633146, 0.04326497368486342, 0.04311339422689994, 0.042885221123786205, 0.04272035910473185]","[0.03618365367647168, 0.03636621808781568, 0.0363831892086377, 0.036496329126380955, 0.036614267244378974, 0.03664868077718954, 0.03667110508168686, 0.036775794979408145, 0.03698659524736841, 0.03713009419463464, 0.03704948121942975, 0.036945806782487205, 0.03680016494902524, 0.036837790708159804, 0.03664013869578332, 0.03657050343643503]","[0.04040912683186764, 0.04062182026895526, 0.04073959211772619, 0.04060759283555154, 0.04063135038530329, 0.04056639502557928, 0.04045108224564937, 0.04023530053078357, 0.04073638992745052, 0.040805372635851204, 0.04078344188252656, 0.04082523141891724, 0.040790185399019664, 0.04071384920673917, 0.04082665772759777, 0.04081846450645538]","[0.03411287722126996, 0.03441946611534896, 0.034720339970384546, 0.03501048570818257, 0.035240733568245725, 0.03527101827969229, 0.035459616808617485, 0.03554634816753552, 0.036147306979914945, 0.036384694378709496, 0.036015421746291305, 0.03577551543844713, 0.03561641254348281, 0.03560388998694252, 0.03535803840100259, 0.03506485551711463]","[0.03852677201129644, 0.03856625508794032, 0.038565291039946666, 0.03845385300748288, 0.03843877600272344, 0.03842940757271037, 0.038416862744368695, 0.03839497259358561, 0.03853588267916969, 0.038467098408327585, 0.03855484247839571, 0.03856384211319991, 0.03847111554303507, 0.038696621581987646, 0.03865156267183221, 0.038704549628221445]","[0.036733837597931245, 0.036914715858342946, 0.03720756806328363, 0.03733326060085087, 0.037559958094197037, 0.03764055905756469, 0.037776950369808514, 0.03765662204109754, 0.03870937642564856, 0.0387790223687422, 0.03862621789024512, 0.03859541258607641, 0.03840156128623558, 0.03830657555807942, 0.03798483833487217, 0.03791270649327564]","[0.03682892313898494, 0.03720157597149906, 0.0373469192752508, 0.03765953524875021, 0.03775899149495578, 0.03777112716745496, 0.037949884510214096, 0.037830079167734836, 0.038814609094370935, 0.03881392900163281, 0.03871485874335138, 0.03861002688307598, 0.038542335131871615, 0.038309117831887125, 0.03817909759838967, 0.037802959414819814]","[0.038362774168628176, 0.038692016061268604, 0.03864503617005765, 0.03879334707120849, 0.03891950003957503, 0.038998358778052127, 0.039338083348045456, 0.038978393581724204, 0.03994609503189059, 0.03998718264742414, 0.03990391033803159, 0.039837547884082905, 0.03968257999924119, 0.03961446525656445, 0.03945862673610623, 0.03945163757418769]"
g,"[0.1331999205780722, 0.13371346884391896, 0.13383670321890107, 0.13403854630696635, 0.1342975425403225, 0.13428820906922748, 0.13440067518790524, 0.13460768991762617, 0.13439336014948045, 0.13450744919207552, 0.1341860769673245, 0.13420951899998462, 0.13394507354544077, 0.13354192211858903, 0.1339000090915282, 0.13348582780493962]","[0.13510100428410537, 0.13534968839905742, 0.13534793203194528, 0.13533960064025372, 0.13565714991282837, 0.1362936581565639, 0.135455848219118, 0.13563993712668998, 0.13514018839715927, 0.1355436503783344, 0.13567485054133605, 0.135442272225558, 0.1355382965668391, 0.13524353137232276, 0.13490702207666447, 0.13483853372460392]","[0.13719100743637172, 0.1373234191728084, 0.13697546980122458, 0.13720385467976212, 0.13715553739145048, 0.13685257973310092, 0.13678227137784316, 0.1371420853148042, 0.13622117711893605, 0.1367373357062403, 0.136646879026329, 0.13662316345373215, 0.1364990731756837, 0.136801136374857, 0.1364203650273276, 0.1366900821349172]","[0.13457927868802125, 0.1351567273390218, 0.1356425813391071, 0.1354388977560253, 0.13550854831970505, 0.13560862349312305, 0.13562664372241534, 0.13535484058731742, 0.13550456535196723, 0.13552571951112577, 0.13527500145707017, 0.13530245627025275, 0.13524865521939425, 0.1348321381990715, 0.13512046151271662, 0.1352101881116958]","[0.13569277574770777, 0.13578061394639968, 0.13586947975938543, 0.13644358463458642, 0.1367001997826717, 0.136206480062726, 0.13666336458491077, 0.13661754767572384, 0.1370762757417446, 0.13834096040200625, 0.13709784770270633, 0.1366892423518045, 0.13654076998574383, 0.13670248394561235, 0.1364406537995393, 0.1360804276124029]","[0.1340091303704145, 0.13413190371344216, 0.13410567111871108, 0.13397357939502555, 0.13379070422847356, 0.13369705205827054, 0.13382970175691572, 0.13384580510080477, 0.133706450346563, 0.1334738825242653, 0.13369774722942795, 0.13376762227783737, 0.13353199575955488, 0.13409320594041935, 0.13395365953262914, 0.13418795571517367]","[0.132467532585721, 0.13243470395763124, 0.1329977979190759, 0.13318637067298086, 0.13361954293019837, 0.13358454977448692, 0.13410037449788784, 0.13381432528515733, 0.13475007952689988, 0.13477978937757865, 0.134173420013653, 0.13423134674782466, 0.13394288742454086, 0.13387626104339642, 0.13325461127905214, 0.13352536337339216]","[0.13316724169998342, 0.13367864346469496, 0.13361799666147597, 0.13439390475996857, 0.1341062127915696, 0.13373186433831952, 0.13416777957006626, 0.13351484538684397, 0.13462997066144045, 0.13485806238614545, 0.13474492210781963, 0.1347149257918697, 0.13510681471249486, 0.13459241433241917, 0.13456235422729299, 0.13394185343975554]","[0.1335778746324168, 0.13406044977888915, 0.13350097653505216, 0.13374547411235074, 0.13368377704966772, 0.133655353565635, 0.13479585977507536, 0.13357737846759254, 0.13414637809305324, 0.13439991060665718, 0.1342801804178552, 0.13442306700635728, 0.1343717972893903, 0.13433989482332545, 0.13416536856832212, 0.1346287134165118]"
r,"[0.11272797314990933, 0.11307455849743402, 0.1131057388013618, 0.11322997181169486, 0.11338252632950623, 0.11332162907059021, 0.11338830221061301, 0.11355131233449806, 0.11313455351397031, 0.11324034709578895, 0.1129911293832018, 0.11305187836147318, 0.11289277731131593, 0.11260542077430168, 0.11296814876726102, 0.1126746854694946]","[0.11352150840694725, 0.11364620163710779, 0.11358354253901988, 0.11353528310015365, 0.11373501702727619, 0.11421645596317369, 0.11347357090411372, 0.11359262591442212, 0.11298472733364943, 0.11334782238055768, 0.11348881577454084, 0.11333954479060708, 0.11346213438269608, 0.11324275946451905, 0.11303040250148218, 0.11305498998269269]","[0.11444330354681047, 0.11450054176538743, 0.11416404927733001, 0.11433646631998001, 0.11424675839100329, 0.11394905845837944, 0.11387991842085846, 0.11416085990152544, 0.11317949721379712, 0.11360211529244257, 0.11354495563241966, 0.11355002479953064, 0.11348936738103814, 0.11376121307099527, 0.11348259337155378, 0.11374616673517296]","[0.11309356446567631, 0.11356060599136719, 0.11397565364458016, 0.11383185242710182, 0.11389335431471592, 0.11401554884628408, 0.11408554608156335, 0.11396668652983608, 0.11389293975984326, 0.11382670668494922, 0.11358929955457742, 0.11359842634602889, 0.1135583675777645, 0.1131930514641104, 0.11343206318181007, 0.11352279610226]","[0.1142868748532854, 0.11422305770079243, 0.11418875092923153, 0.11457154822568223, 0.11468398087183865, 0.11417673864967402, 0.11451446442909875, 0.11440826673042113, 0.11449833022251701, 0.1156256612709021, 0.11461657978275303, 0.11434272203560192, 0.11429187040421661, 0.1144904310229541, 0.11436090118311626, 0.11414463383598095]","[0.11367758269091696, 0.11374702262191395, 0.11373092574998835, 0.11365203032392307, 0.11348794987859177, 0.11339969034918836, 0.11352827225356335, 0.11354804205361184, 0.11332831217289187, 0.11313819023244866, 0.11332776692560717, 0.11339736853614008, 0.113209466203288, 0.11366205399837115, 0.11354729954094937, 0.11378874666878794]","[0.11275621624844033, 0.1126330590434323, 0.11304981725329454, 0.11317033488056462, 0.11348594501538622, 0.1134087602235103, 0.11385572467857079, 0.11364358167014527, 0.11408252750433293, 0.11405667967258948, 0.11354021789376269, 0.11360699804401449, 0.11340986610156974, 0.11339193824547822, 0.11293303317725446, 0.11323412149991509]","[0.1130846988106664, 0.11341334525059422, 0.1132958298072979, 0.11391407581085698, 0.11358226308049393, 0.11321044931302814, 0.11355625116596824, 0.112978647276145, 0.11359423185949405, 0.11380147884750559, 0.11373271189697906, 0.11374075994324297, 0.11414580866502981, 0.11374396920861111, 0.1137644351875046, 0.11332968259919086]","[0.11349992383015409, 0.1137956058861658, 0.1132753523131742, 0.11343997718973835, 0.11331598619636954, 0.11325723346438776, 0.11420135307538562, 0.11316194722671369, 0.11329423949373159, 0.11353025445033088, 0.11346072872866506, 0.1136295944239914, 0.11365170498324896, 0.11366018281834453, 0.11355978857640656, 0.11403934053358283]"
i,"[0.08100752230107727, 0.08138685025999781, 0.08143769328652586, 0.08149218441020946, 0.08154187544353117, 0.081426735582803, 0.08141594146947148, 0.08148717792939832, 0.0817133308765554, 0.08182351892053107, 0.08168522169443024, 0.08177215834521338, 0.08168942311675965, 0.0814862216058805, 0.08169964812057603, 0.08135432376065024]","[0.08128614454715805, 0.0813375198305177, 0.08126267715108193, 0.08121360942460507, 0.08135081572055336, 0.08170430861030738, 0.08119559200661156, 0.08132190391725169, 0.08146996201821799, 0.08170143776386511, 0.08178891320917211, 0.08167799125781136, 0.0817705355777787, 0.0816264418511917, 0.08149461835010387, 0.08154006043007893]","[0.08014440905191493, 0.08027112715200893, 0.08011537456379672, 0.08032468529208867, 0.08034496791756675, 0.08019664818718057, 0.08015667213347831, 0.08026162632841373, 0.07997807313910024, 0.08036213503436286, 0.08033666122546511, 0.0803027641560058, 0.08020291617235997, 0.08033132336267622, 0.08006543548931495, 0.08017077830571995]","[0.08115590388510836, 0.08161875364801113, 0.08194401796412341, 0.08180785197200795, 0.0817937633505762, 0.08181666904911777, 0.08180615178803963, 0.08169433379995972, 0.08165262167061536, 0.08163297145652904, 0.0815314257135328, 0.08160902267459141, 0.08164429079775429, 0.08142049093585636, 0.08156805439753648, 0.08150391145021209]","[0.07982850847438797, 0.0797498876057955, 0.07970872746982213, 0.07995195729715245, 0.08001690971724697, 0.07966987932144336, 0.0799290290105039, 0.0798855478542645, 0.07989479878092907, 0.08065651312523522, 0.07992809970195452, 0.07972740671444242, 0.07969664186752429, 0.07985841743532959, 0.07979570656887502, 0.07967326837603318]","[0.0818729713532521, 0.08198982215764465, 0.08207859467909931, 0.08213333749441784, 0.08211114113687797, 0.08211797536559184, 0.08222657432190952, 0.08216964376850418, 0.08202757707985787, 0.08196589876261934, 0.08208884363812494, 0.08206786102979137, 0.08183059034385745, 0.08204619947068177, 0.08186144058457948, 0.08196595740271241]","[0.08179659339615772, 0.08184505896016073, 0.08220228116671274, 0.08229185478410964, 0.08249621518210887, 0.08240217708643027, 0.08269699429427907, 0.08251653128931705, 0.08227138949033069, 0.08230576440344803, 0.08200819961750984, 0.08213002876593697, 0.0820517941620286, 0.08207158371269184, 0.08171068701656801, 0.0817995408167058]","[0.08238719130864339, 0.08260503414888357, 0.08250688759519291, 0.08295012920306997, 0.08269962983495116, 0.08243594041066478, 0.08270892971562664, 0.08231949339709754, 0.08220598368713136, 0.08231936921894567, 0.0822554169402644, 0.08225867273446971, 0.08255669101259429, 0.08227803937223306, 0.08231554579618532, 0.08203752433808656]","[0.08210393913883782, 0.08236713096961092, 0.08204599152939465, 0.08221904005369476, 0.0821770438620936, 0.08216789765319339, 0.08283592934788078, 0.08200561053159296, 0.0816771397662102, 0.08193111348459355, 0.08188533544282942, 0.08195777486614825, 0.0819070178678431, 0.08183581298395252, 0.0816910356276479, 0.08196358696984428]"
z,"[0.05424020098128631, 0.05452547762637567, 0.05458039148363218, 0.054606006657318545, 0.05462120429204778, 0.05456997156908772, 0.05457252959378745, 0.05463466969557844, 0.05488034430130251, 0.05493928616849895, 0.05483266675446968, 0.05488632055910998, 0.0548243908022722, 0.05466082649554876, 0.05474883022021898, 0.05445371110578454]","[0.05428087962622074, 0.05430442638558477, 0.05424788975814887, 0.054211501835783875, 0.054315507813879074, 0.05456507420046233, 0.05425012387153251, 0.054370746077589065, 0.05460966215369189, 0.054739996993112716, 0.05478962584281384, 0.05471776714012807, 0.05478892248040305, 0.05469525059030561, 0.05459519530878666, 0.054610210615440094]","[0.0530406325142638, 0.05316473011959011, 0.05309491635616991, 0.05326603409908038, 0.05334022418716317, 0.05327847744046151, 0.05327840083887716, 0.05333909584613018, 0.05325183873551535, 0.05351080159936149, 0.05347979986154588, 0.05343572411699831, 0.05333656971888004, 0.05338194318145742, 0.05313839739169282, 0.053147817106993414]","[0.05427004220141736, 0.05462371700854681, 0.054848684246983075, 0.054745484038152825, 0.05472073556669988, 0.054726092646830246, 0.05471186323209702, 0.05462600389265192, 0.054548444609426705, 0.05453103157747715, 0.05447804232642675, 0.054553537624522135, 0.05459607178589768, 0.05444212139114174, 0.05449178853778379, 0.05438143640279664]","[0.05300640637527838, 0.05292194438044014, 0.052853269694294464, 0.05297665307305861, 0.05299350298147224, 0.052741328041586155, 0.05291141133711457, 0.052893179842794895, 0.05274364058496875, 0.05327596787167598, 0.05283294571375985, 0.05271840720386853, 0.05270686167803205, 0.05282970767061902, 0.05284958218606555, 0.052809655884946946]","[0.05477386826866057, 0.05485411838191367, 0.05492651907268154, 0.05498100501081865, 0.054977019313422935, 0.054992386001731425, 0.05506102272742188, 0.054994871302194354, 0.05480472596876488, 0.05481393063847933, 0.05493394404889444, 0.05491261717248581, 0.05472240520084993, 0.05483397629023432, 0.05469659750389593, 0.05477078143439353]","[0.05498387455404411, 0.055061867267316995, 0.05531896247864706, 0.05538536021554701, 0.05552674697793652, 0.055464737164785415, 0.055676530088335056, 0.05555768365238154, 0.055117914655161936, 0.055143410452965794, 0.054951682014778895, 0.05505372136810032, 0.05501929906606229, 0.055032410913705865, 0.054747419500369945, 0.05473604598731977]","[0.0554650690520017, 0.05560641706464777, 0.05554653469665787, 0.05585867038235626, 0.055706770649183224, 0.05553730304046584, 0.05574959333101752, 0.05551679677886075, 0.055186189368266025, 0.05522581765749947, 0.05516442770727661, 0.05515340048857924, 0.055346705380140686, 0.0551386429783579, 0.05513957279589227, 0.05491232509216256]","[0.055103559638765634, 0.05530629965315197, 0.055124887670799316, 0.055269494258614146, 0.05527101166211803, 0.055307233773857364, 0.055782955640330895, 0.05523057753005143, 0.054796867797480046, 0.054961249005676456, 0.05489865089409758, 0.05492220790632785, 0.05485526715114412, 0.054761677932871164, 0.05460435298929783, 0.054730307377362473]"
y,"[0.023672992909456514, 0.02375689504336766, 0.023760737524132873, 0.023758184927691803, 0.02375290928309373, 0.023748850959165468, 0.023747378289673774, 0.023798572156486956, 0.02383432402741231, 0.023847180089101246, 0.023811439998823677, 0.02386091612886026, 0.023840548662935553, 0.023755967291949984, 0.02375935924787855, 0.023637277403677225]","[0.02364481953116162, 0.023654395032143196, 0.02362409822305168, 0.023600670976651028, 0.023639686354041855, 0.023743494586349608, 0.023605516593492058, 0.023670849476544388, 0.02377091685287602, 0.023815704149853175, 0.023850701821877155, 0.023848471053494528, 0.02390406120380922, 0.023871570909223448, 0.023815466699220102, 0.02380001101605747]","[0.022960909362310603, 0.0230212418811097, 0.022992745713258805, 0.023061569307959252, 0.023108676705712084, 0.023089587654502548, 0.023111926432449862, 0.023169115851245727, 0.023151090742371688, 0.023203592809718284, 0.023169280856842597, 0.0231491918657544, 0.02310399488689659, 0.023107085273636464, 0.02296078615987613, 0.022941219178922636]","[0.023431018912626014, 0.0235785271026407, 0.023669237586985557, 0.02363531725431674, 0.023630739533687318, 0.02365809107515904, 0.023682680440060028, 0.0236676907621155, 0.023616759105528427, 0.023557881986086528, 0.023506352147880154, 0.02353567986725356, 0.023553386007773344, 0.023478995791944367, 0.02346564869466378, 0.023427193108757554]","[0.023284581584196343, 0.02320197427493088, 0.023113189130607746, 0.023144275476719222, 0.023152797086909673, 0.023035721932396943, 0.023095276932825315, 0.023089741540493668, 0.022906456371507608, 0.023181608621612768, 0.023041817860390636, 0.02302847647197471, 0.02304124552762005, 0.02310602253843157, 0.023145852014862196, 0.023270865238365912]","[0.023674055282312645, 0.023635157241795254, 0.023626216200930868, 0.023599526906301595, 0.02357474689138746, 0.023545867691492917, 0.02355905555480921, 0.023555426667913746, 0.023298224842339302, 0.023347668428656345, 0.023431177987657377, 0.02345275078978608, 0.02338678963911165, 0.023468501478073774, 0.023476709504949126, 0.02363289625248441]","[0.023874465232927036, 0.023892015739795228, 0.023988386771730725, 0.024041847436562198, 0.024118577037040317, 0.024113180328743072, 0.0242432295023956, 0.024233254015596905, 0.02403464874712966, 0.023958610634333178, 0.023833517917194347, 0.02387606200703759, 0.023853856868061192, 0.023848252183076006, 0.02368519773769284, 0.023672308307349853]","[0.02411494036938387, 0.024189663641261242, 0.024171102544650096, 0.024298678398433263, 0.024227683074765558, 0.024154547169851187, 0.024263955904111442, 0.024160247381245118, 0.024076161978632254, 0.024024850311286906, 0.02399934646669228, 0.024004923437947065, 0.024089393532336644, 0.023969650068892363, 0.02391415497072347, 0.02377112915300845]","[0.02392579818112672, 0.024011419757627727, 0.02393134103976864, 0.023977283956266908, 0.023985071476654754, 0.024016880807077704, 0.024256744442741625, 0.02405651274328666, 0.023870886274870936, 0.023889370101321705, 0.023839367698663495, 0.023850549333155644, 0.02382073750569217, 0.02376725892068634, 0.023666952190967344, 0.023697014544822627]"
