,R41_S00,R41_S01,R41_S02,R41_S10,R41_S11,R41_S12,R41_S20,R41_S21,R41_S22
u,"[0.061478715814547, 0.06172640107051469, 0.06161765743886307, 0.061752781767080676, 0.06150703941050431, 0.06121608596020389, 0.06109344332028008, 0.06061626463105118, 0.05986899206392037, 0.06056495019650113, 0.0606850004015124, 0.06106679873536235, 0.061153576983611964, 0.06129442555837808, 0.061371981171595764, 0.06113161439997751]","[0.06373629299370207, 0.06364934057558164, 0.0635385968676863, 0.06343129157937591, 0.06325316553716698, 0.06307446834608996, 0.06297511627563246, 0.06281849370769262, 0.062474398013647875, 0.06277088083261234, 0.06282212841933789, 0.06301303724983777, 0.06305078574566667, 0.06312146757123578, 0.06320908668092422, 0.06326158069618931]","[0.053864528686390044, 0.05363437968164743, 0.053234131725470146, 0.052844935593849035, 0.05237584657695268, 0.051861184466872656, 0.05156685432929993, 0.05117047897137782, 0.050833657268322986, 0.05109982675042019, 0.051538128080470216, 0.05184425084797176, 0.052388578880137766, 0.052741011003000604, 0.053101570538240134, 0.05347346117417773]","[0.05215671064783383, 0.05264064826880528, 0.052593571979268026, 0.05250514621697725, 0.05245235156217398, 0.05233336794166232, 0.052259417238054606, 0.052324669965278535, 0.05162609765622879, 0.05189430323738972, 0.052119725824070755, 0.05231891610962252, 0.05241123581101997, 0.05242947531012305, 0.0524623337284248, 0.0520844776614605]","[0.052313483413032595, 0.05206456357954049, 0.05171802472807228, 0.05156893791371422, 0.051313267221435956, 0.05112890009357991, 0.05081658863281195, 0.050679305037411526, 0.05046061551422505, 0.050976712725299675, 0.05118694092730705, 0.05149795416877686, 0.05174406384001818, 0.05192673944225881, 0.05216914923290046, 0.052441496932077794]","[0.056983135764646475, 0.05666457760694807, 0.05686778704205416, 0.05603720938218711, 0.05568248730993667, 0.055231837170723476, 0.05538767899184541, 0.054494862794000856, 0.054229844396366696, 0.05469059837854795, 0.055400143867315774, 0.05566797388592237, 0.056005241199549284, 0.05639212808068934, 0.05669635171248279, 0.05705392839926224]","[0.053438077146152015, 0.05350267939601572, 0.05341704456717352, 0.053189235443445705, 0.05292682957777918, 0.0528053583121113, 0.05260949755022579, 0.05217707386045863, 0.052604583463828264, 0.05307814963629842, 0.05327569926930368, 0.05350750735530833, 0.05369587478882004, 0.053851132530940524, 0.05398442498321847, 0.05375745484268309]","[0.05450369476463556, 0.054377119099713316, 0.05410307976164378, 0.053887811979713915, 0.05349824368345121, 0.05323775508768293, 0.05313613202300316, 0.05300503972753668, 0.05311362954197549, 0.053345669230203646, 0.05351624363172123, 0.05384521442733859, 0.05412085951519691, 0.05438088004716099, 0.05454944369857411, 0.054892154913041724]","[0.05649382218843231, 0.056220776484625215, 0.055832029728608394, 0.05553886892698646, 0.05520165290194054, 0.05484183539081318, 0.054568572498614326, 0.054328148942482654, 0.054263598915497625, 0.05476759645153429, 0.05515050127825474, 0.055508697614199985, 0.055818565015208446, 0.05611611009029718, 0.056421242701850456, 0.056650460497713634]"
g,"[0.15719083319630056, 0.15699692709246865, 0.15682869682331577, 0.15755371297724213, 0.15743672735861103, 0.15715697317254032, 0.1572277737660482, 0.15691612587053078, 0.1559768011683597, 0.15628583115159975, 0.15610174355083384, 0.15665507812705165, 0.1564226726878037, 0.1564432320979823, 0.15653662834976723, 0.15658777176165642]","[0.15426432584327368, 0.15405269677526975, 0.15402793596936734, 0.1540539482668351, 0.15397423096448287, 0.15382440180289778, 0.15381897835838818, 0.15385141430880708, 0.15317252966596046, 0.1533354581050481, 0.1533107211634727, 0.1534559481425546, 0.15324050031487996, 0.15310221164890545, 0.15305975114696063, 0.15351269418463231]","[0.1572260477981012, 0.15762464954527391, 0.15764234097923094, 0.15766604828189817, 0.15770225539034965, 0.1578198079410987, 0.15840623067706144, 0.158677603125992, 0.15781883411154934, 0.15734355505716352, 0.15724565415395728, 0.15667827659386901, 0.156834349131991, 0.15671243610119054, 0.15653299006149463, 0.15652666170077675]","[0.15113035008260922, 0.1511922270797745, 0.15112791970080855, 0.15132607978724055, 0.1515561185558031, 0.15164580041368086, 0.15179265409698273, 0.1525353022270203, 0.15126990812347868, 0.15111110871669506, 0.15123784863698034, 0.1512702122068583, 0.1511382407214959, 0.15077966637040321, 0.15076812000906173, 0.15081530121237363]","[0.1617607363445843, 0.16193886499056923, 0.1618839651610527, 0.1622252597347866, 0.1623199880376973, 0.1625809571889694, 0.16239529853701903, 0.16251571039271184, 0.16209902608987414, 0.16262994525772131, 0.16248895896942522, 0.16251195368881927, 0.16242454839366796, 0.16216291061270352, 0.16187392726473626, 0.1615922478240965]","[0.1584935095413903, 0.15852448439784136, 0.1600007109184738, 0.15893403568687176, 0.15884249370390496, 0.1588690372802614, 0.1606791678669423, 0.1598671407813041, 0.1590048129829596, 0.15845856147996676, 0.15877270588758177, 0.1585235309299986, 0.15844327479168305, 0.15859521475174745, 0.15839652246541125, 0.1583439067793791]","[0.15948541615578324, 0.1594504314108944, 0.15979304420572868, 0.1598562149661731, 0.15984551490494658, 0.1602684384971086, 0.16031339685927382, 0.1599858357146455, 0.15949124694829392, 0.1599782695422174, 0.15992585569306056, 0.15970859806241666, 0.1594814721313747, 0.15919041855565555, 0.1591305092950661, 0.15930971669529323]","[0.15756444338312292, 0.15788277315892144, 0.1580838388825011, 0.15837274702261564, 0.1580908317602015, 0.15805720624121555, 0.1584073447013561, 0.15867784402158505, 0.15834971856097757, 0.15828024183571546, 0.1581024218872015, 0.158411876791843, 0.15838226405579678, 0.1581344495645868, 0.15755550767843587, 0.15783273818748272]","[0.155329851570962, 0.15526589190497714, 0.15506717775977985, 0.15515989357746596, 0.15504421283215541, 0.15502704825099425, 0.15547086391185588, 0.15650296195935598, 0.15546180775993101, 0.15514978895689324, 0.15487765576394982, 0.15489385050208251, 0.15488500107410796, 0.15484745545211007, 0.15480752563194572, 0.15463367652547147]"
r,"[0.12088239053156566, 0.12093005588341912, 0.12081748450421885, 0.12126436294744904, 0.12099455467047775, 0.1206431712312573, 0.12065045309692633, 0.12049654166678993, 0.11991345028480542, 0.12008511786590191, 0.11991920652362693, 0.12033356607711232, 0.1202012932455241, 0.1202724342093444, 0.1203843149694444, 0.12026418384552615]","[0.12277395566892715, 0.1225521141070476, 0.12243815655254764, 0.12234126141252682, 0.1221935028041568, 0.12201269542521719, 0.12191276775887752, 0.12190112383599803, 0.12135011047486623, 0.12141291978678365, 0.12138114528885, 0.12155057103676187, 0.12146240400184517, 0.12146776915222605, 0.12158102997310849, 0.12200754823225293]","[0.11811982551806653, 0.1182218315033604, 0.11802884613147152, 0.11782671511338189, 0.11765388902295448, 0.11746137982941267, 0.11772549943111082, 0.11773734645845965, 0.11730911014736274, 0.11706338790599473, 0.117164906941093, 0.11694854872101092, 0.11727072887818117, 0.11734290075883745, 0.11742822996619509, 0.11760066375069061]","[0.11752969405417726, 0.11744894584043229, 0.1173301939485635, 0.11737931973587505, 0.11737870792214893, 0.11727927797867818, 0.11725416900583453, 0.11791313704278311, 0.11739885498353311, 0.11700340403553842, 0.11710367506310529, 0.11720675122166889, 0.11726868611515089, 0.1171668696697484, 0.11730416974738794, 0.11735339879025553]","[0.12006555531969068, 0.12002127053718217, 0.11985329262275984, 0.11996569692299272, 0.1199103713896846, 0.11999212590326314, 0.11975924852708682, 0.11977099875876232, 0.1196119262450576, 0.12000743827451392, 0.11998570992475274, 0.1200883521341661, 0.12013330492314943, 0.12005980496463593, 0.11998881479009131, 0.11992811587537999]","[0.1196399115742268, 0.11945418836373163, 0.12039293258358139, 0.11946226726973658, 0.11919255839437143, 0.11896051890548547, 0.12002937209756274, 0.11894291580197887, 0.1186351307941468, 0.118494267492159, 0.11903307214682705, 0.11899752205832273, 0.11917301262943976, 0.11949766658337739, 0.11949893787894776, 0.11957408611800827]","[0.11789187824626446, 0.11791162858930303, 0.1180612873232156, 0.11799526380326915, 0.11783240807967808, 0.11803160335995454, 0.1179577588419742, 0.1176328085182534, 0.11783811410559046, 0.11816811563489087, 0.11819811300442364, 0.11817207567493829, 0.11815048352893606, 0.11807775374923611, 0.11809453486889326, 0.11803088935451235]","[0.1198948859806793, 0.11996991628935075, 0.11996220897704053, 0.12004927797193184, 0.1196756217958287, 0.11963901388684269, 0.11969323663644092, 0.11955626352357385, 0.11956525705379518, 0.11970652085923565, 0.11975153356792485, 0.12008166621204262, 0.12019710851751532, 0.12026153066349442, 0.12002992721110187, 0.12028275291921735]","[0.12035042234076186, 0.12010611538015636, 0.11977980796783241, 0.11963647876760523, 0.11938001862562352, 0.11914504083104835, 0.11918973407708397, 0.1195385651839898, 0.11923706866442066, 0.11937176587026069, 0.11943292477742473, 0.11963837541103343, 0.11984669474441685, 0.11998717144536906, 0.1200918084575997, 0.12017390461468881]"
i,"[0.08923374358443109, 0.08946346009574571, 0.08951764899886504, 0.08991333831676807, 0.08971320700561178, 0.08944568877046932, 0.0894632901140197, 0.08937247065210414, 0.08966865838342818, 0.08976632183713851, 0.08959405537782969, 0.0898428187190639, 0.0896746777145633, 0.08962308724250923, 0.08955132411103718, 0.08922508802537645]","[0.08969505626255887, 0.08968517348144564, 0.08970648817024385, 0.08971945939029329, 0.08972117487139035, 0.08969027561784049, 0.08970244937749222, 0.08977161949950767, 0.09020421061281164, 0.09017096517502837, 0.09001338827114178, 0.09003493620963432, 0.08987233461762374, 0.08978199142101927, 0.08977352264768973, 0.08988815350769425]","[0.08881578072156958, 0.08898736060509521, 0.08895283666114967, 0.08888801639866897, 0.08884746716833515, 0.08873006080869399, 0.08892714920672393, 0.08878282092998083, 0.08900666207953888, 0.08895102742445873, 0.08905840737207346, 0.08888919042975102, 0.08911912250117125, 0.08908433553221684, 0.08906839739222701, 0.08911523604099605]","[0.08883577471360694, 0.08897419221909456, 0.0889834758276845, 0.08903410651387511, 0.08900052877063483, 0.08886496946169745, 0.08879376702289536, 0.08931971516483553, 0.08907042304393596, 0.08868859283047002, 0.08877879708270187, 0.08889605937710382, 0.08896338512210021, 0.08889613635516075, 0.08892396396310993, 0.08874294318950927]","[0.08895422741973572, 0.08885680109191726, 0.08870289078398434, 0.08876702563804459, 0.08872491893772351, 0.08880108742722442, 0.08866393718885066, 0.08875080000824677, 0.08867219291867985, 0.08886397511579974, 0.08880524151585041, 0.08885338509198044, 0.08887826930970004, 0.0888317623705648, 0.08880421781081095, 0.08880693643779614]","[0.08922236824561218, 0.08919280730170594, 0.09002354149337333, 0.08944360644078171, 0.08937373505522571, 0.08925687082919746, 0.09005525602383715, 0.0890440671043923, 0.08901873254648512, 0.08904108549683613, 0.08945693021160817, 0.0892919259348874, 0.08930009650263791, 0.08940031685947737, 0.08929306229713323, 0.08921603368448007]","[0.08823477343746391, 0.08845367950755421, 0.08865721633464436, 0.08864432476138474, 0.08849764532570888, 0.0886364764834702, 0.08856436042323891, 0.08834504120951817, 0.08815623962075964, 0.08835653414224154, 0.08840994783928711, 0.08843966194858686, 0.0884702843672743, 0.08842330813056207, 0.08835096700279059, 0.08805213234899346]","[0.08997584005352549, 0.09005424754587633, 0.0900871603152532, 0.09019972996454134, 0.08995088846297945, 0.09000337324973172, 0.09005018556318269, 0.08993013362106403, 0.0894390827402342, 0.08949359114709932, 0.08948312290125737, 0.08965070806931462, 0.08968965273602439, 0.08973622276676531, 0.08955235262764638, 0.08966581674431016]","[0.09063721299623977, 0.0905604751469298, 0.09043397320086843, 0.09042808200706483, 0.09033789023477956, 0.09020616672809817, 0.09019450728167579, 0.0902867040517566, 0.08980897904012118, 0.09005806572640995, 0.09009299062975469, 0.09014080304190662, 0.09016249136158552, 0.09011262335088482, 0.09003070941359424, 0.08996589149425976]"
z,"[0.060973124666226536, 0.061102659599503464, 0.06115712538077046, 0.061445974351301294, 0.06130372220455428, 0.06108737983729489, 0.06109054065626214, 0.06102539316526758, 0.06157254692773743, 0.061634841741972306, 0.06150184203326618, 0.061694662816760386, 0.0615581064957031, 0.06147458200921589, 0.061371571697880434, 0.06113832527177345]","[0.06050116274654732, 0.06055637971248149, 0.06060415770865207, 0.06065500424914621, 0.06071236565029559, 0.06075259977423474, 0.06082033852445045, 0.060931927959636145, 0.06156187853186515, 0.061454043705781364, 0.061305298667467825, 0.06129863144149512, 0.06115377465140014, 0.06107662764552608, 0.06103169513176114, 0.06110219378818518]","[0.061533298300981726, 0.06173998609534072, 0.061762929564694376, 0.061795967861100094, 0.061878305963826485, 0.061881734799718896, 0.06204793322930093, 0.06191594047727368, 0.062194357872475556, 0.062191390883732406, 0.06222309136656297, 0.0620283176429592, 0.06212157903757598, 0.06203756407534301, 0.06196015134249144, 0.0619279919202842]","[0.061787796126549006, 0.06192018859714735, 0.06195650878877936, 0.061994428967413244, 0.061998711767911246, 0.061940380657769085, 0.06194256910460291, 0.06236992199835603, 0.06202949518261041, 0.06174263510987933, 0.06183412327366499, 0.0619528914516681, 0.06199484374265306, 0.06195766795562103, 0.06194800921339154, 0.061808928459983516]","[0.06184403603280768, 0.061804617029219244, 0.06170439875986367, 0.06173756402753355, 0.061741034843778145, 0.06184536566189856, 0.06180226250288396, 0.06189929736405311, 0.06178315180616593, 0.061887932576115016, 0.06181644523358507, 0.06180204316654165, 0.06178327456480366, 0.06171748051692429, 0.061658830622818905, 0.0616297128903243]","[0.06114838810013957, 0.061198743084205205, 0.06183430867764253, 0.061494713987382967, 0.06150405134326051, 0.06154577547145543, 0.06220347844147756, 0.06152219959319198, 0.06158898780798875, 0.061533827872094105, 0.06165433358119566, 0.06141408926307204, 0.06136499835910455, 0.061389526813377976, 0.06123208593570967, 0.06105907070808074]","[0.06140221638724796, 0.06161674352283596, 0.061803659412830454, 0.06180942228174908, 0.061698334429715035, 0.06179968452578228, 0.06179609082764221, 0.061676046439557146, 0.06126886424955168, 0.061311945637169546, 0.061282214242886116, 0.061329035645364224, 0.06145395863234564, 0.0614809511634953, 0.06143298456652331, 0.06117859579782935]","[0.06158750728964746, 0.061642917453850206, 0.0617033870682194, 0.06183615380151172, 0.06173049998917333, 0.061799287278745056, 0.06183691828068789, 0.06177992840446869, 0.061437383155669004, 0.06141280544874045, 0.061334094403576046, 0.06140706752104371, 0.06137430871460921, 0.06135601332426011, 0.061199901645476625, 0.06126434047087853]","[0.06248118419446653, 0.06253786149716238, 0.06253571517030213, 0.06260181104068488, 0.0625844971518289, 0.06252569215894066, 0.06253576110221032, 0.0625381102858533, 0.062092764995561815, 0.06233543919377736, 0.06230506987584805, 0.06225428358075289, 0.062161736185109374, 0.06198161041949402, 0.06180682223182776, 0.061715773520618314]"
y,"[0.03208907974241958, 0.032209945981340096, 0.03224239731739995, 0.03233849632216554, 0.03222775969319566, 0.03207396044814394, 0.03210051325557004, 0.03214367165115686, 0.03212111482730627, 0.03212482449991514, 0.032048836182300415, 0.03224165385728911, 0.03219287217444147, 0.032087682674728356, 0.03189663721489451, 0.031665807280611066]","[0.032672335946461406, 0.03272823239611405, 0.03275678398309493, 0.032790012667080155, 0.032835882037535034, 0.03286194324935206, 0.03281576763948736, 0.03277505804207751, 0.033180274262132346, 0.033091376028124626, 0.03297401219975106, 0.03291419336186166, 0.03276706607485361, 0.03272688582123858, 0.032685530894473076, 0.03272929992330662]","[0.032279209885364424, 0.03244364327703159, 0.03246926133154483, 0.032525425148687996, 0.032626968310415595, 0.03267502892199582, 0.03276523191925161, 0.032720184033700285, 0.033158519059076325, 0.033088179027249975, 0.03307073001973049, 0.03293689380951219, 0.03296870373058714, 0.0328716264943687, 0.032708342110204715, 0.032593376602285715]","[0.032491825908323446, 0.03252497924286594, 0.03254352490962371, 0.03253227018272663, 0.03256552482783748, 0.03256798686147605, 0.032551894221239684, 0.032727408099363975, 0.03268752635711546, 0.03260215457354803, 0.0326453866844733, 0.032654368500667226, 0.03258879567825435, 0.03257162366032661, 0.03252146386222699, 0.032466321640256576]","[0.032446654961173015, 0.032493237685717415, 0.032492137073845385, 0.03252427324608118, 0.032571871290187966, 0.03268413038835607, 0.032693838100253496, 0.03274933011872094, 0.03261591633464891, 0.03268480386204181, 0.03264371048394171, 0.03261541691342694, 0.03258251508434561, 0.03250479326244246, 0.0323935126002615, 0.03226450603414829]","[0.031952151841905516, 0.031990637021647034, 0.03232623153512566, 0.032112268516603606, 0.03207752018898872, 0.03212233180610656, 0.032494092817638084, 0.03215360606539301, 0.03248517714593462, 0.032450347126556325, 0.03247759029835235, 0.03231309486434417, 0.03233679632651473, 0.03238711718529816, 0.03228839586481294, 0.032172501161627384]","[0.03235970655714685, 0.03246634610266081, 0.03261247330553913, 0.03261075077837739, 0.03254575873533194, 0.03257962132661361, 0.03259183566333907, 0.0325465253920526, 0.03247527130094108, 0.03246120602909228, 0.03246877813224678, 0.03256223252848119, 0.03275966262785477, 0.03284225432213953, 0.032826778694732155, 0.03272198832411304]","[0.03180865127357829, 0.031784808113024914, 0.03181139795654644, 0.031898381634045084, 0.031850748071575154, 0.03183807696867058, 0.03177819118035986, 0.03175120557706167, 0.03186318851119984, 0.031836637958292474, 0.03183543438980979, 0.03186195788064543, 0.03181278645583728, 0.031774461845741564, 0.031704077326989745, 0.031790686031493764]","[0.03244541848440821, 0.032542865893296316, 0.032617711130660164, 0.03268134867944709, 0.032647993237932604, 0.03258045792287283, 0.03255490979104481, 0.03251293220978604, 0.03263383885614963, 0.032776308654172165, 0.03277078270078165, 0.03278095450460817, 0.03273648894384383, 0.0325630256345824, 0.032346561734964516, 0.03220523203731631]"
