,R41_S00,R41_S01,R41_S02,R41_S10,R41_S11,R41_S12,R41_S20,R41_S21,R41_S22
u,"[24.052076370220234, 24.05054396634863, 24.059994008679897, 24.061376971185062, 24.054910046250974, 23.97234127605497, 24.065849147217136, 24.1161910301799, 24.083391122403178, 24.06966157929898, 24.062012777879346, 24.0822992358993, 24.09639533201816, 24.08938693872807, 24.064612984605603, 24.017559266368142]","[24.0915988706426, 24.096684752397127, 24.09974656305915, 24.092662116952425, 24.083075806943157, 24.06908829236466, 24.095263568743135, 24.142601322598487, 24.119879734558857, 24.102398466865573, 24.081844312882694, 24.097067838757606, 24.09850915201711, 24.091141694131174, 24.090965096367498, 24.044923813967436]","[24.003656755060565, 23.99540750430551, 23.998584560492787, 23.984168540386445, 23.956834094620394, 23.940373230551074, 23.97429542352372, 24.01030799192389, 23.97324477593011, 23.95450112916196, 23.942933406952513, 23.97385467757904, 23.978980550681776, 23.982051031217637, 23.97756354645698, 23.938113461010026]","[23.90164042287579, 23.92294149673038, 23.921733434562885, 23.913263409897333, 23.91037818593375, 23.89959620341169, 23.933033045082123, 23.96468699498446, 23.852842100557684, 23.868875381922454, 23.870631532764698, 23.902512768443675, 23.923778859972366, 23.921719050332342, 23.905264526379153, 23.857335975479543]","[23.92383910939955, 23.909199505242263, 23.900323791075774, 23.88797534986923, 23.882318178008497, 23.851585937629242, 23.89912749390103, 23.937567436316094, 23.913562022589083, 23.885020566111677, 23.877296943105613, 23.894115084179177, 23.908842484310853, 23.899825203855336, 23.678130303034187, 23.8689766036952]","[24.023680611183053, 23.96245916589406, 24.022422349184772, 24.006457586399776, 23.981758476207602, 23.974303085752737, 23.988055661086342, 24.009660347829435, 23.773058771754737, 23.92736396895029, 23.91772346004683, 23.947893842840806, 23.956303003964486, 23.955832172072572, 23.948065651040153, 23.906342886997678]","[23.567275273634397, 23.601945005757713, 23.63330810013732, 23.658891602639127, 23.69070697604895, 23.715013567705693, 23.766817968807672, 23.68293769922189, 22.68998533583772, 23.101749759342514, 23.16309604769338, 23.276209538169667, 23.376896106848882, 23.442598290262517, 23.475444259850224, 23.45132204356178]","[23.925503369389542, 23.941742226145216, 23.94943614851588, 23.95306357805388, 23.93024889451086, 23.928437288988228, 23.94598256177889, 23.979642297043114, 23.65737183005566, 23.676903529679873, 23.689892731972346, 23.733185865763517, 23.76965203699573, 23.787480306523843, 23.81212244828464, 23.797426304106992]","[23.981055958900157, 23.983906726586078, 23.970476213921938, 23.958379225146665, 23.963512025619522, 23.939570199217137, 23.972180970652108, 23.985538037444705, 23.729524155701966, 23.871506528315553, 23.864646700662426, 23.906449549843302, 23.908962343627685, 23.915395989258368, 23.901847304317002, 23.874599599006142]"
g,"[24.885660683389503, 24.884123097908777, 24.888716407374787, 24.892484398175156, 24.8916943132784, 24.860845056999487, 24.89822837027549, 24.917612741698253, 24.89404129088806, 24.888860330478877, 24.88599556585533, 24.894802895525505, 24.899509726981215, 24.897060780209546, 24.889209719350383, 24.8740566299649]","[24.88648344260133, 24.88862427632933, 24.890748021414936, 24.889000350619526, 24.88598863529025, 24.88119814585262, 24.891979702964314, 24.91048332592063, 24.893613257407026, 24.88747037916923, 24.880423984618304, 24.88633802189644, 24.88636928956818, 24.88340227360865, 24.88328452278211, 24.867758562811137]","[24.91860076653805, 24.919198578662847, 24.922554528396102, 24.91981155267018, 24.913633007846638, 24.91178698266485, 24.927305681168757, 24.94193159598767, 24.923534595421224, 24.914716894404847, 24.90843573282511, 24.914738025523793, 24.91439253120763, 24.913319651796858, 24.909446390419237, 24.893951341975317]","[24.845710004436583, 24.852297256713936, 24.853103803250182, 24.85232653677466, 24.853684852692044, 24.85176294450453, 24.8655888627791, 24.88029159242926, 24.796038344711512, 24.813125574278885, 24.823163059217286, 24.83981000142087, 24.849499825411222, 24.84861588409376, 24.843982036958227, 24.830188533923085]","[24.904118193873526, 24.902212147840427, 24.901824155853305, 24.9005822938084, 24.900888351216558, 24.893257760212986, 24.911577958097055, 24.92595877971164, 24.905921989378708, 24.896596372102625, 24.893047795671368, 24.897736320275353, 24.901480551544026, 24.89730467792777, 24.80943288274559, 24.88294976410316]","[24.906323230340924, 24.886907965125662, 24.913747760995722, 24.90874724130351, 24.90192308145941, 24.902034716856644, 24.913637884152152, 24.922481863107578, 24.82331478272488, 24.879165082110134, 24.873442677945558, 24.882518267830058, 24.883826050503117, 24.882409976565086, 24.877245013441552, 24.859377087760365]","[24.609847004274418, 24.636468128058823, 24.664303786073805, 24.68985709454641, 24.71854517551138, 24.746364936821465, 24.781715186049095, 24.763152923751093, 24.01233424290368, 24.27733734857319, 24.33284238245195, 24.41013036303668, 24.478274895754478, 24.527828154980664, 24.556028355528706, 24.55775666767455]","[24.84287388424508, 24.85885197434395, 24.87069231960504, 24.877537416346822, 24.873162855972335, 24.87493310178889, 24.883859915189387, 24.897525358588695, 24.65733447315875, 24.674005490099788, 24.687689611999513, 24.7150241400975, 24.738217138798284, 24.754433736253915, 24.77113505647898, 24.774086013215346]","[24.86803048722141, 24.87092208741586, 24.867847046779794, 24.8658985981654, 24.869460940505824, 24.863315034028165, 24.878454647527835, 24.88873038186222, 24.751591352023546, 24.809678838902613, 24.810125945458456, 24.82835596859269, 24.831900109128252, 24.83532259395293, 24.830067585242823, 24.818916872553835]"
r,"[24.415337233866538, 24.41584480651031, 24.419040794803685, 24.4223454105038, 24.42146565565357, 24.403815770149336, 24.424745420498937, 24.435735256859203, 24.413863536731608, 24.412238492285283, 24.411108225964018, 24.41752212631153, 24.42070815418364, 24.420116229647036, 24.416962756534744, 24.4087343650236]","[24.437424141470526, 24.438466504634277, 24.439541586125294, 24.43833725908933, 24.436292974541228, 24.433459755288368, 24.43906767690054, 24.4491399490394, 24.433477692046353, 24.430720073467242, 24.427551090794637, 24.431565662890275, 24.43201481444867, 24.431252311846087, 24.432218018388156, 24.42547436022373]","[24.427107290984015, 24.42738058987486, 24.4283191109241, 24.425651278643834, 24.421450579910797, 24.41941488034442, 24.428287875532526, 24.436052346021725, 24.422261492932982, 24.417474157343996, 24.414921216884455, 24.418664846773037, 24.41986260186625, 24.420103983082587, 24.418986627610245, 24.411434332572014]","[24.382582606990134, 24.38661589575105, 24.387404804120372, 24.387310667727967, 24.388205903871608, 24.38697974482286, 24.394775457452468, 24.40523806772241, 24.32890530424633, 24.346115481022228, 24.35895697531387, 24.373021764129817, 24.38135767402468, 24.38224238430911, 24.381452349616332, 24.374925490019436]","[24.409342709139985, 24.408236198864742, 24.40787342348395, 24.40742113126448, 24.407342253313946, 24.403357784326275, 24.413701028337737, 24.42207043692559, 24.40330455797384, 24.399259900674302, 24.3979802145493, 24.40157089155136, 24.40448190469827, 24.402943929705565, 24.352382333169082, 24.396525077221877]","[24.419476125814313, 24.40800449075432, 24.424745322837005, 24.42012110709686, 24.41533543915024, 24.414338763763666, 24.42235680257944, 24.42391728180095, 24.361677602498077, 24.39496766263429, 24.39413182784243, 24.400062148710262, 24.402176647645057, 24.402844592962502, 24.40054531416809, 24.391266101928004]","[24.13558840526916, 24.16052227586681, 24.18588664451696, 24.209668908483145, 24.235526986977767, 24.262481437390154, 24.292232463832335, 24.288742078306406, 23.64126194450145, 23.84235729003312, 23.897508561990207, 23.9646507169673, 24.024274596510132, 24.07085263966158, 24.098778666489082, 24.106207065920852]","[24.3618597861251, 24.376065332580218, 24.386816519753012, 24.392606645857576, 24.39056034370403, 24.392165749273648, 24.397297690201704, 24.404225103087047, 24.185367960250545, 24.20334200792469, 24.219111194825334, 24.24375682845259, 24.265453338282562, 24.283922365353583, 24.301138553666533, 24.309993907407417]","[24.400462503000142, 24.40143545939435, 24.398873689136366, 24.397155971055714, 24.39837682150266, 24.394189557430924, 24.402028899190583, 24.40732970187655, 24.305277271723362, 24.34447145088002, 24.350164517563858, 24.364577572717945, 24.370743236366305, 24.375482586919116, 24.37448909347843, 24.370314922277558]"
i,"[23.97865166985263, 23.980726323818622, 23.984311527916006, 23.98811217892935, 23.987573777135356, 23.974833083370736, 23.990244241068613, 23.998408236224645, 23.98095571348534, 23.980504559695778, 23.979671788698262, 23.984840430032364, 23.986952935971164, 23.986221768984137, 23.983643058142903, 23.976643987287268]","[23.99496752411585, 23.996838023849598, 23.998448292923452, 23.998155510984144, 23.99725669258314, 23.995769095521908, 24.000389976458298, 24.00825478801802, 23.99773553093993, 23.995788213966453, 23.993055306855403, 23.995729205608853, 23.995569638349366, 23.994718392168032, 23.995174322658915, 23.98970950435381]","[23.99830370638373, 23.999328580498293, 24.000355295316297, 23.99854347496906, 23.995891246145423, 23.994400149214222, 24.00105382248726, 24.005666432974444, 23.996258445914407, 23.9935836120843, 23.992316196867584, 23.994739234300525, 23.996167050967575, 23.996113680059644, 23.995195727133865, 23.989834590128776]","[23.958879786239585, 23.96345828040119, 23.96496631419576, 23.965415848696324, 23.966301676793073, 23.965294484537477, 23.97090597729294, 23.979928067759985, 23.906490162308984, 23.923675745489994, 23.937541772205137, 23.950721850612908, 23.958367972225034, 23.959617014368362, 23.95947443945905, 23.954188440092018]","[23.973424351090024, 23.972534713316435, 23.97221438070857, 23.972180457871758, 23.97215044701279, 23.969791645974237, 23.977493319452975, 23.984194927153716, 23.965894374487306, 23.963230502872975, 23.962435853326287, 23.96533449158039, 23.96771965990228, 23.966995506028674, 23.930708113483455, 23.963454269360266]","[23.987105294017795, 23.979489771756494, 23.99361909826247, 23.989952258322162, 23.987042273476224, 23.98634964802865, 23.9934852999806, 23.99202244281669, 23.944651499277654, 23.969438397624266, 23.969992071843787, 23.973623897354145, 23.974899567705172, 23.975112941052025, 23.97300673781374, 23.965909242845324]","[23.713997536835084, 23.739391549115172, 23.764519687435826, 23.788052573390413, 23.812954284024528, 23.83972857148829, 23.867375413415445, 23.87033594567251, 23.267554362760585, 23.43739651544754, 23.49236852454526, 23.55503377136544, 23.61094379789373, 23.655962435103977, 23.683053437905386, 23.69163525412055]","[23.93238104394637, 23.946416011764793, 23.957294991402577, 23.96322400908293, 23.96247415728532, 23.96453273200682, 23.968660044862403, 23.973576767335192, 23.75950469792311, 23.777294927919822, 23.793242431950127, 23.816211435571752, 23.836815843621245, 23.855648664620304, 23.8726015224438, 23.882958807868278]","[23.973640056303083, 23.974914802387303, 23.97352905412479, 23.972838377527417, 23.974109000773936, 23.971275961382972, 23.976701002526443, 23.979956240251482, 23.88878896760243, 23.921114960987403, 23.928168069049512, 23.94022492280025, 23.946151504492157, 23.950159318917745, 23.949495949170803, 23.946650737080056]"
z,"[23.406763666797044, 23.409150342948045, 23.412583914611, 23.416573519825626, 23.416226681147354, 23.40721078318757, 23.417819814259225, 23.423572375399587, 23.41034546913381, 23.410860688202202, 23.410411486809615, 23.415060523226884, 23.416485470771416, 23.415717849568736, 23.413783059101824, 23.408670215250112]","[23.41455848545879, 23.416621972972855, 23.4184062917766, 23.418825944678638, 23.418846959211375, 23.418568483551937, 23.422517502976902, 23.428896071406058, 23.423054244454622, 23.42127599320171, 23.419121480794246, 23.42089628323132, 23.420336721541748, 23.419700320628863, 23.41984725768735, 23.416576828531383]","[23.434105015030767, 23.436205647744888, 23.437461632424963, 23.436896371700954, 23.436298114753722, 23.43609625273007, 23.441323425487326, 23.443803957178062, 23.437311271070357, 23.43609256828544, 23.435307653990733, 23.43591131701571, 23.436717696492927, 23.436048907285617, 23.434804991595215, 23.430771395917034]","[23.397515358517005, 23.402090903677546, 23.40408328288927, 23.404923387080675, 23.40612630896709, 23.40576194964335, 23.410161970195936, 23.41829023501004, 23.34519953726525, 23.362829359611503, 23.377825621701366, 23.390506094088373, 23.397469563122275, 23.39896961269664, 23.39930123834167, 23.395744467515193]","[23.411248061939215, 23.411100614295844, 23.411076801642153, 23.411470144202827, 23.41186818865765, 23.411407577541382, 23.4172614437639, 23.422722567129128, 23.403955291892057, 23.402456690721607, 23.40186617231306, 23.403798713436093, 23.40538591838378, 23.404975252662176, 23.380701143081286, 23.40286058948866]","[23.41672639612652, 23.412555382315233, 23.424760513910623, 23.422170719574645, 23.420887351232018, 23.42148137863058, 23.429010179211524, 23.426232066547527, 23.39049353493862, 23.407097192892437, 23.407178981374713, 23.408361243352623, 23.408766004971184, 23.4086031625219, 23.40615560061584, 23.400285212259462]","[23.161707018382703, 23.18723086737169, 23.21226453796124, 23.235629199332596, 23.25980039738179, 23.28649895419273, 23.312848183651866, 23.321405169238144, 22.758070691739047, 22.897780373128345, 22.9518978389884, 23.01056866322172, 23.063873385958658, 23.10793639127935, 23.13467096355496, 23.14514193699548]","[23.36309303893743, 23.37687969450439, 23.388058110986876, 23.394407357878034, 23.39515198059038, 23.39753838145905, 23.40107922940761, 23.404941408428392, 23.195531898192023, 23.21272598103377, 23.228293879508726, 23.249846880717325, 23.269197895029702, 23.28778656246738, 23.304232774182026, 23.316163531754633]","[23.408243679352097, 23.41028824259879, 23.410153277732245, 23.410607770152318, 23.412023565269408, 23.41049809982075, 23.41449461469656, 23.41644058388109, 23.332970019279934, 23.359596143086232, 23.367196000182616, 23.376945212138384, 23.38214043488236, 23.384794484052776, 23.383897196608476, 23.382109633361793]"
y,"[22.49953091936215, 22.50289494658527, 22.506190960365288, 22.509191771539992, 22.508279651704107, 22.50039349249028, 22.509312984612095, 22.515402480769836, 22.496647752993347, 22.497070400463123, 22.496734536476183, 22.502824659354886, 22.504450455135824, 22.50275119434367, 22.49889670028522, 22.492892081236327]","[22.521478923157837, 22.523846936028633, 22.525606953556977, 22.526333103092455, 22.526811284745882, 22.526883637214276, 22.52872253235227, 22.53231923325263, 22.527360205169284, 22.525433040701685, 22.52315582415722, 22.523664260856606, 22.521879215917988, 22.52147099378805, 22.52137351625192, 22.5195420402355]","[22.52400793879412, 22.52721780542648, 22.52850081663756, 22.52878268704569, 22.529615997382315, 22.530386976825707, 22.53491104071438, 22.537096489819902, 22.535723020696196, 22.533819933062663, 22.532735672870494, 22.532246679885, 22.532839187767927, 22.531423999141584, 22.52833386563624, 22.52356371075591]","[22.490188127654022, 22.493756499619217, 22.495721809586797, 22.496140522233762, 22.498026662276217, 22.498587166577842, 22.502163683382463, 22.50899356105404, 22.43878178437333, 22.45755220351983, 22.472813014841613, 22.484200583546656, 22.48932355137916, 22.49095412004169, 22.490886665060742, 22.48875439542093]","[22.502557051991147, 22.503788044316465, 22.504684539460005, 22.505432222042238, 22.50664852589961, 22.50783911535431, 22.513219677270193, 22.517947833304785, 22.49804443776077, 22.497573197803924, 22.49722657262039, 22.498598024918543, 22.499596078198383, 22.498705619822736, 22.478450381088436, 22.494081048131797]","[22.504273124679152, 22.50149508551055, 22.51252643159972, 22.50935912994641, 22.507770317253176, 22.508919506937108, 22.51679345182604, 22.513765518089574, 22.48827602304499, 22.501006341790767, 22.500664354176614, 22.500558135342295, 22.50184525581249, 22.50258930584092, 22.500242100612564, 22.49508742126214]","[22.2579330627219, 22.28303725194375, 22.30858347423387, 22.331638601916275, 22.355362146636182, 22.381710467830786, 22.407681056744956, 22.418909087720333, 21.87971093703832, 22.003744124653345, 22.05788606966058, 22.11574676363231, 22.169895619447473, 22.214622635113102, 22.241544320344232, 22.25386738071274]","[22.443151533197316, 22.455945995594, 22.467032145824362, 22.473688550502075, 22.474984942270886, 22.476506422688217, 22.478303681911246, 22.48169426435577, 22.280592335956943, 22.297506777484735, 22.31375657483644, 22.334594526084942, 22.353008114539303, 22.37116992829903, 22.38769445068771, 22.40129074161523]","[22.49208199990193, 22.495267917105046, 22.496647955322864, 22.49777210947281, 22.49854530593524, 22.496727438199787, 22.49948425168241, 22.50029754809922, 22.427852765495555, 22.45188244658737, 22.46009694357121, 22.4698315890596, 22.475228226942388, 22.476477844954815, 22.473857823460143, 22.471409014854217]"
fS,"[1.157165032731239, 1.1611958473225639, 1.1696364367982033, 1.1767936959552079, 1.1743146990729152, 1.1379245928196038, 1.180495932429146, 1.2056843004964328, 1.1637013687502094, 1.1605302312019883, 1.1577640541833627, 1.1727512695469422, 1.1794308071580506, 1.175758715083042, 1.1647643272264672, 1.1434758667853802]","[1.1962570878217988, 1.2012652530747905, 1.2052294049605454, 1.204030894038218, 1.2013948912579238, 1.1968911969034723, 1.209563089757426, 1.2327608625199575, 1.2109843103238938, 1.2030600676455636, 1.1937310527609233, 1.2005666806113369, 1.1992375158679887, 1.196347961990238, 1.1967174406955998, 1.179877933887952]","[1.196126495018879, 1.19894511237899, 1.2021828000124177, 1.1981764836349313, 1.1915898773417053, 1.1884628432362225, 1.2065010159847456, 1.2209230039336965, 1.2010930591874278, 1.192752318366995, 1.1878545123285107, 1.1949114791919089, 1.1973144499237527, 1.196204455079374, 1.191305644795189, 1.173902885341068]","[1.1034913166412044, 1.114386956443532, 1.1174185796156122, 1.117044006778147, 1.119334051333262, 1.1172962203389765, 1.1321022036477448, 1.1532879590258016, 1.0031364535726672, 1.0365292022298571, 1.0626281754889095, 1.090199739873266, 1.1057113658911621, 1.1078412067871501, 1.1049625032708479, 1.0907576893865605]","[1.141681153859582, 1.1397527997169352, 1.139026299720187, 1.137926649072747, 1.1383464914531247, 1.1324240233287695, 1.1530401873443668, 1.1710147312357382, 1.1296907533687506, 1.1217463273946082, 1.1191694139956394, 1.1257332674348048, 1.1311869121877094, 1.1279387818687192, 1.0429506947951328, 1.114854923957516]","[1.1679483129503758, 1.146223177571752, 1.1826605452706382, 1.17322899029728, 1.164403497882332, 1.1639598082449738, 1.1819717279391837, 1.1827842129287487, 1.0717188986667257, 1.1305384628273984, 1.1282647068377478, 1.1368247042475024, 1.140314883379625, 1.1407751364643186, 1.1347674554437777, 1.1154523885160132]","[0.7051913620782633, 0.7395616330889248, 0.7755624646607022, 0.8100160091626278, 0.8482730278105073, 0.890806198591553, 0.9394505293553715, 0.9402466826773057, 0.3137166808750416, 0.42166702583582094, 0.4664154839502548, 0.5241229427389213, 0.5829765350132261, 0.634646799790562, 0.6674774783176292, 0.677838852739146]","[1.0443056321843776, 1.0713018186848084, 1.092926485834619, 1.1054045851869365, 1.1021748391836785, 1.1054588668148073, 1.1146982209298781, 1.1290998948992867, 0.7560225613337117, 0.7806404061189898, 0.8034435824507881, 0.8391218963135352, 0.8719331560920179, 0.9017610957992952, 0.9307581895231978, 0.9474389951998514]","[1.133199555151642, 1.138000042480874, 1.1354437936224586, 1.1338253291148699, 1.1370265631623622, 1.1287563134873067, 1.1432045382338494, 1.1506420794055368, 0.9624779828766841, 1.0299481365828569, 1.0416587040640337, 1.0674426036964662, 1.0777812686796189, 1.0836217821483818, 1.0784892240814794, 1.0692199197971477]"
