,R41_S00,R41_S01,R41_S02,R41_S10,R41_S11,R41_S12,R41_S20,R41_S21,R41_S22
u,"[0.03866783286503119, 0.038816228058265345, 0.03875337666369408, 0.03884739455026257, 0.0387026347770264, 0.0385282252620795, 0.03845855734095154, 0.03816880833557176, 0.03770638428123722, 0.03813027062612346, 0.03819873239743504, 0.0384309847360168, 0.038476765045064705, 0.03855746805192821, 0.038600997793519685, 0.03845539826425234]","[0.039828259590166636, 0.03978780019813994, 0.03973208850754312, 0.03967701551911693, 0.03957756800864473, 0.039475560595651216, 0.03942132370421098, 0.03933007263429471, 0.03912261584817335, 0.03930214751525362, 0.03932744714150429, 0.03943713384581658, 0.03944968259341241, 0.03948175966648112, 0.03952351456953855, 0.039544516232819626]","[0.03404467731711334, 0.033901715394443116, 0.03365306453804379, 0.03341039828371583, 0.033117953325225734, 0.03279593323501257, 0.032613302183341054, 0.03236518242140836, 0.03215132375383643, 0.03231721566280915, 0.03259101735203232, 0.032781321029119015, 0.033122606406304024, 0.03334192411726975, 0.03356568992523298, 0.03379818004633905]","[0.03278982897386609, 0.0330857414459, 0.03305440931270443, 0.032999661514549916, 0.032965828966760716, 0.03289164656014076, 0.03284492516264582, 0.03288677070917776, 0.03245185381111159, 0.03261876887658449, 0.032759811010581126, 0.03288362994270991, 0.032943041675963756, 0.0329536545282146, 0.032975123319693704, 0.032745295584877744]","[0.03306047344833186, 0.03290586617898894, 0.03268906212791574, 0.032595845252760186, 0.032435456024010455, 0.032319436961801486, 0.03212258483324424, 0.032034922673479814, 0.03189776127931603, 0.032224806817583176, 0.03235773698714419, 0.03255353822048329, 0.0327084073995751, 0.03282296352361972, 0.0329742101741252, 0.033143314124753236]","[0.03596960986100947, 0.03577262769242789, 0.03590809554977357, 0.03538958842947377, 0.035171534780258536, 0.034894524794848385, 0.03500232175990893, 0.03444877393417576, 0.03428063070924351, 0.034562241926853594, 0.03500355722024177, 0.03516474055652698, 0.03536983928434391, 0.03560554111956824, 0.0357905563931898, 0.0360132717174583]","[0.03375956783021822, 0.03379717826059612, 0.033743865445144516, 0.03360146758691183, 0.03343691052725816, 0.033361952665544904, 0.03323924601176425, 0.03296965045865658, 0.03323828900255009, 0.03353337430350365, 0.033656869376938646, 0.03380122396410519, 0.03391836406983133, 0.03401451158258437, 0.034097791205519125, 0.03395865198837495]","[0.034395764687772085, 0.0343210313156622, 0.03415337525234608, 0.03402233203202265, 0.03377960997985406, 0.033619258902500185, 0.03355772266919504, 0.033478770019570524, 0.03354300485021599, 0.03368290389905485, 0.03378792314448219, 0.033991793813495284, 0.03416194491975347, 0.03432206171784792, 0.03442324388314073, 0.034634747151198984]","[0.03557612552885019, 0.035409775894968645, 0.03517202269137524, 0.034994107305531354, 0.03478773126946914, 0.03456771219251168, 0.03440331899593236, 0.03426249249650885, 0.03421811456214461, 0.034524265289414414, 0.034756576839911235, 0.03497471712936542, 0.035163167011129946, 0.035343514802230976, 0.035527890875299666, 0.03566483767498747]"
g,"[0.12907502906225732, 0.12891152347049123, 0.128767538018668, 0.12935712305599373, 0.12925660315084464, 0.1290224676193443, 0.12907578350356835, 0.12881883457873752, 0.1280471256818207, 0.128298953173168, 0.12815102489697844, 0.12860986569260982, 0.1284240126911336, 0.12844635744188151, 0.1285292258419509, 0.12857635631827977]","[0.1267803659817581, 0.12659383564685184, 0.12656536675773455, 0.12658030166463946, 0.12650924678968134, 0.12638176288807595, 0.1263742594208548, 0.12640148939139517, 0.12583510004719134, 0.12596636514302711, 0.12595096081135362, 0.126074204482189, 0.12590232664806825, 0.1257949991511085, 0.12576750102448167, 0.1261561148628691]","[0.12906698751912596, 0.12939701367915524, 0.12941390747365908, 0.12943777060023293, 0.1294729970493134, 0.12957605650155582, 0.13006096436925751, 0.13029031834870308, 0.12958683387321354, 0.12919068657797653, 0.12910554615156553, 0.1286336833656491, 0.12875414695910373, 0.12865169961771913, 0.12850122736421146, 0.12849331789994933]","[0.12418275534477771, 0.12422851125066285, 0.1241745326605115, 0.124336518338365, 0.12452494737658452, 0.12459866841639404, 0.12471905803246285, 0.1253293661681761, 0.12429124746855118, 0.12415944708689373, 0.12426394415473842, 0.12429055808943403, 0.12418252523684205, 0.12388825283130053, 0.12388008966442016, 0.12392305554866065]","[0.13287003767119127, 0.1330194398137196, 0.13297797547006776, 0.13326103501376038, 0.1333425622475227, 0.13356070424594657, 0.1334121457219676, 0.13351291114163769, 0.13317198230118235, 0.13360302300821644, 0.1334836497973471, 0.1334981498276851, 0.13342296439361764, 0.13320514687959756, 0.13296424558246756, 0.13272885268999957]","[0.13010246341966372, 0.13012774236389177, 0.13133830848975986, 0.13046607165718457, 0.13039029865866833, 0.13041514839380572, 0.1319027660938595, 0.13124090359322554, 0.13052802967815086, 0.13007405898951868, 0.1303261432785476, 0.13012394461194798, 0.1300572735762622, 0.1301829595195691, 0.13001940842058102, 0.1299758269881983]","[0.13095489224728257, 0.13092416194656675, 0.1312056612539515, 0.13125894170352578, 0.13125107638231553, 0.13159991192221776, 0.1316378371661393, 0.13136925623028842, 0.13094871183465503, 0.1313484573651504, 0.13130492404871044, 0.13112472598807262, 0.13093784346460888, 0.1306988460097128, 0.13065104197338076, 0.1308048123922343]","[0.12941336223097974, 0.1296726752261442, 0.1298378669593843, 0.13007503453206412, 0.1298446772700231, 0.12981612804286977, 0.13010485299438587, 0.13032909313858232, 0.13005727026333952, 0.13000100149115204, 0.12985452951534485, 0.1301101705710963, 0.13008577935165352, 0.1298804758685363, 0.12940365660630226, 0.129635435420412]","[0.127587296576176, 0.12753191779907747, 0.12736727106044843, 0.12744365964607232, 0.1273475406048589, 0.1273346367025859, 0.12770195016209915, 0.12855502627945548, 0.12769197823531475, 0.12743183929857074, 0.12720685171683618, 0.1272211101117895, 0.12721483439301925, 0.12718513878533277, 0.1271542314219488, 0.12701490843137]"
r,"[0.10763977083816907, 0.10768384161804194, 0.1075847978087439, 0.10798338075635407, 0.10774325312751741, 0.10743055773934522, 0.10743778135519287, 0.107300979876227, 0.10678281129015053, 0.1069357861056515, 0.10678726173982821, 0.10715538183109029, 0.10703688643914333, 0.10709943177748286, 0.1071980613935509, 0.10708941255923562]","[0.10932644288403587, 0.10913105632485189, 0.10903063027485446, 0.1089449083851389, 0.10881396204619898, 0.10865337015429086, 0.10856440255665906, 0.10855351240450734, 0.10806453978541468, 0.10812086195938435, 0.10809161445958679, 0.10824209021234098, 0.10816304531204927, 0.10816726281723103, 0.10826741915577155, 0.10864429091925634]","[0.105184177744428, 0.10527444966546459, 0.10510195754372503, 0.10492085544178767, 0.10476587867568884, 0.10459302656282335, 0.10482760188385434, 0.10483678108775053, 0.10445629721163183, 0.1042384179078803, 0.10432962920954213, 0.10413814136390333, 0.10442663847851184, 0.10449138415420307, 0.10456816976317318, 0.10472215316704366]","[0.1046659573331292, 0.10459471025920208, 0.10448921672284799, 0.10453296410295808, 0.10453210768230532, 0.1044431089625377, 0.10442045640249026, 0.10500797144541461, 0.10455210031391331, 0.10419846126530466, 0.10428737792104925, 0.10437913931733396, 0.10443456118101985, 0.10434429398108648, 0.10446665513338575, 0.10450956207003688]","[0.10690232274234165, 0.10686207573153546, 0.10671192596276426, 0.10681141319876199, 0.10676155591854226, 0.1068336870957082, 0.10662583766272989, 0.10663608880047255, 0.10649503952922965, 0.10684718845771135, 0.10682830366594565, 0.10692013820101465, 0.10696062078701106, 0.10689566905318998, 0.10683306200956669, 0.10677977294148557]","[0.10653782250852002, 0.10637202705493409, 0.10720769467594846, 0.10637820682704019, 0.10613777325215812, 0.105929896172557, 0.10688045135561747, 0.10591047851257465, 0.10563900036117377, 0.10551509398389541, 0.10599631822864132, 0.10596464420250216, 0.10612151611213891, 0.10641093619005292, 0.10641276477968854, 0.1064798760062396]","[0.10496915859917567, 0.10498737359742785, 0.10512048794140677, 0.10506147340352538, 0.10491594762485185, 0.10509305793258288, 0.10502708206616368, 0.10473733671989574, 0.10492447709170599, 0.10521772273485847, 0.10524440202597463, 0.10522153731815762, 0.10520263945682494, 0.1051381540743488, 0.10515283394109322, 0.10509438250728452]","[0.10676229689777672, 0.10682905160104081, 0.1068220119863282, 0.10689950033677863, 0.1065663418283716, 0.10653414865196668, 0.10658146100981652, 0.10645787226171406, 0.10646755812154574, 0.10659387638484265, 0.10663454283093535, 0.10692827299131868, 0.10703120893305432, 0.10708948393102985, 0.1068838792965482, 0.10710801854489228]","[0.10717342735233076, 0.10695574673155768, 0.10666496901280725, 0.10653683909201228, 0.10630825185406621, 0.10609831013345974, 0.1061367748384643, 0.10644505532987898, 0.10617999305548194, 0.10630181099325998, 0.10635711901928206, 0.10654023411885957, 0.10672605492434648, 0.10685138557402106, 0.10694463771632094, 0.10701797177564971]"
i,"[0.0816700383697177, 0.08188042853763967, 0.08193018224318632, 0.08229235434525398, 0.08210918593014116, 0.08186436839394941, 0.08188030735357667, 0.08179724299649273, 0.08206983386687068, 0.08215909622548302, 0.08200139544287031, 0.082229096778203, 0.08207509257014609, 0.082027750451412, 0.0819617614320092, 0.08166285697625153]","[0.08208931612250055, 0.08208033381172092, 0.0820999340422997, 0.08211193344967212, 0.08211367111389693, 0.08208558288336679, 0.0820968998709088, 0.08216041173646478, 0.08255806071486334, 0.08252735886384048, 0.08238297647127081, 0.08240256397936871, 0.08225357069355373, 0.08217075639081364, 0.0821628865773061, 0.0822677676573694]","[0.08129136352839107, 0.08144870527413506, 0.08141744606411738, 0.0813584819072074, 0.08132180013864884, 0.0812146206038949, 0.08139513965413779, 0.08126287577826075, 0.08146885673779497, 0.0814181286749556, 0.08151633020609306, 0.0813612503436889, 0.0815714576203534, 0.08153930258680246, 0.08152436675606722, 0.08156697809777556]","[0.0813099558203315, 0.08143689704582044, 0.08144559264060663, 0.08149196631752528, 0.0814612281844022, 0.08133712387861866, 0.08127191705428652, 0.08175334355041151, 0.08152521601761571, 0.08117570005929159, 0.08125835367710475, 0.08136571770561148, 0.0814273213190091, 0.08136569408986094, 0.08139102033372698, 0.08122508819350548]","[0.08141767548862064, 0.08132849786057392, 0.08118767313603509, 0.08124643116509295, 0.08120804916165833, 0.0812778697089176, 0.08115255197036111, 0.08123230758869715, 0.08116022536783983, 0.08133550447164224, 0.08128159657394712, 0.08132546991084441, 0.0813481178133351, 0.08130546607756788, 0.08128017154907238, 0.08128267063464913]","[0.08166160315396215, 0.08163485466956323, 0.0823955425118033, 0.08186512038040197, 0.08180154371615672, 0.08169494591029923, 0.08242594827274041, 0.08150034552026816, 0.0814771658680084, 0.08149768069401278, 0.08187801993926061, 0.08172662795768666, 0.0817337459523806, 0.08182513511806022, 0.0817265789925373, 0.08165577905713053]","[0.08076114998270378, 0.08096192309462107, 0.08114848458662395, 0.08113682705815076, 0.08100257446789472, 0.08112969716903268, 0.08106378119977153, 0.0808630375434725, 0.08068873762409019, 0.0808719661251642, 0.08092087958958552, 0.08094813307455873, 0.08097629089534798, 0.08093330434967831, 0.08086697609192973, 0.08059315776280072]","[0.08235281574763362, 0.08242455515689842, 0.08245480198455474, 0.0825579944461235, 0.08233041812145103, 0.08237858606195234, 0.08242155040070431, 0.08231182842713637, 0.08186114293081825, 0.08191085604275221, 0.08190106243810331, 0.08205427333148035, 0.08208974640672127, 0.08213221488876747, 0.08196381594891822, 0.08206763496845594]","[0.08295827592723587, 0.08288833973694303, 0.08277285933247934, 0.08276779693379849, 0.08268551468606403, 0.08256515345538734, 0.08255454655037935, 0.08263879329532225, 0.08220060343347181, 0.08242872255942683, 0.08246049643281822, 0.08250392745129502, 0.08252339137025981, 0.08247730668265356, 0.08240189277178893, 0.08234222117111674]"
z,"[0.057234347968332766, 0.05735774568691131, 0.05740915253141488, 0.05767996715064262, 0.057546575247284876, 0.05734329936663957, 0.05734640812347886, 0.05728611990607599, 0.05780197436845083, 0.05785986428440555, 0.057734906344715245, 0.05791527871853167, 0.057787197345116545, 0.0577089940383771, 0.05761210800984048, 0.05739206914414951]","[0.056793067352581786, 0.05684296460307645, 0.056887524927993316, 0.05693499914798219, 0.05698842192446967, 0.05702565000185211, 0.05708855956035437, 0.05719309549382437, 0.05779092485266136, 0.057689994840557764, 0.05755011129469888, 0.05754336719903526, 0.057407262398956466, 0.05733491796798053, 0.057292969784029306, 0.057359361356622625]","[0.05776544761866089, 0.057958791313009426, 0.0579805514157583, 0.05801172781099843, 0.058089070343888355, 0.058092348034992775, 0.05824832328970395, 0.05812379957556602, 0.05838702581483912, 0.05838446475855381, 0.05841463496338032, 0.058231899090790025, 0.058318929289831616, 0.058239341414352795, 0.058166420572882765, 0.05813601850776213]","[0.057998846838150396, 0.058123399097159335, 0.05815788307367843, 0.058193418820179366, 0.058196761929312946, 0.05814088327887901, 0.05814160344039908, 0.05854196174216216, 0.05822471424930949, 0.0579573257453576, 0.05804381836201587, 0.058155279906302496, 0.058194660880319105, 0.05815954116687904, 0.05815021879253307, 0.058018962123644206]","[0.05804979793574908, 0.058012500770771636, 0.05791838740053517, 0.05794961265449709, 0.05795277637821029, 0.05805062216376189, 0.05801046330784745, 0.05810274905288458, 0.057992118676292774, 0.05808921258585173, 0.05802189320583952, 0.058008651580230816, 0.057991092899646886, 0.05792943072178616, 0.05787466694678082, 0.05784747526045131]","[0.05740286157041162, 0.0574501887051536, 0.058047152466572244, 0.057729060017954095, 0.05773823968228861, 0.05777736614141872, 0.05839491342201176, 0.057755456914405166, 0.05781575429856415, 0.057764934558699244, 0.05787883653158781, 0.05765343903433908, 0.057606582275893166, 0.05762875200053259, 0.05748053254186911, 0.057318466726777796]","[0.0576427204306004, 0.05784482355670086, 0.058020508714940223, 0.05802611707897738, 0.057921658298189016, 0.05801647296168494, 0.058012670359499606, 0.057900096357388395, 0.057513165806751976, 0.05755442994609224, 0.05752750621189299, 0.05757153327921079, 0.057688093768305054, 0.05771285183772279, 0.057667303042028994, 0.05742817649756803]","[0.05782480132939567, 0.05787648471085302, 0.05793311214147329, 0.05805758002558379, 0.05795792136532253, 0.05802244037489386, 0.05805848422415817, 0.05800548256854957, 0.05767740600025698, 0.05765405626687313, 0.05758044505788924, 0.05764929406440144, 0.057618981006554194, 0.05760212003634996, 0.057455719689400005, 0.05751664050657647]","[0.05866131663100064, 0.058713342559161656, 0.05871072053017005, 0.05877280092445649, 0.05875690703730643, 0.05870213731846679, 0.0587116262150054, 0.05871376770412437, 0.05829012805394957, 0.0585183219541981, 0.058489804778050346, 0.058441654831251785, 0.05835437092791408, 0.05818528823480303, 0.058021348072097446, 0.057936011255851176]"
y,"[0.02733502001920383, 0.027447014622862406, 0.02747758575789674, 0.02755753190443103, 0.027462120226880233, 0.02732911829826287, 0.02735061998467287, 0.027392331408298366, 0.02737225324919537, 0.027375391359232917, 0.02731043662283133, 0.027475636133183025, 0.027434336957692887, 0.027344342828253536, 0.027179030167887093, 0.026981314526509925]","[0.027894425149343486, 0.027936716588914758, 0.027961147579271674, 0.027989953280514145, 0.02802874085473935, 0.028050345341382045, 0.028008328255431883, 0.027972238690919093, 0.028337912868194908, 0.028264469393343414, 0.028162795365834443, 0.0281083204295647, 0.02798113849413168, 0.02794888830095795, 0.027912846761155904, 0.027951442362832746]","[0.027574452875454673, 0.027714697023885522, 0.02773446265035605, 0.027781682795657247, 0.027868926544509124, 0.02790972187882203, 0.02798352594921852, 0.027940990794279637, 0.028324058945766364, 0.028266616419001758, 0.02825207399223019, 0.028136749071812763, 0.028164690328135327, 0.028083954006516185, 0.027944792928930814, 0.027842898723389978]","[0.027666291720809616, 0.027693668947582146, 0.02771127204137016, 0.027701229570375123, 0.02773014415782051, 0.027732790950041213, 0.027719698181330358, 0.027872297550776925, 0.027834652687696842, 0.027771286791496073, 0.027811240950483523, 0.027817117608592547, 0.027757455958530446, 0.027742358665644975, 0.027697078565177773, 0.027653762468105417]","[0.027677538028165343, 0.027726147804590314, 0.027725829171259566, 0.027751563197423012, 0.027790480003471774, 0.027884719483878884, 0.02789214799727011, 0.027934603281627314, 0.027815247474525257, 0.027881965397924785, 0.027849104438485543, 0.027826276111108394, 0.02779839462905081, 0.027731616493180948, 0.027636910553905436, 0.027521311263859823]","[0.027269864717400272, 0.027307914539525156, 0.027596009765146493, 0.027413884918187408, 0.02738444054333441, 0.02742498154423659, 0.027743199400444736, 0.027452432906649313, 0.027741001645610865, 0.02770865071092631, 0.02772792168764132, 0.027585474123620817, 0.02760679044743996, 0.02764954542239849, 0.027563524270461187, 0.027458610845095037]","[0.027629580762434894, 0.027725676673057916, 0.027854895321380347, 0.02785490315921068, 0.02780215285733295, 0.027835438188970923, 0.027851652894809984, 0.027813038753139126, 0.027749271855763088, 0.027727965857463597, 0.02772866937579098, 0.027807546232119673, 0.027978251660282744, 0.028049769913466315, 0.0280337733272235, 0.027939905589452897]","[0.02713180154668627, 0.02711385201469326, 0.02713766371756238, 0.027213182239212666, 0.027173829148865146, 0.027165576118234218, 0.027116974406735193, 0.027096219936658766, 0.02719362947012624, 0.027164052720098794, 0.02715556766490695, 0.027176228131433885, 0.027132811761073457, 0.027100222876935587, 0.027039444602184878, 0.02710853378758455]","[0.027721603594139412, 0.027806385591436784, 0.027869453243380762, 0.02792355632529269, 0.02789351209672494, 0.027834275669839998, 0.027809820011670466, 0.027767440734385532, 0.027859585642045166, 0.027990202070394373, 0.02798716688734104, 0.027997399362676343, 0.027958833003307683, 0.027806260176639452, 0.02761798794160212, 0.02749880977723316]"
