,R01_S00,R01_S01,R01_S02,R01_S10,R01_S11,R01_S12,R01_S20,R01_S21,R01_S22
r,"[0.10643571682745116, 0.10629508995010052, 0.10619563580377614, 0.10626569575615936, 0.10617169092673884, 0.1058913371410264, 0.10605178081133855, 0.10584855109827347, 0.10537403057636, 0.10562117450597813, 0.10549250571727309, 0.10539478291856348, 0.10574358570805022, 0.1056086187347365, 0.10581281038736498, 0.10587009717411337]","[0.10499812632887913, 0.10498635687867137, 0.10480150637169804, 0.1044327743561181, 0.10461092078619989, 0.10421039662207641, 0.10405374051012997, 0.10396604111834755, 0.10354218414346439, 0.10424868313399803, 0.10423618959141774, 0.1044631928164268, 0.10453923930915666, 0.10484743171071206, 0.1045934525941481, 0.011626266781204235]","[0.10658415467537666, 0.1068424065823534, 0.10659716834183354, 0.10648569780321598, 0.10625659370625358, 0.10611627387953235, 0.10604587866157615, 0.10580440776007623, 0.10514117896087125, 0.10546041031127713, 0.1055284427994805, 0.10590568285798069, 0.10577146014429532, 0.10600816692116405, 0.10626449028517893, 0.10642023032670309]","[0.1065393983221969, 0.1062889544804338, 0.10646797058588182, 0.106452656242762, 0.10627098168713044, 0.10623215122657133, 0.10730408832519601, 0.10959348437672423, 0.10592632729106441, 0.10601218980306525, 0.10611266437832138, 0.1064030486595159, 0.10596682462787739, 0.10621704100269551, 0.1062485818404135, 0.1062418704279418]","[0.10644481814106774, 0.10619931406693509, 0.10626465752027525, 0.10590043283573242, 0.10561913200989434, 0.10586914056979435, 0.10553335132625424, 0.10564151952876064, 0.10556920626961877, 0.10555247428578884, 0.1055115155348291, 0.1058000062099094, 0.10573102102152185, 0.10659950962588231, 0.10588290598314437, 0.10637813544674934]","[0.10991551778599667, 0.10961017763692012, 0.10929701240287244, 0.10928122326289014, 0.1091392647579517, 0.10894835658751076, 0.10886405231770448, 0.1090811808707598, 0.11058372380463638, 0.10875684445068329, 0.10881634816410841, 0.10900899400163161, 0.10925355475203906, 0.10916393207295591, 0.10933019005302912, 0.10929487806998839]","[0.10552825192809927, 0.10517358238555188, 0.1053694268939582, 0.10552426691697327, 0.10576089266168634, 0.10558502090174196, 0.10561650456540836, 0.10591993165856471, 0.10546746601536576, 0.1055680928103447, 0.10587305952932782, 0.1058061803911444, 0.10599936826913765, 0.10577481096251849, 0.10559989364500764, 0.10600005264694692]","[0.10478232469295676, 0.10500072810552592, 0.10460031305589888, 0.10405129521145698, 0.10417626033610274, 0.104323302224197, 0.10421785372283512, 0.10429905534942754, 0.10493040468797835, 0.10468484943278641, 0.10476450990792475, 0.10454644906391107, 0.10490930799854783, 0.10432269666972105, 0.1051492913536029, 0.10544304823225589]","[0.10488592670591272, 0.10514516281060836, 0.10512137598237194, 0.10450370687984115, 0.10448876179548745, 0.10369428690959949, 0.10403040935173571, 0.10400336681535552, 0.1042803046972098, 0.10396948061045373, 0.10454161363662319, 0.10470386553470849, 0.10506333524273956, 0.10500641818210442, 0.10534708877052491, 0.10497616589819048]"
i,"[0.08142822467493806, 0.08151855663657365, 0.081549389062183, 0.08162661296893949, 0.08159375829058238, 0.08138228634533597, 0.08148080174508054, 0.08132728940153296, 0.08150730485862999, 0.08164569355843505, 0.08152936057080769, 0.08141515086890914, 0.08165161639373865, 0.0814614726741123, 0.0814816762538609, 0.08128870844794422]","[0.08065778824756342, 0.08065061796717006, 0.0805114883153331, 0.08023119543014795, 0.08038698597387466, 0.08009395731139739, 0.07999807214017385, 0.07994430501458127, 0.08026065561426783, 0.08082522722542052, 0.08077446889251494, 0.08091029988525954, 0.08094354192896314, 0.081162010765963, 0.0809620105372088, 0.00898621762056061]","[0.0813566556745338, 0.08167470171117659, 0.08161611650591732, 0.08165576950717712, 0.08159653205547987, 0.08158869193188226, 0.08157826085212011, 0.08134505373500969, 0.08128245071188724, 0.08159023132524792, 0.08162287943633756, 0.08185300415796794, 0.08166528787619304, 0.0817510286086402, 0.08182848536177205, 0.08184722173461102]","[0.08090333829451782, 0.08087661217483723, 0.08110113334623191, 0.08110251495463065, 0.08094268064392511, 0.08087025037981148, 0.08162901101014815, 0.08332965331443919, 0.08060144392573966, 0.08066740796616809, 0.08078281319778115, 0.08104345603695358, 0.08073173809882218, 0.08091646285548014, 0.08084946345792413, 0.08076460689644076]","[0.08096919659994405, 0.08093105030839633, 0.0810533726890765, 0.08081628886551383, 0.08062622448326612, 0.08084662347094813, 0.0806225271959101, 0.0806958746876374, 0.08071010277795235, 0.08065460019163616, 0.08058844191012722, 0.0807717777535291, 0.08068005937219165, 0.08131474695841891, 0.08072150161221134, 0.08098134420403282]","[0.08192468057335549, 0.08183418388738674, 0.08175155260309343, 0.08188132561362152, 0.08191320706615934, 0.08187136709533041, 0.08186034354378252, 0.08198569259946942, 0.08314601938452774, 0.08181358398891199, 0.081792205281534, 0.08181592610932248, 0.0818645872279927, 0.08167151369133237, 0.0816443632005313, 0.08147340574069395]","[0.0812506726075685, 0.08108995650419533, 0.08131135972098884, 0.08153223780788145, 0.08184310594294918, 0.08168958803808243, 0.08167590331299569, 0.08192068148094948, 0.08121056218192095, 0.0813052685114947, 0.08151368464621211, 0.08144500479695299, 0.08162301534759293, 0.08143105936023001, 0.08120469372633768, 0.081272708951024]","[0.08128926046990688, 0.0815167014554824, 0.08127858745119255, 0.08087812370061886, 0.08105150513007041, 0.08123780756444665, 0.08116717811456284, 0.08132445864400945, 0.08145280574692165, 0.08119311582912096, 0.08120264594061707, 0.08096482261267522, 0.08117909055881233, 0.08065711727137923, 0.08121101488006366, 0.08136108145193204]","[0.08124671997838097, 0.08151079075032239, 0.08157433330193116, 0.0811610517122923, 0.08122699748419909, 0.08064293567932136, 0.0808890231829107, 0.08077926175269226, 0.08062874943670233, 0.08044996036447587, 0.08089544026263776, 0.0809700659269774, 0.08113731666456482, 0.08099439952440729, 0.08115902845041727, 0.0807923917561639]"
u,"[0.03738853222382962, 0.03717511181994436, 0.03703320134088803, 0.037005446447705606, 0.03685416848136323, 0.03667105452510729, 0.03663910433194352, 0.03647924750355054, 0.03633872593922659, 0.036543249346542656, 0.036583459375133555, 0.03663561662754985, 0.03681914407061863, 0.03683384971449086, 0.03700932222461453, 0.03723087043713709]","[0.03491220394316581, 0.034789405458025634, 0.034572107445834874, 0.03433081475259796, 0.03428745918930989, 0.03399339047276701, 0.03375486934074933, 0.033557657029207294, 0.03342541306783274, 0.033930517761568475, 0.03399388468281886, 0.034132239683066876, 0.034223735820018066, 0.03443699035763208, 0.03458171506153154, 0.0038431546526579473]","[0.03765160622988855, 0.03761382189215651, 0.037425780905319436, 0.03729574217337905, 0.03707309309782955, 0.03684845301153401, 0.03670973495075156, 0.03657564749162789, 0.03639864709017632, 0.036603118430459054, 0.03674081933697682, 0.03700982464611101, 0.037046694460488104, 0.03721933900256721, 0.03742806849041562, 0.03759824162070687]","[0.037776014256464784, 0.037778556333044944, 0.03775521244894844, 0.037704682237786544, 0.03757145099058612, 0.037453624150034025, 0.03792014313223128, 0.038662257568615445, 0.03697717300797856, 0.03729275459069718, 0.037420140286499474, 0.037625159551226195, 0.03758311689796143, 0.03772687970754416, 0.037634365260574336, 0.03719472116937131]","[0.037383847411554934, 0.0383253481724411, 0.038599825696245024, 0.03845918356106416, 0.03829945646285515, 0.03833948731762785, 0.03816954055031339, 0.03806543258247931, 0.038044950584320024, 0.03812242690576584, 0.0380791532863766, 0.03812731430815053, 0.038171711535866445, 0.03858750592990724, 0.038398918716697886, 0.03827374833923153]","[0.04141762723016948, 0.04129625964327812, 0.041140996218630765, 0.04110159638968269, 0.041029123099154574, 0.040936870394039475, 0.04087855249411886, 0.040946451742921726, 0.041509853867555825, 0.040835235200985816, 0.04088904358751926, 0.04099594793506382, 0.04111398944206832, 0.041107504632606935, 0.04120763594542599, 0.04119816123099813]","[0.036884498993714245, 0.036654047432606675, 0.036603748319296366, 0.0365594991431001, 0.036583753857355295, 0.03641497073053551, 0.03630533654729174, 0.03624238523308748, 0.035903161000879064, 0.036158730898699545, 0.036396856729112324, 0.03651351277113504, 0.036734107716842525, 0.03678509338430696, 0.03683986854163678, 0.03702958162140934]","[0.03475396589670987, 0.03448620944979033, 0.034130259369267925, 0.033964137756958876, 0.03402922423514299, 0.03400036630688308, 0.033866149788016074, 0.03388907309240758, 0.03402245981106029, 0.03417179669559171, 0.03437641552697978, 0.0344021903632164, 0.03456579721335455, 0.034361198463633225, 0.03468451807954415, 0.03499519720838325]","[0.03472363478866947, 0.03493708369653313, 0.034731706511550796, 0.03427089885352339, 0.034233580250328494, 0.03369107842736953, 0.033738329085731135, 0.033612127168368, 0.03399241926294113, 0.033823965233388376, 0.034139319905603295, 0.0343745147369114, 0.03448967871659644, 0.03461877787164041, 0.034807776123057875, 0.03479650818372079]"
z,"[0.05668464765345688, 0.05685187745225753, 0.0569052221139577, 0.05698163057402962, 0.056957629558415504, 0.0567833183067508, 0.0568515283673094, 0.05680472334930641, 0.05718954061126679, 0.057174771992577, 0.056994797333780094, 0.05688818755289622, 0.05704370847803017, 0.056927777714005964, 0.05693733581485281, 0.056698628642611326]","[0.057394479468234075, 0.0574094440480397, 0.05731502338692979, 0.057095439636111085, 0.0572064357674735, 0.05704109027150957, 0.05703877853607843, 0.0570677423138315, 0.05760003318129213, 0.05790476658172333, 0.057812901837027406, 0.05787772125699804, 0.057879718969293295, 0.057985413841388625, 0.05780033099068951, 0.00641174017004236]","[0.05642265689900951, 0.05666940025732341, 0.056628582437731195, 0.05664647881248127, 0.05659841076129054, 0.05661195127713906, 0.05664976193998633, 0.056579447855379814, 0.056469471905421745, 0.05679282580521663, 0.05687207042893125, 0.05706713111315706, 0.05695784721120372, 0.05700533329497705, 0.05702369469160692, 0.05694897362723018]","[0.056464807773207774, 0.05647189820495536, 0.05666719371415843, 0.05667896017048711, 0.05656752380934916, 0.056544858410122155, 0.05704716363227072, 0.058181713314347565, 0.05631269733854003, 0.05636932554212713, 0.05642001669510665, 0.056556187371223025, 0.056387838083313754, 0.056579684453258026, 0.05652803333114925, 0.056512578847479226]","[0.056812994379176, 0.056729186233086155, 0.05681941228099179, 0.05668843588666507, 0.056608275343358175, 0.05682588538468013, 0.05672089596664963, 0.05679237797157457, 0.05679723148609992, 0.05674297123086615, 0.05665595001873809, 0.0567298678980109, 0.05660976604356885, 0.05704054790754748, 0.05663334276644737, 0.056815109422380536]","[0.05618976019397634, 0.056147736995264576, 0.0561523157631595, 0.05634095438430886, 0.05644502691426767, 0.05650515900370229, 0.056545310197521424, 0.0566280863979981, 0.057468114588895794, 0.05654997658537877, 0.05652098199210521, 0.056491190279700676, 0.0564601116745396, 0.0562285502272923, 0.05617819207592773, 0.05602685901664251]","[0.05685742199243737, 0.05684234877237149, 0.057073640223529586, 0.057260434926156095, 0.05747902529856546, 0.0573582889203571, 0.05735502379332586, 0.05759145321344012, 0.05703392832150209, 0.0570327984464878, 0.057137078249049116, 0.05707436379204848, 0.05716464453359163, 0.056969707201603555, 0.05670831275852355, 0.056627707881772536]","[0.05735514263196755, 0.0575620153723551, 0.057475792768434786, 0.05721482890472248, 0.05736046645401688, 0.057544772227896515, 0.05756977421196648, 0.057691399928552475, 0.057587855002543945, 0.05729945458180203, 0.05720875726419617, 0.05698704278335786, 0.05711662059213269, 0.056777778704500535, 0.057197057496467814, 0.057302285831568295]","[0.058055511468133626, 0.05820686100107736, 0.05834412732909534, 0.058190399276333904, 0.058302239326164886, 0.05798017500309217, 0.05818986795286559, 0.05809419013712488, 0.05775552133246784, 0.05765280340908054, 0.057916153110482864, 0.05788408959786154, 0.05798900229152406, 0.05780913254411215, 0.057893620376114584, 0.05760259251790558]"
g,"[0.12626654006643806, 0.1261968557714239, 0.12619213287195305, 0.12644446425430333, 0.12628735082872186, 0.12589683222535503, 0.12618875418784123, 0.12602497654379402, 0.12569542754051852, 0.12600617965230107, 0.12577513189421016, 0.12566510727800176, 0.12591971883204614, 0.1256879222945715, 0.12579166042019685, 0.1258070066339829]","[0.12911566881447212, 0.1292340198040963, 0.12916115754796423, 0.12886912448773133, 0.12924649331313426, 0.12899163017155343, 0.12904545700470782, 0.12935225643218343, 0.1286045753663518, 0.12890390172556015, 0.1287174405529219, 0.1288939730662123, 0.12888239405922355, 0.12914017255947466, 0.12863463295356656, 0.014303771190405545]","[0.12726313243488413, 0.1277734850573141, 0.12766461715000915, 0.12773363791724107, 0.12768795134238248, 0.12774670431895646, 0.12782748519840065, 0.12770122037012815, 0.12678391609382542, 0.12701002152926313, 0.12695850321423852, 0.12721142930472618, 0.1268526582749792, 0.12692973908208818, 0.12706554268951703, 0.12702421322084226]","[0.128325193536008, 0.12815293246530243, 0.12854872497402556, 0.1287042487983671, 0.12865636720452428, 0.1287585882213768, 0.1302902565560019, 0.13328603944666903, 0.1287452688132295, 0.1287055023172711, 0.12866508876889923, 0.12885182909807166, 0.1281821046721649, 0.12828121550159663, 0.12806410838021273, 0.12796471648698401]","[0.12672129613722857, 0.12671399487705787, 0.1270583074692472, 0.12681144690203955, 0.12664201937602104, 0.12708525792662625, 0.12679558628702137, 0.12704165625679822, 0.12703248303434278, 0.12689245040941266, 0.12665023686316162, 0.12678218845353462, 0.12659525513516992, 0.1275063831641538, 0.12655871972979335, 0.12693752792889024]","[0.12968536150726906, 0.1294525122467076, 0.12918710897552194, 0.1292814375336806, 0.12919883973091653, 0.12905324444474361, 0.12900848022697683, 0.12938422038461028, 0.13107860321715312, 0.12877925567603113, 0.12883722408967035, 0.12904137286626052, 0.12925768507226756, 0.12901053633083634, 0.12911711855393512, 0.1289630138864647]","[0.12475075641627541, 0.12454158470583432, 0.12494201573574196, 0.12529308943283718, 0.12570015002263693, 0.125655185107521, 0.12586243466687166, 0.12637139143816342, 0.1255320984214686, 0.12550407915268746, 0.12577238712352318, 0.12559066822291373, 0.12566196281213202, 0.12522107414145953, 0.12486779600047769, 0.12527974704128583]","[0.12559197525883956, 0.12593093422003013, 0.12562266087466747, 0.1251265199249067, 0.12543135807682038, 0.1256715790871141, 0.12564476462634652, 0.12581444971916664, 0.12610909433888845, 0.1259282358363305, 0.12603758931318415, 0.12569723245170536, 0.12598888864012867, 0.12508297435135465, 0.1258412366130216, 0.12621253637535687]","[0.1291536316733921, 0.12936146582060107, 0.12948521201303476, 0.1290621610867567, 0.1291387455396118, 0.12840792760342642, 0.12896784845359932, 0.1290505958686854, 0.1290630626568501, 0.12869081836779056, 0.12925746142995473, 0.12920735108437226, 0.1296344256362589, 0.12933101996903637, 0.12967852070659663, 0.12916463109360213]"
y,"[0.027055021123545946, 0.02715017785751887, 0.027189558594013407, 0.027238816547839145, 0.027260235722881807, 0.027218733310560534, 0.027267383779552755, 0.02722575452100407, 0.027281039577883543, 0.02721279457852011, 0.027050548741029794, 0.026976300000275216, 0.027064191158736702, 0.027073893989662416, 0.0271440987394343, 0.02705429815297939]","[0.027365755189299384, 0.02739532423044554, 0.027353492983957818, 0.02720810141883787, 0.027220996233576912, 0.02713382442924259, 0.027131848373593954, 0.027168726048383416, 0.027502055735351534, 0.027672399971735526, 0.027627462325724203, 0.02767741145250824, 0.027702631793934878, 0.02771632158676759, 0.027523939321696552, 0.0030621069578869705]","[0.026634161606022416, 0.026673710806362636, 0.026562376407910666, 0.0264604760340961, 0.026317746359027228, 0.026246255947415958, 0.026251508794460882, 0.026325884094793774, 0.026046269990413744, 0.026386529698579235, 0.026596141211020927, 0.026781499313901457, 0.02681306025317324, 0.026884224810264114, 0.02692497686119199, 0.02688506241640335]","[0.02658741713986666, 0.02669161910410177, 0.02683393616315567, 0.02684130171707905, 0.026777792718607717, 0.026776458035771493, 0.026979873953731182, 0.027522892441876654, 0.026602058541802403, 0.026637142069947946, 0.026614406626616367, 0.026598735004409194, 0.026571721997160003, 0.026702402147132008, 0.026575279305199314, 0.026493503647946122]","[0.026929649964888325, 0.026988261161543563, 0.02703908865496426, 0.02695910652242922, 0.02693334926109033, 0.027070047885966984, 0.027026624612207506, 0.027085045080420124, 0.027037227316724637, 0.026978957810948445, 0.0269171967445895, 0.026917888359283285, 0.026804279168068344, 0.026976410931772034, 0.026734600484864535, 0.02667403721252973]","[0.025957370860537368, 0.025993832869379334, 0.026015505498270988, 0.02612770188238698, 0.026175253739917272, 0.026234265163281527, 0.026264671410175276, 0.026396951151326273, 0.026875706771286135, 0.02634774252462867, 0.02635180715301354, 0.026351306233488893, 0.026326041097728476, 0.026137757597138055, 0.0260721580803789, 0.025905510364263584]","[0.02721861206475294, 0.02719283358727984, 0.027359036730545225, 0.027474810943945722, 0.027585033241805102, 0.02752515293584361, 0.02751434655459285, 0.02761258673694515, 0.027448510278107702, 0.02741829509820413, 0.027451295900259277, 0.027396525028850045, 0.02740840309062798, 0.02727085180809346, 0.027063637530208247, 0.026958167705631184]","[0.02637658733996149, 0.02651864624120301, 0.026553547860345847, 0.026442200304685026, 0.026536635176273284, 0.02665884252896929, 0.026710354147468772, 0.02678845632463714, 0.026904690024737065, 0.026666232069318035, 0.02659873615803733, 0.026488980425065988, 0.026554098243052885, 0.02642239602334678, 0.026555771587153807, 0.02654116165623806]","[0.027618038240367505, 0.027767497406436123, 0.02789156756013702, 0.027809689585282155, 0.027874048239601684, 0.02774533111933891, 0.027868299447372825, 0.02789044065935007, 0.027588307867549223, 0.027460337029658402, 0.02755593366443371, 0.027537650205990243, 0.02762209706035755, 0.02754745164484528, 0.027560282771174744, 0.027372371692393812]"
