,R10_S00,R10_S01,R10_S02,R10_S10,R10_S11,R10_S12,R10_S20,R10_S21,R10_S22
u,"[0.03668230857972739, 0.036527412709796314, 0.036435290713777935, 0.03632763116344813, 0.03628401120375454, 0.036132396924819524, 0.035951208244500446, 0.03587354439165186, 0.03576347610290578, 0.03578907410303197, 0.035935491909950226, 0.036102609036448054, 0.03612914539652196, 0.03629644513419122, 0.03636305327357573, -1.0]","[0.0325542311628069, 0.03246611463663716, 0.03218327227269661, 0.03202570127943074, 0.031909204127499605, 0.03169071203409972, 0.03147585813279782, 0.03142932230350916, 0.031067511830766358, 0.03139895526266073, 0.03158264770578062, 0.031708470360694525, 0.031024526226007574, 0.03210995157965546, 0.032184107732524656, 0.03245941228732492]","[0.03709299012251919, 0.03697019906660508, 0.037254910110370396, 0.03661002586018106, 0.03643751664154166, 0.03610189654141387, 0.03613424797852304, 0.03609578744675275, 0.035904785078488495, 0.03601180832801762, 0.0362266947657044, 0.03632186154313518, 0.03638957211526622, 0.036589482809255475, 0.03678970874816782, 0.03704743611707251]","[0.04100655101779331, 0.04087115950465061, 0.04090332719836012, 0.040834250475536404, 0.041086025816590564, 0.04076659282718694, 0.04068330683948178, 0.040335262948650585, 0.040370132897208144, 0.040746541236997384, 0.04070814970849375, 0.04074496577213464, 0.040764548792718625, 0.04078011795528855, 0.040886446768845966, 0.041038078071022346]","[0.037638190595850086, 0.03754388515465326, 0.03748690869450109, 0.03731722226557753, 0.03717636648971082, 0.037053168755040236, 0.037034017297245, 0.03739790019664387, 0.036849903182134255, 0.036894769992203105, 0.03697562825086512, 0.03705367313163308, 0.03719835015683311, 0.037253640532803264, 0.03739676656262022, 0.03765391262751107]","[0.0345491256575533, 0.03447000004717264, 0.03423104761036252, 0.03406981375128271, 0.03389301671972866, 0.03373460213070969, 0.03368888659456034, 0.03360764276768891, 0.03324650198538423, 0.03349280563769144, 0.033546621430747485, 0.033580538864566106, 0.03338567348994373, 0.03389268673899979, 0.034170437207828586, 0.034085979535919075]","[0.035158216937586764, 0.03500003765931425, 0.034730163353587536, 0.034637056049848715, 0.03455642301097121, 0.034441455915696674, 0.03434103315414136, 0.03434141375112232, 0.034398147461819614, 0.034463969918888844, 0.034488534282744884, 0.03465783631958191, 0.03474793781754264, 0.03490877019901882, 0.035013054595079106, 0.035129178524407154]","[0.033384329491158674, 0.0332217698855947, 0.03313749945714078, 0.03295004655380223, 0.03268049236729385, 0.03261107391119607, 0.03232354892283565, 0.03229330768491042, 0.03221332348575825, 0.03249490357592261, 0.03267861552191783, 0.03283910421378857, 0.032956582179150026, 0.03331763189281001, 0.033434288865263395, 0.033443207742767135]","[0.04177393689766874, 0.04154370955315614, 0.04135587751673279, 0.04142524269677595, 0.041281845950668986, 0.040996228237420156, 0.040875117733982454, 0.040723700007009714, 0.04100154518597212, 0.041091523097815476, 0.04095659147223962, 0.04122251382075226, 0.041170392107017284, 0.041250219165269886, 0.041521479632029616, 0.041782289730878316]"
g,"[0.12636290836661546, 0.12609569265331025, 0.126280076786008, 0.12640351110080764, 0.12677045650918858, 0.1266918951431075, 0.1265112456333787, 0.1268071478147418, 0.12651838699567752, 0.12606402068715356, 0.12610218727900785, 0.12620095961972636, 0.12584406958532215, 0.12601612164869902, 0.1257650632289531, -1.0]","[0.13003271026839264, 0.13068357761742497, 0.13043440111408194, 0.13059942535974936, 0.1308697442496259, 0.13056561211494294, 0.1301975731723046, 0.1305224247909666, 0.12928174889009972, 0.12982787686260322, 0.12993807690424636, 0.1297989309350628, 0.12640032810553659, 0.1300350297423889, 0.12949988273352497, 0.12958912853388063]","[0.12413639680245202, 0.1242051045610957, 0.1259149560235194, 0.12416134132988516, 0.12416372081085979, 0.12383306698600868, 0.12461772564763991, 0.1250170088896924, 0.12427035906057662, 0.12410797781125955, 0.12429788988650571, 0.12402922323169921, 0.12384872061637045, 0.12401832574377862, 0.12394825741764118, 0.12443317864822212]","[0.12434207220029739, 0.12401062927784134, 0.12437608260170913, 0.1242093419012138, 0.12532054141697724, 0.12453206272967243, 0.12483876422155822, 0.12492468208210672, 0.12386129357091714, 0.12426887914661072, 0.12409769946676794, 0.12402899799720765, 0.12407374002765224, 0.12386921272365808, 0.1239709487324678, 0.12388755892870205]","[0.12543605676482114, 0.12565365853358992, 0.1261994521855356, 0.12621867060169628, 0.1259511832533446, 0.1262202138025072, 0.12684597374940063, 0.1283020749069024, 0.12609581910564058, 0.12618544711440913, 0.1263062532599899, 0.12614982540816538, 0.12612006250116603, 0.125714596197512, 0.12541010214144585, 0.1254397191458254]","[0.12513238880610847, 0.12516084278504416, 0.12505579102650877, 0.12508358453180987, 0.12500717620052906, 0.12499747754345096, 0.12542852158171208, 0.12562551812524336, 0.12432512162318539, 0.12475262163350707, 0.12438616127009361, 0.12402505489583149, 0.12278510385138544, 0.12406562665444297, 0.12438840295225878, 0.12366340498632945]","[0.1265956543958133, 0.12660664435249203, 0.12636426064358855, 0.1266511373259123, 0.12684713691397748, 0.12692105771496526, 0.12699224773169324, 0.12747952540894808, 0.1278047051532574, 0.1276154003720578, 0.12719689229191533, 0.1274464241588647, 0.12722624243883543, 0.1271656992563014, 0.1266971513904639, 0.12649212666119536]","[0.13058739314036305, 0.13075056746367592, 0.13130568670568232, 0.13138530162996237, 0.13117515061200863, 0.13161642605521168, 0.13107214489020988, 0.13134415209453293, 0.1310768801241672, 0.13151120130974564, 0.13165651139785997, 0.13161941948306435, 0.1313955454269366, 0.13204076592053218, 0.13161429533137733, 0.13083267426502035]","[0.12643072704127684, 0.126342618056522, 0.12612347288337813, 0.1265831335020536, 0.12643316655404815, 0.1259296945132525, 0.1261236188536051, 0.1259012873577398, 0.12608877979404728, 0.12649644907122745, 0.1258813384257778, 0.12648428448822122, 0.12593319591279054, 0.12576943043238153, 0.12630882253253264, 0.12640050413165027]"
r,"[0.10577857593301458, 0.10553980559456316, 0.10557770393125539, 0.10554915483588756, 0.10571542080280515, 0.10552619288555722, 0.1052489369780146, 0.10537165735288474, 0.10513273221327345, 0.10488884362634762, 0.10504790594102162, 0.10523160594775503, 0.10505008969453637, 0.10529640056630113, 0.10517390156854536, -1.0]","[0.10415371182453378, 0.10457004850997488, 0.10427631755226786, 0.10427918496461878, 0.10439214785202737, 0.10408853136315448, 0.10375897062443974, 0.1040014534787399, 0.10326251167112502, 0.10364141818504441, 0.10377004810233845, 0.1037063031729016, 0.10100863952892954, 0.10396931874068858, 0.10359928258912018, 0.10377100727888015]","[0.1052694367362578, 0.10515836594983449, 0.10640368338099243, 0.10477011005829477, 0.10457588612488886, 0.10408221658506538, 0.10453838611934264, 0.10471902387731476, 0.10406350811850486, 0.10408694994631147, 0.10437515447355988, 0.10432771245482877, 0.10434075902040442, 0.10468003127440258, 0.10483981161823788, 0.10533469800948689]","[0.10641359732617123, 0.1061909953791011, 0.10643422705788312, 0.10623299250517033, 0.10703712086625258, 0.10627561629044609, 0.1064385822699514, 0.10643189379424049, 0.10583399501802632, 0.10626033896311642, 0.1060899264772121, 0.10619083144648168, 0.10625777377745052, 0.10615199483292492, 0.10627415782839629, 0.10623271633818039]","[0.10541513359334917, 0.10541464541339332, 0.10563111922371088, 0.10545512779273096, 0.105243350951869, 0.10523838288054281, 0.10552540812391835, 0.10665079007652248, 0.1049960503907985, 0.10508480475245803, 0.1052568244312312, 0.10518167124306026, 0.10531406419157273, 0.10513088743137208, 0.10511232981238401, 0.10538438178142438]","[0.10493613696185387, 0.10484160230380103, 0.10455596229764902, 0.10444462526185241, 0.10423244811317495, 0.1041088249755504, 0.10428922081648835, 0.1043259338263209, 0.10346077078993912, 0.10392669482140225, 0.10372094733136254, 0.10350346867539585, 0.10259140613459125, 0.10377919625825957, 0.1041958911224419, 0.10370261060002792]","[0.10385548452296692, 0.1038446508829905, 0.10355422815479583, 0.10368557195068981, 0.10373928622041624, 0.10371043824170405, 0.10368608603418261, 0.1039849575698452, 0.10444099817829428, 0.1043751632025607, 0.1040842680751208, 0.10437598807694715, 0.10429034836584146, 0.10434552714727122, 0.10402000157742917, 0.10383842092323059]","[0.10422921488765609, 0.10418332774234491, 0.10447554489688672, 0.1044057498184887, 0.1041193344776936, 0.10438265660051661, 0.10386497318433124, 0.10400956165064545, 0.10390287754619076, 0.10430762441246466, 0.1045006607942881, 0.10456717613403207, 0.10450560751800331, 0.10514202808301985, 0.10493976622353333, 0.10447397881103963]","[0.1070694285872061, 0.10681734474457771, 0.10647113716489712, 0.10670495573399665, 0.10642956474404741, 0.10587095832895022, 0.10590900221623921, 0.10552950833233081, 0.10577683933705018, 0.10629768529101379, 0.10588880860441958, 0.10653983936778362, 0.10623879480031619, 0.10627669689031179, 0.10692214064458684, 0.10719285458611418]"
i,"[0.08094575977530216, 0.08097201522499152, 0.08110897958534123, 0.08112053620381719, 0.08123111147656209, 0.08106958072159447, 0.08082184756633265, 0.08089941024451244, 0.08131460433373511, 0.08113892807335603, 0.08126164717554207, 0.08137950451228361, 0.08120614786945055, 0.0813249862424405, 0.08108278569248129, -1.0]","[0.07997817252043923, 0.08027428109892808, 0.0800392704106235, 0.08003047510936423, 0.08012418882632776, 0.0799199409082121, 0.07971528196315512, 0.07996590402112132, 0.08006648532863618, 0.08030126643497786, 0.08035681353640396, 0.0802734584653502, 0.07815637432460468, 0.08042880333736943, 0.08012734034941091, 0.08026906341588418]","[0.08083875817925965, 0.08089247378190463, 0.0819507209358206, 0.08083244714262428, 0.0808107995104477, 0.08051151676286267, 0.08082552373211992, 0.08086002585872323, 0.08083571952377687, 0.08095110740060632, 0.081171410608694, 0.08108907735130601, 0.08099616721570603, 0.081146618414947, 0.08119047683338203, 0.08146317995013456]","[0.08004039049266502, 0.08010708770554492, 0.08039155726188935, 0.08032377141921904, 0.08090574066808295, 0.08032030058273452, 0.08034667281146278, 0.08019795347478191, 0.08001021636211238, 0.08043134070662747, 0.08028264259968616, 0.08038123875873297, 0.08038374887462067, 0.0802461049899886, 0.08023739621264278, 0.08001704774672731]","[0.08058850194118342, 0.08061225892417516, 0.0807681776924101, 0.08065529237600967, 0.08063378677590027, 0.0806293714890554, 0.08082826639233612, 0.08178536976401443, 0.08067192530207305, 0.08059438041782495, 0.08063320620805754, 0.08045164937260478, 0.08054593639228025, 0.08036472720130387, 0.08037375190132157, 0.08059581730499699]","[0.08101581875660128, 0.08102925463221924, 0.08091810644317549, 0.08093904413901498, 0.08088445462901422, 0.0808628716108693, 0.08098454438386281, 0.08091753381062454, 0.08040150604065585, 0.08083684199624742, 0.08064302174420829, 0.0804009047786566, 0.07957463226377269, 0.08036336535571492, 0.08056369492783919, 0.08007530443648236]","[0.08040400175897516, 0.0806044057410786, 0.08048063275246076, 0.08061527242434588, 0.08066905165702384, 0.08065380896693626, 0.08063278413008725, 0.08087898913639652, 0.0807631304640573, 0.08071594145907408, 0.08051010460226518, 0.08076301061570237, 0.08072833952091314, 0.0807668964863211, 0.08043987498167388, 0.08010184775583302]","[0.08046046579326066, 0.08040973558218907, 0.0806311921762588, 0.08057771299923526, 0.08036363636883395, 0.08058471930814488, 0.08020937999289034, 0.08036804111407767, 0.07976521324088406, 0.0800184163778976, 0.08012708704368138, 0.08015918285627045, 0.08010104117340354, 0.08059406615067499, 0.0804580919046427, 0.08014194873716694]","[0.08124988152514048, 0.08118257602459933, 0.0810421993797779, 0.0813392527048097, 0.081247582695672, 0.08091185855750503, 0.08094741004281962, 0.08057053533829109, 0.08039798230723201, 0.08085474928473739, 0.08049774453067371, 0.08087692934549078, 0.08051481887253778, 0.0804025954224838, 0.08074368770267094, 0.08079331342928081]"
z,"[0.0569456652734942, 0.056997151304279514, 0.05710925720580189, 0.057130568908238, 0.05727237717652911, 0.05721727183532531, 0.05708502964486312, 0.05714872411258418, 0.05751083380332021, 0.05737562975960503, 0.057395261533631295, 0.0574261133816439, 0.0572686338730134, 0.05732305782811194, 0.05712271249968802, -1.0]","[0.05724284226494532, 0.057504601039104396, 0.05736454790889146, 0.05737388807581435, 0.05747774998724584, 0.057376690701972044, 0.05727769690014757, 0.05748915191571821, 0.05782994894509514, 0.057963350897032244, 0.05793342851734667, 0.057807965555144114, 0.05623348338263494, 0.05782820074641042, 0.057585912760454876, 0.05766587032177954]","[0.05621222930652651, 0.05639232560752768, 0.05721893857468436, 0.05652531382173991, 0.05656853209788201, 0.05643076695282982, 0.0567193607438339, 0.05677952302456622, 0.05688609127909988, 0.056962036823225974, 0.05705831662477416, 0.056927309120080226, 0.056818963530784604, 0.05686129322506616, 0.05682164386697096, 0.05691064603255218]","[0.05525875175828425, 0.05533866271960119, 0.05557625558208484, 0.05554978921188722, 0.05594573581305666, 0.055545136842878505, 0.05560807112907993, 0.05552647403213862, 0.055498361014202774, 0.055761248180976476, 0.05562991054586596, 0.05566956951022095, 0.05563168017851932, 0.055498523287447116, 0.05545627705831306, 0.055208988809087894]","[0.055965566304653894, 0.05605890323713055, 0.0562456174921185, 0.05623270302493474, 0.056253027448427986, 0.05628356530697671, 0.05647219223648571, 0.05717080284260662, 0.056303456316807575, 0.05624684044907826, 0.056249851705999575, 0.056092671628920364, 0.056137701459969054, 0.055999901423290095, 0.055990956716483214, 0.05613018818871286]","[0.057443545098166765, 0.05752323303500956, 0.05750753451712763, 0.05758067444069154, 0.05761131801449167, 0.05765303007530489, 0.057759550535254355, 0.057733013643012226, 0.057461305248642736, 0.05772704836859108, 0.05751800625462, 0.057285612332892935, 0.05664657114974688, 0.057125282824001186, 0.05717440424780785, 0.05670569147416524]","[0.056668437287326665, 0.056880292755553626, 0.056852593298711444, 0.05699731403157533, 0.057055221456720845, 0.05704311099981566, 0.05700375328479273, 0.05708805621288221, 0.05676836145021213, 0.05675576489667514, 0.05662664056297577, 0.0568375882202327, 0.05685171227927347, 0.05689170917304687, 0.05665321864348016, 0.05636667439002269]","[0.0575801968867303, 0.05763941927916922, 0.057862840644319846, 0.057833063244545714, 0.05768118153658841, 0.05788283244001055, 0.05767477742107744, 0.05780748496201421, 0.05717685495289204, 0.057329451294363336, 0.05733551790299695, 0.05728133632120591, 0.0571573334672792, 0.05744371133646861, 0.05732125070606405, 0.05709702880653495]","[0.05656403129680913, 0.056596459052002245, 0.0565647689415716, 0.056815285541527115, 0.05678404176872818, 0.056577506168373044, 0.05660811349082379, 0.05629457882231861, 0.05604790637101966, 0.0563560045889954, 0.056049543168567716, 0.056245376228974596, 0.05594459598154687, 0.055821624872282684, 0.056016308988981744, 0.05596940789494892]"
y,"[0.027842321031532804, 0.02792326725817429, 0.02801246511223029, 0.027990173808051768, 0.0281406828014138, 0.028199075829013088, 0.028184903321718975, 0.0282571370203424, 0.028292362090788087, 0.02818428369266623, 0.02810867071019467, 0.0280816253149115, 0.02798850091359832, 0.027988486222040056, 0.027833696052720635, -1.0]","[0.02834611202815941, 0.028563718797302972, 0.02855965360779121, 0.028586046622663574, 0.02866941281675217, 0.02867156393144517, 0.028641309667779186, 0.028765382799906026, 0.029172978455325852, 0.029211507459994117, 0.02917015244113129, 0.029053241907502896, 0.028214575819977238, 0.028974487293552974, 0.028733819934463577, 0.028701331286420755]","[0.027154727415785763, 0.027294125520549856, 0.027723940095323356, 0.02745514446634125, 0.02749231908962781, 0.027455412496485934, 0.02761444033245437, 0.027604378262846944, 0.027503825682245766, 0.027556633931425472, 0.027624544668334673, 0.02757731401020536, 0.027556454613857976, 0.02757345019616395, 0.027567630830354063, 0.02757671453555529]","[0.0264205318385343, 0.026499594265579615, 0.02668356976912603, 0.026727016749826013, 0.02690713619656907, 0.026716389025194555, 0.026786272643006787, 0.02679164032848623, 0.02686534392403524, 0.026939859633454192, 0.026843481959773978, 0.02684074646883147, 0.026794950841518485, 0.026708359769459795, 0.02660367470931068, 0.02635677998535429]","[0.027086854056177403, 0.02717043792381547, 0.02735167720076617, 0.02742399387996701, 0.027456173164730188, 0.027483094225213806, 0.027615886613853873, 0.0280186764741947, 0.02784167456751494, 0.02778418049450143, 0.027764574768371204, 0.027675001928841616, 0.027684181843200272, 0.027573420930115892, 0.027496157155406698, 0.02754646572439385]","[0.02880068912171346, 0.028778662586954367, 0.02874802347277997, 0.028751588290056775, 0.028789641812391353, 0.02884974580966681, 0.028956919804046726, 0.02896824482754555, 0.028842347644630065, 0.02902825380466408, 0.028926413034943754, 0.0287883211008572, 0.028493232082020193, 0.0287380884587554, 0.028760628763973083, 0.028531551595233195]","[0.027699395613947162, 0.027904210076871484, 0.027979734169003352, 0.02812142734482989, 0.028157974787000037, 0.02813345555776595, 0.028067115405284157, 0.027979444614839116, 0.027794106944745968, 0.027834657358466987, 0.027807690636136778, 0.027968938343506142, 0.028021254405220606, 0.028037561189611458, 0.027895225928664478, 0.027710409352437994]","[0.028073787719051228, 0.02823716494847286, 0.028453748492345356, 0.02844356364566932, 0.028333750812777378, 0.0284570345175342, 0.028398891129022327, 0.02852464226421388, 0.028437097007257883, 0.028405761802286315, 0.028351328022458662, 0.028240158273142385, 0.02813798836219839, 0.0282874180549819, 0.028173980820748245, 0.02803318833618311]","[0.027151301396792917, 0.027240631761319176, 0.02726647320727481, 0.02739201152083325, 0.02734733250114047, 0.027221281655122137, 0.027216713148179864, 0.02706003593951773, 0.026924871987605948, 0.02701781243796687, 0.026836187753562335, 0.0269385784966533, 0.026862824675656722, 0.026850557735722622, 0.026889169130861763, 0.026786713759202763]"
