,R10_S00,R10_S01,R10_S02,R10_S10,R10_S11,R10_S12,R10_S20,R10_S21,R10_S22
raDeg,"[-1.7448611111111112, -1.7165833333333336, -1.6883055555555555, -1.6600277777777777, -1.63175, -1.6034722222222217, -1.5751944444444446, -1.5469166666666665, -1.5469166666666665, -1.5751944444444446, -1.6034722222222222, -1.6317500000000003, -1.6600277777777777, -1.6883055555555557, -1.7165833333333333, -1.744861111111111]","[-1.5101388888888887, -1.481861111111111, -1.4535833333333332, -1.4253055555555554, -1.397027777777778, -1.36875, -1.3404722222222223, -1.3121944444444444, -1.3121944444444444, -1.3404722222222223, -1.36875, -1.3970277777777778, -1.4253055555555556, -1.4535833333333332, -1.481861111111111, -1.510138888888889]","[-1.2754166666666669, -1.247138888888889, -1.2188611111111112, -1.1905833333333335, -1.1623055555555555, -1.1340277777777776, -1.1057500000000002, -1.0774722222222222, -1.0774722222222222, -1.10575, -1.1340277777777776, -1.1623055555555555, -1.1905833333333333, -1.2188611111111112, -1.247138888888889, -1.2754166666666669]","[-1.7448611111111112, -1.7165833333333336, -1.6883055555555555, -1.6600277777777777, -1.6317500000000003, -1.6034722222222222, -1.5751944444444446, -1.5469166666666665, -1.5469166666666663, -1.5751944444444446, -1.6034722222222222, -1.63175, -1.6600277777777779, -1.6883055555555555, -1.7165833333333333, -1.7448611111111112]","[-1.510138888888889, -1.4818611111111113, -1.4535833333333332, -1.4253055555555556, -1.3970277777777778, -1.36875, -1.3404722222222223, -1.3121944444444444, -1.3121944444444444, -1.3404722222222223, -1.36875, -1.397027777777778, -1.4253055555555556, -1.4535833333333332, -1.4818611111111109, -1.5101388888888887]","[-1.2754166666666669, -1.2471388888888888, -1.2188611111111112, -1.1905833333333333, -1.1623055555555555, -1.1340277777777779, -1.10575, -1.0774722222222222, -1.0774722222222222, -1.10575, -1.1340277777777779, -1.1623055555555555, -1.1905833333333333, -1.2188611111111112, -1.247138888888889, -1.2754166666666669]","[-1.744861111111111, -1.7165833333333333, -1.6883055555555553, -1.6600277777777779, -1.6317500000000003, -1.6034722222222222, -1.5751944444444446, -1.5469166666666665, -1.5469166666666667, -1.5751944444444446, -1.6034722222222222, -1.63175, -1.6600277777777777, -1.6883055555555553, -1.7165833333333333, -1.7448611111111108]","[-1.510138888888889, -1.481861111111111, -1.4535833333333332, -1.4253055555555554, -1.3970277777777778, -1.3687500000000001, -1.3404722222222223, -1.3121944444444442, -1.3121944444444444, -1.3404722222222223, -1.36875, -1.3970277777777778, -1.4253055555555554, -1.4535833333333332, -1.481861111111111, -1.5101388888888887]","[-1.2754166666666669, -1.2471388888888888, -1.2188611111111112, -1.1905833333333333, -1.1623055555555555, -1.1340277777777779, -1.1057500000000002, -1.0774722222222222, -1.0774722222222222, -1.1057500000000002, -1.1340277777777779, -1.1623055555555555, -1.1905833333333333, -1.2188611111111112, -1.2471388888888888, -1.2754166666666669]"
decDeg,"[-0.8847777777777778, -0.8847777777777778, -0.8847777777777777, -0.8847777777777777, -0.8847777777777777, -0.8847777777777777, -0.8847777777777777, -0.8847777777777777, -0.9958888888888887, -0.9958888888888887, -0.9958888888888889, -0.9958888888888887, -0.9958888888888887, -0.9958888888888889, -0.9958888888888887, -0.9958888888888887]","[-0.8847777777777778, -0.8847777777777777, -0.8847777777777777, -0.8847777777777778, -0.8847777777777777, -0.8847777777777778, -0.8847777777777777, -0.8847777777777777, -0.9958888888888887, -0.9958888888888889, -0.9958888888888889, -0.9958888888888887, -0.9958888888888887, -0.9958888888888887, -0.9958888888888887, -0.9958888888888889]","[-0.8847777777777778, -0.8847777777777778, -0.8847777777777777, -0.8847777777777778, -0.8847777777777778, -0.8847777777777777, -0.8847777777777778, -0.8847777777777777, -0.9958888888888887, -0.9958888888888889, -0.9958888888888887, -0.9958888888888887, -0.9958888888888887, -0.9958888888888887, -0.9958888888888887, -0.9958888888888889]","[-0.6500555555555555, -0.6500555555555555, -0.6500555555555555, -0.6500555555555555, -0.6500555555555555, -0.6500555555555555, -0.6500555555555555, -0.6500555555555555, -0.7611666666666665, -0.7611666666666667, -0.7611666666666667, -0.7611666666666665, -0.7611666666666667, -0.7611666666666667, -0.7611666666666667, -0.7611666666666665]","[-0.6500555555555555, -0.6500555555555555, -0.6500555555555554, -0.6500555555555555, -0.6500555555555555, -0.6500555555555555, -0.6500555555555556, -0.6500555555555555, -0.7611666666666665, -0.7611666666666665, -0.7611666666666667, -0.7611666666666667, -0.7611666666666667, -0.7611666666666667, -0.7611666666666667, -0.7611666666666665]","[-0.6500555555555555, -0.6500555555555555, -0.6500555555555555, -0.6500555555555555, -0.6500555555555555, -0.6500555555555555, -0.6500555555555555, -0.6500555555555554, -0.7611666666666667, -0.7611666666666665, -0.7611666666666665, -0.7611666666666667, -0.7611666666666667, -0.7611666666666667, -0.7611666666666665, -0.7611666666666667]","[-0.4153333333333333, -0.4153333333333333, -0.4153333333333333, -0.4153333333333333, -0.4153333333333332, -0.4153333333333332, -0.4153333333333332, -0.4153333333333333, -0.5264444444444444, -0.5264444444444444, -0.5264444444444444, -0.5264444444444444, -0.5264444444444444, -0.5264444444444444, -0.5264444444444444, -0.5264444444444443]","[-0.41533333333333333, -0.4153333333333332, -0.4153333333333333, -0.4153333333333332, -0.41533333333333333, -0.4153333333333333, -0.4153333333333333, -0.4153333333333333, -0.5264444444444444, -0.5264444444444444, -0.5264444444444444, -0.5264444444444444, -0.5264444444444444, -0.5264444444444444, -0.5264444444444444, -0.5264444444444444]","[-0.4153333333333333, -0.4153333333333332, -0.4153333333333333, -0.4153333333333333, -0.4153333333333333, -0.4153333333333332, -0.4153333333333333, -0.4153333333333332, -0.5264444444444444, -0.5264444444444444, -0.5264444444444444, -0.5264444444444444, -0.5264444444444444, -0.5264444444444444, -0.5264444444444444, -0.5264444444444444]"
radDeg,"[1.9563051882841187, 1.9311281196322572, 1.906037979008653, 1.8810382448732348, 1.856132570209641, 1.8313247925959601, 1.8066189448879266, 1.7820192665480434, 1.8397023812477826, 1.8635402661982905, 1.8875007020503571, 1.9115790805147415, 1.9357710004552662, 1.960072257766217, 1.9844788357257044, 2.008986895810215]","[1.7501913879460749, 1.7258532699226983, 1.7016369361408106, 1.6775476606789264, 1.6535909964486668, 1.6297727913731364, 1.6060992054486622, 1.5825767287133976, 1.6472630416751581, 1.669874094711055, 1.6926554759440073, 1.715600400045388, 1.738702392407486, 1.761955274808225, 1.7853531515689922, 1.8088903962209277]","[1.5522210155410792, 1.5290727537220614, 1.5060996081091163, 1.4833097151985006, 1.460711652292708, 1.4383144612259768, 1.4161276728768148, 1.3941613323757986, 1.467182384476878, 1.4880707659518502, 1.5091998422975863, 1.5305596453093941, 1.5521406495723657, 1.5739337561046451, 1.5959302758894367, 1.618121913434871]","[1.8619833187220114, 1.8355119511563633, 1.8090952333315213, 1.7827355946619863, 1.7564356049894365, 1.7301979844118878, 1.7040256139039236, 1.6779215467978272, 1.7240026346079445, 1.7494188331959029, 1.7749215743420657, 1.8005071806319768, 1.8261721691195079, 1.8519132394207503, 1.8777272626054777, 1.9036112708311925]","[1.6440784141908429, 1.6181441071635618, 1.5922895678489248, 1.5665187458201824, 1.5408358416539398, 1.5152453258925729, 1.489751959605471, 1.4643608166887014, 1.5169468199046061, 1.5414716214389774, 1.5661229314174518, 1.59089486901161, 1.6157818861184314, 1.6407787462341121, 1.665880504718745, 1.6910824903690154]","[1.4314992485914677, 1.406364424396343, 1.3813511090577975, 1.3564660244846416, 1.3317163592395016, 1.3071098056975148, 1.2826546002861248, 1.2583595670238028, 1.3191864099263266, 1.3423806557142033, 1.3657664649824037, 1.3893341643528732, 1.4130746529952491, 1.4369793669250837, 1.4610402452806086, 1.4852496985424601]","[1.7935965946001764, 1.766099799573937, 1.7386280503197233, 1.7111825531111726, 1.6837645916801867, 1.6563755334254686, 1.6290168362162696, 1.6016900558575393, 1.6340219041232389, 1.6608165048044918, 1.6876594924690491, 1.7145485944771823, 1.741481674764017, 1.7684567240014637, 1.7954718505742375, 1.8225252722949588]","[1.5661996343596492, 1.5389527821373783, 1.5117437858449205, 1.4845747269321445, 1.457447838882548, 1.4303655210100261, 1.4033303537437414, 1.3763451155856319, 1.4138421257536709, 1.4401246348899572, 1.4664813643191532, 1.4929083830532062, 1.5194020234625274, 1.5459588603935683, 1.5725756921598928, 1.59924952322329]","[1.3413280574876352, 1.3144694526271283, 1.2876716054144548, 1.2609383895758421, 1.234274004683132, 1.2076830098921305, 1.1811703617781317, 1.154741456829038, 1.1991903400511672, 1.2246601190084372, 1.250250600050963, 1.2759545208140413, 1.3017651615646317, 1.3276762982595702, 1.353682160064151, 1.3797773908896112]"
effarea,"[16.173460930884477, 18.787405244870676, 20.71733796157381, 22.121523788755837, 23.704305405548148, 25.644819226174874, 27.64863934378675, 29.38243590650528, 24.92089156635616, 23.199597960607047, 21.75526321207479, 20.41492935861525, 18.30011331712521, 15.784978803697772, 13.323119260553149, 10.201551182053935]","[30.775063032188744, 31.141254552397594, 31.346621561844444, 31.510628164381938, 31.620149045891843, 31.739161417354012, 31.88718731463069, 32.037766127013136, 31.655578623488825, 31.542829742581382, 31.411766186069972, 31.22938985605241, 31.02886447426835, 30.44184975525142, 29.15499332778545, 27.47460736169274]","[32.2085679398047, 32.303743660602876, 32.42808379766653, 32.56048258887795, 32.665568887908535, 32.78490971077396, 32.84600675917393, 32.93210983760739, 32.636141726303954, 32.53549852166088, 32.40530581212235, 32.300103533072644, 32.20901790072045, 32.08703874743652, 31.95834647186651, 31.794630669386265]","[23.29600838560575, 25.28299674671198, 27.45891333917723, 29.33356694059286, 30.6265141686675, 31.103251739250826, 31.32656717056511, 31.509059177662355, 31.157441887202758, 30.793441978556086, 29.779580088888963, 28.11690491131223, 26.0900698597714, 24.015766432623103, 22.321100532844856, 20.84977686905955]","[31.673409030091186, 31.794459811283794, 31.979999428437164, 32.12853428776637, 32.27231237479627, 32.360888542470164, 32.52667629786554, 32.64897346294793, 32.348387355897316, 32.26875270820022, 32.13074932616571, 31.98829434058543, 31.81264533616835, 31.69188353664213, 31.559588561228708, 31.42277491963453]","[32.80159434558301, 32.88700433840983, 32.97243652598438, 33.08822364360804, 33.160312711197335, 33.20868183677468, 33.28318883860021, 33.388240586284525, 33.17487399506697, 33.14246097754039, 33.046381368954144, 32.947305802249964, 32.85882692090121, 32.7881782164011, 32.6640745347686, 32.55030234153835]","[28.592613423031292, 30.23016306494665, 31.02951473758881, 31.266480347034125, 31.47399013622554, 31.604558705501884, 31.742333729835728, 31.92113108961078, 31.72133031548123, 31.58083927959401, 31.44673119264293, 31.23822039851415, 30.982265630337725, 30.109780256406264, 28.464680680354142, 26.405207018388257]","[32.130320084679965, 32.27955590963264, 32.38661499529248, 32.55384431934018, 32.68309458394837, 32.80436987610331, 32.899744929027406, 32.99458520893596, 32.855604169243534, 32.78008544782957, 32.639329778734854, 32.51011266524131, 32.33034852794092, 32.24362911196286, 32.09463868257188, 31.938605389206913]","[33.14651412818496, 33.18807887805327, 33.267395265188284, 33.378232654882176, 33.446467463124435, 33.470270908718874, 33.54057587497064, 33.59129487572167, 33.496460339201384, 33.43636167548408, 33.41661638905953, 33.309943300904095, 33.223643897251705, 33.1645483968688, 33.0989432340325, 32.97777978756992]"
readnoise,"[6.139, 6.577, 6.68, 6.851, 6.535, 6.451, 5.993, 6.043, 6.207, 6.105, 6.509, 6.426, 6.572, 6.572, 6.299, 6.066]","[6.286, 6.702, 7.028, 7.239, 7.002, 6.947, 6.167, 6.057, 5.931, 6.343, 7.003, 7.197, 11.222, 7.277, 6.703, 6.266]","[7.321, 7.655, 7.903, 8.365, 7.992, 7.85, 7.422, 8.437, 8.22, 6.192, 6.389, 6.521, 6.64, 6.559, 6.343, 6.185]","[12.796, 12.106, 11.712, 11.742, 10.958, 10.996, 10.088, 13.338, 13.924, 10.183, 12.636, 11.72, 12.521, 11.74, 13.293, 13.215]","[6.225, 6.622, 6.627, 6.405, 6.38, 6.333, 6.127, 6.826, 9.655, 7.343, 7.879, 8.024, 8.51, 8.895, 8.405, 8.006]","[7.039, 7.091, 6.994, 7.042, 6.878, 6.797, 6.549, 7.698, 10.447, 8.559, 8.783, 9.216, 9.636, 9.5, 9.133, 8.494]","[8.158, 8.299, 8.617, 8.563, 8.273, 7.833, 7.575, 8.782, 9.107, 6.36, 6.9, 6.701, 6.92, 7.004, 6.764, 6.922]","[5.906, 6.065, 6.165, 6.289, 6.227, 6.099, 5.903, 5.922, 6.039, 6.132, 6.337, 6.699, 6.581, 6.495, 6.276, 6.177]","[6.639, 6.925, 6.785, 6.787, 6.685, 6.648, 6.449, 7.717, 11.129, 8.064, 9.181, 9.494, 9.832, 10.101, 9.668, 8.968]"
gain,"[1.37014, 1.38398, 1.39047, 1.38727, 1.36962, 1.38553, 1.37444, 1.34823, 1.4112, 1.42191, 1.43211, 1.42026, 1.42483, 1.42785, 1.43297, 1.42408]","[1.37663, 1.36079, 1.36199, 1.37596, 1.35388, 1.35382, 1.34406, 1.34544, 1.24389, 1.40801, 1.40796, 1.41004, 1.42446, 1.42397, 1.42013, 1.40761]","[1.38454, 1.40783, 1.4186, 1.38583, 1.38617, 1.39886, 1.38936, 1.35498, 1.35461, 1.3796, 1.36959, 1.36066, 1.34768, 1.38877, 1.38106, 1.37354]","[1.42836, 1.40973, 1.41218, 1.42164, 1.41138, 1.40079, 1.41365, 1.39692, 1.32564, 1.37961, 1.38649, 1.37666, 1.38227, 1.38393, 1.39415, 1.38945]","[1.40459, 1.40225, 1.40518, 1.40738, 1.41726, 1.41031, 1.41511, 1.44043, 1.3593, 1.41364, 1.40224, 1.41497, 1.39966, 1.40114, 1.3998, 1.38519]","[1.40032, 1.3959, 1.38642, 1.39402, 1.39041, 1.3713, 1.38387, 1.36078, 1.32753, 1.39573, 1.35714, 1.34094, 1.36728, 1.3719, 1.35741, 1.36657]","[1.42854, 1.4197, 1.43013, 1.4311, 1.42362, 1.43799, 1.43357, 1.38513, 1.43639, 1.457, 1.47701, 1.45506, 1.47023, 1.47666, 1.47048, 1.47112]","[1.30834, 1.40397, 1.39933, 1.41329, 1.41638, 1.40057, 1.41691, 1.39993, 1.38321, 1.41172, 1.41347, 1.40749, 1.39733, 1.40941, 1.41375, 1.36461]","[1.44702, 1.45383, 1.45424, 1.43829, 1.43803, 1.42901, 1.44427, 1.41482, 1.34246, 1.41756, 1.41096, 1.39776, 1.40621, 1.41361, 1.41151, 1.40793]"
saturation,"[86266.0, 86965.0, 70262.0, 89286.0, 91923.0, 82574.0, 85107.0, 88316.0, 89568.0, 87520.0, 85552.0, 85154.0, 83651.0, 82156.0, 80626.0, 79788.0]","[98276.0, 89141.0, 89666.0, 89829.0, 92069.0, 92783.0, 94361.0, 95255.0, 109994.0, 97870.0, 97155.0, 96255.0, 94613.0, 93801.0, 92880.0, 91988.0]","[84261.0, 83927.0, 86043.0, 86893.0, 87787.0, 87950.0, 89309.0, 92824.0, 88615.0, 86631.0, 86535.0, 86092.0, 86194.0, 83423.0, 82733.0, 92090.0]","[78797.0, 81251.0, 83178.0, 75306.0, 76797.0, 78054.0, 78265.0, 79880.0, 92168.0, 87974.0, 86343.0, 85332.0, 83079.0, 81127.0, 89293.0, 87996.0]","[33138.0, 92498.0, 93298.0, 94283.0, 94774.0, 96286.0, 96929.0, 98079.0, 88273.0, 106113.0, 105762.0, 103931.0, 103512.0, 102413.0, 101420.0, 101388.0]","[90271.0, 91372.0, 83404.0, 83672.0, 84850.0, 86777.0, 87033.0, 89479.0, 111114.0, 105904.0, 106861.0, 106876.0, 104258.0, 102607.0, 102226.0, 100492.0]","[95119.0, 97126.0, 97424.0, 98638.0, 89035.0, 89321.0, 90889.0, 95127.0, 101895.0, 98725.0, 96406.0, 96774.0, 94960.0, 93587.0, 92479.0, 90057.0]","[100810.0, 96363.0, 97688.0, 87708.0, 88424.0, 90378.0, 90448.0, 92536.0, 91532.0, 99741.0, 78504.0, 97527.0, 97293.0, 95328.0, 105952.0, 107244.0]","[81995.0, 82854.0, 83740.0, 76376.0, 77307.0, 78542.0, 78826.0, 81248.0, 92750.0, 87608.0, 86865.0, 86521.0, 85062.0, 83706.0, 92633.0, 91841.0]"
