,R42_S00,R42_S01,R42_S02,R42_S10,R42_S11,R42_S12,R42_S20,R42_S21,R42_S22
raDeg,"[-0.33375000000000005, -0.3054722222222222, -0.27719444444444447, -0.2489166666666667, -0.22063888888888888, -0.1923611111111111, -0.16408333333333333, -0.13580555555555557, -0.13580555555555554, -0.16408333333333333, -0.19236111111111112, -0.2206388888888889, -0.24891666666666667, -0.27719444444444447, -0.3054722222222222, -0.33375]","[-0.09902777777777778, -0.07075000000000002, -0.042472222222222224, -0.014194444444444461, 0.014083333333333333, 0.04236111111111111, 0.07063888888888888, 0.09891666666666667, 0.09891666666666668, 0.07063888888888888, 0.042361111111111106, 0.014083333333333333, -0.014194444444444464, -0.042472222222222224, -0.07075000000000001, -0.09902777777777778]","[0.1356944444444444, 0.1639722222222222, 0.19224999999999998, 0.22052777777777777, 0.2488055555555555, 0.2770833333333333, 0.3053611111111111, 0.3336388888888889, 0.3336388888888889, 0.3053611111111111, 0.2770833333333333, 0.2488055555555555, 0.22052777777777774, 0.19224999999999998, 0.16397222222222219, 0.13569444444444442]","[-0.33375, -0.3054722222222222, -0.2771944444444445, -0.2489166666666667, -0.2206388888888889, -0.19236111111111115, -0.16408333333333336, -0.13580555555555554, -0.13580555555555554, -0.16408333333333336, -0.1923611111111111, -0.2206388888888889, -0.2489166666666667, -0.27719444444444447, -0.3054722222222222, -0.33375]","[-0.0990277777777778, -0.07075000000000002, -0.042472222222222224, -0.014194444444444461, 0.014083333333333333, 0.04236111111111111, 0.07063888888888886, 0.09891666666666667, 0.09891666666666667, 0.07063888888888888, 0.04236111111111111, 0.014083333333333337, -0.014194444444444461, -0.042472222222222224, -0.07075000000000002, -0.0990277777777778]","[0.13569444444444442, 0.16397222222222219, 0.19224999999999998, 0.2205277777777777, 0.2488055555555555, 0.2770833333333333, 0.3053611111111111, 0.3336388888888889, 0.3336388888888889, 0.3053611111111111, 0.2770833333333333, 0.2488055555555555, 0.2205277777777777, 0.19225, 0.16397222222222219, 0.13569444444444442]","[-0.33375, -0.3054722222222222, -0.27719444444444447, -0.2489166666666667, -0.2206388888888889, -0.19236111111111112, -0.16408333333333336, -0.13580555555555557, -0.13580555555555554, -0.16408333333333336, -0.19236111111111112, -0.2206388888888889, -0.24891666666666667, -0.27719444444444447, -0.3054722222222222, -0.33375]","[-0.0990277777777778, -0.07075000000000002, -0.042472222222222224, -0.014194444444444464, 0.014083333333333337, 0.04236111111111111, 0.07063888888888886, 0.09891666666666667, 0.09891666666666667, 0.07063888888888888, 0.04236111111111111, 0.014083333333333333, -0.014194444444444464, -0.042472222222222224, -0.07075000000000002, -0.09902777777777778]","[0.1356944444444444, 0.1639722222222222, 0.19224999999999998, 0.2205277777777777, 0.2488055555555555, 0.2770833333333333, 0.3053611111111111, 0.33363888888888893, 0.3336388888888889, 0.3053611111111111, 0.2770833333333333, 0.2488055555555555, 0.22052777777777774, 0.19224999999999998, 0.1639722222222222, 0.13569444444444442]"
decDeg,"[1.231888888888889, 1.2318888888888888, 1.2318888888888888, 1.2318888888888888, 1.2318888888888888, 1.2318888888888888, 1.2318888888888888, 1.231888888888889, 1.1207777777777777, 1.1207777777777779, 1.1207777777777779, 1.1207777777777779, 1.1207777777777779, 1.1207777777777779, 1.1207777777777779, 1.1207777777777779]","[1.231888888888889, 1.2318888888888888, 1.231888888888889, 1.2318888888888888, 1.2318888888888888, 1.231888888888889, 1.231888888888889, 1.231888888888889, 1.1207777777777779, 1.1207777777777779, 1.1207777777777779, 1.1207777777777779, 1.1207777777777779, 1.1207777777777779, 1.1207777777777779, 1.1207777777777779]","[1.2318888888888888, 1.2318888888888888, 1.231888888888889, 1.2318888888888888, 1.2318888888888888, 1.231888888888889, 1.231888888888889, 1.2318888888888888, 1.1207777777777779, 1.1207777777777779, 1.1207777777777779, 1.1207777777777779, 1.1207777777777779, 1.1207777777777779, 1.1207777777777779, 1.1207777777777779]","[1.466611111111111, 1.466611111111111, 1.466611111111111, 1.466611111111111, 1.466611111111111, 1.466611111111111, 1.466611111111111, 1.466611111111111, 1.3555000000000001, 1.3555000000000001, 1.3555, 1.3555000000000001, 1.3555000000000001, 1.3555000000000001, 1.3555000000000001, 1.3555000000000001]","[1.466611111111111, 1.466611111111111, 1.4666111111111109, 1.466611111111111, 1.466611111111111, 1.466611111111111, 1.466611111111111, 1.466611111111111, 1.3555000000000001, 1.3555000000000001, 1.3555000000000001, 1.3555000000000001, 1.3555, 1.3555, 1.3555000000000001, 1.3555000000000001]","[1.4666111111111113, 1.466611111111111, 1.466611111111111, 1.466611111111111, 1.4666111111111109, 1.466611111111111, 1.466611111111111, 1.466611111111111, 1.3555000000000001, 1.3555000000000001, 1.3555000000000001, 1.3555, 1.3555000000000001, 1.3555000000000001, 1.3555000000000001, 1.3555000000000001]","[1.7013333333333331, 1.7013333333333331, 1.7013333333333331, 1.7013333333333334, 1.7013333333333331, 1.7013333333333334, 1.7013333333333334, 1.7013333333333334, 1.5902222222222222, 1.5902222222222222, 1.5902222222222222, 1.5902222222222224, 1.5902222222222222, 1.5902222222222222, 1.5902222222222224, 1.5902222222222222]","[1.7013333333333334, 1.7013333333333334, 1.7013333333333331, 1.7013333333333331, 1.7013333333333331, 1.7013333333333334, 1.7013333333333334, 1.7013333333333331, 1.5902222222222222, 1.5902222222222224, 1.5902222222222222, 1.5902222222222222, 1.5902222222222224, 1.5902222222222222, 1.5902222222222222, 1.5902222222222222]","[1.7013333333333331, 1.7013333333333334, 1.7013333333333334, 1.7013333333333334, 1.7013333333333334, 1.7013333333333331, 1.7013333333333334, 1.7013333333333334, 1.5902222222222222, 1.5902222222222224, 1.5902222222222224, 1.5902222222222222, 1.5902222222222222, 1.5902222222222224, 1.5902222222222222, 1.5902222222222224]"
radDeg,"[1.27629233817194, 1.2691923155827198, 1.2626856910497364, 1.2567816810486474, 1.2514888142719518, 1.2468148738554579, 1.2427668430071563, 1.2393508548754202, 1.1289745894566559, 1.1327235908815871, 1.137163534626478, 1.1422863638650762, 1.1480829373800152, 1.1545431072839747, 1.1616558025048391, 1.1694091165419367]","[1.235862138024148, 1.2339185652761666, 1.232620722792342, 1.231970651344211, 1.2319693763573571, 1.2326168998450744, 1.2339122003925045, 1.2358532411915297, 1.125133808078784, 1.123001354996339, 1.1215779339883432, 1.1208662463201342, 1.1208676477240005, 1.1215821355269533, 1.123008348676156, 1.1251435806614607]","[1.2393386863413565, 1.2427521800735541, 1.2467977388833023, 1.25146923305483, 1.2567596826252072, 1.2626613074978645, 1.2691655817986927, 1.276263291637861, 1.1693774142632052, 1.1616265930925271, 1.1545164390395708, 1.1480588554982216, 1.1422649100825726, 1.137144746884549, 1.132707503008481, 1.1289612308755108]","[1.504098695113201, 1.4980791196491476, 1.4925709795319329, 1.4875799559278753, 1.4831112695080555, 1.4791696543438586, 1.4757593337155883, 1.4728839981115507, 1.3622848299549388, 1.3653931913948518, 1.3690785745679064, 1.3733363341240947, 1.3781611650893897, 1.3835471348478938, 1.3894877181107739, 1.3959758344128137]","[1.4699498325178357, 1.4683162535519019, 1.4672258336393031, 1.4666797842340757, 1.4666787133492667, 1.4672226221781703, 1.468310905087687, 1.4699423529838969, 1.3591037235691548, 1.3573390039528552, 1.3561616345171115, 1.3555731456741251, 1.3555743043676887, 1.3561651090864364, 1.357344789873683, 1.3591118133337103]","[1.472873759632935, 1.4757469865775645, 1.4791552119698974, 1.4830947474553597, 1.4875613718056007, 1.4925503529102788, 1.4980564719603715, 1.5040740495456777, 1.3959492790853176, 1.3894632996495946, 1.383524882109628, 1.3781411048254018, 1.3733184908288527, 1.3690629703363235, 1.3653798457904827, 1.3622737598907861]","[1.733750683751401, 1.7285314467549278, 1.7237602173139277, 1.7194407249247707, 1.7155763817529432, 1.7121702695967533, 1.7092251279214168, 1.7067433430688963, 1.596009125608017, 1.5986629234411094, 1.6018114780797954, 1.6054518786286553, 1.6095807878565727, 1.6141944571338478, 1.6192887429379268, 1.6248591247636575]","[1.7042120553199178, 1.7028033363681732, 1.7018632349756322, 1.701392527943904, 1.701391604861017, 1.7018604664913988, 1.7027987247727134, 1.7042056044195886, 1.5932949226268416, 1.5917899633268777, 1.5907861952477103, 1.5902845674268942, 1.590285555038666, 1.5907891571469066, 1.5917948967095752, 1.5933018228345575]","[1.7067345081500216, 1.7092144681152484, 1.7121577935704209, 1.7155620995807297, 1.7194246480481643, 1.7237423584968565, 1.7285118200345775, 1.7337293043850406, 1.6248363117707, 1.6192677913376001, 1.6141753854016194, 1.6095636130233522, 1.6054366162078948, 1.6017981419997764, 1.5986515259830738, 1.5959996773507776]"
effarea,"[33.30840699779329, 33.34069600407303, 33.37028639449297, 33.39376210109429, 33.41228349158372, 33.42863906583687, 33.44280438743248, 33.45180407432007, 33.642826850714364, 33.6375895702892, 33.631387057185485, 33.62182094411354, 33.60761417744648, 33.59178100872732, 33.57551195019355, 33.56195695875135]","[33.44813685454763, 33.44609383738274, 33.444729589775065, 33.44404625691381, 33.444044916691254, 33.44472557122372, 33.446087146834834, 33.44812750250162, 33.648192345908335, 33.65117134045126, 33.65315983128841, 33.65415404480585, 33.65415208707252, 33.65315396182255, 33.65116157041966, 33.64817869380472]","[33.45179128317346, 33.442855697607186, 33.428699026444924, 33.412352012365346, 33.3938390804342, 33.3703972843739, 33.34081758218204, 33.30853909367179, 33.56201238332397, 33.575563016528804, 33.59184636967283, 33.607673199500574, 33.62187352498418, 33.63141330328729, 33.637612044727945, 33.64284551238653]","[32.44278487007765, 32.48297873255135, 32.5118832223497, 32.538074094000905, 32.5615239515363, 32.58162682481623, 32.597136052117754, 32.610212310426576, 33.063428469928674, 33.048209025353486, 33.03016431400802, 33.00931708088133, 32.98569330067415, 32.9655234187335, 32.94682241375702, 32.926397770269475]","[32.62355611181464, 32.63098519261356, 32.635944131118755, 32.638427417960855, 32.63843228805893, 32.635958735986186, 32.631009516000205, 32.62359012673716, 33.07806687963605, 33.08486213566989, 33.089395732218826, 33.0916617762545, 33.09165731457155, 33.08938235298965, 33.084839856315675, 33.07803572906634]","[32.61025887229257, 32.5971922036035, 32.58169250487538, 32.5616106525812, 32.53817161595228, 32.511991462511084, 32.48309757845492, 32.44296594555345, 32.92648136665887, 32.946899283273666, 32.9655934705366, 32.98579152157987, 33.0094044468612, 33.030240716878886, 33.0482743693265, 33.06348267219282]","[31.07217660888217, 31.117828788982653, 31.159562288704628, 31.19714801122922, 31.229591504111433, 31.258187871095856, 31.282914112718878, 31.303750194199665, 31.957877516511385, 31.942094166517965, 31.92019632237173, 31.892170750883594, 31.860384402326087, 31.82486613547126, 31.785647849168143, 31.759781272612127]","[31.325001882368962, 31.336828928066442, 31.3447216465651, 31.348673516146672, 31.348681265984542, 31.3447448896609, 31.336867645193216, 31.325056041570047, 31.974020123559626, 31.982970805130382, 31.988940673184448, 31.991924083361233, 31.991918209582128, 31.98892305741467, 31.98294146404615, 31.973979084867057]","[31.30382436867509, 31.283003608224366, 31.258292614865628, 31.229711411565802, 31.197282986309997, 31.159718498114906, 31.118000462078317, 31.072363612209323, 31.759877005727574, 31.785809144763192, 31.825012958928674, 31.860516622533662, 31.892288248411234, 31.920298989992755, 31.942161952415958, 31.957933709620363]"
readnoise,"[6.376, 6.965, 7.532, 7.668, 7.612, 7.067, 6.626, 7.594, 10.344, 7.933, 9.009, 9.828, 9.968, 9.924, 9.026, 7.843]","[6.096, 6.341, 6.072, 6.139, 6.088, 6.138, 5.97, 5.879, 6.078, 6.064, 6.23, 6.37, 6.435, 6.404, 6.29, 6.229]","[12.101, 13.061, 13.886, 13.992, 13.329, 12.531, 11.025, 9.146, 9.761, 13.613, 15.689, 16.394, 17.034, 16.751, 15.683, 13.806]","[6.28, 6.29, 6.326, 6.362, 6.356, 6.262, 6.155, 6.006, 6.161, 6.393, 6.215, 6.283, 6.442, 6.323, 6.542, 6.291]","[6.284, 6.561, 6.573, 6.954, 6.598, 6.422, 6.223, 6.022, 6.233, 6.112, 6.392, 6.183, 6.356, 6.333, 6.281, 6.284]","[6.565, 7.245, 7.627, 8.065, 7.729, 7.269, 6.653, 6.903, 7.302, 6.43, 7.197, 7.527, 7.494, 7.54, 6.906, 6.345]","[8.364, 8.536, 8.609, 8.563, 8.434, 7.994, 7.625, 8.612, 8.406, 6.799, 7.079, 7.182, 7.567, 7.434, 7.345, 7.388]","[6.569, 6.299, 6.297, 6.382, 6.401, 6.544, 6.211, 6.067, 5.885, 6.099, 6.184, 6.172, 6.279, 6.224, 6.183, 6.103]","[6.146, 6.136, 6.215, 6.466, 6.164, 6.262, 6.01, 5.997, 6.017, 6.178, 6.302, 6.382, 6.582, 6.237, 6.256, 6.376]"
gain,"[1.40712, 1.42047, 1.4454, 1.41409, 1.40984, 1.40567, 1.41382, 1.41461, 1.38458, 1.44594, 1.43726, 1.47301, 1.46242, 1.47564, 1.46331, 1.45853]","[1.34477, 1.38372, 1.38811, 1.39419, 1.38591, 1.37606, 1.38584, 1.37317, 1.34771, 1.35704, 1.36492, 1.38409, 1.38931, 1.40677, 1.39902, 1.40602]","[1.36455, 1.35924, 1.36403, 1.38487, 1.37801, 1.38135, 1.38365, 1.35331, 1.38907, 1.46415, 1.45816, 1.45809, 1.45083, 1.4541, 1.45561, 1.44747]","[1.47364, 1.48448, 1.47388, 1.47482, 1.46928, 1.47114, 1.4629, 1.43895, 1.47822, 1.46027, 1.45541, 1.47679, 1.51559, 1.48336, 1.48237, 1.50985]","[1.45209, 1.43645, 1.44572, 1.45897, 1.45479, 1.44765, 1.42518, 1.40711, 1.46547, 1.4202, 1.41158, 1.42722, 1.45604, 1.44554, 1.43456, 1.45981]","[1.45404, 1.47171, 1.45526, 1.44722, 1.44239, 1.43263, 1.42286, 1.21417, 1.42645, 1.43299, 1.42003, 1.42023, 1.41646, 1.41873, 1.4398, 1.42813]","[1.43044, 1.43981, 1.43249, 1.44201, 1.42614, 1.44454, 1.43672, 1.38854, 1.16371, 1.41121, 1.38939, 1.37697, 1.39552, 1.38619, 1.38796, 1.39209]","[1.43288, 1.43493, 1.42924, 1.43209, 1.42805, 1.43224, 1.42849, 1.4082, 1.30534, 1.45006, 1.45068, 1.44613, 1.45918, 1.46264, 1.45866, 1.45714]","[1.47733, 1.46631, 1.45475, 1.472, 1.44525, 1.46763, 1.43802, 1.45349, 1.43318, 1.46942, 1.47712, 1.4867, 1.50438, 1.47947, 1.47722, 1.49615]"
saturation,"[69793.0, 69301.0, 68524.0, 81730.0, 69967.0, 81012.0, 69961.0, 31871.0, 66953.0, 64385.0, 72284.0, 71029.0, 71216.0, 70664.0, 79572.0, 70836.0]","[65188.0, 63591.0, 63198.0, 72723.0, 62978.0, 63188.0, 56070.0, 56216.0, 48301.0, 71001.0, 66818.0, 82443.0, 79096.0, 58552.0, 58868.0, 65730.0]","[70923.0, 79440.0, 78748.0, 77644.0, 77206.0, 76529.0, 76099.0, 77094.0, 87881.0, 84620.0, 119647.0, 85545.0, 86266.0, 86669.0, 87312.0, 98874.0]","[94736.0, 84227.0, 84668.0, 84795.0, 85100.0, 95098.0, 95639.0, 97080.0, 89856.0, 90460.0, 90814.0, 89556.0, 87655.0, 89244.0, 89147.0, 87229.0]","[96764.0, 97431.0, 86494.0, 95922.0, 95868.0, 96008.0, 97227.0, 98219.0, 79556.0, 91867.0, 92431.0, 91873.0, 90477.0, 91001.0, 91710.0, 90401.0]","[92786.0, 91317.0, 91672.0, 91681.0, 91636.0, 103253.0, 103650.0, 105311.0, 96230.0, 96576.0, 87125.0, 87665.0, 88195.0, 98931.0, 98411.0, 99300.0]","[88452.0, 78787.0, 79087.0, 78624.0, 79316.0, 78340.0, 70366.0, 72348.0, 99661.0, 75294.0, 68036.0, 76964.0, 67961.0, 76224.0, 76122.0, 75946.0]","[78197.0, 77872.0, 77882.0, 77566.0, 77582.0, 77295.0, 77258.0, 78028.0, 113910.0, 79718.0, 71404.0, 71674.0, 63819.0, 63835.0, 71627.0, 72000.0]","[84863.0, 85329.0, 85544.0, 84448.0, 85035.0, 84140.0, 95945.0, 94660.0, 98864.0, 97529.0, 97519.0, 97193.0, 96634.0, 87480.0, 87988.0, 98439.0]"
