,R42_S00,R42_S01,R42_S02,R42_S10,R42_S11,R42_S12,R42_S20,R42_S21,R42_S22
u,"[24.090341993100573, 24.087647249927752, 24.095374983033174, 24.09619591253091, 24.089540272105577, 24.096221828476388, 24.108732160843036, 24.039834943150396, 23.80741645267274, 23.993430285631426, 23.96289009085334, 23.96398996165078, 23.967213857887515, 23.953789507814083, 23.981406974336878, 24.004747092324756]","[24.023618426132053, 24.03535607285855, 24.0269604028376, 24.02232117819835, 24.010731841917078, 24.015647348479575, 24.018827980055626, 24.04596895977993, 24.02519962022766, 24.00294455473977, 23.98911052151662, 24.004964308055534, 24.002157045141196, 24.002998243330836, 24.01957148025533, 24.003195535328143]","[23.677415801046983, 23.608152767227274, 23.55416893425233, 23.538397533620337, 23.571386206632564, 23.638515040241053, 23.731537192374006, 23.860657873686577, 23.79019215483417, 23.544007698131068, 23.44270999327536, 23.38883846746532, 23.34825562724714, 23.3738183299411, 23.43889192728431, 23.56307627206664]","[24.0616248045204, 24.064442705522946, 24.05855295174883, 24.064131227868124, 24.050491842329734, 24.053848633228412, 24.058616839166124, 24.10142246867426, 24.101918096488994, 24.064458691954705, 24.07896008617373, 24.083385637034638, 24.07704459594925, 24.07589883862444, 24.072610386155816, 24.054815299435496]","[24.03280277834619, 24.01876687114107, 24.00158639134016, 23.998943577152385, 23.994340732414045, 24.001692442141675, 24.014153296680114, 24.044409061681765, 24.048382420537358, 24.031231041564084, 24.024434866009592, 24.037727088635357, 24.03292976420814, 24.035031683372587, 24.03982186543253, 24.027086398547997]","[23.89929172957556, 23.878255880766233, 23.860657667709464, 23.843351790041154, 23.835174058451436, 23.83775169097258, 23.858809394132788, 23.822001697372606, 23.80512001399972, 23.88974318140457, 23.88047414516953, 23.875893769062664, 23.87745663382408, 23.893186936482163, 23.895898144333984, 23.91373199880216]","[23.83866863385978, 23.8199865407418, 23.815418187983365, 23.81963109509715, 23.818451405889626, 23.85991448832845, 23.898749568642323, 23.8320750856467, 23.843008650460867, 23.984018111218518, 23.952637303629057, 23.94760276880691, 23.9378753266626, 23.93510256749755, 23.938699819243414, 23.914053653646548]","[23.93976755996084, 23.919580042471125, 23.933931923266833, 23.918545573409155, 23.912219002617626, 23.91323946123, 23.9194080688837, 23.946806338979638, 23.98848316015077, 23.939854342968076, 23.940157606755626, 23.951561407142407, 23.950591516268368, 23.953088134410528, 23.956805945035317, 23.9559259101732]","[23.947376273625245, 23.94207432135264, 23.93724935455383, 23.935306861973974, 23.91850297967372, 23.92148203256843, 23.92638736838187, 23.94428388571668, 23.974573165723342, 23.94671744673812, 23.942938549352352, 23.953118531749425, 23.93330885055366, 23.95708334378609, 23.95558204327739, 23.957043045343386]"
g,"[24.897370611899415, 24.897061829497474, 24.902504639604214, 24.902920569180786, 24.900897209130022, 24.904390080683115, 24.91062516556142, 24.887554653128078, 24.78842717585467, 24.86910246011589, 24.855561061349675, 24.854945447476908, 24.85506235656908, 24.847896497328264, 24.858854637505253, 24.866740898218946]","[24.918219921118183, 24.924682550166523, 24.923697764060194, 24.924608141839983, 24.921877043599185, 24.924635800669154, 24.92649520767334, 24.935316284162965, 24.929093706386922, 24.921071216586032, 24.915781989270613, 24.92107060079185, 24.91958165893325, 24.917514101262576, 24.9206849429884, 24.91317088041399]","[24.728178452011946, 24.68986029227859, 24.660045607096734, 24.653515635288738, 24.675570252262794, 24.71523279178752, 24.76622288502794, 24.830525169916328, 24.79739419171009, 24.663543435006183, 24.59884543077516, 24.5618686770688, 24.532476355314188, 24.54581072929708, 24.586399764480355, 24.66184666141573]","[24.89677531265355, 24.896770351487476, 24.89517514395982, 24.898849752033268, 24.895611864834596, 24.898044155273823, 24.900819825207872, 24.916390478295604, 24.922477231738775, 24.90733651866588, 24.910850747666203, 24.910928900975694, 24.90723407644862, 24.90480543175855, 24.903415642892544, 24.899851984103325]","[24.906744388417255, 24.903232378706118, 24.89957326970322, 24.900286495665018, 24.90038949078377, 24.9041639242994, 24.908600480069822, 24.920431115015415, 24.926635401666847, 24.919747658071348, 24.917196851841254, 24.920368073350467, 24.917858683184615, 24.916212869079363, 24.915604780445644, 24.909782987450818]","[24.893197782865307, 24.889272496948383, 24.88609085887765, 24.881945086574316, 24.880233703188445, 24.88104772249309, 24.888520015660422, 24.875381399959085, 24.874820280145883, 24.90353531721439, 24.901767209000415, 24.899201980009863, 24.89856257683236, 24.902808078854367, 24.901866054010725, 24.904169671694536]","[24.796614656664815, 24.787166954932076, 24.785789278100854, 24.789609906785305, 24.790543903590272, 24.810259720931118, 24.826925262235715, 24.800611618298, 24.809461903517967, 24.864803403142226, 24.851288272115877, 24.84761254034803, 24.842207742868048, 24.83985097150898, 24.84122182301413, 24.833643080632534]","[24.888636142944833, 24.88562927103414, 24.8915968234189, 24.88794646335742, 24.887130975581357, 24.88973818351411, 24.89273414804974, 24.900307669290772, 24.928585313170256, 24.90577277144806, 24.905238101328997, 24.90737065448286, 24.905489340510645, 24.904474856655018, 24.90450415899456, 24.901579124763717]","[24.852385822250014, 24.852080269163793, 24.850944631732993, 24.851106413229022, 24.846005149009972, 24.847780263793883, 24.849561325566988, 24.85844304799788, 24.872470880282464, 24.861931835908603, 24.860738833341276, 24.863682694428313, 24.85638865138458, 24.863828491488658, 24.86219069878763, 24.861525779584227]"
r,"[24.426967305891353, 24.428252819456088, 24.43088292122831, 24.43040618434188, 24.42881625368849, 24.430366850705553, 24.43353652512713, 24.420829598438004, 24.364578710687912, 24.41145243457948, 24.40417668678934, 24.404172869617355, 24.40462587742887, 24.400812679687053, 24.40748786856524, 24.410656959589506]","[24.42715566063346, 24.43075921510436, 24.429613790184384, 24.42987391258964, 24.42731591650311, 24.428110950564616, 24.42848277624861, 24.43265925290369, 24.430480284632, 24.426244102409843, 24.423752341145484, 24.42778896374257, 24.428069205472795, 24.427007405325384, 24.429155451046583, 24.425376094106092]","[24.3266952538127, 24.301871814358734, 24.281660450698286, 24.276470197077614, 24.29021206445713, 24.31435333477753, 24.344961318922266, 24.38252615601206, 24.364095914002103, 24.28137368238894, 24.239020171521798, 24.214982158905627, 24.19574767058434, 24.205447630636666, 24.23466970933147, 24.285140607488838]","[24.42076800773479, 24.4227620268303, 24.42199516946188, 24.424110736417013, 24.422012397006696, 24.422970467424385, 24.42380848277128, 24.431872476788485, 24.43943149488235, 24.430949597073862, 24.433142890778004, 24.433593380916022, 24.432033340873982, 24.430577912695874, 24.429773691732482, 24.42647855275177]","[24.42615806071003, 24.423327706540793, 24.420915819046712, 24.420594303999724, 24.420212300321232, 24.42166094080313, 24.422791754497766, 24.429124677204943, 24.436198346572283, 24.431931814255638, 24.43150078244416, 24.433931623038276, 24.43369181762274, 24.432936007259322, 24.4329144397489, 24.43066265788935]","[24.400219645210747, 24.39755271664123, 24.39529479217758, 24.392227102466514, 24.39065561584421, 24.390532894647905, 24.395309271078563, 24.38921024442839, 24.39249179578581, 24.406667863013826, 24.405820521194137, 24.404079926217374, 24.403819232820755, 24.40718098831058, 24.407684339118727, 24.40934246205082]","[24.354307409310955, 24.351451079062834, 24.350902819824483, 24.353127370066424, 24.353006902539136, 24.364583491775484, 24.373626864356844, 24.358341807433955, 24.369451861868377, 24.401342387295514, 24.3941515177154, 24.392252220020993, 24.389032404361785, 24.38767279138112, 24.38825348032363, 24.381442531406442]","[24.391344512451404, 24.38933329587922, 24.39196281924216, 24.38993146616575, 24.38893512313051, 24.389728713085447, 24.391018666140482, 24.394963663972717, 24.421868343365176, 24.404123905407285, 24.40419316084258, 24.40568686327657, 24.40469816481447, 24.404492921213933, 24.405326715044133, 24.404181687444584]","[24.387433749703376, 24.386450802356094, 24.384377475325397, 24.383360490149492, 24.379377757294588, 24.379260146572086, 24.37866929276289, 24.382483233855975, 24.397051074521645, 24.392201854549143, 24.392878995398572, 24.39534188338113, 24.392587707408666, 24.397610497340292, 24.397818083599716, 24.398547533499855]"
i,"[23.994444855994733, 23.99658697708937, 23.99877239161074, 23.998621793632623, 23.997472582200935, 23.99851145972078, 24.000744919459386, 23.99144909323349, 23.954977783366843, 23.98900631128558, 23.98360635718449, 23.983414250244234, 23.983532194200695, 23.98029389402475, 23.984523549134817, 23.98589731577153]","[23.999688815309156, 24.002524325330892, 24.00159177660786, 24.0019411819019, 23.999889690252715, 24.000437836919133, 24.000798978505873, 24.00391603787746, 24.0068693942519, 24.00353696587326, 24.001443560209374, 24.004296007480377, 24.004674430392598, 24.003592163387363, 24.005163214642792, 24.002470804782718]","[23.921822334747464, 23.904491147237206, 23.890190524952697, 23.887199389332025, 23.89869291966434, 23.9171512574217, 23.93966828993429, 23.966130886445825, 23.95687216162364, 23.89658559350919, 23.86436722719247, 23.84570334958379, 23.830311026696762, 23.836570900103624, 23.858541688028488, 23.895681493312118]","[23.985781563803496, 23.988717903722943, 23.988720177986977, 23.990710139852126, 23.98918193945443, 23.98967397838183, 23.9899258846413, 23.995563465736186, 24.003074784549966, 23.99713885490809, 23.999046603503444, 23.999672580795878, 23.998830759470643, 23.997528210229515, 23.99625010135018, 23.992558739601115]","[23.99204853802015, 23.98980428461315, 23.988279238433186, 23.98806659180243, 23.988015140251193, 23.989138240143717, 23.989641187468166, 23.994538028161077, 24.00182707450977, 23.99781375449473, 23.99768209005869, 23.99943315898796, 23.99955044203631, 23.998640875468347, 23.998378140097188, 23.99699883121166]","[23.97446514290779, 23.972329487842213, 23.970664606563886, 23.968394889286905, 23.96729317564792, 23.967027782475434, 23.970182393107166, 23.96428879559168, 23.97059320440981, 23.980740721725937, 23.98016443620351, 23.978391416793226, 23.97788784723651, 23.980401180584156, 23.981176246425786, 23.98276806477625]","[23.93384385201765, 23.93374670656874, 23.934069645886225, 23.936245185174794, 23.93616043059513, 23.945081547809437, 23.95163468570754, 23.940723002051605, 23.949176704327527, 23.97273221205748, 23.967573493672315, 23.96615171447116, 23.963431328301596, 23.96199174139474, 23.961763547596277, 23.955143473735866]","[23.963561485007048, 23.962043186681633, 23.963695074698983, 23.962707525896192, 23.961924028956187, 23.962007081223973, 23.963026402243187, 23.96621110924415, 23.989635958218877, 23.973244208723976, 23.97313655697765, 23.97406252663273, 23.9731899762918, 23.97297106435161, 23.973893785651452, 23.97324540805672]","[23.96921295345295, 23.96878741226533, 23.967289626900858, 23.966758991116482, 23.96399933942947, 23.96382894805185, 23.962673746437083, 23.964520910517045, 23.976875711965995, 23.974319582371866, 23.97524271781822, 23.976701771816415, 23.974628414713656, 23.97777342531638, 23.977585251844378, 23.977784118112524]"
z,"[23.429931966693456, 23.432417842060524, 23.434712338381562, 23.43467484359853, 23.433710863972607, 23.43445904024957, 23.43609751171107, 23.429951903764156, 23.409800746251232, 23.43267903592141, 23.42889347971985, 23.428528853496807, 23.428274713910337, 23.425687320564517, 23.428051163197765, 23.427969352681743]","[23.442009760573924, 23.44453458803455, 23.44410340641985, 23.444845707776658, 23.44365100546578, 23.444218521249844, 23.44476770443066, 23.447125690082864, 23.454088606498253, 23.451289181449525, 23.449227987888314, 23.451218863183055, 23.451698029735358, 23.45037708542209, 23.45105916159199, 23.448686090005285]","[23.383126952131434, 23.371688230929692, 23.362209953530453, 23.36098269940773, 23.37013761664265, 23.38330220616092, 23.398678324510882, 23.416147453189343, 23.41407883357595, 23.373299828334662, 23.35034393251255, 23.336770204664127, 23.32536881661799, 23.328524212083714, 23.344017005685167, 23.36929249887509]","[23.42073544988912, 23.423523748014805, 23.42397691166053, 23.42565523237561, 23.4245536365915, 23.424689601703182, 23.42458189965506, 23.428432117832724, 23.436954087949275, 23.432496580332177, 23.433970896662075, 23.43452799331362, 23.43404109931102, 23.43277543839739, 23.431548605014164, 23.428891866193663]","[23.427279190706113, 23.425793087819372, 23.42505791174314, 23.424997588738247, 23.425209984681153, 23.426139324424316, 23.426056261708496, 23.42992770389237, 23.43896763012721, 23.435132329664313, 23.43486952594161, 23.43572752311004, 23.435954522749817, 23.434798022445754, 23.43450608902075, 23.43359398188414]","[23.423908639645184, 23.42359890589063, 23.423341401210138, 23.422296873784163, 23.42227810107634, 23.422559634460633, 23.42509963469773, 23.42023218355686, 23.428618110392424, 23.435141048463947, 23.43438528068929, 23.43187491630509, 23.430419365663553, 23.43164715723726, 23.431603097298165, 23.431490499550723]","[23.381299928163223, 23.382681424854724, 23.38360741338479, 23.38560279600931, 23.385428777461414, 23.391758693931376, 23.395884695364764, 23.388537692084576, 23.394377774914087, 23.41039658568723, 23.406682671121146, 23.40555492427445, 23.40341553670131, 23.402131706437125, 23.401559101048747, 23.3962355031659]","[23.40981198070008, 23.409379395386836, 23.410525357641355, 23.41042472862112, 23.41014340883551, 23.410603014807773, 23.411666997049988, 23.41373121461545, 23.432149621254933, 23.417290495597843, 23.416965801083368, 23.41704868828304, 23.41621233133658, 23.41608410611888, 23.417229357050374, 23.416953771223884]","[23.419593365221747, 23.419981308439596, 23.419223133053414, 23.419364506831506, 23.41805280940762, 23.418356114405185, 23.417153945024094, 23.418266450261356, 23.427030103991818, 23.425426111964747, 23.426373567132156, 23.42678153525339, 23.4249877359744, 23.426372551104798, 23.425612646389183, 23.425180558900212]"
y,"[22.596097614688553, 22.597715125708383, 22.600181638251723, 22.600243414797326, 22.59913565554896, 22.600109161550858, 22.60138843369053, 22.597680193088543, 22.58615162717299, 22.6036612377059, 22.60150164744608, 22.600533074614532, 22.59945994744116, 22.597631807261916, 22.59974160852981, 22.60093617165932]","[22.618591824018523, 22.620045650142238, 22.619877627702273, 22.62030429289168, 22.620121797290405, 22.620161700184248, 22.620115912514265, 22.62172901782646, 22.628266158963413, 22.626377017108673, 22.62619616321441, 22.629089196109334, 22.630555083424113, 22.628972704272233, 22.628922526131856, 22.627591838458805]","[22.56531850611188, 22.558093579953855, 22.5513818189441, 22.550519209691572, 22.55742729444045, 22.56593671283359, 22.575435906273945, 22.587407871222855, 22.590425375162393, 22.562246461756168, 22.54572321634801, 22.535571375627818, 22.528134328698492, 22.530292888963928, 22.540552096502708, 22.55599872723333]","[22.603569669680596, 22.605600872597726, 22.60625135174378, 22.607590905943702, 22.607442447785765, 22.60852309466512, 22.60891110816676, 22.612025606385604, 22.617006234457925, 22.61508613088518, 22.616687038617947, 22.616788697427026, 22.616155879034185, 22.614859216382776, 22.613406366758284, 22.612258777367366]","[22.603754304622147, 22.600973898495468, 22.599988383711782, 22.59974750736114, 22.60048158565032, 22.60252744730996, 22.601213289314394, 22.603684277715313, 22.60865558524629, 22.604719317197862, 22.60488672455429, 22.60491879581899, 22.605151041908854, 22.60364507296828, 22.603633649472137, 22.60344942091135]","[22.60816070350328, 22.609433395679414, 22.609651628446315, 22.60855643758414, 22.609251806329738, 22.610096267014434, 22.611915420512453, 22.6074696939597, 22.616594835295054, 22.620780823861914, 22.620348328456323, 22.617207299551286, 22.61472445829186, 22.61528621194432, 22.61435467038847, 22.612444728644746]","[22.56080987229062, 22.562960603846502, 22.56462035897841, 22.565841138412928, 22.564935628981445, 22.569199096095424, 22.57151820209778, 22.565039694926618, 22.574923467234605, 22.586234480114683, 22.5834758295301, 22.58168398753709, 22.579203684095063, 22.577870810780446, 22.576909630214953, 22.572954459435135]","[22.572909050892832, 22.575576713090335, 22.576689914978473, 22.577137971085406, 22.57715583393659, 22.578094090053682, 22.579278644310072, 22.580503422836248, 22.59861615097107, 22.584929560934917, 22.584984162787755, 22.584674134724796, 22.58473766326825, 22.585348390882864, 22.58624957795044, 22.585156870525076]","[22.6077131468042, 22.607696127383953, 22.606644613303324, 22.60645553184019, 22.605978604381853, 22.606546827504125, 22.603893234002683, 22.60399756877115, 22.61438941634355, 22.61427228336737, 22.61619044951828, 22.6154738728179, 22.613637277279267, 22.61422474921948, 22.61410604186601, 22.61432056545741]"
fS,"[1.2638672560587798, 1.2671149569563205, 1.27411485606084, 1.2741815816934854, 1.2703862452485561, 1.2741316369206102, 1.280962917454957, 1.252542226476416, 1.1621275661476227, 1.2460501300347113, 1.2321693658008668, 1.2311250581276638, 1.2306723501433283, 1.222815802005355, 1.2344636143446392, 1.2413772680733726]","[1.2840816103446597, 1.291544777127799, 1.2890238328913353, 1.2893882266218397, 1.2849548532007826, 1.2868666322285844, 1.2881058101138136, 1.2987749295411035, 1.304572056689306, 1.2943325202420661, 1.2888259687862973, 1.2978687215524827, 1.2990582265281814, 1.2960283392406247, 1.3005252242041752, 1.292420908640835]","[1.09342834969148, 1.0621545786083797, 1.0372948320026276, 1.0324598404933698, 1.052675971144991, 1.0853372326613884, 1.127915930954936, 1.1855436946216027, 1.167682917888461, 1.0525799592694023, 0.999478664301432, 0.970207188548373, 0.947923759353936, 0.9565031890187202, 0.9889510271111355, 1.0472492511737181]","[1.2563420168652826, 1.2615780758548647, 1.2609559267012924, 1.2657396909181133, 1.2612123036522127, 1.2636095434251036, 1.2654325683606436, 1.2841423630398283, 1.2986556557864843, 1.281362968666805, 1.2878732407305535, 1.2893785642603852, 1.2861661299590441, 1.2829257793914772, 1.2795264785190774, 1.2713949030153728]","[1.2600632307641142, 1.2525315137419173, 1.2469239722143244, 1.2462239062125073, 1.2461914830490506, 1.2509287379986933, 1.2527590550021879, 1.2669140264806629, 1.2819553821923337, 1.270036322679879, 1.268436140983664, 1.2727953491482755, 1.271940764200369, 1.2695663221004125, 1.2699882627909762, 1.2653487356582198]","[1.2283028240932035, 1.224705115958328, 1.2210629743632577, 1.2154113253093597, 1.2140834792063129, 1.215254596892097, 1.2238820137438613, 1.2079076671547673, 1.2213861990889439, 1.2494112321795552, 1.246836307651378, 1.2407169066234658, 1.2375880886874637, 1.24301381658865, 1.2427574135732145, 1.244576449565708]","[1.1225762432887598, 1.1210919805987491, 1.122214285793118, 1.1262684770838558, 1.1253613970130376, 1.1445443638076727, 1.1595596460067221, 1.132315423408702, 1.1511180757396153, 1.2096933814778748, 1.1956400855419897, 1.191407004219341, 1.1844880014672805, 1.1812283988435524, 1.180864681472627, 1.166852588212712]","[1.1891850808813564, 1.1871244315199847, 1.1925866307595638, 1.189521326270047, 1.187948130140124, 1.1896850102148988, 1.19310095450307, 1.2019846121404825, 1.2521639861794789, 1.2121890668549242, 1.2120275749611944, 1.2143875093850038, 1.213077404779204, 1.2136112851198049, 1.2159878691496253, 1.2138221145417083]","[1.221430334621786, 1.2204330138056902, 1.2172747579250558, 1.2164887353377567, 1.2105946700615897, 1.211780002022591, 1.209142863750214, 1.2149182273270318, 1.2427318824146294, 1.2343825486617415, 1.2364238342754663, 1.2388968542647931, 1.2312390778057547, 1.2390846227584573, 1.2381709074434677, 1.2385353356253135]"
