,R31_S00,R31_S01,R31_S02,R31_S10,R31_S11,R31_S12,R31_S20,R31_S21,R31_S22
u,"[24.146631642043065, 24.17147490622571, 24.181054933045555, 24.173751293743813, 24.201890553404045, 24.20395832463231, 24.208467381132746, 24.215150186220335, 24.232048885795088, 24.24111265539706, 24.232412969071433, 24.225447725457038, 24.210892225492874, 24.207634074274907, 24.199421665944435, 24.194195474941356]","[24.202352244311566, 24.212713556513993, 24.21075762230769, 24.209394394952326, 24.21134293837926, 24.21935642500132, 24.222813666338055, 24.22438959049473, 24.241117262583856, 24.241519577885924, 24.23961453917318, 24.239418156376498, 24.23475970059507, 24.23256719861405, 24.22695389437355, 24.219333310107793]","[24.22823398500841, 24.231687167571852, 24.230804855517416, 24.241734948191883, 24.240096807204182, 24.24689064937701, 24.2369389708784, 24.247116782954798, 24.241516023223326, 24.255861388709455, 24.255612484748763, 24.25464312508396, 24.249825078629197, 24.251221893375508, 24.246572338854833, 24.242699868343877]","[24.137203306387192, 24.14534590471581, 24.146031987174034, 24.154294236640816, 24.174327104324583, 24.156165889462812, 24.170028384099467, 24.18965478515818, 24.17940794579303, 24.17981984634965, 24.17136412882789, 24.16604753629459, 24.137401221862287, 24.1237814636457, 24.129633811749848, 24.17353828683091]","[24.17825253035656, 24.18413268748312, 24.19213969861665, 24.19766258054289, 24.198197322554755, 24.19789192046325, 24.21240180711474, 24.21182351235209, 24.23128990052868, 24.230552121045523, 24.22363027945805, 24.218436286966174, 24.21111885920066, 24.20347381766003, 24.187844436877334, 24.188328356625334]","[24.288518765246934, 24.300172307262457, 24.27677540400505, 24.303388776556382, 24.30388469686785, 24.304962312326754, 24.30290434076286, 24.301722743619877, 24.29671303204057, 24.29635134460684, 24.294962350030932, 24.300252188929818, 24.294597422609087, 24.290972425905064, 24.288915904637225, 24.290464173532275]","[24.141250467723665, 24.145477166226442, 24.15064297341945, 24.164591070023274, 24.170548613073066, 24.17394668063742, 24.18118236312245, 24.190716970374957, 24.19975717654583, 24.21007655319628, 24.205764773650607, 24.1881425699227, 24.182103492326927, 24.17560509972281, 24.16857216995729, 24.166413655589935]","[24.18501250889635, 24.185838352995578, 24.180517047864317, 24.18504307387606, 24.183443534280144, 24.173312874733305, 24.195696483395437, 24.19522772624005, 24.12771377250932, 24.146680003379032, 24.141400759903732, 24.131624822203, 24.153162573499984, 24.14984124838098, 24.180049130467435, 24.184779188060745]","[24.138218829685623, 24.185125642328686, 24.14801868250546, 24.178244231826213, 24.153515968730147, 24.160915600891556, 24.18530371896072, 24.194956862937115, 24.140300536428764, 24.158800592476435, 24.127611567022942, 24.197034912346776, 24.20254666946461, 24.20326187552181, 24.19117996553013, 24.199295914277815]"
g,"[24.962550329427643, 24.967780296823367, 24.96811799428666, 24.96611296985093, 24.973105411506573, 24.973194961190657, 24.974204194198144, 24.97487894268623, 24.975872033060753, 24.9782516081326, 24.976015512611013, 24.974343632783743, 24.97038466507306, 24.97112664756306, 24.969152959084813, 24.968643257181867]","[24.97548238142149, 24.978788952329563, 24.97587750550175, 24.97788868446813, 24.97744602468776, 24.979725470469333, 24.981290405262893, 24.980960451832246, 24.981814523746404, 24.982746942474, 24.982420473847643, 24.98241065784878, 24.980982975719137, 24.979750318269414, 24.978290593832373, 24.975997512223426]","[24.983988217263903, 24.984909041070658, 24.983366456383845, 24.985830567172915, 24.98413407894739, 24.985640916325664, 24.982547028420353, 24.985454638345605, 24.980910917827792, 24.984999320828372, 24.984596356189474, 24.98567039240542, 24.98459842344201, 24.98615982442012, 24.98473427907224, 24.984078104628242]","[24.9575507159048, 24.95935841476383, 24.958092781559092, 24.959707642774752, 24.966582308623433, 24.961178880091587, 24.96588332829332, 24.971482714251458, 24.965769440914837, 24.96670334257041, 24.96271178115755, 24.96178760761298, 24.95242799881434, 24.94823189140105, 24.950576215139026, 24.964822832359346]","[24.974510854226853, 24.976878912048885, 24.978072106573006, 24.994340245921485, 24.97909761320137, 24.979695909591953, 24.982390143993165, 24.98075166299601, 24.984955750022607, 24.98533199224717, 24.98237174007259, 24.982291421469895, 24.97996864933528, 24.977949127461766, 24.974238994258044, 24.97461672326241]","[24.991512504020857, 24.994869756221945, 24.986671132053463, 24.99499155313684, 24.994222610428416, 24.99417490774947, 24.994054775262242, 24.993309413383944, 24.992688707077107, 24.99195311747286, 24.992429647836392, 24.993827400238995, 24.992983755833716, 24.992274855005537, 24.991927048871077, 24.992885013421045]","[24.94952257144734, 24.94990307599579, 24.95194085782433, 24.95547613402765, 24.958215290267308, 24.959165303025433, 24.96126215522794, 24.964471751340547, 24.967809041844244, 24.970045715729697, 24.968248530660933, 24.962904497030525, 24.96112537475973, 24.958278803333076, 24.957144267305402, 24.956140411617337]","[24.964601528787416, 24.96651156744959, 24.96458358401161, 24.96693288904763, 24.966138782500767, 24.965198093250027, 24.970596831998254, 24.971267537771574, 24.95119295911709, 24.95743361639537, 24.955153369824018, 24.950638037627893, 24.95782614559358, 24.955334122254953, 24.965183038095915, 24.966380720240963]","[24.959137861172525, 24.972386827474168, 24.96049414403398, 24.969571523588957, 24.961649149206803, 24.96307139616854, 24.97012282249356, 24.97332277300206, 24.955066062893074, 24.960716141447293, 24.950506058708452, 24.972225905639352, 24.973574094945814, 24.975376441302622, 24.971282071551094, 24.97595401914587]"
r,"[24.491795819418666, 24.494212224347606, 24.493440102022515, 24.4930598840021, 24.49629281125184, 24.496302730556188, 24.49683371803581, 24.49666989113135, 24.4955125512137, 24.496176375266135, 24.49515087216357, 24.49419015664548, 24.49209916202821, 24.49342662230878, 24.492269271219243, 24.492178296583845]","[24.499376509089522, 24.501766846920795, 24.49883154646664, 24.501581346569793, 24.500870203496266, 24.502058051452536, 24.503268636923675, 24.502643382972142, 24.501513321001536, 24.502433274268242, 24.50236276491688, 24.502321819168863, 24.501264867066524, 24.50012384773467, 24.499277054102954, 24.497685356109052]","[24.504752875663115, 24.505543827333177, 24.504164404971817, 24.505143270703748, 24.503609304930915, 24.504255934505455, 24.502631473758107, 24.50401901192273, 24.500413820878272, 24.50239132931762, 24.501906558241483, 24.503229550841056, 24.502697514580348, 24.504194561787003, 24.503257700760216, 24.50304816298499]","[24.487898557419292, 24.48897835387499, 24.487820275852485, 24.488424055151484, 24.49302336281144, 24.490480073069765, 24.493283641263975, 24.49633247823126, 24.492596228367635, 24.493410553958004, 24.49032786128234, 24.490136194703688, 24.48462214730639, 24.482455214037998, 24.483674212471044, 24.491285978372066]","[24.49935297303864, 24.50134103938639, 24.501484405935006, 24.52001641936292, 24.501906874902136, 24.502805415412755, 24.503235549155157, 24.50159826501876, 24.50376911251869, 24.504142876270187, 24.501822051057285, 24.50262437789977, 24.501100467929987, 24.500157271154826, 24.498726676554774, 24.498867939284054]","[24.504113231020586, 24.505924677078568, 24.50118806635215, 24.50580852539632, 24.50497562196193, 24.504779888739748, 24.505169263102502, 24.504484899507915, 24.50461733601043, 24.5038027661556, 24.504611567540067, 24.505185892593385, 24.505130874113867, 24.504960162320142, 24.504833889981214, 24.505557096356124]","[24.478849703373164, 24.479028812560298, 24.480828754188796, 24.48245920847635, 24.48484066260341, 24.485559869676578, 24.486732921081796, 24.489028097380025, 24.492350018248203, 24.49263494489699, 24.491222846279083, 24.488140377504315, 24.486937748826165, 24.484716169990826, 24.484479938766043, 24.4833816989119]","[24.48738884515846, 24.489544416635304, 24.488315436405763, 24.490176405048175, 24.489589374726233, 24.490521275812114, 24.492453323141692, 24.493326555903593, 24.484259288847973, 24.487724171684903, 24.4861680289017, 24.482775879655467, 24.486730579054463, 24.484395556542097, 24.489661374899693, 24.490085273355874]","[24.489735302407144, 24.496661234671944, 24.490018717796126, 24.49492425407862, 24.4905957139313, 24.49100244733382, 24.494457181130755, 24.49619583676417, 24.486728427175088, 24.489707532711037, 24.484145136781862, 24.49551278793957, 24.49584210745568, 24.49781106579134, 24.495109955047777, 24.4988205765004]"
i,"[24.02064048830177, 24.02346535524458, 24.022958754791105, 24.023149608499402, 24.025359816624952, 24.02518721746526, 24.02543012700762, 24.024941360864034, 24.02699224393213, 24.027133681672012, 24.02651344613861, 24.025650219204323, 24.023919128530096, 24.025100760255164, 24.02356620233584, 24.02254221686234]","[24.024055401947752, 24.026332966121736, 24.023310400909786, 24.02618278716197, 24.025450534493373, 24.02648500373687, 24.02778681873306, 24.02734547434301, 24.029526979622993, 24.030220677196745, 24.03007511461982, 24.029955604631517, 24.028942407189863, 24.027823811271105, 24.02702717350191, 24.0254337202019]","[24.029407566827725, 24.030913916860953, 24.03023647485188, 24.03147477770169, 24.0305692982291, 24.031488638920585, 24.030341600698524, 24.030687694565312, 24.030137267237997, 24.03217457823819, 24.03172040428013, 24.032807888283408, 24.0319288050812, 24.032927042196246, 24.031618006535652, 24.03094718206717]","[24.016033084452676, 24.01793135497263, 24.01720732072232, 24.017550673804354, 24.021379574827968, 24.01938944715514, 24.021416227963304, 24.02357099190183, 24.02076848112377, 24.021801574549773, 24.0192169154488, 24.019451589139607, 24.015144643736974, 24.013652280979166, 24.014192408484213, 24.019014648432545]","[24.024955945812867, 24.026925873125975, 24.026864891311874, 24.046071665038408, 24.02735199109115, 24.028560553443977, 24.02864806742761, 24.02738284648342, 24.029766166102792, 24.02975415815522, 24.027320176218737, 24.02809555656403, 24.026589392587788, 24.02582040193642, 24.024965702234198, 24.025051777042222]","[24.02805322770334, 24.030078741725525, 24.026892843697194, 24.031087574363205, 24.030783419504203, 24.030867087699633, 24.03144681598744, 24.03024267134398, 24.030475742641574, 24.0300916758951, 24.030873433437904, 24.030882753595677, 24.03042141619361, 24.029861407085384, 24.029237679986558, 24.029334079802467]","[24.00789501220086, 24.009110626178526, 24.011439005981565, 24.01276669593734, 24.01513593224329, 24.015777055763923, 24.016574028134116, 24.018546636816964, 24.019527707431937, 24.019571874089443, 24.018474785763615, 24.01619854784086, 24.01519474837493, 24.0130914810735, 24.012672809693928, 24.010502821305938]","[24.02069705806995, 24.022887285540182, 24.021787535335896, 24.023466178541984, 24.022985438369474, 24.02453759003692, 24.02564259212626, 24.02671152251088, 24.01781307485743, 24.02030573789295, 24.01889946040065, 24.015747624043286, 24.01879667479762, 24.01659302183387, 24.020656719532198, 24.02101844811331]","[24.022411207650805, 24.028305976086866, 24.02350127867736, 24.02765624074619, 24.024687974465365, 24.02506213999551, 24.027403192218827, 24.028077844327957, 24.019127083657835, 24.02199925351209, 24.01779541801017, 24.02598789081886, 24.025576397050273, 24.027148550537202, 24.024272750946757, 24.026926978857706]"
z,"[23.41692058276961, 23.41970324059179, 23.41909546656108, 23.41957341993288, 23.42075036243357, 23.42032181566743, 23.420276371172065, 23.419462636934277, 23.42360079886617, 23.42360898781274, 23.423532855241668, 23.422896497271317, 23.42153586003347, 23.422751240959222, 23.42109280168154, 23.41962795513114]","[23.41638725653047, 23.41861317840545, 23.415657872031467, 23.418807190406937, 23.418199400700267, 23.419235111172526, 23.4209663040222, 23.42068606120019, 23.425510709843586, 23.425831761451224, 23.4254244580516, 23.425133823062588, 23.424050791190275, 23.42281959404761, 23.42176457749984, 23.419861102863706]","[23.42410786684335, 23.425885614732394, 23.425919512992188, 23.42722346319742, 23.4268546496702, 23.427893555841685, 23.427143580288316, 23.426674810304114, 23.42769489485636, 23.430025928473295, 23.42997935736205, 23.43098608210751, 23.429753177301258, 23.43033599229534, 23.4287979701052, 23.427945204018563]","[23.411413084291357, 23.413651289785747, 23.412976467940677, 23.41284682876416, 23.41610760339453, 23.41423671997199, 23.41540318693651, 23.416604426870883, 23.413697819336285, 23.415289592940947, 23.4134850837649, 23.41430047713908, 23.411235570508346, 23.41060623277389, 23.410748083320545, 23.413292899575836]","[23.417778580719368, 23.41962857188796, 23.419062141397806, 23.438803996675148, 23.419394929763214, 23.420748646586503, 23.42044987635427, 23.41954356036395, 23.420853942222067, 23.42080726616614, 23.41866619637004, 23.419629064961363, 23.418217827490032, 23.41770489792551, 23.417615981307872, 23.41814176062937]","[23.41902688403784, 23.421625462633436, 23.420314141675245, 23.42437375388538, 23.424685558284022, 23.42519859978082, 23.426132334167406, 23.424672562404105, 23.425525988347264, 23.425394305546178, 23.426011063330918, 23.425302778460612, 23.424342129182524, 23.42329185684728, 23.422055860788262, 23.421450656954725]","[23.404876040619946, 23.406772278875863, 23.40927456467535, 23.410174911178366, 23.41243430785112, 23.41286158224114, 23.413275803146863, 23.41489349962639, 23.41232398612655, 23.41250983383196, 23.412191959388544, 23.410887817408117, 23.410153529961327, 23.408244637268492, 23.40779755435849, 23.405012901829735]","[23.421227747937735, 23.42340168391584, 23.422457928149473, 23.424043539176175, 23.42358338480883, 23.425748824126693, 23.426401282227605, 23.427736316600917, 23.41830463456143, 23.419752667313045, 23.41842146363258, 23.415452393244355, 23.41777335670174, 23.415468477311414, 23.418139266184006, 23.418226870973836]","[23.42323611439835, 23.428200433251583, 23.425219628858883, 23.428749066097616, 23.427137363040323, 23.427625089361396, 23.42912901807806, 23.42910046694506, 23.420156023797986, 23.422618614424238, 23.41934737888155, 23.424520500310884, 23.423309752244442, 23.424346253901508, 23.421111368205207, 23.422645033420284]"
y,"[22.458887892506496, 22.46069510471014, 22.459175016255, 22.45984080947382, 22.460057337407687, 22.459516036171106, 22.459078772197756, 22.458396128403287, 22.459519322526216, 22.459841119995353, 22.461209142577026, 22.460566026695126, 22.459941139542074, 22.46176017921441, 22.461124742568316, 22.46119522147047]","[22.454447459168026, 22.456965693751506, 22.45415404312753, 22.457303292179038, 22.45671340812644, 22.458170920625648, 22.45999877628827, 22.46163877224018, 22.463775470200794, 22.463525995999586, 22.463012851355607, 22.462819366231976, 22.462011392693544, 22.46052520917857, 22.458551106347706, 22.455841567342578]","[22.46841084473478, 22.470782579741297, 22.469648578021776, 22.47126079255137, 22.470284207210497, 22.47092935456159, 22.47006286809178, 22.46953731637327, 22.46757016960588, 22.47025453734878, 22.471457501484622, 22.472804686750546, 22.471819247769037, 22.47241731676838, 22.471230323651817, 22.470733158858607]","[22.450228492827968, 22.45145517845283, 22.4504440289409, 22.449783143902746, 22.4484094641251, 22.450671123235473, 22.45065543851569, 22.452055509230092, 22.44819312056351, 22.450269890994175, 22.44870904860496, 22.4493134896489, 22.44654267245427, 22.446437797339104, 22.44710174632386, 22.45095563737607]","[22.45565760475936, 22.457030482461356, 22.454299753677084, 22.47378572165529, 22.45355157260978, 22.45435494407444, 22.453454094067222, 22.452666780654376, 22.451774039946084, 22.452656011477675, 22.451793044991877, 22.453536267250723, 22.452301047516755, 22.452103949028803, 22.45312016787676, 22.456938126460035]","[22.457358792794295, 22.460570556209476, 22.46060183714642, 22.464755911316793, 22.464866409281626, 22.465021706970095, 22.466235455077765, 22.46548915280971, 22.468200562503927, 22.467819425056803, 22.46831708222332, 22.467440624403558, 22.466223260404576, 22.465340925229892, 22.464453050667704, 22.46406836129635]","[22.445449991722032, 22.445984896174295, 22.44771024265482, 22.4479207225243, 22.449586911691497, 22.449733090550033, 22.450339947361297, 22.450820858661313, 22.445379107522555, 22.44682635663598, 22.447711774898316, 22.4478028167018, 22.447563250609036, 22.446163371538468, 22.446894465055216, 22.445714328200154]","[22.469142502125962, 22.471251428633217, 22.470106480421936, 22.472486597189807, 22.47149418095823, 22.47386115012514, 22.476415882587467, 22.47675657892077, 22.46939240260376, 22.468989030209407, 22.46740114331775, 22.464633105600647, 22.466360040721746, 22.463803351282536, 22.465260817156086, 22.46491175714349]","[22.470171033057575, 22.47581802859407, 22.473254852234554, 22.476591749967575, 22.475508291385626, 22.47667480468897, 22.478270854040463, 22.47913128890618, 22.469481077373914, 22.47105517922767, 22.466794408208536, 22.47103991296346, 22.4698894064083, 22.470426482569145, 22.46693521109951, 22.467911864751102]"
fS,"[1.1987246637747606, 1.2089951767532172, 1.2092863943405687, 1.2080745484490265, 1.217780956674778, 1.2176098760691811, 1.2187054753349305, 1.21921375282884, 1.226411090859267, 1.2294039478244587, 1.2273541368800727, 1.2240941471812534, 1.2177703080784124, 1.2198654854566986, 1.2155630199885903, 1.2132766582434542]","[1.2127833313323886, 1.2200212797828165, 1.2137021953805425, 1.2193313250048101, 1.2184910450382416, 1.2229297138886832, 1.2269301172452032, 1.22787632132027, 1.2361680198960654, 1.2369584888271223, 1.2358298843538393, 1.2354525949787463, 1.2323280954307503, 1.2292110746681901, 1.225242378510297, 1.2192576192793727]","[1.2370551804411822, 1.2413677228644813, 1.239418676877359, 1.2449392301370121, 1.2425671467357586, 1.2459428920496853, 1.2411494629001127, 1.2440114017985155, 1.2397057335567503, 1.2482314091467086, 1.2485955126977655, 1.2508162723944678, 1.2476791396302633, 1.2498385595600545, 1.2461030102183828, 1.2439834481325982]","[1.1846194055845634, 1.1894374850118066, 1.1877447936664465, 1.1894586905717666, 1.198113220794531, 1.1926528809853725, 1.1984136826419123, 1.2067451549982011, 1.1974424991666204, 1.2004729211366656, 1.1942173404125476, 1.1937887035955395, 1.1799467634566765, 1.1750787128766027, 1.177649304407859, 1.1966479816240336]","[1.2092975917960436, 1.2141244535041502, 1.2139149595457652, 1.2543553532804017, 1.215363322162815, 1.21733595112457, 1.2203972792059468, 1.2180253856398855, 1.2247887293260102, 1.225368919546687, 1.2200073862705365, 1.2210066361651255, 1.216408038615074, 1.2134113174371608, 1.2092844573939878, 1.2123891104651054]","[1.2422244306459647, 1.250618709019229, 1.239883395659748, 1.2560428067868272, 1.2558830709332014, 1.25647881099591, 1.2575521076925178, 1.2552076739929272, 1.2562196059395587, 1.2552673722210483, 1.2561918057989008, 1.257048455379145, 1.253922493532946, 1.2514782580088788, 1.2494056029509466, 1.2496814651632326]","[1.1720715896057046, 1.1747049410180077, 1.179790037545834, 1.1847213046981726, 1.190177238952796, 1.191795247418202, 1.1949134290517511, 1.1999896755800625, 1.1990183121307663, 1.202821439145072, 1.2011632580065312, 1.1941153157701323, 1.1912963136638974, 1.1861765006358074, 1.1845937186744337, 1.1807598378311173]","[1.2147939958902472, 1.219293753690647, 1.2157997650427443, 1.2207859926159814, 1.2190329765573467, 1.220341037752693, 1.2291194345724246, 1.2306859903119325, 1.197842858469479, 1.204927420073355, 1.2007710374626974, 1.192601625231607, 1.2026265308037503, 1.197157183765292, 1.2103538876628936, 1.2116186074487256]","[1.2074090834669584, 1.229886607692222, 1.2131806411543478, 1.227992065110998, 1.2176085696709262, 1.2206634107787826, 1.2307053737050833, 1.2346987894700063, 1.203033981151683, 1.2119085968672696, 1.1963056833574286, 1.2260197321936217, 1.2260048680147075, 1.2285503590497222, 1.2193207884963604, 1.2254355017276142]"
