,R43_S00,R43_S01,R43_S02,R43_S10,R43_S11,R43_S12,R43_S20,R43_S21,R43_S22
raDeg,"[0.37180555555555556, 0.40008333333333324, 0.428361111111111, 0.45663888888888876, 0.4849166666666666, 0.5131944444444445, 0.5414722222222222, 0.56975, 0.56975, 0.5414722222222222, 0.5131944444444445, 0.4849166666666666, 0.45663888888888887, 0.428361111111111, 0.40008333333333324, 0.37180555555555556]","[0.6065277777777778, 0.6348055555555555, 0.6630833333333332, 0.691361111111111, 0.7196388888888888, 0.7479166666666667, 0.7761944444444443, 0.8044722222222223, 0.8044722222222221, 0.7761944444444443, 0.7479166666666666, 0.7196388888888888, 0.6913611111111111, 0.6630833333333334, 0.6348055555555555, 0.6065277777777779]","[0.8412499999999998, 0.8695277777777778, 0.8978055555555554, 0.9260833333333333, 0.9543611111111111, 0.982638888888889, 1.0109166666666665, 1.0391944444444443, 1.0391944444444443, 1.0109166666666667, 0.982638888888889, 0.9543611111111111, 0.9260833333333333, 0.8978055555555554, 0.8695277777777776, 0.8412499999999999]","[0.37180555555555556, 0.4000833333333332, 0.42836111111111097, 0.45663888888888876, 0.48491666666666655, 0.5131944444444445, 0.5414722222222221, 0.56975, 0.56975, 0.5414722222222221, 0.5131944444444444, 0.4849166666666666, 0.45663888888888887, 0.4283611111111111, 0.40008333333333324, 0.37180555555555556]","[0.6065277777777778, 0.6348055555555554, 0.6630833333333331, 0.6913611111111111, 0.7196388888888888, 0.7479166666666667, 0.7761944444444443, 0.8044722222222223, 0.8044722222222224, 0.7761944444444443, 0.7479166666666666, 0.7196388888888888, 0.691361111111111, 0.6630833333333332, 0.6348055555555555, 0.6065277777777778]","[0.8412499999999999, 0.8695277777777776, 0.8978055555555556, 0.9260833333333333, 0.954361111111111, 0.982638888888889, 1.0109166666666665, 1.0391944444444443, 1.0391944444444443, 1.0109166666666665, 0.982638888888889, 0.954361111111111, 0.9260833333333333, 0.8978055555555554, 0.8695277777777777, 0.8412499999999997]","[0.37180555555555556, 0.4000833333333333, 0.428361111111111, 0.45663888888888887, 0.4849166666666666, 0.5131944444444445, 0.5414722222222221, 0.56975, 0.56975, 0.5414722222222221, 0.5131944444444445, 0.4849166666666666, 0.45663888888888887, 0.428361111111111, 0.4000833333333333, 0.37180555555555556]","[0.6065277777777779, 0.6348055555555555, 0.6630833333333334, 0.6913611111111111, 0.7196388888888888, 0.7479166666666667, 0.7761944444444443, 0.8044722222222223, 0.8044722222222221, 0.7761944444444443, 0.7479166666666666, 0.7196388888888888, 0.691361111111111, 0.6630833333333334, 0.6348055555555555, 0.6065277777777778]","[0.8412499999999999, 0.8695277777777777, 0.8978055555555556, 0.9260833333333334, 0.9543611111111111, 0.982638888888889, 1.0109166666666667, 1.0391944444444443, 1.0391944444444443, 1.0109166666666665, 0.9826388888888887, 0.9543611111111111, 0.9260833333333334, 0.8978055555555556, 0.8695277777777777, 0.8412499999999998]"
decDeg,"[1.2318888888888888, 1.2318888888888888, 1.2318888888888888, 1.2318888888888888, 1.231888888888889, 1.2318888888888888, 1.231888888888889, 1.2318888888888888, 1.1207777777777779, 1.1207777777777779, 1.1207777777777779, 1.1207777777777779, 1.1207777777777779, 1.1207777777777779, 1.1207777777777779, 1.1207777777777779]","[1.2318888888888888, 1.231888888888889, 1.2318888888888888, 1.231888888888889, 1.231888888888889, 1.231888888888889, 1.231888888888889, 1.231888888888889, 1.1207777777777779, 1.1207777777777777, 1.1207777777777779, 1.1207777777777779, 1.1207777777777779, 1.1207777777777779, 1.1207777777777779, 1.1207777777777779]","[1.2318888888888888, 1.231888888888889, 1.231888888888889, 1.2318888888888888, 1.2318888888888888, 1.231888888888889, 1.2318888888888888, 1.231888888888889, 1.1207777777777779, 1.1207777777777779, 1.1207777777777779, 1.1207777777777779, 1.1207777777777779, 1.1207777777777779, 1.1207777777777779, 1.1207777777777779]","[1.4666111111111109, 1.466611111111111, 1.4666111111111109, 1.466611111111111, 1.466611111111111, 1.466611111111111, 1.466611111111111, 1.466611111111111, 1.3555000000000001, 1.3555000000000001, 1.3555, 1.3555, 1.3555000000000001, 1.3555000000000001, 1.3555000000000001, 1.3555000000000001]","[1.466611111111111, 1.466611111111111, 1.4666111111111109, 1.466611111111111, 1.466611111111111, 1.466611111111111, 1.466611111111111, 1.466611111111111, 1.3555000000000001, 1.3555, 1.3555, 1.3555, 1.3555, 1.3555000000000001, 1.3555000000000001, 1.3555000000000001]","[1.466611111111111, 1.466611111111111, 1.466611111111111, 1.466611111111111, 1.466611111111111, 1.466611111111111, 1.4666111111111109, 1.4666111111111109, 1.3555000000000001, 1.3555000000000001, 1.3555000000000001, 1.3555, 1.3555, 1.3555000000000001, 1.3555000000000001, 1.3555000000000001]","[1.7013333333333334, 1.7013333333333334, 1.7013333333333331, 1.7013333333333331, 1.7013333333333331, 1.7013333333333334, 1.7013333333333331, 1.7013333333333334, 1.5902222222222224, 1.5902222222222222, 1.5902222222222222, 1.5902222222222222, 1.5902222222222222, 1.5902222222222224, 1.5902222222222224, 1.5902222222222222]","[1.7013333333333334, 1.7013333333333331, 1.7013333333333334, 1.7013333333333334, 1.7013333333333331, 1.7013333333333334, 1.7013333333333334, 1.7013333333333334, 1.5902222222222224, 1.5902222222222222, 1.590222222222222, 1.5902222222222222, 1.590222222222222, 1.5902222222222222, 1.5902222222222222, 1.5902222222222222]","[1.7013333333333334, 1.7013333333333331, 1.7013333333333334, 1.7013333333333334, 1.7013333333333334, 1.7013333333333331, 1.7013333333333334, 1.7013333333333331, 1.5902222222222222, 1.5902222222222222, 1.5902222222222222, 1.5902222222222222, 1.5902222222222222, 1.5902222222222224, 1.5902222222222224, 1.5902222222222222]"
radDeg,"[1.2867666080473992, 1.295218994049115, 1.3042297345533436, 1.3137873410212002, 1.323879969388563, 1.3344954807920504, 1.3456215003280603, 1.35724547338334, 1.2572654789021158, 1.2447078361794672, 1.2326709909344076, 1.2211703434712273, 1.2102211802371239, 1.1998385990851357, 1.1900374296863057, 1.1808321496701146]","[1.3730875759887848, 1.3858088722170014, 1.3989860572129926, 1.4126063730624494, 1.4266571280917801, 1.4411257322074547, 1.4559997286749606, 1.4712668224176926, 1.3795781364488755, 1.363284194586537, 1.3473866621280348, 1.3318997337570166, 1.316837896521417, 1.3022159007170557, 1.2880487257394857, 1.274351540632412]","[1.4916912354366214, 1.5078170581364383, 1.524296834184801, 1.5411192087482022, 1.558273086274132, 1.575747640393309, 1.5935323215948136, 1.6116168628713976, 1.5283750102867535, 1.5092928743028633, 1.490502884999787, 1.4720162300003028, 1.453844480677905, 1.4359995919337576, 1.4184938997029628, 1.40134011588217]","[1.512996143003753, 1.5201907326960538, 1.5278747706953837, 1.536040911629882, 1.544681509436091, 1.5537886487889347, 1.5633541763574579, 1.5733697316522204, 1.4703519128779394, 1.45962930752248, 1.4493790567325802, 1.439611250252758, 1.4303357719981125, 1.4215622591027701, 1.4133000599303125, 1.4055581913742492]","[1.5870550545706787, 1.5980732860016118, 1.6095128532376113, 1.6213648380768726, 1.6336202642215405, 1.6462701216097608, 1.6593053893239669, 1.6727170570293874, 1.5762090785404868, 1.5619685202124443, 1.5481134402963963, 1.5346542792922737, 1.521601543409902, 1.5089657795655, 1.4967575481448037, 1.4849873935474707]","[1.6907084724755543, 1.7049520715123532, 1.7195426454450962, 1.7344714379166517, 1.7497297918493264, 1.765309161623352, 1.7812011239119216, 1.7973973872307538, 1.7079531182417393, 1.690899785401639, 1.674150316263798, 1.657713921531193, 1.641600005132114, 1.6258181556011726, 1.6103781358234242, 1.5952898710324581]","[1.741474619398668, 1.747728450541116, 1.7544156916219666, 1.761531406630037, 1.7690704252327702, 1.777027359855676, 1.785396622957912, 1.7941724443913403, 1.6891827673113033, 1.6798582069275818, 1.6709600905260442, 1.6624952654457483, 1.6544703822914246, 1.6468918722497083, 1.6397659243436637, 1.6330984627848215]","[1.8061846326600417, 1.8158730015653761, 1.8259478042141069, 1.8364026805022895, 1.8472311770693142, 1.8584267630053932, 1.869982845030156, 1.8818927820924165, 1.7820819522514537, 1.7694998790186365, 1.757282678992338, 1.7454380139841883, 1.733973518302047, 1.7228967811286966, 1.712215327993391, 1.7019366013898078]","[1.897901119346089, 1.9105997573979328, 1.9236301625952512, 1.936985639400522, 1.9506595108729095, 1.9646451289707396, 1.978935884138054, 1.993525214181684, 1.8995932442598802, 1.8842761990760857, 1.869261338037937, 1.8545560007928772, 1.8401676078520228, 1.826103651115933, 1.8123716834503782, 1.7989793072883837]"
effarea,"[33.27024420434394, 33.24363602368449, 33.21674445003121, 33.18998841493659, 33.16852854862468, 33.157399021181796, 33.12998173227465, 33.08522228589487, 33.39206914161881, 33.43601224736957, 33.444782429925866, 33.432693342857206, 33.46227376143867, 33.494873306510925, 33.51886799910395, 33.54140386755325]","[33.01053507329507, 32.95840345089137, 32.916921564133595, 32.86079330982268, 32.81344856298919, 32.77448040538508, 32.69120240627092, 32.617566793525505, 32.97875539545071, 33.058535289095296, 33.12318477356167, 33.16012045746152, 33.18144853936248, 33.22238207583006, 33.26620808730304, 33.31723322660511]","[32.51649976326678, 32.415465379341654, 32.31543580839489, 32.27072583114766, 32.17468300899628, 32.07688797140703, 31.97260820327208, 31.844709707984816, 32.30545183832716, 32.40462228902618, 32.52273574534919, 32.61415868801079, 32.70326942142597, 32.79057684852045, 32.83607056099264, 32.908102284122]","[32.377413699027144, 32.32548814388355, 32.306676497827404, 32.286684593451376, 32.250780870546215, 32.199790920090365, 32.14624370619324, 32.09019511519796, 32.621727557734815, 32.67088076207066, 32.72827087763685, 32.781734982046245, 32.80444270602459, 32.825921545571006, 32.85788039795866, 32.8903898511592]","[32.011131474023124, 31.945601010167003, 31.86090739601721, 31.774444800164627, 31.72301576899224, 31.661137882327374, 31.588154739193786, 31.53089945178892, 32.07430569242004, 32.15399805153369, 32.23156583739969, 32.29007927171134, 32.322034273431136, 32.40702551366868, 32.489913804871996, 32.55167881197853]","[31.4253925299947, 31.31878899986747, 31.196292326956705, 31.065872239300486, 30.7860443249756, 30.27054586887469, 29.438250810064016, 28.333317714977195, 31.293593401579553, 31.424053602884236, 31.524884880530887, 31.597065206110084, 31.687285391286263, 31.75575676736396, 31.854246030422775, 31.9621552525766]","[30.98243347628174, 30.833655894975212, 30.67456756480433, 30.463499342800866, 30.078434712626184, 29.672024508679673, 29.152027645185637, 28.55332809656244, 31.43607036577294, 31.500932120062906, 31.538272437762856, 31.57379447900275, 31.615225453661996, 31.657656763493183, 31.69722593987781, 31.725205471907344]","[27.681915081095468, 26.939620487609464, 26.10945777288851, 25.2060266736125, 24.361385210047906, 23.534953515349272, 22.80065594571503, 22.073092783936048, 29.378159394885078, 30.056499833307576, 30.606362421927184, 30.8881449918686, 31.07022749581343, 31.167114684631475, 31.2578095786654, 31.344105691244813]","[21.16581824833199, 20.468376445854805, 19.574350694904293, 18.172631312802547, 16.756130777710982, 15.33223166832701, 13.917344133797803, 12.335697294829814, 21.06991685513816, 21.938012325376043, 22.845333622270708, 23.820684033906247, 24.88280119597277, 26.09599066587026, 27.20788127869129, 28.22539678339883]"
readnoise,"[6.176, 6.066, 6.162, 6.266, 6.113, 6.032, 6.191, 5.898, 6.011, 6.17, 6.04, 6.285, 6.253, 6.172, 6.348, 6.147]","[5.861, 5.85, 6.118, 5.997, 6.027, 5.912, 5.913, 5.962, 8.005, 6.029, 6.18, 6.231, 6.284, 6.321, 6.137, 6.084]","[11.694, 14.953, 17.262, 17.604, 17.124, 15.118, 11.155, 9.124, 10.067, 12.022, 15.56, 17.226, 18.212, 17.849, 15.317, 12.217]","[8.552, 8.868, 9.514, 9.666, 9.601, 9.124, 8.68, 9.031, 10.381, 9.286, 9.942, 10.596, 10.543, 10.599, 9.939, 8.839]","[6.72, 6.767, 6.697, 6.716, 6.594, 6.552, 6.302, 6.819, 8.745, 8.045, 8.49, 8.559, 9.269, 9.722, 9.034, 8.283]","[6.169, 6.159, 6.204, 6.156, 6.223, 6.078, 6.055, 5.9, 5.573, 6.068, 6.001, 6.336, 6.212, 6.18, 6.143, 6.186]","[6.437, 6.578, 6.561, 6.667, 9.201, 6.767, 6.689, 7.852, 8.647, 7.037, 7.293, 7.318, 7.338, 7.257, 7.351, 7.183]","[8.313, 8.237, 8.118, 8.711, 8.119, 7.918, 7.42, 8.1, 7.721, 6.925, 7.309, 7.155, 7.205, 7.221, 7.208, 7.016]","[5.939, 6.096, 6.188, 6.286, 6.372, 6.126, 6.06, 5.91, 5.953, 6.055, 6.243, 6.189, 6.066, 6.083, 6.607, 5.964]"
gain,"[1.40261, 1.41904, 1.39691, 1.41204, 1.41189, 1.39833, 1.40076, 1.39286, 1.37034, 1.3931, 1.34115, 1.35225, 1.37525, 1.38162, 1.35552, 1.36666]","[1.37213, 1.35811, 1.39481, 1.39072, 1.36963, 1.37287, 1.38808, 1.39314, 1.34531, 1.34633, 1.35971, 1.38251, 1.38345, 1.36132, 1.3599, 1.36847]","[1.32879, 1.33721, 1.33059, 1.3245, 1.32275, 1.32128, 1.317, 1.27248, 1.28062, 1.34455, 1.32946, 1.3192, 1.33337, 1.33659, 1.32858, 1.32261]","[1.40335, 1.3951, 1.39585, 1.4073, 1.41285, 1.38324, 1.37929, 1.34662, 1.17401, 1.33876, 1.36563, 1.38272, 1.36474, 1.36769, 1.36501, 1.17198]","[1.39323, 1.37745, 1.38185, 1.39515, 1.38641, 1.39377, 1.39588, 1.37433, 1.32061, 1.37489, 1.37737, 1.38185, 1.3651, 1.37132, 1.36716, 1.36769]","[1.46089, 1.45434, 1.43544, 1.44154, 1.45589, 1.43209, 1.43529, 1.41011, 1.25608, 1.42062, 1.39531, 1.41678, 1.43626, 1.44331, 1.41816, 1.44284]","[1.37655, 1.38779, 1.37147, 1.36762, 1.38824, 1.37596, 1.3826, 1.34663, 1.31804, 1.36604, 1.37305, 1.37189, 1.37092, 1.38496, 1.38996, 1.39003]","[1.4374, 1.43248, 1.44767, 1.36443, 1.44906, 1.46808, 1.4557, 1.43229, 1.36426, 1.38924, 1.37577, 1.3624, 1.39303, 1.37973, 1.38705, 1.39071]","[1.44165, 1.45461, 1.44901, 1.45571, 1.46269, 1.44682, 1.43222, 1.42139, 1.41555, 1.4133, 1.3876, 1.41729, 1.4182, 1.42847, 1.3543, 1.41076]"
saturation,"[104794.0, 92022.0, 92681.0, 91084.0, 101274.0, 102076.0, 100421.0, 101457.0, 95309.0, 96077.0, 99124.0, 98860.0, 98287.0, 87874.0, 89911.0, 100466.0]","[89916.0, 89885.0, 87307.0, 86693.0, 87057.0, 96613.0, 94887.0, 94865.0, 100558.0, 101333.0, 101180.0, 100900.0, 90616.0, 93035.0, 93804.0, 93952.0]","[95430.0, 94182.0, 93530.0, 93154.0, 92183.0, 91534.0, 90853.0, 104488.0, 107459.0, 104357.0, 94332.0, 95854.0, 95985.0, 96786.0, 98257.0, 99585.0]","[83711.0, 83757.0, 83264.0, 82203.0, 81422.0, 73428.0, 58550.0, 33886.0, 78593.0, 88128.0, 97548.0, 97069.0, 99060.0, 99521.0, 100406.0, 115230.0]","[45904.0, 80904.0, 79779.0, 78623.0, 78184.0, 77442.0, 76666.0, 86129.0, 93116.0, 90544.0, 91195.0, 91625.0, 93424.0, 93741.0, 95060.0, 95394.0]","[92680.0, 91259.0, 91605.0, 90892.0, 89507.0, 90526.0, 88553.0, 88496.0, 102914.0, 92814.0, 94966.0, 94835.0, 94331.0, 94591.0, 97110.0, 97746.0]","[87520.0, 86685.0, 87249.0, 87168.0, 85514.0, 85604.0, 85420.0, 85823.0, 91097.0, 88678.0, 88623.0, 89236.0, 89772.0, 89416.0, 89721.0, 90018.0]","[90215.0, 89262.0, 86991.0, 89144.0, 84131.0, 82027.0, 81281.0, 81145.0, 95185.0, 94908.0, 96258.0, 97979.0, 96954.0, 98099.0, 98028.0, 98266.0]","[70810.0, 78277.0, 69141.0, 67985.0, 66752.0, 66618.0, 66320.0, 65999.0, 50726.0, 46068.0, 42550.0, 38019.0, 30900.0, 27991.0, 29824.0, 53716.0]"
