,R43_S00,R43_S01,R43_S02,R43_S10,R43_S11,R43_S12,R43_S20,R43_S21,R43_S22
u,"[0.05591999812736146, 0.055602528625595456, 0.05525341793600055, 0.055231356220676465, 0.054926528741684306, 0.05473119147382842, 0.054636253875923704, 0.0549560390875031, 0.053942137666315726, 0.05492512013111939, 0.05457971380324545, 0.05481576187398461, 0.05500982547976093, 0.0554074345183848, 0.055520461911603515, 0.05585752069572172]","[0.06312206188262845, 0.06309966816422523, 0.06310194370480642, 0.06320573427235754, 0.06297012550893802, 0.06283218423273303, 0.06267081580875093, 0.06339933533915328, 0.06196486554246, 0.062371136692240516, 0.06266484652127642, 0.06269046867711867, 0.0627672202628143, 0.06291393352423516, 0.06306242661401154, 0.06323164859912297]","[0.054015553114979645, 0.053511032515173175, 0.05309406114837259, 0.05294535119981343, 0.05236016249693432, 0.052400356582634, 0.05181063400433305, 0.051423616019874274, 0.05120356702040077, 0.05157262762899145, 0.052024340300322665, 0.052238446734283094, 0.05258509021584148, 0.05276821961417739, 0.05313604027114154, 0.05345979102432474]","[0.050249280220670635, 0.05004981008837733, 0.049813716753268615, 0.049660408845991676, 0.049473342877868684, 0.049340059280915685, 0.04906648107900375, 0.04892818662647132, 0.04891580039582989, 0.04890705814353158, 0.049285839673776345, 0.0494844561386695, 0.049692730300750415, 0.049778965046696697, 0.050137998406054436, 0.05016527446922136]","[0.0632987665261057, 0.06315427500614307, 0.06281668307353995, 0.06271962223402922, 0.062451634336123774, 0.06210553997210372, 0.06184553774718092, 0.06122720939376667, 0.061050018799519205, 0.061494160075339484, 0.06179322984056095, 0.062039510688161555, 0.06247459437047943, 0.06264720500278798, 0.06289324172674224, 0.0625161464267458]","[0.0625337567147043, 0.062045427949934694, 0.06174359781982093, 0.06143426115944114, 0.06124063986677079, 0.06056916249788886, 0.06063715328671242, 0.06046581195334514, 0.06008724558899415, 0.060615938111071695, 0.06084976367412888, 0.06121722956314848, 0.06138129358307314, 0.06190175684649452, 0.062210437853464105, 0.06299241400119]","[0.06607137052397147, 0.06622724979612697, 0.06607690789270433, 0.0661600411562969, 0.06625677129866048, 0.06623138664755197, 0.06696604087522631, 0.06635119887130997, 0.06547680693259515, 0.0660854626559123, 0.06582863330920896, 0.06603221615667496, 0.0662015115876467, 0.06593435808393876, 0.06572432613599308, 0.06527940929424547]","[0.056399025303924696, 0.05634440586111228, 0.05598521850655294, 0.055517646015062316, 0.05556369176862127, 0.05562337366371169, 0.055309105758382666, 0.054997140441571286, 0.055087719300489994, 0.05535195015848881, 0.0555399402656119, 0.05569919111589445, 0.05620495938591407, 0.05615430464694112, 0.0565327158882565, 0.05665397179021397]","[0.059285456764987664, 0.059278771751840806, 0.058686451902088134, 0.05833290634203524, 0.05816666069447373, 0.05781905065653024, 0.05721592220467293, 0.05647894396488366, 0.05666810812789583, 0.05767802955671678, 0.057980757892735074, 0.058487879782515496, 0.05873361749730799, 0.05897515222044861, 0.059171639633754027, 0.05939364384968413]"
g,"[0.15605410093263652, 0.15585675845787153, 0.1556434430591309, 0.15635904004113102, 0.15618386475286913, 0.1562453839484066, 0.15665959211360336, 0.15831953216960784, 0.1554530725771533, 0.15766938164356736, 0.15608961991984896, 0.1560916195917349, 0.15592645378418807, 0.15626194316501435, 0.15582114015142676, 0.15600859180282162]","[0.15241354066048995, 0.15247189796567875, 0.15274708568922618, 0.1533275010173739, 0.15307503153312962, 0.15308692104437435, 0.15300998885188277, 0.1551320737262874, 0.15192219648832164, 0.15277434371968188, 0.15258079770807675, 0.15221408892173174, 0.15207006729852546, 0.15220716386607874, 0.15212665084893942, 0.1523555401726133]","[0.1589106340149212, 0.1583901182515482, 0.1583104271214139, 0.15897673871066903, 0.1582336827277344, 0.15928591459953295, 0.15858336049417338, 0.15847936388973305, 0.15779127253061545, 0.15797118672816923, 0.15834463861200435, 0.15801775740970955, 0.15807880888508466, 0.15756026813089882, 0.15749439605244797, 0.15749526592036692]","[0.15309262336577253, 0.15333253013864986, 0.1533624680564888, 0.15366168670049654, 0.15367291214313963, 0.15394830255816544, 0.15363005228992013, 0.15379193859425166, 0.15342097504805813, 0.15281119846207217, 0.1535234717107154, 0.15360295408480357, 0.15359153730791344, 0.15312576656952598, 0.15339091501044355, 0.15260446265220828]","[0.15826353164333568, 0.15856408735063798, 0.15850987952146464, 0.15901035438272593, 0.15896590365145893, 0.15889999644465544, 0.15904611522021098, 0.15887692607340584, 0.15829124461024222, 0.1583362953853517, 0.15844813247742995, 0.15839484225608733, 0.1586343284089636, 0.15839933231482722, 0.1581551455078298, 0.15783213549499361]","[0.15776355602177525, 0.15677130381049847, 0.15668611377242614, 0.1566299060462828, 0.15686525552755035, 0.155744456042899, 0.15667978031993265, 0.15713036570603173, 0.1556654073232805, 0.15598141796413664, 0.1559509215700485, 0.15620360296391578, 0.1559879179666052, 0.15660597012493177, 0.15680819265779788, 0.1584277271221559]","[0.15451330201286329, 0.1547990233447986, 0.15429941645384115, 0.15438282141106172, 0.15435897453889932, 0.1544804146864001, 0.15606839802596192, 0.15477804163721767, 0.1532489220768721, 0.15383563385708193, 0.1533692434587598, 0.15401157718966416, 0.1546663770947926, 0.1542443927737065, 0.1540499956129133, 0.153313042714884]","[0.15337401623203284, 0.15390668329129892, 0.1536392229088144, 0.15302148082543082, 0.15377493359958652, 0.15450570348290693, 0.15409645761569818, 0.15378880504828893, 0.15387535801078212, 0.15409688360204235, 0.15414239673490557, 0.15397520795224073, 0.15480009166766792, 0.1540167774321398, 0.1542998359447442, 0.15391100889330395]","[0.1562311046801557, 0.1568379356264967, 0.1561234470135032, 0.15597920284561376, 0.15638175518254868, 0.1562384057291957, 0.15542718625461116, 0.15497301347720246, 0.15528126020629207, 0.15608381631448032, 0.1558293486737956, 0.15638710221358598, 0.15628872526873677, 0.1561459336210776, 0.15588754389689435, 0.15579456160851582]"
r,"[0.11959621466325986, 0.11940480191268558, 0.11913589447035107, 0.11953975977697028, 0.11929494560316431, 0.11920668234825228, 0.11934360334026868, 0.12042895950105781, 0.11816144030200962, 0.11990542875815513, 0.11881265496468897, 0.11893309116154942, 0.11892996639293367, 0.11928460732669831, 0.1190847965622939, 0.11923908829994394]","[0.1219301790745709, 0.12182034028050553, 0.12186967308924249, 0.12219903062869188, 0.12191095575971668, 0.12182084608553842, 0.12165495673814346, 0.12324937426607945, 0.12072333288629694, 0.12141176674633092, 0.12132946795540932, 0.12110237779104223, 0.1211242738989165, 0.12135320725226371, 0.1214336860977088, 0.12179077120520065]","[0.11857572113900278, 0.11797277733122251, 0.11776322201777842, 0.11810397758380614, 0.11736638387637588, 0.11799860984234659, 0.11734016553027586, 0.11721173615798566, 0.11672377478467016, 0.11690381180691141, 0.11727834197942533, 0.11714866455704141, 0.11734257468800985, 0.1171354293783741, 0.11728570718317541, 0.1175055263736346]","[0.11664921125459954, 0.11670453960959833, 0.11661781852815288, 0.11664476317451175, 0.11660049766366361, 0.1166683496727763, 0.11628298841670559, 0.11639820783837389, 0.1162500690580371, 0.11586309996737318, 0.11650361633314013, 0.11665913728378105, 0.11675651474326448, 0.11655858845648262, 0.11690185627610648, 0.11640840857382598]","[0.12119824906238555, 0.12125117871594565, 0.1210345154620314, 0.12122355433279589, 0.12100984969649678, 0.12074527469137793, 0.12060299394027181, 0.12010064049256232, 0.12002798744733754, 0.12013481822929349, 0.12044358845291277, 0.12057013442231583, 0.12091472968250212, 0.12092679316657161, 0.12100518296519487, 0.12082610833152951]","[0.12246680321136312, 0.12148374249421215, 0.12125225779447044, 0.12099439152053353, 0.1210276430935364, 0.12000732730106864, 0.12055877108316754, 0.1206712628391071, 0.12004858183896289, 0.12040282317374269, 0.12047071933284353, 0.12078655640531581, 0.12072182887998231, 0.12131110339125227, 0.12159686527311624, 0.12303297720355921]","[0.12331247943573824, 0.12352062015492872, 0.12314858440533986, 0.12324506221893053, 0.12341480049039885, 0.12324718146699834, 0.12454635806183648, 0.12364202230522228, 0.12315244375204969, 0.12330049279140944, 0.12285635098872745, 0.12330006864256021, 0.12363619261334265, 0.1233427842686742, 0.1234687876168314, 0.12302325326387713]","[0.11983774123608792, 0.12009909927043969, 0.11971550432862141, 0.11907421396086014, 0.11951166013990377, 0.11994872998564124, 0.11950788980449908, 0.11915159570246318, 0.1193546665745376, 0.119642855108499, 0.1198005234000638, 0.1198192596621884, 0.1205985184533089, 0.12013020404642179, 0.12051124359670058, 0.12036624474178709]","[0.12125397739409731, 0.12161089336580844, 0.12091373495569038, 0.12065008940762614, 0.1207658035380906, 0.12042716068378788, 0.11971962033608304, 0.11951070657094584, 0.12018655042440478, 0.12071870043337463, 0.1205440188940017, 0.12106080782704297, 0.12112352737521884, 0.1211724412307217, 0.12110760717750489, 0.12118484688884132]"
i,"[0.08940892447955133, 0.08945610092850984, 0.08933432831919487, 0.0896430001158974, 0.0894416079754839, 0.08933680735786739, 0.08937726930530866, 0.09018577812721021, 0.08910822365522113, 0.09036726933393781, 0.08955229984821507, 0.08964930148241791, 0.08964432509016995, 0.08986600582745465, 0.08962124276236014, 0.08952786528262839]","[0.08953809201648624, 0.0895600264612914, 0.0896599309950125, 0.08997200084676961, 0.08984469959354381, 0.08984481100675308, 0.08977667628014722, 0.09101408221359741, 0.08985416518215493, 0.0902463393459588, 0.09021415773243, 0.08996892286790142, 0.08992500253230493, 0.08999389273334595, 0.08996563815984378, 0.09011423332650854]","[0.08894181264118696, 0.08852371041565696, 0.08846422929982257, 0.08881643511786373, 0.0883366302833518, 0.08885551141180614, 0.08835560213969054, 0.08815472974145505, 0.08828667275632973, 0.08852969719396454, 0.0888328640218236, 0.08869972213203102, 0.08879743993083024, 0.08858289871846368, 0.08864425117506518, 0.08880119433852635]","[0.08807435939110428, 0.08825248304782601, 0.08821866345667675, 0.08819654845804287, 0.08811954412247304, 0.08806824250399431, 0.08770372527436007, 0.08780124879017762, 0.08774043032507486, 0.08746517860604949, 0.08800350522288418, 0.0881851216745266, 0.08831939839064591, 0.08820346803917793, 0.08844541444532815, 0.08792193437188484]","[0.08907695513503251, 0.08913397558730234, 0.08900716762626858, 0.08917859535824475, 0.08907508303068148, 0.08894812806841748, 0.08891349805078594, 0.08862271733923677, 0.0886003585277228, 0.08856685325596096, 0.0887181932271264, 0.08873947367906115, 0.08896030640830592, 0.08892360506137145, 0.08895489585625879, 0.08885153744985246]","[0.09038206752718676, 0.08982408023694871, 0.08982766587145379, 0.08978868116284643, 0.08996569150339064, 0.08931559661761053, 0.08976202372887657, 0.08973293506133755, 0.08942392547022113, 0.08979293520993488, 0.08978489636766558, 0.08990334388432823, 0.08969574343300551, 0.08995493416103148, 0.08997713466853026, 0.09085077763452437]","[0.08951520741720222, 0.08988531120594351, 0.0897840859885129, 0.08996632185854524, 0.09018593128421307, 0.09006953035695721, 0.09106869917247831, 0.09046341964137634, 0.08969016004744158, 0.08971448313637907, 0.08937161971405734, 0.08966489259318859, 0.08985479525211341, 0.08958899480004402, 0.08967571473887315, 0.08923445357428789]","[0.09021141425351607, 0.0904733053631728, 0.0902443000497066, 0.08982271039640645, 0.0902183044468518, 0.09061408668555683, 0.09034188621206489, 0.09012798874422676, 0.08967805872800289, 0.08982140586156466, 0.08986528004395183, 0.08981145910436822, 0.09034077462476037, 0.0899408769677779, 0.09018082233977112, 0.09003038330557928]","[0.09075870574678534, 0.09114627845817531, 0.0907500137731052, 0.09067705755183461, 0.09084790913100307, 0.09062961562616918, 0.09012354388267553, 0.08995250099694965, 0.09017289736174325, 0.09064073358872678, 0.0904334444641659, 0.0906735203825616, 0.09056743923710571, 0.09045117870784736, 0.09025323027307411, 0.09017259611876084]"
z,"[0.06147304260562279, 0.06164372456623465, 0.061606395787935614, 0.061842728568358755, 0.06170068369826475, 0.061604038216669786, 0.06162141562361947, 0.06219972003552758, 0.06170744223277716, 0.06253036566271034, 0.06193040400927115, 0.06198288425843066, 0.061956265575166265, 0.06207290234826307, 0.06184054688263571, 0.061661091919966306]","[0.060072433529919714, 0.060150275224032164, 0.060247237917962736, 0.06045578571288399, 0.060384638885043494, 0.06041382524758831, 0.06043028027811805, 0.061287777034361404, 0.0607543018673009, 0.06098389562443799, 0.06091548848767447, 0.06073221113154922, 0.060712724759596465, 0.060746641736800666, 0.06068547331637359, 0.06072351016499088]","[0.06141451586648809, 0.06119506482404028, 0.0612122850010085, 0.06154499168314354, 0.061345982582054516, 0.06177736421666257, 0.06147913278699946, 0.06135973322751782, 0.06162602447597232, 0.061785324004624435, 0.061912984358117526, 0.061755408486081416, 0.061735211292198416, 0.06156406638731799, 0.06156303705406002, 0.06153020581837997]","[0.06175461694417893, 0.06199660015664352, 0.062031301727105005, 0.06203224930367292, 0.06197240623891024, 0.06195308188600881, 0.061712641999155195, 0.06176052816265599, 0.06181106219878422, 0.06157715750006948, 0.06190997623316758, 0.061997305792597455, 0.062072164904461546, 0.0619734883060762, 0.06206808743661788, 0.061532591249867895]","[0.060122036801717675, 0.0602271197914165, 0.06013833128885871, 0.0602245038341172, 0.06015029116845135, 0.06008198675777164, 0.06007174982599128, 0.05991014381658978, 0.059724746585621435, 0.059711569554298405, 0.05979227635471578, 0.05976194168506135, 0.05990393268803945, 0.059889834640746584, 0.05997938375091511, 0.060014945006521714]","[0.06128911302208909, 0.06096497538915038, 0.06097914475938589, 0.06099866237251825, 0.061162302680447075, 0.060754695656137725, 0.061080667451359545, 0.06104999857591506, 0.060912622302854894, 0.06109929494187267, 0.06102760725812368, 0.06103504404884439, 0.06084433741924866, 0.06097399458908099, 0.06096105438496564, 0.061473708366052614]","[0.0595897586822933, 0.05990327012929453, 0.05987154179415194, 0.06003840943914609, 0.060218341486092744, 0.060181399685658526, 0.06089256150187244, 0.06048927667879232, 0.0597854931206575, 0.059746018970657185, 0.059451629440223495, 0.05963258326677016, 0.05975724810616826, 0.05961398046121136, 0.0596856620071127, 0.05931610279975073]","[0.06141491097327838, 0.06166150060513609, 0.061614785230459636, 0.06147201283237748, 0.06186407426482306, 0.06222795119761494, 0.06212249012357965, 0.061973473633343094, 0.06134692775204693, 0.06141332011843643, 0.06138605602409537, 0.06129417514737552, 0.06163761597671417, 0.061320475379610946, 0.06140326225812495, 0.061249612137266436]","[0.06243424427460353, 0.06281575109573716, 0.06262137633440075, 0.06264241084077829, 0.06282529932536764, 0.0627079085145812, 0.06237884027395978, 0.062295628343091915, 0.06239671127383906, 0.06260515888933484, 0.062344916205551645, 0.06240885366342256, 0.06225807185764829, 0.0621103639243778, 0.061890491307238976, 0.061713086551555406]"
y,"[0.03260955664703364, 0.03273500007693329, 0.03271727775528632, 0.03285308140036305, 0.03285453544064354, 0.032889200642413075, 0.03294523332138613, 0.03321255820034907, 0.032361368937261374, 0.03283729040427869, 0.032525895246381935, 0.032551285547879165, 0.032508492249880436, 0.032531071648231574, 0.0323873366599276, 0.03233403736054218]","[0.03175112711728298, 0.031822112423388504, 0.03187207593913635, 0.031911040485574284, 0.03181444755049701, 0.031760722198732584, 0.03169166526575, 0.03206061503332729, 0.03210575170118825, 0.03234464160531695, 0.032285323035142845, 0.03211908454975654, 0.032071337262276484, 0.032082955164711914, 0.03203020422208659, 0.032033705700343126]","[0.03209228972720316, 0.03192217810636624, 0.03189889175968241, 0.03210144432093775, 0.032105580299027395, 0.03239339930234731, 0.03234428803860128, 0.03230919466812501, 0.032396135024427467, 0.03256055097847985, 0.03259052749806597, 0.0324677298615758, 0.03240011102900621, 0.03237302600033943, 0.032425065023212386, 0.03236644309332015]","[0.0333955268847418, 0.03356790910406853, 0.033625187683864154, 0.033611215162959694, 0.0335791872655421, 0.03359704843686173, 0.03347793997049808, 0.03350543379068104, 0.03366889524872598, 0.033585911351412805, 0.033715487715673946, 0.033646849221923854, 0.033619037900726324, 0.033537989615896005, 0.03353990017192477, 0.03329582053540318]","[0.03033837385468383, 0.030461816244641116, 0.0304070141469202, 0.030399844426967033, 0.030322031757840307, 0.030263265775691554, 0.030201618687725383, 0.03013004667919062, 0.030148250348411797, 0.03014134782373076, 0.030234728935401686, 0.03024348892991675, 0.030388862583270865, 0.030459149516343674, 0.030483828625968306, 0.030535132117977204]","[0.03221770021737854, 0.03203557124096524, 0.031931643534183915, 0.031875412292943855, 0.031943648118637875, 0.03178752512712043, 0.03198809806120744, 0.03195549911279538, 0.03196789775042656, 0.03206115199226694, 0.032001765800529804, 0.031955123618604774, 0.03184807268710346, 0.03194464534291874, 0.03199692206006424, 0.03225435471640937]","[0.030879416965087957, 0.031016358736875322, 0.0310053254920099, 0.031124911385295318, 0.031244136419998264, 0.031242437639432862, 0.03161177580978459, 0.03136760559533699, 0.03118364276258237, 0.03113674852873796, 0.0309328181226872, 0.030947767623886693, 0.030961101182948047, 0.030910993271047748, 0.03092877560789487, 0.03072644680061343]","[0.03223420887425477, 0.03251006566464832, 0.03268972117733876, 0.032801017062022125, 0.03311981231017839, 0.033393120136245104, 0.03342163417465889, 0.03334473969908106, 0.032858457081990464, 0.03292010160461053, 0.032909762772743496, 0.03286563382515019, 0.033077314595755136, 0.032863841421155504, 0.03278193216414199, 0.03264391349970383]","[0.033422574920246445, 0.033701650391480174, 0.03359962542189261, 0.03360611913351545, 0.03377119554202533, 0.03380016943105359, 0.033649218724312646, 0.03356666310579892, 0.03349664020375938, 0.033621021972186235, 0.033443288767950365, 0.03341310249539116, 0.033325278542015724, 0.03328227720228069, 0.03315569686434332, 0.033007262184282515]"
