,R43_S00,R43_S01,R43_S02,R43_S10,R43_S11,R43_S12,R43_S20,R43_S21,R43_S22
u,"[24.023434390344182, 24.011377964713265, 24.011406961695744, 24.003080488680204, 23.986574590115097, 23.985800879487964, 24.003040555449044, 24.037919611823853, 24.0117436377733, 24.009468179456643, 24.008336795270182, 24.019171167429548, 24.01618302873207, 24.006255366993237, 24.005645208037677, 23.973169903505585]","[24.12747524744048, 24.124412929002865, 24.11464937609085, 24.097247736222393, 24.11005058169313, 24.097129046749934, 24.1076993309732, 24.126606274050225, 24.079012371533825, 24.089725828269525, 24.086504152327592, 24.097312997192127, 24.10640315070993, 24.10506124848512, 24.09529931748684, 24.055106121763295]","[23.57830681390709, 23.37806955872159, 23.26310969787503, 23.21158955473617, 23.235057190436258, 23.3235859015876, 23.552957439711697, 23.709125216163446, 23.6407943366835, 23.51243873136817, 23.315795647568244, 23.221127500470928, 23.17953641789333, 23.22256567178033, 23.32882997399049, 23.50124427374667]","[23.760291560043132, 23.71620875097199, 23.672126942809832, 23.641666581355686, 23.623201342015804, 23.63420857240486, 23.708656133899197, 23.66644943601642, 23.563979046130626, 23.655981570448688, 23.609331509779057, 23.571379106217314, 23.589382082497746, 23.578182096910062, 23.640170542820783, 23.691537656017697]","[24.071806748379224, 24.069519313703314, 24.053702733856625, 24.059758937525594, 24.060814044941864, 24.041977288711593, 24.070282068287035, 24.020853305923254, 23.891335349071888, 23.95169844521031, 23.924686534851784, 23.924929197107126, 23.855251840262657, 23.861501922597128, 23.873233780579802, 23.914411438260842]","[24.066478531568674, 24.057760639737708, 24.053132236869143, 24.047132434301247, 24.03091224864942, 23.98754355456144, 24.036689851009378, 24.063578424600898, 24.076796067648942, 24.045323518915936, 24.036774551152085, 24.04539402388093, 24.037139671604265, 24.013293571330323, 23.985120783317146, 23.91287517270171]","[24.080012596449855, 24.078937409232466, 24.08130640595983, 24.058548291372162, 24.068436031832473, 24.060180890991216, 24.0768978776875, 23.984985805988444, 23.891264451024366, 24.01218371905251, 23.996608817093588, 23.99790082885592, 23.971341974402566, 23.961776419811624, 23.932882365008368, 23.91157120694816]","[23.821232697938125, 23.82266989171319, 23.809233404605656, 23.73238549655612, 23.806984389596973, 23.798542666446888, 23.81081336108756, 23.745137509706307, 23.725057984332082, 23.749648452718255, 23.712631711801357, 23.692423058766522, 23.670853104017542, 23.637683438175422, 23.601264736141502, 23.55407772385862]","[23.93597281394961, 23.886741398390967, 23.846868482719614, 23.79683667719027, 23.742775902398925, 23.683783886057768, 23.67527394348522, 23.662308148191627, 23.663923197071945, 23.624300858300778, 23.60531020303992, 23.511594023334922, 23.438200948272254, 23.387967893135823, 23.221687522672376, 23.147316945974318]"
g,"[24.91209546119956, 24.90850642907155, 24.909182477680076, 24.909044692311564, 24.903921368307596, 24.9050860595967, 24.913087816031126, 24.929336136408114, 24.91276881932851, 24.915819268525702, 24.910419463230884, 24.912561992583793, 24.909673150027544, 24.905522688652773, 24.902579957882544, 24.889595117629657]","[24.898399447149004, 24.897001143125898, 24.894002149525022, 24.888945293849506, 24.893454338919128, 24.8888684579692, 24.892447683375245, 24.903855801580743, 24.880035224819053, 24.885189487014156, 24.881437062445812, 24.883302260935636, 24.885301450437975, 24.884359771172523, 24.878935623585427, 24.86305567285219]","[24.740808867551248, 24.630374050391687, 24.562427277843923, 24.533419047970554, 24.551954130988925, 24.61270074227877, 24.742910414903733, 24.81753575163207, 24.787901775224295, 24.72157440863713, 24.606106832616405, 24.5412099581274, 24.50872172766971, 24.531718492670002, 24.594202789653455, 24.689851735693797]","[24.830458791319835, 24.8146495586762, 24.797556416541152, 24.786642556544514, 24.779816283764358, 24.786825144956726, 24.819075985397323, 24.80281510144564, 24.752690233634382, 24.790991502307335, 24.770151846440946, 24.750791846898593, 24.7569073714659, 24.748018603491182, 24.774264159799518, 24.792296408048955]","[24.891492436150784, 24.89184808905943, 24.886353982500815, 24.89025750228204, 24.891378208814444, 24.885071868210964, 24.896483113884372, 24.87968486699487, 24.82506450995304, 24.84750089276085, 24.83415894638805, 24.831805113948384, 24.798837534015014, 24.79902918871416, 24.801112823895068, 24.819797433079195]","[24.88469887550323, 24.878529875947823, 24.87682587865819, 24.87505941553867, 24.869932762122257, 24.851425327648055, 24.872236262828203, 24.882922472303157, 24.88487771460287, 24.871446290637454, 24.865757283847646, 24.86674670841091, 24.85878869391231, 24.843853955655398, 24.822776982386987, 24.784155405132076]","[24.86057308011272, 24.86023830992053, 24.859261916315493, 24.849622859277478, 24.852474615291232, 24.84935421124846, 24.85864633518849, 24.817376683827426, 24.768887451011317, 24.82019209892128, 24.811386617765045, 24.811187232448162, 24.79789712352634, 24.789174706011536, 24.771274122658134, 24.75480282819192]","[24.797284316232307, 24.799764002367827, 24.79432604994591, 24.759984494587933, 24.79374007023341, 24.79012867417144, 24.789198955736595, 24.75484537791377, 24.727537071951694, 24.728205327782852, 24.70157679786484, 24.67996228106108, 24.660440002992857, 24.632119317604417, 24.605152278680258, 24.571430104531274]","[24.802388285200962, 24.773678405088503, 24.74417989426545, 24.71018054402341, 24.676806268091344, 24.640669415890002, 24.624236713617982, 24.60813495578362, 24.610869919944328, 24.58111929976355, 24.554888541043148, 24.490346412716058, 24.430435359876146, 24.3784281442908, 24.26699705124998, 24.193569470412683]"
r,"[24.435150545329243, 24.43249540004289, 24.431795326845773, 24.431874035503604, 24.4280157529012, 24.4281440386171, 24.43219261989911, 24.442443174601777, 24.427496327560664, 24.432814302353677, 24.427725334958573, 24.429303186296664, 24.427936712291736, 24.426626532306916, 24.424797318065593, 24.41767804457719]","[24.44611705686914, 24.444257070066243, 24.441929762714246, 24.439228407806958, 24.440584590275968, 24.43736926465796, 24.438107413095743, 24.44661627278611, 24.429011656332598, 24.432871765561902, 24.430514544045238, 24.430770509208187, 24.431908623271003, 24.431960732920796, 24.42903818241148, 24.421337500277385]","[24.316373250150292, 24.24145324900687, 24.193047394531174, 24.171570190504973, 24.18244728178508, 24.22464272624697, 24.30843544650068, 24.353431612083515, 24.3360114658593, 24.294237261054718, 24.21787575791124, 24.172537051101777, 24.14978266002185, 24.166523953510847, 24.21099023130433, 24.275409803475576]","[24.376460862525086, 24.36673615525202, 24.355918878344333, 24.34861096438457, 24.34406712132618, 24.34753329955433, 24.36497347664455, 24.355251525065395, 24.323669736798035, 24.34593513641291, 24.334956568405854, 24.323741922131944, 24.3277938582928, 24.322274651764573, 24.338876498122126, 24.34858281965903]","[24.41941325826244, 24.41868238841382, 24.414020660986644, 24.415358677529447, 24.41474153968762, 24.409584565385416, 24.414260156134432, 24.402194564467834, 24.371633605836784, 24.38454078839318, 24.37759859012716, 24.376442960284233, 24.35808571220294, 24.358447976732805, 24.360231666244392, 24.370595612616405]","[24.418584798894376, 24.411675088095897, 24.409003213458, 24.406304826389473, 24.40240408769615, 24.389088404697517, 24.400323540895148, 24.404644593062667, 24.406870084434594, 24.39979746771988, 24.396152295265903, 24.39666286107765, 24.3901476374322, 24.379133458854497, 24.361515629806675, 24.334214768896643]","[24.41612224900757, 24.416024746034324, 24.4144331635904, 24.409165357245087, 24.41122360171996, 24.408143975547667, 24.415536174603993, 24.391103154092555, 24.36175458859379, 24.388302204897826, 24.38112592896211, 24.37977185823413, 24.369463752998165, 24.3608722155126, 24.3476137717374, 24.332964705883015]","[24.36249569932361, 24.363229421570097, 24.358098142467966, 24.335771969247766, 24.35403726105137, 24.350224591001584, 24.34380884531727, 24.31753818803449, 24.288990034906654, 24.28384042614156, 24.261900505576023, 24.241751733515343, 24.224659045514116, 24.199878886015398, 24.17837820571404, 24.15166427093446]","[24.339652939087365, 24.315037064024356, 24.28646033536251, 24.2550321394114, 24.22536097253541, 24.19364878672711, 24.173054320678688, 24.1543022701297, 24.159896419067064, 24.135819165674548, 24.109334062833362, 24.05609797236624, 24.00307283255949, 23.95292574607045, 23.865075384988554, 23.794627436223625]"
i,"[24.003801307089958, 24.00261999181139, 24.002092703402404, 24.002560489650733, 23.99928271181188, 23.99909572355396, 24.001703708744962, 24.010170794178613, 23.99943391874528, 24.00506126786039, 23.999915770371203, 24.00109872969976, 24.000034801032545, 23.999294401533625, 23.99708015496789, 23.990852384731927]","[24.004932412300143, 24.003894058062386, 24.002477078482578, 24.001172686453515, 24.002205801064576, 23.99996937424968, 24.000265797389684, 24.008315488985268, 23.99652063962491, 23.999203883884324, 23.99751107338571, 23.99670295946779, 23.996981103385103, 23.996489994116924, 23.99357728235611, 23.987402017995556]","[23.914775339913795, 23.857259078853254, 23.81999155074862, 23.803808923722258, 23.811827230375776, 23.845185051381655, 23.907134523155932, 23.938792338615173, 23.92961642837659, 23.899438696708724, 23.842102854864216, 23.806482445272522, 23.788143507616788, 23.800323585254233, 23.83421631039178, 23.88270676863565]","[23.960188105047216, 23.953893743250937, 23.945999254287194, 23.940329057313935, 23.93659471251138, 23.93823998698109, 23.949567187118916, 23.94261062145972, 23.91875903996407, 23.934292483693767, 23.92742825492389, 23.919783816157018, 23.923096545703608, 23.91884958956156, 23.931067616099085, 23.936299967255785]","[23.981009717604017, 23.98038557536442, 23.976534100807257, 23.97754948035989, 23.976993760054846, 23.97301381185676, 23.976213629481215, 23.966868208430956, 23.94448343977092, 23.9530831031732, 23.947560227834334, 23.946058531023237, 23.932518407473754, 23.932238565488678, 23.933162007541497, 23.940461273801386]","[23.981739457670216, 23.975993038357377, 23.974328208940396, 23.97256764176198, 23.970228451265196, 23.959634276340424, 23.96808086777851, 23.969967289390816, 23.97249384372185, 23.96802441467217, 23.964532985412518, 23.96398939987007, 23.95685102046623, 23.945915833927792, 23.928086235278855, 23.903146348188933]","[23.970353870855647, 23.97169712999682, 23.970947803085703, 23.96771729489915, 23.969882999750233, 23.96729203384848, 23.974378166142138, 23.955500207074763, 23.92890694402973, 23.947451790068758, 23.94070668630664, 23.93885140007179, 23.929378559974758, 23.9203552519718, 23.908039634592363, 23.893032333898418]","[23.945617986307827, 23.94645154233614, 23.942169921770827, 23.925132415611678, 23.93823798142111, 23.93502567855561, 23.927173386668844, 23.9045139035962, 23.87177126524987, 23.863823074871057, 23.842898386115834, 23.82257871734496, 23.805757617036967, 23.781681456112665, 23.76158020362274, 23.73686216685969]","[23.91098497782044, 23.888745641946723, 23.861510697487386, 23.83203028781807, 23.804561090932104, 23.775144255821445, 23.75335695825583, 23.733335237197252, 23.737680902852105, 23.716299455594196, 23.68920471202113, 23.63907695458183, 23.587419782412333, 23.536707092330936, 23.4567447460418, 23.386225873802736]"
z,"[23.435158328834213, 23.435603310070043, 23.435362841616644, 23.436328772932097, 23.433538989846685, 23.433021944485283, 23.434591413596035, 23.441691874695863, 23.43482703741121, 23.44056249722464, 23.43505331759799, 23.435768043896744, 23.434733097415513, 23.43426833649839, 23.4314742837365, 23.42567202373205]","[23.42036554054433, 23.41990532839413, 23.419174444609425, 23.418720325805566, 23.419263406935393, 23.417855769366383, 23.418202297585985, 23.42602746619848, 23.419115352195604, 23.42112134838487, 23.41925373994691, 23.41767718070503, 23.417513894498516, 23.41691362042411, 23.414032739983703, 23.40922153231676]","[23.37327607778562, 23.332261236588515, 23.305711731162436, 23.295059903284006, 23.30123040858839, 23.32664064950675, 23.369263490858238, 23.390013950647216, 23.387313815732025, 23.366543470695547, 23.325406796494363, 23.298500432909496, 23.283802299298433, 23.29161058115983, 23.315262274134113, 23.347994744861765]","[23.41068230155873, 23.40796904096169, 23.40304125969938, 23.3992209699557, 23.396318563205323, 23.397112505211688, 23.403737455549688, 23.39884533955098, 23.381616223066125, 23.390917242098226, 23.38701755814116, 23.38189561943303, 23.38412007877681, 23.380598228894364, 23.38831393091263, 23.38872878883923]","[23.40357249164285, 23.40338409162681, 23.40001912893988, 23.400406889223973, 23.3997004875404, 23.3966797048149, 23.398647350943282, 23.39176718620643, 23.374589631203133, 23.379955567239655, 23.37561890955729, 23.373680616384128, 23.36425774451532, 23.36363603851813, 23.36441377394662, 23.36992889360951]","[23.40498265586707, 23.399990734934736, 23.398691326687512, 23.397651600533884, 23.396497580307994, 23.388117831983713, 23.39439095301671, 23.394659349872505, 23.396788479782856, 23.393572179983856, 23.38999588905496, 23.388393765920384, 23.38083780813774, 23.370151143074587, 23.352601961731047, 23.32982062779853]","[23.38505666445505, 23.387326041044297, 23.386852933408555, 23.385182940765844, 23.387152850997133, 23.38525730642064, 23.392138448592547, 23.377593807543374, 23.35252491195981, 23.36433176655945, 23.35771658744759, 23.35562381753492, 23.34728353094928, 23.338517484374513, 23.32713556852379, 23.31162140854181]","[23.38099353423145, 23.382165553961876, 23.37924559706655, 23.367482607758898, 23.377188184924343, 23.374981136752936, 23.36647684554819, 23.346613666914486, 23.309559143531157, 23.299226458716348, 23.27889986925812, 23.258209266242712, 23.24164097090096, 23.217949293234064, 23.19851063400383, 23.175217335597218]","[23.344570052825087, 23.324667027309943, 23.29877558819171, 23.27109463811609, 23.245768818783503, 23.218517207650116, 23.195776738387277, 23.174816750037106, 23.177888983162646, 23.157645146214335, 23.129508616156187, 23.08180300759144, 23.031265218183187, 22.980084899725757, 22.90695753310969, 22.836079899014265]"
y,"[22.531282347288958, 22.53248844671602, 22.532152714638322, 22.533439391970255, 22.53227997706094, 22.53325375560305, 22.535288104675836, 22.541166136912718, 22.523790534796216, 22.530427013028127, 22.524950541117818, 22.525507164729678, 22.52407299119627, 22.523196676429652, 22.52007323262991, 22.515873853676403]","[22.513574631100795, 22.513651596221955, 22.51308799229077, 22.511696964506946, 22.510819571079825, 22.5083638483449, 22.50696511592041, 22.512963955730736, 22.51240471761401, 22.51628601721128, 22.514188284688174, 22.511211570361194, 22.510232762383165, 22.509558968024706, 22.50651464797228, 22.502372553265793]","[22.47110163865181, 22.436430713413884, 22.41405536143121, 22.406202961110054, 22.412955559842977, 22.435233200613567, 22.470399805404035, 22.4867055695542, 22.48512857791363, 22.47008211235083, 22.436330792115342, 22.4132922755986, 22.39975786638311, 22.406853701975912, 22.426688478599925, 22.451382446190838]","[22.52214888370102, 22.521094531776537, 22.517932549620493, 22.514676398448998, 22.512222322378257, 22.513059053056296, 22.517572607595177, 22.51378244066394, 22.5025501162107, 22.50953498132545, 22.506202995929986, 22.50029577776958, 22.500782434606514, 22.49719276848196, 22.502213540294328, 22.501913972692407]","[22.470378297877854, 22.47148870107472, 22.468060099266374, 22.467189789545003, 22.465586937392537, 22.462334695026932, 22.46257549229441, 22.45668560220343, 22.44388654166, 22.448094142522663, 22.44549080873122, 22.444089843547886, 22.437947864339144, 22.438779179563742, 22.439134279445874, 22.44439140787788]","[22.496028479721076, 22.4906737448938, 22.487214822328774, 22.4849554069652, 22.483719266978625, 22.477176143506725, 22.482916317456166, 22.482403857871887, 22.486020050328563, 22.483197990092997, 22.479343840158215, 22.476672939679318, 22.469130988437815, 22.45942224636243, 22.44340154472971, 22.421886235283633]","[22.46677182064451, 22.46862837450807, 22.468117377867486, 22.467612766692994, 22.469850418698012, 22.468537146154056, 22.475263546775718, 22.462212173471706, 22.442967853667554, 22.450979055455655, 22.443396080901007, 22.439627070565948, 22.430823803554343, 22.422563731660823, 22.411250937002407, 22.395617558602154]","[22.473104227890307, 22.47675700696513, 22.477661579023508, 22.47129476947811, 22.48076922814781, 22.48011018149249, 22.472430134052658, 22.45388439551951, 22.41420887901947, 22.40343840450093, 22.383798403015334, 22.36333960124185, 22.347582659250534, 22.323564490248508, 22.30257897500378, 22.27924158124074]","[22.4465088457684, 22.428534012887972, 22.402947187585646, 22.375685954726105, 22.352239348763213, 22.327467571887567, 22.304698184505227, 22.28274155282719, 22.283862359736943, 22.26464231082072, 22.23575263321095, 22.188546998311313, 22.138868897371946, 22.08853124513096, 22.019110136446777, 21.947710470464358]"
fS,"[1.2086681827474768, 1.2062527108659502, 1.2055890544416665, 1.2059762970839665, 1.198228641491078, 1.1987815730054026, 1.2069845390567662, 1.2290593738614213, 1.1971899204718286, 1.208818796809478, 1.197576139215016, 1.2012187142147517, 1.1979396623439023, 1.1942606651633862, 1.1886594565593314, 1.1717879542117549]","[1.207412218054158, 1.2055683549908967, 1.2013542567307203, 1.1949369020024, 1.1982734625373839, 1.1910147915816796, 1.1928625740886638, 1.211671101160031, 1.1866522534123862, 1.1952184997300632, 1.1903753240723232, 1.1893257725489321, 1.1908457913914234, 1.1894972101179295, 1.181447507985533, 1.1626182377798024]","[1.0057076280996342, 0.9096735150323886, 0.8549514827494398, 0.8338941214605041, 0.8466604522277745, 0.8959987485380525, 0.99782700430524, 1.0596810730725994, 1.040987227377434, 0.9861389934480946, 0.8932523718060164, 0.8414554785706678, 0.8152483292421012, 0.8315706090008275, 0.8791115796059977, 0.9525509619896015]","[1.1148110059582954, 1.1020904792279216, 1.0862375568616867, 1.0746310680346567, 1.0669312676305704, 1.0709331875348123, 1.0953992720995611, 1.0800193861131873, 1.0353397924381633, 1.0660320226462756, 1.0509898344767399, 1.0344323719655186, 1.0396850299872369, 1.0311025101781797, 1.053479340603765, 1.0637481073027835]","[1.1406955450074103, 1.14063357321219, 1.1306309572444326, 1.1324910260920777, 1.1310332878728597, 1.120617744538348, 1.130409193236971, 1.1063045584250601, 1.049398395284551, 1.0714456213178936, 1.0588234162614747, 1.0559822822869966, 1.0261990445924207, 1.0272295776156417, 1.0301478969874647, 1.0483385504265184]","[1.1580804364449095, 1.14565741491656, 1.1402529723802615, 1.135582444954402, 1.1289995079970625, 1.104315432429825, 1.127441328802863, 1.1349093969160682, 1.1425071326184895, 1.1284405722327966, 1.1197474444360833, 1.1186036605036844, 1.1033841871241095, 1.0797596358628838, 1.0442964095006806, 0.9919315647922156]","[1.122295226342297, 1.1248202943066765, 1.1238599593516594, 1.1150595603696953, 1.120861989305292, 1.115569322235509, 1.131916006387593, 1.0833857524702046, 1.025081501231236, 1.0709957862676995, 1.0555672176913486, 1.0513834856046567, 1.0309407724802346, 1.0145949641291871, 0.9897227155175761, 0.9612626719116635]","[1.0590461172041594, 1.0630742781105096, 1.0576814513457014, 1.0256666989787386, 1.0564220663254842, 1.0517129903906208, 1.0397074910614637, 0.9948072968666458, 0.9330787978436186, 0.9213508643331256, 0.885266983911598, 0.8524511094549825, 0.8264264481025743, 0.7895144652854371, 0.7585380893676488, 0.7233097454204471]","[1.0229991631620443, 0.9809626081516111, 0.9325078340781263, 0.8821462670471765, 0.8380757687351521, 0.7935001714124659, 0.7632384263169194, 0.7354611244201633, 0.7392116466716954, 0.7095325069242533, 0.6746280589509985, 0.6127372076178127, 0.5562597096594448, 0.5066961109753093, 0.43613192280436824, 0.38247721103772003]"
